time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
57344,46,1221,112,0.0004092704424510632,0.4698939328081906,0.12549592554569244,0.017636564,0.9772794246673584,0.131591796875,1776,0.2,0.17261141538619995,-0.019015970814507455,-43.199549078941345,-2.7325592888888885,1258.0
57856,47,1222,113,0.0004092704424510632,0.011893392715137452,-0.0269550122320652,0.020832978,0.97636479139328,0.2142333984375,1792,0.2,-5.931185245513916,-0.01784136690548621,-43.1786744594574,-2.7325592888888885,1258.0
58368,47,1222,114,0.0004092704424510632,0.019060995808104053,-0.02938006818294525,0.01890701,0.9757708311080933,0.2652587890625,1808,0.2,0.3502303957939148,-0.025748159241629764,-43.151570320129395,-2.732155847826087,1258.0
58880,48,1222,115,0.0004092704424510632,0.23990673571825027,0.032467830926179886,0.01483818,0.9753726720809937,0.1156005859375,1824,0.2,0.09902811050415039,-0.018762766878353432,-43.139252066612244,-2.732155847826087,1258.0
59392,48,1221,116,0.0004092704424510632,0.03172483236994594,-0.021275915205478668,0.021698281,0.9747779965400696,0.1842041015625,1840,0.2,-4.068722724914551,-0.018584295292384923,-43.12631940841675,-2.7320008510638294,1258.0
59904,49,1221,117,0.0004092704424510632,0.6582386018708348,0.13660898804664612,0.01106598,0.9745851159095764,0.0433349609375,1856,0.2,0.1490476131439209,-0.008450775218079798,-43.10752582550049,-2.7320008510638294,1258.0
60416,49,1221,118,0.0004092704424510632,0.02225661091506481,-0.03478635102510452,0.018788675,0.9750573635101318,0.219970703125,1872,0.2,-5.94636869430542,-0.023168857136624865,-43.10925018787384,-2.731527729166667,1258.0
60928,49,1221,119,0.0004092704424510632,0.5843911226838827,0.14896106719970703,0.014328457,0.9753003120422363,0.103759765625,1888,0.2,0.15066075325012207,-0.012415293778758496,-43.126630902290344,-2.731527729166667,1258.0
61440,50,1221,120,0.0004092704424510632,0.0047836539342824835,-0.03620060905814171,0.018982604,0.9746101498603821,0.2210693359375,1904,0.2,-17.2445068359375,-0.022560822748346254,-43.119582772254944,-2.731527729166667,1258.0
61952,50,1221,121,0.0004092704424510632,0.007996112501132302,-0.0419648215174675,0.022020563,0.9745720624923706,0.3060302734375,1920,0.2,0.019738078117370605,-0.032581162377027795,-43.09972953796387,-2.732327306122449,1258.0
