time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1955,23,89,196096,-0.026859788631554693,6112,-41.51054286956787,0.004339962757512694,0.9322323799133301,0.021981409,-5.902387619018555,0.0004092704424510632,-0.027089117094874382,0.2840576171875,0.2,-2.1756491700000002,1258.0
1955,23,90,196608,-0.03212864314264152,6128,-41.48731982707977,0.009451703779632226,0.9323101043701172,0.04310239,0.12796396017074585,0.0004092704424510632,-0.046292588114738464,0.3421630859375,0.2,-2.17681213,1258.0
1954,23,91,197120,-0.023623735032742843,6144,-41.49800884723663,0.2066162023693323,0.9323596954345703,0.024356425,0.16822046041488647,0.0004092704424510632,0.04479138180613518,0.188720703125,0.2,-2.17681213,1258.0
1953,24,92,197632,-0.024302905017975718,6160,-41.50457179546356,0.012896901964268181,0.9330959916114807,0.029022187,-7.310345649719238,0.0004092704424510632,-0.040395338088274,0.26513671875,0.2,-2.1749311500000004,1258.0
1953,24,93,198144,-0.0201073916250607,6176,-41.535109639167786,0.25669413385912776,0.9334869384765625,0.01848864,0.045838356018066406,0.0004092704424510632,0.05185183882713318,0.224853515625,0.2,-2.1749311500000004,1258.0
1953,24,94,198656,-0.023627771326573566,6192,-41.53335952758789,0.012123300963139627,0.9334813952445984,0.020553328,-5.183530330657959,0.0004092704424510632,-0.040684692561626434,0.25,0.2,-2.1749311500000004,1258.0
1954,24,95,199168,-0.02338604126998689,6208,-41.55321824550629,0.006034175545210019,0.9356727600097656,0.022124559,0.07113021612167358,0.0004092704424510632,-0.033688586205244064,0.2412109375,0.2,-2.17632989,1258.0
1954,25,96,199680,-0.018056934015476145,6224,-41.60970902442932,0.23153134738095105,0.9363654255867004,0.015858592,0.05638682842254639,0.0004092704424510632,0.02339848503470421,0.188232421875,0.2,-2.17632989,1258.0
1954,25,97,200192,-0.02186558702669572,6240,-41.63214087486267,0.027970213122898713,0.937991738319397,0.01798039,-6.718464374542236,0.0004092704424510632,-0.03865646943449974,0.1968994140625,0.2,-2.17557309,1258.0
1955,25,98,200704,-0.018986045412020758,6256,-41.683618903160095,0.2384516503661871,0.9390451312065125,0.013931843,0.09391063451766968,0.0004092704424510632,0.05302242189645767,0.1849365234375,0.2,-2.17557309,1258.0
1955,25,99,201216,-0.02926839789142832,6272,-41.712733030319214,0.006960076323593967,0.9401135444641113,0.02056285,-6.954286575317383,0.0004092704424510632,-0.04523136094212532,0.28515625,0.2,-2.17557309,1258.0
1955,26,100,201728,-0.0256677802753984,6288,-41.733466148376465,0.005417621854576282,0.9400173425674438,0.01755307,0.023018062114715576,0.0004092704424510632,-0.028610799461603165,0.24755859375,0.2,-2.1742025600000003,1258.0
1955,26,101,202240,-0.02070371646550484,6304,-41.732635855674744,0.20426776236854494,0.9398304224014282,0.025477447,0.05914103984832764,0.0004092704424510632,0.006574397906661034,0.244384765625,0.2,-2.1742025600000003,1258.0
