time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
21,1225,52,26624,816,-43.05653655529022,0.2,0.0004092704424510632,-0.031927935779094696,0.244873046875,0.003487201021926012,0.017282706,-0.28780055046081543,-0.025938973543816246,0.9724559783935547,-2.238341904761905,1257.0
22,1224,53,27136,832,-43.07953214645386,0.2,0.0004092704424510632,0.046414636075496674,0.163818359375,0.17497231299057603,0.014421238,0.000280916690826416,-0.015971237458870746,0.9727448225021362,-2.238341904761905,1257.0
22,1224,54,27648,848,-43.069823265075684,0.2,0.0004092704424510632,-0.040424298495054245,0.25830078125,0.0038979778400971554,0.017484678,-0.004229307174682617,-0.02870208755484782,0.9723750352859497,-2.238341904761905,1257.0
22,1224,55,28160,864,-43.044697999954224,0.2,0.0004092704424510632,-0.044472627341747284,0.2642822265625,0.0051222553447587416,0.02025406,0.00613325834274292,-0.035204837360652164,0.9709129929542542,-2.241104590909091,1257.0
23,1224,56,28672,880,-42.99602746963501,0.2,0.0004092704424510632,0.006692215800285339,0.248779296875,0.049466411175671965,0.028990373,0.0011836886405944824,-0.017639204786974005,0.970086395740509,-2.241104590909091,1257.0
23,1224,57,29184,896,-43.00470840930939,0.2,0.0004092704424510632,-0.0359964482486248,0.21875,0.003977992048021406,0.017299391,-0.004338264465332031,-0.021882924338569865,0.9715020060539246,-2.2427737826086958,1257.0
24,1224,58,29696,912,-43.042189717292786,0.2,0.0004092704424510632,0.051993660628795624,0.2564697265625,0.20650449488312006,0.021204185,0.0004355907440185547,-0.02548075295635499,0.9717883467674255,-2.2427737826086958,1257.0
24,1224,59,30208,928,-43.01750099658966,0.2,0.0004092704424510632,-0.03570455312728882,0.2435302734375,0.0027584457711782306,0.022943027,-0.19147264957427979,-0.025899701999151148,0.9703382849693298,-2.2445109999999997,1257.0
25,1224,60,30720,944,-42.952000975608826,0.2,0.0004092704424510632,0.07730823755264282,0.2294921875,0.215947724878788,0.020694384,9.274482727050781e-05,-0.02522909434628673,0.9672126173973083,-2.2445109999999997,1257.0
25,1224,61,31232,960,-42.88631880283356,0.2,0.0004092704424510632,-0.022737743332982063,0.228515625,0.004168513922195416,0.021130733,-0.001881718635559082,-0.02052031538914889,0.9676507711410522,-2.2445109999999997,1257.0
25,1224,62,31744,976,-42.92615580558777,0.2,0.0004092704424510632,-0.041135624051094055,0.2681884765625,0.003864272737700958,0.021274408,2.086162567138672e-05,-0.0272541780868778,0.9689628481864929,-2.24237044,1257.0
26,1224,63,32256,992,-42.959100008010864,0.2,0.0004092704424510632,0.0776214599609375,0.299072265625,0.22428161092102528,0.029384397,4.9054622650146484e-05,-0.03277705830987543,0.9690663814544678,-2.24237044,1257.0
26,1224,64,32768,1008,-42.94332253932953,0.2,0.0004092704424510632,-0.03226171433925629,0.217041015625,0.0019285998932900839,0.018005908,-0.0004094839096069336,-0.02368813795328606,0.9686012864112854,-2.2409731923076923,1257.0
27,1224,65,33280,1024,-42.90888214111328,0.2,0.0004092704424510632,0.049791499972343445,0.231689453125,0.20710739493370056,0.023754304,9.006261825561523e-05,-0.02950022486038506,0.9667103886604309,-2.2409731923076923,1257.0
27,1224,66,33792,1040,-42.87160301208496,0.2,0.0004092704424510632,-0.05953755974769592,0.2703857421875,0.004428606996953022,0.02330556,-0.0017385482788085938,-0.03264631021011155,0.9671236276626587,-2.2409731923076923,1257.0
28,1224,67,34304,1056,-42.91487395763397,0.2,0.0004092704424510632,-0.023167571052908897,0.206298828125,0.0032230296565103345,0.02137551,4.929304122924805e-05,-0.02251427707960829,0.9691936373710632,-2.2377021481481485,1257.0
