time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
147456,36,1986,141,0.12255859375,0.0004092704424510632,0.04155302047729492,4592,0.012334464,-43.07519543170929,0.19154719822108746,0.2,0.3829038143157959,-0.014213878544978797,0.9779715538024902,1223.0,-2.4405731
147968,36,1986,142,0.274169921875,0.0004092704424510632,-0.015496985986828804,4608,0.023471253,-43.08516299724579,0.04622681252658367,0.2,-0.029434680938720703,-0.027901190682314336,0.9790539741516113,1223.0,-2.4405731
148480,36,1986,143,0.1900634765625,0.0004092704424510632,0.04852573946118355,4624,0.013980538,-43.12634539604187,0.1408463593106717,0.2,0.6653764247894287,-0.018895801535109058,0.9800122380256653,1223.0,-2.4419310000000003
148992,37,1986,144,0.3125,0.0004092704424510632,-0.021489113569259644,4640,0.029761102,-43.130454301834106,0.044037138286512345,0.2,0.8707351684570312,-0.025295859581092373,0.9793701767921448,1223.0,-2.4419310000000003
149504,37,1986,145,0.2830810546875,0.0004092704424510632,-0.013883760198950768,4656,0.020400628,-43.11478888988495,0.05338581604883075,0.2,-2.6296303272247314,-0.029264130556839518,0.9798604846000671,1223.0,-2.44249962
150016,37,1986,146,0.1270751953125,0.0004092704424510632,0.02898356132209301,4672,0.019982245,-43.13166379928589,0.15120883914642036,0.2,0.4768926501274109,-0.018388029755442403,0.9802333116531372,1223.0,-2.44249962
150528,37,1986,147,0.2142333984375,0.0004092704424510632,-0.012716548517346382,4688,0.018414915,-43.12332558631897,0.04653030342888087,0.2,-0.9922870397567749,-0.02035968183190562,0.9796398282051086,1223.0,-2.4443276999999997
151040,0,4029,1,0.0958251953125,0.0004092704424510632,0.025901321321725845,4704,0.0129602635,-43.096678018569946,0.18576674908399582,0.2,0.5126461982727051,-0.01386432274011895,0.9791653156280518,1223.0,-2.4443276999999997
151552,0,2663,2,0.2325439453125,0.0004092704424510632,-0.0037807393819093704,4720,0.014785076,-43.08055293560028,0.044284565723501146,0.2,0.023193001747131348,-0.021369753492763266,0.9786285161972046,1223.0,-2.4443276999999997
152064,0,2387,3,0.3116455078125,0.0004092704424510632,-0.04127559810876846,4736,0.03393361,-43.10826241970062,0.011257379868766293,0.2,-1.891432285308838,-0.028510445830761455,0.9815061092376709,1223.0,-2.44701114
152576,0,2265,4,0.141357421875,0.0004092704424510632,-0.0043365731835365295,4752,0.016790327,-43.1924786567688,0.21756384195759892,0.2,0.16472655534744263,-0.02072363841580227,0.982722818851471,1223.0,-2.44701114
153088,1,2208,5,0.25537109375,0.0004092704424510632,-0.02383819967508316,4768,0.023739262,-43.21562194824219,0.03125777724198997,0.2,-3.4015445709228516,-0.022735036312951706,0.983629047870636,1223.0,-2.44804072
153600,1,2165,6,0.073486328125,0.0004092704424510632,0.019394828006625175,4784,0.010526071,-43.22990810871124,0.20199158368632197,0.2,0.3989567756652832,-0.011964025288762059,0.9839340448379517,1223.0,-2.44804072
154112,1,2137,7,0.302490234375,0.0004092704424510632,-0.013478209264576435,4800,0.027142556,-43.24576795101166,0.030578831967432052,0.2,-1.0216622352600098,-0.028471282334066927,0.9849749207496643,1223.0,-2.4486594999999998
154624,1,2115,8,0.08984375,0.0004092704424510632,0.08045291155576706,4816,0.014425372,-43.2689471244812,0.22045522090047598,0.2,0.5756090879440308,-0.012313483603065833,0.984832763671875,1223.0,-2.4486594999999998
155136,2,2100,9,0.2200927734375,0.0004092704424510632,-0.03531898930668831,4832,0.014104318,-43.239856123924255,0.009392566033056937,0.2,-4.1632981300354,-0.02657305053435266,0.9827934503555298,1223.0,-2.4486594999999998
155648,2,2088,10,0.220703125,0.0004092704424510632,-0.032706379890441895,4848,0.01566568,-43.19456171989441,0.003114110146270832,0.2,-0.105185866355896,-0.020532456968794577,0.9812760353088379,1223.0,-2.45079321
156160,2,2079,11,0.1024169921875,0.0004092704424510632,0.022992584854364395,4864,0.016445462,-43.16014778614044,0.2706490324344486,0.2,0.1444048285484314,-0.019597880716901273,0.9809476137161255,1223.0,-2.45079321
156672,2,2071,12,0.15576171875,0.0004092704424510632,-0.0042772311717271805,4880,0.016297296,-43.153974175453186,0.07793659146409482,0.2,-2.219789981842041,-0.016644224946503527,0.9806144833564758,1223.0,-2.45296196
157184,3,2063,13,0.0865478515625,0.0004092704424510632,0.011927865445613861,4896,0.01699039,-43.13623070716858,0.2033177693374455,0.2,0.48342186212539673,-0.015186882243142463,0.9804390668869019,1223.0,-2.45296196
157696,3,2058,14,0.233154296875,0.0004092704424510632,-0.018724948167800903,4912,0.018024394,-43.124372363090515,0.019608825066825375,0.2,-0.6071040630340576,-0.018703532914514653,0.9800219535827637,1223.0,-2.45296196
158208,3,2053,15,0.244384765625,0.0004092704424510632,-0.03460438922047615,4928,0.019527763,-43.112226605415344,0.006547592944116332,0.2,-1.2214908599853516,-0.020623614400392398,0.9797114133834839,1223.0,-2.4527471400000005
158720,3,2048,16,0.1578369140625,0.0004092704424510632,-0.0002240147441625595,4944,0.021248808,-43.106658935546875,0.21999931102618575,0.2,0.1325364112854004,-0.0241692719864659,0.9792954921722412,1223.0,-2.4527471400000005
159232,4,2043,17,0.229736328125,0.0004092704424510632,-0.01287635788321495,4960,0.020935165,-43.08238744735718,0.06939729442819953,0.2,-2.326188802719116,-0.021470011211931705,0.9784677624702454,1223.0,-2.45289044
159744,4,2039,18,0.165283203125,0.0004092704424510632,0.011304162442684174,4976,0.01994811,-43.069103479385376,0.1557892207056284,0.2,0.39954453706741333,-0.0207587668846827,0.9786185026168823,1223.0,-2.45289044
160256,4,2036,19,0.334228515625,0.0004092704424510632,-0.03519508242607117,4992,0.04054305,-43.09557795524597,0.031261409691069275,0.2,-1.4963557720184326,-0.03178191347979009,0.9797204732894897,1223.0,-2.45349231
160768,5,2034,20,0.1478271484375,0.0004092704424510632,0.04277607426047325,5008,0.017608844,-43.11310076713562,0.1870001999195665,0.2,0.5577007532119751,-0.01780452358070761,0.9798352122306824,1223.0,-2.45349231
161280,5,2033,21,0.310546875,0.0004092704424510632,-0.04462919756770134,5024,0.025255194,-43.10688877105713,0.00611828341789078,0.2,-2.5338454246520996,-0.032308094028849155,0.9798761010169983,1223.0,-2.45349231
161792,5,2030,22,0.288330078125,0.0004092704424510632,-0.0380241684615612,5040,0.02196343,-43.12230622768402,0.0024789847011561505,0.2,-0.05352294445037842,-0.029247397818835452,0.9813105463981628,1223.0,-2.44960372
162304,5,2029,23,0.17578125,0.0004092704424510632,0.0040358565747737885,5056,0.020492785,-43.158698201179504,0.20259686571080238,0.2,0.14666229486465454,-0.02057184642762877,0.9819245338439941,1223.0,-2.44960372
162816,6,2027,24,0.284912109375,0.0004092704424510632,-0.025493714958429337,5072,0.020644385,-43.19040107727051,0.0309871073695831,0.2,-2.507220983505249,-0.02606869224109687,0.9840899109840393,1223.0,-2.44894817
163328,6,2024,25,0.108642578125,0.0004092704424510632,0.01103675365447998,5088,0.0142595675,-43.24919354915619,0.1660934961400926,0.2,0.5023519992828369,-0.012894353872979991,0.9848194718360901,1223.0,-2.44894817
163840,6,2023,26,0.26513671875,0.0004092704424510632,-0.012329518795013428,5104,0.016927872,-43.268359899520874,0.04808156250510365,0.2,0.18547171354293823,-0.02563213076791726,0.985679030418396,1223.0,-2.44894817
164352,6,2020,27,0.290283203125,0.0004092704424510632,-0.003317486494779587,5120,0.023264676,-43.28577542304993,0.06612813484389335,0.2,0.2654237151145935,-0.027029506032704376,0.9846616983413696,1223.0,-2.4497682999999997
164864,7,2020,28,0.202392578125,0.0004092704424510632,-0.008988095447421074,5136,0.033605937,-43.249491810798645,0.07322309631854296,0.2,0.6964849829673767,-0.020656405918998644,0.9840028882026672,1223.0,-2.4497682999999997
165376,7,2018,29,0.2576904296875,0.0004092704424510632,-0.017205210402607918,5152,0.021312319,-43.2426221370697,0.05002170742955059,0.2,-2.3544633388519287,-0.024589067237684503,0.9844208359718323,1223.0,-2.4478015099999997
