time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
18944,37,9,1977,0.004756280482979491,0.0004092704424510632,-0.021263514237944037,-0.028302159160375595,0.015429489,0.193115234375,576,0.9716413021087646,0.2,-43.03843414783478,-3.4861350059509277,1257.0,-2.9659612
19456,38,9,1976,0.16499812388792634,0.0004092704424510632,-0.026058792864205316,0.02327577769756317,0.02267214,0.2640380859375,592,0.9723753333091736,0.2,-43.086989879608154,0.01953566074371338,1257.0,-2.9659612
19968,39,10,1975,0.014319688227260485,0.0004092704424510632,-0.02167764722253196,-0.024229947477579117,0.01897048,0.1807861328125,608,0.9730680584907532,0.2,-43.100802063941956,-0.11292445659637451,1257.0,-2.9659612
20480,40,10,1975,0.005747352057369426,0.0004092704424510632,-0.023382074243272655,-0.03944099321961403,0.01516,0.19287109375,624,0.9751322865486145,0.2,-43.14096450805664,0.0002129077911376953,1257.0,-2.9634651875
20992,41,10,1974,0.22025870392099023,0.0004092704424510632,-0.026405445474665612,0.046947550028562546,0.029152777,0.294677734375,640,0.9755581021308899,0.2,-43.18858337402344,0.01139456033706665,1257.0,-2.9634651875
21504,42,10,1974,0.005490535659191664,0.0004092704424510632,-0.027211581269511953,-0.03125592693686485,0.017795024,0.240966796875,656,0.9747064709663391,0.2,-43.17642664909363,-3.5571017265319824,1257.0,-2.9616541764705886
22016,43,11,1974,0.23316033883020282,0.0004092704424510632,-0.01742552311043255,0.0845135897397995,0.01699124,0.2130126953125,672,0.9730210304260254,0.2,-43.13272786140442,0.017045319080352783,1257.0,-2.9616541764705886
22528,44,11,1973,0.030244744149968028,0.0004092704424510632,-0.02654376096324995,-0.021043235436081886,0.016833238,0.2181396484375,688,0.9709314107894897,0.2,-43.07899820804596,-0.22593212127685547,1257.0,-2.9616541764705886
23040,45,11,1972,0.005434122795122676,0.0004092704424510632,-0.025219887058483437,-0.04221028834581375,0.01614947,0.21240234375,704,0.9699731469154358,0.2,-43.01529622077942,0.003280460834503174,1257.0,-2.967273944444445
23552,46,11,1972,0.29908480029553175,0.0004092704424510632,-0.024005637445952743,0.029736872762441635,0.023353701,0.2349853515625,720,0.9703786969184875,0.2,-43.010974764823914,0.014833211898803711,1257.0,-2.967273944444445
