time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
189952,1764,77,22,0.02427606741548516,-43.24014973640442,0.2,-2.4895670413970947,0.2652587890625,-0.02792191514163278,-0.03104430064558983,0.9830045104026794,0.021717295,0.0004092704424510632,5920,1257.0,-2.45884014
190464,1763,78,22,1.3685629796236753,-43.23602843284607,0.2,0.45025402307510376,0.044677734375,-0.00488864399085287,0.1819940209388733,0.9830822348594666,0.008796054,0.0004092704424510632,5936,1257.0,-2.45884014
190976,1763,79,22,0.03799974441062659,-43.271597266197205,0.2,0.06907087564468384,0.328369140625,-0.03364840749418363,-0.028808224946260452,0.9859545230865479,0.031446625,0.0004092704424510632,5952,1257.0,-2.45884014
191488,1763,80,23,0.0710968126077205,-43.32778215408325,0.2,0.4019068479537964,0.2574462890625,-0.02621374164300505,-0.004347614943981171,0.9853611588478088,0.015746076,0.0004092704424510632,5968,1257.0,-2.4583933099999995
192000,1762,81,23,0.9223891869187355,-43.292803168296814,0.2,0.7474733591079712,0.00830078125,-0.003844009348540567,0.5244808793067932,0.9850192666053772,0.0045584505,0.0004092704424510632,5984,1257.0,-2.4583933099999995
192512,1762,82,23,0.376060928683728,-43.29553008079529,0.2,-2.091338872909546,0.14501953125,-0.01687921457050834,0.10972878336906433,0.9854080677032471,0.023764774,0.0004092704424510632,6000,1257.0,-2.45899033
193024,1762,83,24,1.0223445110023022,-43.30723702907562,0.2,0.8388457894325256,0.021240234375,-0.006940256607776973,0.4916740953922272,0.9856852889060974,0.0066992906,0.0004092704424510632,6016,1257.0,-2.45899033
193536,1762,84,24,0.320219817571342,-43.3056423664093,0.2,0.16084891557693481,0.1993408203125,-0.021862874244106933,0.10364970564842224,0.9852026700973511,0.031772956,0.0004092704424510632,6032,1257.0,-2.45899033
194048,1762,85,24,1.2089909464120865,-43.289093375205994,0.2,0.7534674406051636,0.178466796875,-0.014933479789760895,0.551986038684845,0.9849217534065247,0.019155785,0.0004092704424510632,6048,1257.0,-2.4575801399999997
194560,1762,86,24,0.15057523688301444,-43.294466614723206,0.2,0.9763018488883972,0.189453125,-0.018504806357668713,0.05891472101211548,0.9854469299316406,0.019589938,0.0004092704424510632,6064,1257.0,-2.4575801399999997
195072,1762,87,25,0.08823881181888282,-43.31465768814087,0.2,-3.2166967391967773,0.26904296875,-0.02388225346658146,0.0018306821584701538,0.9862575531005859,0.021169486,0.0004092704424510632,6080,1257.0,-2.45513858
195584,1762,88,25,1.1260898653417826,-43.328256130218506,0.2,0.5487903356552124,0.088134765625,-0.009597473152098246,0.24698884785175323,0.9864360690116882,0.009476822,0.0004092704424510632,6096,1257.0,-2.45513858
196096,1761,89,25,0.04335916426498443,-43.32186579704285,0.2,-0.5393656492233276,0.310791015625,-0.03200669201032724,-0.026536328718066216,0.9856981635093689,0.028596774,0.0004092704424510632,6112,1257.0,-2.4555231899999996
196608,1760,90,26,1.1850187368690968,-43.30260634422302,0.2,0.7746720314025879,0.0185546875,-0.00707233229331905,0.23679301142692566,0.9854491353034973,0.0061850715,0.0004092704424510632,6128,1257.0,-2.4555231899999996
197120,1759,91,26,0.014103202818660066,-43.28925919532776,0.2,-2.9790310859680176,0.209228515625,-0.020655641856137663,-0.018085118383169174,0.9846102595329285,0.015646398,0.0004092704424510632,6144,1257.0,-2.4555231899999996
197632,1757,92,26,0.006245313663384877,-43.263694524765015,0.2,-0.011319637298583984,0.280517578125,-0.027034922532038763,-0.03962566331028938,0.9837422370910645,0.01740022,0.0004092704424510632,6160,1257.0,-2.45687473
198144,1755,93,27,1.6980521939694881,-43.24046754837036,0.2,0.06923234462738037,0.2080078125,-0.011625605926383287,0.10678140074014664,0.9833468794822693,0.0160347,0.0004092704424510632,6176,1257.0,-2.45687473
198656,1753,94,27,0.007814461750967894,-43.186652183532715,0.2,-1.724973201751709,0.2672119140625,-0.025442104291869327,-0.029603851959109306,0.9797215461730957,0.022674304,0.0004092704424510632,6192,1257.0,-2.45747247
199168,1751,95,27,1.1229254803620279,-43.09367346763611,0.2,0.27333182096481323,0.0489501953125,-0.011691298321238719,0.2298692762851715,0.9785009622573853,0.010421315,0.0004092704424510632,6208,1257.0,-2.45747247
199680,1750,96,28,0.013136739740730263,-43.08682918548584,0.2,-2.24873948097229,0.1978759765625,-0.020548298503854312,-0.03208436816930771,0.9791978001594543,0.012856288,0.0004092704424510632,6224,1257.0,-2.45747247
200192,1748,97,28,0.005452859622891992,-43.10781908035278,0.2,-0.05133461952209473,0.29638671875,-0.03189831678173505,-0.03622261807322502,0.979526162147522,0.023869302,0.0004092704424510632,6240,1257.0,-2.45729434
200704,1748,98,28,1.5991573389619589,-43.1071902513504,0.2,0.2441505789756775,0.0277099609375,-0.010364008761825971,0.12051191926002502,0.9796761274337769,0.0070113833,0.0004092704424510632,6256,1257.0,-2.45729434
201216,1748,99,28,0.013829505653120577,-43.09465754032135,0.2,-2.7807164192199707,0.2860107421875,-0.032152675616089255,-0.043393585830926895,0.978359580039978,0.023850853,0.0004092704424510632,6272,1257.0,-2.45464334
201728,1748,100,29,1.6492298496887088,-43.06247639656067,0.2,0.45450466871261597,0.0318603515625,-0.001391741054248996,0.34315621852874756,0.9778938293457031,0.0047344426,0.0004092704424510632,6288,1257.0,-2.45464334
202240,1748,101,29,0.006129630564828403,-43.065598368644714,0.2,-0.5948231220245361,0.255615234375,-0.023703531740466133,-0.04044284671545029,0.9785056710243225,0.01968389,0.0004092704424510632,6304,1257.0,-2.45464334
202752,1748,102,29,0.006380656224791892,-43.07913339138031,0.2,0.01590520143508911,0.2176513671875,-0.02579845389118418,-0.0373280793428421,0.9784783720970154,0.013919149,0.0004092704424510632,6320,1257.0,-2.45501425
203264,1748,103,30,1.4582087979651988,-43.07628691196442,0.2,0.2471199631690979,0.05322265625,-0.0034788054617820308,0.13276870548725128,0.9784999489784241,0.00727629,0.0004092704424510632,6336,1257.0,-2.45501425
203776,1747,104,30,0.02277066488750279,-43.07465577125549,0.2,-2.580979824066162,0.2974853515625,-0.03274488402530551,-0.03557255491614342,0.9783549308776855,0.041280545,0.0004092704424510632,6352,1257.0,-2.4554831500000005
204288,1747,105,30,1.1794334365986288,-43.062257409095764,0.2,0.4122806787490845,0.040283203125,0.0035459309146972373,0.31372010707855225,0.9781724810600281,0.005688576,0.0004092704424510632,6368,1257.0,-2.4554831500000005
204800,1746,106,31,0.024792036332655698,-43.05048632621765,0.2,-1.7657904624938965,0.2305908203125,-0.02718041393382009,-0.03348772972822189,0.9776831865310669,0.019872341,0.0004092704424510632,6384,1257.0,-2.4554831500000005
205312,1746,107,31,0.0063279319438152015,-43.04937493801117,0.2,0.3259947896003723,0.287841796875,-0.033314910979242995,-0.03267836943268776,0.9782609343528748,0.02324609,0.0004092704424510632,6400,1257.0,-2.4540941400000005
205824,1746,108,31,0.9732826389372349,-43.082093358039856,0.2,0.49010908603668213,0.0367431640625,-0.006011411573126679,0.20443250238895416,0.9787043333053589,0.008143017,0.0004092704424510632,6416,1257.0,-2.4540941400000005
206336,1745,109,31,0.0263405256846454,-43.08406686782837,0.2,-2.6907801628112793,0.226318359375,-0.020356424633064307,-0.014713659882545471,0.978308916091919,0.017432587,0.0004092704424510632,6432,1257.0,-2.4516370700000003
206848,1745,110,32,0.9909423440694809,-43.06911754608154,0.2,0.3256804943084717,0.052734375,-0.0055873457895359024,0.15208999812602997,0.9782983064651489,0.0069382954,0.0004092704424510632,6448,1257.0,-2.4516370700000003
