time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1318,62,31744,24,0.014401448,-0.030117874965071678,0.2,0.0004092704424510632,-0.021029723939136602,0.19921875,0.9620413780212402,976,-0.11750102043151855,0.0030357129144249484,-42.71448373794556,1258.0,-2.26807344
1318,63,32256,24,0.017454723,0.029856540262699127,0.2,0.0004092704424510632,-0.020256505580618978,0.1688232421875,0.961182713508606,992,0.07488662004470825,0.15980449062772095,-42.72272181510925,1258.0,-2.26807344
1317,64,32768,24,0.0121476855,-0.03469209372997284,0.2,0.0004092704424510632,-0.022735656399163418,0.188720703125,0.962928056716919,1008,-3.9421591758728027,0.006938515143701807,-42.72200560569763,1258.0,-2.2649340384615386
1317,65,33280,25,0.01818569,0.03414013981819153,0.2,0.0004092704424510632,-0.017971726483665407,0.1549072265625,0.9641954898834229,1024,0.14195513725280762,0.18754476984031498,-42.79301989078522,1258.0,-2.2649340384615386
1317,66,33792,25,0.015310269,-0.03369086608290672,0.2,0.0004092704424510632,-0.024426244490314275,0.2349853515625,0.9647369980812073,1040,-10.096295356750488,0.015101692093594465,-42.81539535522461,1258.0,-2.2649340384615386
1316,67,34304,26,0.018144034,-0.03962889313697815,0.2,0.0004092704424510632,-0.024478939318214543,0.2266845703125,0.9659319519996643,1056,0.11652255058288574,0.005663336523866747,-42.843753695487976,1258.0,-2.263484962962963
1316,68,34816,26,0.031909805,0.0101911760866642,0.2,0.0004092704424510632,-0.03058520591002889,0.2796630859375,0.9663746356964111,1072,0.043979644775390625,0.2290070301387459,-42.871835231781006,1258.0,-2.263484962962963
1316,69,35328,26,0.014266949,-0.018686264753341675,0.2,0.0004092704424510632,-0.021200586517807096,0.20947265625,0.9652395844459534,1088,-1.984065055847168,0.014968310890253633,-42.86171579360962,1258.0,-2.25782925
1316,70,35840,27,0.026848044,0.025540165603160858,0.2,0.0004092704424510632,-0.02504838637833018,0.1976318359375,0.9652773141860962,1104,0.284212589263916,0.22799721430055797,-42.83363628387451,1258.0,-2.25782925
1316,71,36352,27,0.01626719,-0.0352175198495388,0.2,0.0004092704424510632,-0.024293071750435047,0.2022705078125,0.9653126001358032,1120,-11.31192684173584,0.012050655823259149,-42.835633993148804,1258.0,-2.25782925
1316,72,36864,28,0.019542504,-0.04068848863244057,0.2,0.0004092704424510632,-0.028972659609280527,0.2474365234375,0.9660895466804504,1136,0.10212081670761108,0.004567193107504863,-42.85149657726288,1258.0,-2.2575715172413795
