time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1761,25,88,45056,0.2808837890625,0.00694826987455599,0.0004092704424510632,-0.414575457572937,1392,0.2,-43.8268940448761,-0.034817636013031006,-0.02543003423488699,0.018960454,0.9968040585517883,-2.1585824285714286,1258.0
1761,25,89,45568,0.2802734375,0.004029856681881938,0.0004092704424510632,0.06907147169113159,1408,0.2,-43.80097258090973,-0.04251427948474884,-0.03156640566885471,0.017959878,0.9960281252861023,-2.1586053055555556,1258.0
1764,26,90,46080,0.1373291015625,0.21237481641583145,0.0004092704424510632,0.367347776889801,1424,0.2,-43.782695174217224,-0.0011080987751483917,-0.021514386316994205,0.016575702,0.9957790970802307,-2.1586053055555556,1258.0
1764,26,91,46592,0.263916015625,0.003577076531655621,0.0004092704424510632,-7.802679061889648,1440,0.2,-43.75536894798279,-0.03905044123530388,-0.029557341302279383,0.019937962,0.9936923384666443,-2.165798756756757,1258.0
1763,26,92,47104,0.224853515625,0.31616673059761524,0.0004092704424510632,0.05961042642593384,1456,0.2,-43.71141278743744,0.01578349992632866,-0.02568352679372765,0.021326382,0.9936293959617615,-2.165798756756757,1258.0
1763,27,93,47616,0.328857421875,0.007285969593795016,0.0004092704424510632,-2.2821907997131348,1472,0.2,-43.7053108215332,-0.042477019131183624,-0.032226713898126036,0.024026526,0.9921239018440247,-2.165798756756757,1258.0
1762,27,94,48128,0.24267578125,0.003518860714393668,0.0004092704424510632,0.04633873701095581,1488,0.2,-43.663326263427734,-0.03039832040667534,-0.02510844307835214,0.019996706,0.9920114278793335,-2.165138368421053,1258.0
1762,27,95,48640,0.218505859375,0.3934809030033648,0.0004092704424510632,0.17966574430465698,1504,0.2,-43.666648864746094,0.011417429894208908,-0.023234912514453754,0.026346162,0.9919764399528503,-2.165138368421053,1258.0
1762,27,96,49152,0.253173828125,0.02821548040083144,0.0004092704424510632,-10.1483793258667,1520,0.2,-43.6503324508667,-0.04023103415966034,-0.0270729016920086,0.026299985,0.9905907511711121,-2.1686068461538466,1258.0
1762,28,97,49664,0.12890625,0.3187475628219545,0.0004092704424510632,0.1588573455810547,1536,0.2,-43.611207008361816,0.03006136417388916,-0.020864373684162274,0.020921517,0.9902245402336121,-2.1686068461538466,1258.0
1761,28,98,50176,0.281494140625,0.011357997194863856,0.0004092704424510632,-1.16804838180542,1552,0.2,-43.63445806503296,-0.042026810348033905,-0.030040464305784553,0.02190356,0.9919599890708923,-2.1686068461538466,1258.0
1760,28,99,50688,0.1746826171875,0.0045028898675809614,0.0004092704424510632,0.04939907789230347,1568,0.2,-43.680201053619385,-0.018173174932599068,-0.02040671554277651,0.012224301,0.9927924275398254,-2.168251025,1258.0
1760,29,100,51200,0.1123046875,0.245875172666274,0.0004092704424510632,0.28146713972091675,1584,0.2,-43.68375849723816,0.015718325972557068,-0.019997428607894108,0.015835661,0.9924784898757935,-2.168251025,1258.0
1760,29,101,51712,0.252197265625,0.03842308814637363,0.0004092704424510632,-0.6888457536697388,1600,0.2,-43.67542767524719,-0.021170109510421753,-0.025425016734516248,0.022277549,0.9926124811172485,-2.1701426585365855,1258.0
1760,29,102,52224,0.155517578125,0.22611977835185826,0.0004092704424510632,0.30101436376571655,1616,0.2,-43.67509460449219,0.008658137172460556,-0.01906062943453435,0.01779962,0.992323100566864,-2.1701426585365855,1258.0
1763,29,103,52736,0.2783203125,0.014730415889061987,0.0004092704424510632,-1.4672918319702148,1632,0.2,-43.66870880126953,-0.03486303240060806,-0.027453105692984536,0.0304747,0.9920152425765991,-2.1701426585365855,1258.0
1765,30,104,53248,0.2283935546875,0.0038558444066438824,0.0004092704424510632,0.043245792388916016,1648,0.2,-43.652138471603394,-0.04407898709177971,-0.024272469658171758,0.015933242,0.9909313321113586,-2.1685963333333333,1258.0
1768,30,105,53760,0.0831298828125,0.2364688899833709,0.0004092704424510632,0.37052100896835327,1664,0.2,-43.617316484451294,0.011876523494720459,-0.013499032676918432,0.015491977,0.9897571802139282,-2.1685963333333333,1258.0
1769,30,106,54272,0.230712890625,0.00827334210043773,0.0004092704424510632,-4.308675765991211,1680,0.2,-43.58510959148407,-0.03197638317942619,-0.024865965475328267,0.017508462,0.9895153045654297,-2.170819418604651,1258.0
1771,30,107,54784,0.133544921875,0.24422735441476107,0.0004092704424510632,0.33802396059036255,1696,0.2,-43.595465302467346,0.023516397923231125,-0.02084680047846632,0.021016825,0.9896645545959473,-2.170819418604651,1258.0
1772,31,108,55296,0.275390625,0.007143362388887908,0.0004092704424510632,-4.005309104919434,1712,0.2,-43.57926046848297,-0.03273343667387962,-0.02678738921531476,0.02292221,0.9887565970420837,-2.170819418604651,1258.0
1774,31,109,55808,0.3016357421875,0.005824523119372316,0.0004092704424510632,0.29448556900024414,1728,0.2,-43.58334159851074,-0.041916705667972565,-0.030667180340969935,0.020555142,0.990251898765564,-2.172363522727273,1258.0
1777,31,110,56320,0.1165771484375,0.14952319371514022,0.0004092704424510632,0.5124465227127075,1744,0.2,-43.62554669380188,0.00876367837190628,-0.016245330407400616,0.02006699,0.990412175655365,-2.172363522727273,1258.0
1779,31,111,56832,0.2879638671875,0.01952906313817948,0.0004092704424510632,-0.6396133899688721,1760,0.2,-43.64757692813873,-0.03193628787994385,-0.02809555720887147,0.02703271,0.9927102327346802,-2.1752093333333336,1258.0
1782,32,112,57344,0.0916748046875,0.33511020173318684,0.0004092704424510632,0.5029786825180054,1776,0.2,-43.71713173389435,0.031184246763586998,-0.014172947376209777,0.013868055,0.993964433670044,-2.1752093333333336,1258.0
1784,32,113,57856,0.27490234375,0.005492771160788834,0.0004092704424510632,-5.29632568359375,1792,0.2,-43.73207652568817,-0.0368010587990284,-0.02686233182612341,0.023532826,0.9937036633491516,-2.1752093333333336,1258.0
1786,32,114,58368,0.2645263671875,0.016993772092973813,0.0004092704424510632,0.30703747272491455,1808,0.2,-43.718517541885376,-0.020508844405412674,-0.027626904266071506,0.018290447,0.993569552898407,-2.1738760000000004,1258.0
1788,32,115,58880,0.3101806640625,0.20538489567115903,0.0004092704424510632,0.2965877652168274,1824,0.2,-43.71293497085571,-0.007804214954376221,-0.02174444412230514,0.04356555,0.9935224056243896,-2.1738760000000004,1258.0
1790,33,116,59392,0.2872314453125,0.017486138647655025,0.0004092704424510632,-2.211742639541626,1840,0.2,-43.70588481426239,-0.024385761469602585,-0.028531443516840227,0.022162305,0.9929729700088501,-2.1745402340425533,1258.0
1792,33,117,59904,0.126220703125,0.267158052418381,0.0004092704424510632,0.3018375635147095,1856,0.2,-43.68985044956207,0.0013057254254817963,-0.01743774424539879,0.016144203,0.9930862784385681,-2.1745402340425533,1258.0
1794,33,118,60416,0.2313232421875,0.005466140013595577,0.0004092704424510632,-9.300342559814453,1872,0.2,-43.715086936950684,-0.029723986983299255,-0.021180726849706843,0.020151664,0.9944474101066589,-2.1762047916666667,1258.0
1793,33,119,60928,0.0765380859375,0.42430357448756695,0.0004092704424510632,0.14513421058654785,1888,0.2,-43.7491637468338,0.022635161876678467,-0.016639892477542162,0.013620429,0.9950791001319885,-2.1762047916666667,1258.0
1792,34,120,61440,0.267578125,0.004717665986390784,0.0004092704424510632,-4.168880939483643,1904,0.2,-43.7522406578064,-0.027902185916900635,-0.02440236987604294,0.019978931,0.9947155117988586,-2.1762047916666667,1258.0
1793,34,121,61952,0.2672119140625,0.004732798784971237,0.0004092704424510632,0.029816031455993652,1920,0.2,-43.73796188831329,-0.03932851925492287,-0.026234506425680593,0.016848806,0.9943797588348389,-2.172907795918367,1258.0
1794,34,122,62464,0.158447265625,0.35287668462842703,0.0004092704424510632,0.17305636405944824,1936,0.2,-43.7300568819046,0.033535465598106384,-0.021370402857428417,0.017840136,0.9941888451576233,-2.172907795918367,1258.0
1795,35,123,62976,0.2039794921875,0.023876237202784978,0.0004092704424510632,-16.959516525268555,1952,0.2,-43.71751022338867,-0.030899520963430405,-0.02227540683816187,0.019544978,0.9936615228652954,-2.17497218,1258.0
1797,35,124,63488,0.1363525390625,0.3597257253713906,0.0004092704424510632,0.2232527732849121,1968,0.2,-43.70066857337952,0.09025828540325165,-0.014634775594458915,0.018403951,0.9935538172721863,-2.17497218,1258.0
1797,35,125,64000,0.2261962890625,0.008789520841673948,0.0004092704424510632,-6.0669779777526855,1984,0.2,-43.716808795928955,-0.03497884422540665,-0.020522337166767102,0.019746251,0.9949988126754761,-2.17497218,1258.0
1798,35,126,64512,0.2716064453125,0.003912998574378435,0.0004092704424510632,0.018417537212371826,2000,0.2,-43.75218689441681,-0.04711604118347168,-0.02966725437727291,0.018821342,0.9953671097755432,-2.173291823529412,1258.0
1799,36,127,65024,0.121826171875,0.2714592607226223,0.0004092704424510632,0.27133744955062866,2016,0.2,-43.75235867500305,0.004806511104106903,-0.017753590262145735,0.015979368,0.9954449534416199,-2.173291823529412,1258.0
1798,36,128,65536,0.2396240234375,0.0545104913180694,0.0004092704424510632,-0.8118302822113037,2032,0.2,-43.76781713962555,-0.007578982040286064,-0.02338920383772347,0.01985535,0.996297299861908,-2.171048884615385,1258.0
1798,36,129,66048,0.125732421875,0.3324920099694282,0.0004092704424510632,0.17601805925369263,2048,0.2,-43.779675245285034,0.03698313236236572,-0.018153769080527127,0.018514626,0.9959254264831543,-2.171048884615385,1258.0
1797,37,130,66560,0.2591552734375,0.009962324067601003,0.0004092704424510632,-3.371922016143799,2064,0.2,-43.76164638996124,-0.02847050130367279,-0.02439147257246077,0.022635646,0.9956669211387634,-2.171048884615385,1258.0
