time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1302,33,84,43008,1328,0.2,0.019569688,0.0006382465362548828,-43.41437637805939,0.269287109375,-0.041134536266326904,0.004412262627738528,-0.032530678508919664,0.9853451251983643,0.0004092704424510632,-2.5162212058823528,1257.0
1302,33,85,43520,1344,0.2,0.018581241,0.0001552104949951172,-43.49367034435272,0.2008056640625,0.06909150630235672,0.23989550722762942,-0.022464525391114876,0.9870861768722534,0.0004092704424510632,-2.5162212058823528,1257.0
1302,33,86,44032,1360,0.2,0.017566245,0.0017336606979370117,-43.531800270080566,0.2216796875,-0.03385815769433975,0.004283016642148141,-0.02157211177109275,0.9880691766738892,0.0004092704424510632,-2.517836257142857,1257.0
1303,34,87,44544,1376,0.2,0.01726697,4.774332046508789e-05,-43.54683697223663,0.218505859375,0.04255428910255432,0.23027665028348565,-0.0233111277630087,0.9882514476776123,0.0004092704424510632,-2.517836257142857,1257.0
1304,34,88,45056,1392,0.2,0.016150583,-0.0016456842422485352,-43.5597608089447,0.2017822265625,-0.024275893345475197,0.0027614669925242197,-0.02203070931136608,0.9894466996192932,0.0004092704424510632,-2.517836257142857,1257.0
1304,34,89,45568,1408,0.2,0.018706724,0.0004558563232421875,-43.61561965942383,0.20849609375,-0.04019549861550331,0.0041991667822003365,-0.02472250560822431,0.9916557669639587,0.0004092704424510632,-2.5216270555555553,1257.0
1304,35,90,46080,1424,0.2,0.024624169,0.00011533498764038086,-43.65806543827057,0.2529296875,0.07912294566631317,0.23528737388551235,-0.02638784189184662,0.9914423823356628,0.0004092704424510632,-2.5216270555555553,1257.0
1304,35,91,46592,1440,0.2,0.017170459,-0.0004582405090332031,-43.64619755744934,0.2203369140625,-0.0357193723320961,0.004868509327934589,-0.02206396355177276,0.9915860891342163,0.0004092704424510632,-2.5200898648648646,1257.0
1304,36,92,47104,1456,0.2,0.015227761,7.62939453125e-05,-43.65703999996185,0.233642578125,0.07841887325048447,0.22092338930815458,-0.02656868431949988,0.9919039011001587,0.0004092704424510632,-2.5200898648648646,1257.0
1304,36,93,47616,1472,0.2,0.014024368,1.5974044799804688e-05,-43.66588866710663,0.2154541015625,-0.028780147433280945,0.002833330516295973,-0.025118600809946656,0.9921282529830933,0.0004092704424510632,-2.5200898648648646,1257.0
1304,36,94,48128,1488,0.2,0.016591363,0.00019794702529907227,-43.64677894115448,0.215576171875,-0.03859236091375351,0.0030854892975185066,-0.02323828943190165,0.9899163246154785,0.0004092704424510632,-2.520741447368421,1257.0
1304,37,95,48640,1504,0.2,0.021121286,0.00015157461166381836,-43.594799399375916,0.2276611328125,0.08985324203968048,0.23195627378299832,-0.025283294002292678,0.9894779324531555,0.0004092704424510632,-2.520741447368421,1257.0
1304,37,96,49152,1520,0.2,0.014451945,-0.00010097026824951172,-43.60697031021118,0.2279052734375,-0.042320895940065384,0.00485573287733132,-0.026878438715357333,0.9903409481048584,0.0004092704424510632,-2.5285007179487176,1257.0
1303,38,97,49664,1536,0.2,0.027209267,6.860494613647461e-05,-43.62009561061859,0.249755859375,0.0911945030093193,0.2232402148656547,-0.028628582949750125,0.9899579286575317,0.0004092704424510632,-2.5285007179487176,1257.0
1303,38,98,50176,1552,0.2,0.011044344,-0.0002765655517578125,-43.5867155790329,0.158447265625,-0.032467179000377655,0.003691115060064476,-0.018070249803713523,0.9886664748191833,0.0004092704424510632,-2.5285007179487176,1257.0
1303,38,99,50688,1568,0.2,0.023087475,-0.00019931793212890625,-43.55884850025177,0.2496337890625,-0.04014567285776138,0.002775613385892939,-0.02894950630434323,0.9881248474121094,0.0004092704424510632,-2.5240679249999998,1257.0
1303,39,100,51200,1584,0.2,0.017681807,0.00010585784912109375,-43.53520059585571,0.1976318359375,0.09177201241254807,0.2392409984022379,-0.021709952707169577,0.9872342944145203,0.0004092704424510632,-2.5240679249999998,1257.0
1303,39,101,51712,1600,0.2,0.015771082,0.0010226964950561523,-43.55587553977966,0.1807861328125,-0.031949300318956375,0.005729994722059928,-0.019993240632175002,0.9903865456581116,0.0004092704424510632,-2.5233681707317075,1257.0
1303,40,102,52224,1616,0.2,0.025638584,9.22083854675293e-05,-43.630696296691895,0.2593994140625,0.06705515831708908,0.22625350439921021,-0.0269158877490554,0.9905747175216675,0.0004092704424510632,-2.5233681707317075,1257.0
