time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
29696,58,1789,16,0.0004092704424510632,0.056838810443878174,912,0.2,0.22314453125,0.2279842020943761,0.9754682779312134,-43.18326711654663,0.021088686,0.09679438173770905,-0.02042713001719676,-2.676506,1258.0
30208,59,1788,16,0.0004092704424510632,-0.19568324089050293,928,0.2,0.217041015625,0.004130021323362598,0.9748011827468872,-43.16091310977936,0.018575631,-0.022793473675847054,-0.024188901312300004,-2.6777657500000003,1258.0
30720,60,1787,17,0.0004092704424510632,0.10822004079818726,944,0.2,0.26123046875,0.2281898483633995,0.9743221402168274,-43.145771741867065,0.025156826,0.06443490087985992,-0.02700369880767539,-2.6777657500000003,1258.0
31232,61,1786,17,0.0004092704424510632,-0.33827102184295654,960,0.2,0.223876953125,0.00542348726594355,0.9754226803779602,-43.14600384235382,0.016719598,-0.030701592564582825,-0.02475869216141291,-2.6777657500000003,1258.0
31744,62,1787,17,0.0004092704424510632,-0.08773112297058105,976,0.2,0.244384765625,0.003763043318031123,0.9756473302841187,-43.17556357383728,0.021230906,-0.021781470626592636,-0.026595069677568972,-2.67779224,1258.0
32256,63,1787,18,0.0004092704424510632,0.025439977645874023,992,0.2,0.20458984375,0.2517233733087778,0.9749481678009033,-43.16612231731415,0.019687481,0.09624083340167999,-0.020189318995107897,-2.67779224,1258.0
32768,64,1787,18,0.0004092704424510632,-3.535435676574707,1008,0.2,0.253662109375,0.0036038538164575584,0.9740637540817261,-43.14443242549896,0.0195348,-0.040833622217178345,-0.027273362182313576,-2.674532846153846,1258.0
33280,65,1787,18,0.0004092704424510632,0.03081721067428589,1024,0.2,0.159423828125,0.276105934754014,0.9725729823112488,-43.109134674072266,0.011601757,0.08590437471866608,-0.01896524545736611,-2.674532846153846,1258.0
33792,66,1786,18,0.0004092704424510632,-0.6824774742126465,1040,0.2,0.1519775390625,0.006248140576644801,0.9735996127128601,-43.08525621891022,0.011664463,-0.03403105214238167,-0.017647025146288797,-2.674532846153846,1258.0
34304,67,1785,19,0.0004092704424510632,0.2564755082130432,1056,0.2,0.296142578125,0.007570394336653408,0.9726961255073547,-43.105960845947266,0.023607988,-0.02711714804172516,-0.027578624765737914,-2.6784946296296295,1258.0
34816,68,1784,19,0.0004092704424510632,0.047073423862457275,1072,0.2,0.1544189453125,0.2960672890767455,0.9717369079589844,-43.05870819091797,0.017652895,0.08392240107059479,-0.01824312512326287,-2.6784946296296295,1258.0
35328,69,1784,19,0.0004092704424510632,-3.2565760612487793,1088,0.2,0.2017822265625,0.008011563368199859,0.9715932011604309,-43.04736614227295,0.014945737,-0.028118833899497986,-0.022550110355950892,-2.68001,1258.0
35840,70,1784,20,0.0004092704424510632,0.05492216348648071,1104,0.2,0.199951171875,0.2865866315551102,0.9715360999107361,-43.04173815250397,0.019953445,0.0681745857000351,-0.022703196882503107,-2.68001,1258.0
36352,71,1783,20,0.0004092704424510632,-3.847747802734375,1120,0.2,0.216552734375,0.009149424433417153,0.9713600873947144,-43.03332281112671,0.023882786,-0.04015103727579117,-0.025101619263296016,-2.68001,1258.0
36864,72,1783,20,0.0004092704424510632,0.0591663122177124,1136,0.2,0.2410888671875,0.011580882492125966,0.9704093337059021,-43.019986391067505,0.021090876,-0.040459878742694855,-0.02833873096096795,-2.6805334827586202,1258.0
37376,73,1783,20,0.0004092704424510632,0.012528717517852783,1152,0.2,0.2293701171875,0.3596296152099967,0.9687144160270691,-42.9682412147522,0.01765559,0.09348949044942856,-0.020559196855174378,-2.6805334827586202,1258.0
37888,74,1783,21,0.0004092704424510632,-3.4266228675842285,1168,0.2,0.1866455078125,0.008730793961149175,0.9692753553390503,-42.944714188575745,0.017769992,-0.03063373453915119,-0.020828069042181596,-2.6837720999999997,1258.0
38400,75,1783,21,0.0004092704424510632,0.03936821222305298,1184,0.2,0.1961669921875,0.39882984291762114,0.9691547155380249,-42.962973952293396,0.022157278,0.11325612664222717,-0.023194781359052286,-2.6837720999999997,1258.0
38912,76,1784,21,0.0004092704424510632,-4.235722541809082,1200,0.2,0.2855224609375,0.019632311072200537,0.9681366682052612,-42.94342613220215,0.027463917,-0.04158557206392288,-0.033337381024466595,-2.6837720999999997,1258.0
39424,77,1784,22,0.0004092704424510632,-0.250394344329834,1216,0.2,0.275634765625,0.01568476579268463,0.9670652151107788,-42.90760922431946,0.020525735,-0.03783004730939865,-0.025022873465786688,-2.6843889677419353,1258.0
39936,78,1784,22,0.0004092704424510632,0.13562530279159546,1232,0.2,0.1451416015625,0.33871407667174935,0.966597855091095,-42.875580072402954,0.015086064,0.07437723875045776,-0.01701547832635697,-2.6843889677419353,1258.0
40448,79,1785,22,0.0004092704424510632,-4.113085746765137,1248,0.2,0.2440185546875,0.008207394537748769,0.9656195640563965,-42.85891890525818,0.022543795,-0.03832283988595009,-0.028966825644602068,-2.68443059375,1258.0
40960,80,1785,22,0.0004092704424510632,0.02195531129837036,1264,0.2,0.22265625,0.3954735901206732,0.9643492102622986,-42.81718993186951,0.02598232,0.1555514633655548,-0.02519959023629781,-2.68443059375,1258.0
41472,81,1785,23,0.0004092704424510632,-2.328420877456665,1280,0.2,0.249755859375,0.013256979727884755,0.9647938013076782,-42.801713705062866,0.018715363,-0.04284345358610153,-0.02655592729570344,-2.68443059375,1258.0
41984,82,1785,23,0.0004092704424510632,-0.2602114677429199,1296,0.2,0.2369384765625,0.008086707603069954,0.964316725730896,-42.81191110610962,0.02249262,-0.03168425336480141,-0.021195861299929675,-2.681730878787879,1258.0
42496,83,1785,23,0.0004092704424510632,0.016002535820007324,1312,0.2,0.2764892578125,0.3837932897731662,0.9641297459602356,-42.79529106616974,0.029196013,0.16060279309749603,-0.023761609292705543,-2.681730878787879,1258.0
43008,84,1785,24,0.0004092704424510632,-6.557563304901123,1328,0.2,0.2156982421875,0.005169264732103329,0.9638553857803345,-42.78571653366089,0.017884396,-0.03351325914263725,-0.026355185138527304,-2.6833603235294117,1258.0
43520,85,1785,24,0.0004092704424510632,0.01749098300933838,1344,0.2,0.2933349609375,0.5239906515926123,0.9632421731948853,-42.77595293521881,0.03206268,0.12925198674201965,-0.03198499177233316,-2.6833603235294117,1258.0
44032,86,1785,24,0.0004092704424510632,-0.7331207990646362,1360,0.2,0.2081298828125,0.021579528838628903,0.9644228219985962,-42.77278733253479,0.014392115,-0.03215336427092552,-0.02328768560255412,-2.684535,1258.0
44544,87,1786,24,0.0004092704424510632,0.09612935781478882,1376,0.2,0.206787109375,0.46656723972409964,0.9654243588447571,-42.82111990451813,0.018025424,0.15990591049194336,-0.021802268354804255,-2.684535,1258.0
