time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1761,190976,79,22,-0.01415614876896143,-42.79851806163788,0.5763999223709106,-0.015792574020451866,5952,0.0862275741819758,0.2,0.0004092704424510632,0.028595544,0.9737988114356995,0.2200927734375,1258.0,-2.09978122
1761,191488,80,23,-0.03847634047269821,-42.82048499584198,-0.17361652851104736,-0.030097681024926715,5968,0.009330315151601098,0.2,0.0004092704424510632,0.022809949,0.9753737449645996,0.301513671875,1258.0,-2.09814843
1761,192000,81,23,0.19674037396907806,-42.85866844654083,0.4928407669067383,-0.01190845672681462,5984,1.061803330667317,0.2,0.0004092704424510632,0.010759139,0.9757022261619568,0.0504150390625,1258.0,-2.09814843
1760,192512,82,23,-0.036456458270549774,-42.885852694511414,-5.185086727142334,-0.02463525257189758,6000,0.0024303833924932405,0.2,0.0004092704424510632,0.02365845,0.9774936437606812,0.2921142578125,1258.0,-2.09624031
1760,193024,83,24,0.14717942476272583,-42.9361572265625,0.3789892792701721,-0.008146968379151076,6016,1.032619507983327,0.2,0.0004092704424510632,0.00692512,0.9781165719032288,0.0223388671875,1258.0,-2.09624031
1759,193536,84,24,-0.030799850821495056,-42.93321931362152,-5.435769557952881,-0.024378219139180146,6032,0.005772539607278304,0.2,0.0004092704424510632,0.023665894,0.9770771265029907,0.2877197265625,1258.0,-2.09624031
1758,194048,85,24,-0.036233555525541306,-42.92554998397827,-0.007238864898681641,-0.025108870991971344,6048,0.004714413778856397,0.2,0.0004092704424510632,0.012749029,0.9776641726493835,0.2069091796875,1258.0,-2.0937424
1758,194560,86,25,0.16303279995918274,-42.95904493331909,0.3813188672065735,-0.015406962062115781,6064,0.967620151117444,0.2,0.0004092704424510632,0.016506314,0.9780023097991943,0.083984375,1258.0,-2.0937424
1758,195072,87,25,-0.026155633851885796,-42.951494216918945,-1.9793674945831299,-0.024541910970583558,6080,0.008901698922272772,0.2,0.0004092704424510632,0.027710747,0.9775084257125854,0.2933349609375,1258.0,-2.0903263100000005
1758,195584,88,25,0.19873711466789246,-42.93600142002106,0.5638278722763062,-0.014050231533474289,6096,0.811368003487587,0.2,0.0004092704424510632,0.016990613,0.9775841236114502,0.0810546875,1258.0,-2.0903263100000005
1757,196096,89,25,-0.03919247165322304,-42.94245707988739,-1.4253780841827393,-0.025538972578942776,6112,0.004132410838792566,0.2,0.0004092704424510632,0.01888634,0.9778323173522949,0.2869873046875,1258.0,-2.0903263100000005
1758,196608,90,26,-0.024831758812069893,-42.951305985450745,0.1465303897857666,-0.029761571349808946,6128,0.004190262021438684,0.2,0.0004092704424510632,0.028279696,0.9781941771507263,0.301513671875,1258.0,-2.0892220900000003
1759,197120,91,26,0.22592444717884064,-42.9461110830307,0.5409750938415527,-0.011591085378313437,6144,1.070448755286634,0.2,0.0004092704424510632,0.012747562,0.9783074855804443,0.0908203125,1258.0,-2.0892220900000003
1759,197632,92,26,-0.04734025523066521,-42.95415818691254,-4.106645584106445,-0.026814167882548645,6160,0.011768684067646973,0.2,0.0004092704424510632,0.021279436,0.9791923761367798,0.296630859375,1258.0,-2.0876078500000004
1758,198144,93,27,0.12453940510749817,-42.97868573665619,0.31412845849990845,-0.010947368427878246,6176,0.8396588452160358,0.2,0.0004092704424510632,0.011741066,0.9795588254928589,0.1463623046875,1258.0,-2.0876078500000004
1757,198656,94,27,-0.031309179961681366,-42.964401841163635,-2.0404298305511475,-0.027349108480848372,6192,0.0022536492579092737,0.2,0.0004092704424510632,0.025679182,0.978629469871521,0.3455810546875,1258.0,-2.0876078500000004
1757,199168,95,27,-0.027064329013228416,-42.9079555273056,0.10179495811462402,-0.02977722935611382,6208,0.004461802935111336,0.2,0.0004092704424510632,0.018497903,0.9757055640220642,0.2733154296875,1258.0,-2.0863374400000003
1757,199680,96,27,0.1778859794139862,-42.841174960136414,0.46124202013015747,-0.009794416124350391,6224,0.8603546773083508,0.2,0.0004092704424510632,0.01584516,0.974769651889801,0.062255859375,1258.0,-2.0863374400000003
1757,200192,97,28,-0.023838553577661514,-42.85388004779816,-1.9982166290283203,-0.023333203396759927,6240,0.015297667079721577,0.2,0.0004092704424510632,0.02484666,0.9766259789466858,0.2938232421875,1258.0,-2.08254491
1758,200704,98,28,0.13493269681930542,-42.904627203941345,0.45616185665130615,-0.00921567697514547,6256,1.0117398854345083,0.2,0.0004092704424510632,0.012943579,0.9769889116287231,0.0513916015625,1258.0,-2.08254491
1758,201216,99,28,-0.03523726388812065,-42.89060175418854,-7.664806365966797,-0.026946072466671467,6272,0.0037266291401465423,0.2,0.0004092704424510632,0.01848275,0.9764024615287781,0.2581787109375,1258.0,-2.08254491
1759,201728,100,29,-0.05109086632728577,-42.863799929618835,0.18261975049972534,-0.03625463100615889,6288,0.004949737020069733,0.2,0.0004092704424510632,0.022213098,0.9750911593437195,0.3406982421875,1258.0,-2.08220048
1760,202240,101,29,0.056203924119472504,-42.82635962963104,0.4080798029899597,-0.007589514134451747,6304,0.5926837718579918,0.2,0.0004092704424510632,0.014269878,0.9748967289924622,0.055419921875,1258.0,-2.08220048
1759,202752,102,29,-0.035019729286432266,-42.84007453918457,-2.760896921157837,-0.029173519578762352,6320,0.003738445622730069,0.2,0.0004092704424510632,0.023107376,0.9762517809867859,0.2952880859375,1258.0,-2.0809025500000002
1759,203264,103,29,0.16717767715454102,-42.8805615901947,0.38143694400787354,-0.013563247906859033,6336,1.01142210746184,0.2,0.0004092704424510632,0.012013419,0.9767175316810608,0.0645751953125,1258.0,-2.0809025500000002
1758,203776,104,30,-0.03856505826115608,-42.878984570503235,-7.746152877807617,-0.026807405287399888,6352,0.006499152032120037,0.2,0.0004092704424510632,0.02098149,0.9766636490821838,0.2705078125,1258.0,-2.0809025500000002
1757,204288,105,30,0.0579487606883049,-42.88111889362335,0.4173926115036011,-0.019102085454505868,6368,0.2424621870741248,0.2,0.0004092704424510632,0.018507503,0.9766073822975159,0.158203125,1258.0,-2.0807739
1756,204800,106,30,-0.02761220932006836,-42.880122780799866,0.8304882049560547,-0.01687627990031615,6384,0.11149452353129163,0.2,0.0004092704424510632,0.0328052,0.9768168926239014,0.1943359375,1258.0,-2.0807739
1753,205312,107,31,-0.040653716772794724,-42.84775400161743,-2.9805691242218018,-0.0322220033594931,6400,0.006233898333448451,0.2,0.0004092704424510632,0.025646064,0.9735151529312134,0.3177490234375,1258.0,-2.0806401900000004
1751,205824,108,31,0.12332712113857269,-42.75760221481323,0.31007564067840576,-0.014088788127992302,6416,0.880675804335624,0.2,0.0004092704424510632,0.016225222,0.9722602963447571,0.0711669921875,1258.0,-2.0806401900000004
1749,206336,109,31,-0.03336955979466438,-42.78665030002594,-1.0480232238769531,-0.029864485404687002,6432,0.0024910647080105264,0.2,0.0004092704424510632,0.021364547,0.9754549860954285,0.285888671875,1258.0,-2.07894229
1748,206848,110,32,0.35748520493507385,-42.870482325553894,0.5912759304046631,-0.012971783697139472,6448,1.378485138528049,0.2,0.0004092704424510632,0.011841002,0.9765243530273438,0.0625,1258.0,-2.07894229
1746,207360,111,32,-0.036467261612415314,-42.87792503833771,-9.794382095336914,-0.02722429682034999,6464,0.00647560788638657,0.2,0.0004092704424510632,0.017749824,0.9761607050895691,0.2646484375,1258.0,-2.07894229
