time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
66,1626,33792,20,0.2547607421875,-2.910275936126709,-0.04196717590093613,0.002608843962661922,1040,0.2,0.0004092704424510632,-0.024702017864910886,0.023835689,-42.99791085720062,0.9699085354804993,-2.9578483076923074,1257.0
67,1625,34304,21,0.2520751953125,-0.08248329162597656,-0.05014549568295479,0.0024658589172759093,1056,0.2,0.0004092704424510632,-0.02904563046467956,0.019484695,-42.93450403213501,0.9659793972969055,-2.9491944814814812,1257.0
68,1623,34816,21,0.2989501953125,0.027422666549682617,0.019342023879289627,0.1540416229981929,1072,0.2,0.0004092704424510632,-0.02263367103296332,0.018466935,-42.845155239105225,0.965480625629425,-2.9491944814814812,1257.0
69,1624,35328,21,0.2666015625,-2.7303521633148193,-0.04079978168010712,0.0057227730940212496,1088,0.2,0.0004092704424510632,-0.02673219524876913,0.01771824,-42.85963428020477,0.9667197465896606,-2.954245964285714,1257.0
70,1625,35840,22,0.2972412109375,0.007321536540985107,0.004904024302959442,0.17623316729441285,1104,0.2,0.0004092704424510632,-0.02600656560389325,0.02180858,-42.90058636665344,0.9678485989570618,-2.954245964285714,1257.0
71,1626,36352,22,0.2476806640625,-1.8682873249053955,-0.02572200447320938,0.00809464554185979,1120,0.2,0.0004092704424510632,-0.027569700803724118,0.017021824,-42.897629380226135,0.9666617512702942,-2.954245964285714,1257.0
72,1627,36864,22,0.2376708984375,-0.021897554397583008,-0.024535417556762695,0.0026853289018617943,1136,0.2,0.0004092704424510632,-0.025600069551728666,0.01634732,-42.836820125579834,0.9643136858940125,-2.9518392068965515,1257.0
73,1627,37376,22,0.2857666015625,0.01123034954071045,0.0314127542078495,0.20202799001708627,1152,0.2,0.0004092704424510632,-0.025920680389390327,0.018650949,-42.780848264694214,0.9635488986968994,-2.9518392068965515,1257.0
74,1627,37888,23,0.20849609375,-2.9060232639312744,-0.012723512016236782,0.0054593183667748235,1168,0.2,0.0004092704424510632,-0.01920717064058408,0.014964412,-42.766146779060364,0.9631354808807373,-2.9501567,1257.0
75,1627,38400,23,0.283447265625,0.002262294292449951,0.07175653427839279,0.25873103085905313,1184,0.2,0.0004092704424510632,-0.023292939324164763,0.020107584,-42.75377702713013,0.962755560874939,-2.9501567,1257.0
