time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
36352,71,1326,27,-43.426417112350464,0.9834490418434143,0.0004092704424510632,0.2567138671875,0.003571482069673948,-0.02599268965423107,-0.0038754940032958984,-0.028709620877634734,0.021323118,0.2,1120,-2.2732190357142854,1257.0
36864,72,1326,27,-43.412375926971436,0.982448399066925,0.0004092704424510632,0.2371826171875,0.004404662933666259,-0.017573976889252663,-0.000370025634765625,-0.021281045526848175,0.015984591,0.2,1136,-2.271198275862069,1257.0
37376,73,1326,28,-43.374924421310425,0.9816169142723083,0.0004092704424510632,0.3004150390625,0.2004895219579339,0.06739635765552521,0.00011879205703735352,-0.02927087231364567,0.03028765,0.2,1152,-2.271198275862069,1257.0
37888,74,1325,28,-43.35788917541504,0.9813558459281921,0.0004092704424510632,0.1641845703125,0.003909830309567042,-0.03216613829135895,-0.0011675357818603516,-0.01737584001966752,0.010013782,0.2,1168,-2.264361366666667,1257.0
38400,75,1325,28,-43.359968423843384,0.9816988110542297,0.0004092704424510632,0.2364501953125,0.1923848045989871,0.06559360772371292,0.00014263391494750977,-0.023517035879194736,0.01813173,0.2,1184,-2.264361366666667,1257.0
38912,76,1325,29,-43.385865688323975,0.9827998876571655,0.0004092704424510632,0.31640625,0.003126281182630919,-0.04180581495165825,-0.008711457252502441,-0.0338018384645693,0.029114364,0.2,1200,-2.264361366666667,1257.0
39424,77,1325,29,-43.42385244369507,0.9843832850456238,0.0004092704424510632,0.276611328125,0.004777185182319954,-0.04373742267489433,-0.00032126903533935547,-0.02825403440510854,0.020175911,0.2,1216,-2.262613677419355,1257.0
39936,78,1324,30,-43.42629396915436,0.9821339249610901,0.0004092704424510632,0.241455078125,0.196541593875736,0.05343963950872421,0.00012451410293579102,-0.026279224144673208,0.021980438,0.2,1232,-2.262613677419355,1257.0
40448,79,1324,30,-43.34203338623047,0.9801688194274902,0.0004092704424510632,0.277099609375,0.0034046335422317497,-0.04236830398440361,-0.0021647214889526367,-0.027463353137136437,0.024795158,0.2,1248,-2.259765375,1257.0
40960,80,1324,30,-43.29085981845856,0.9785891175270081,0.0004092704424510632,0.2476806640625,0.20370536716654897,0.07796058803796768,0.0001475214958190918,-0.022049489998607896,0.019981228,0.2,1264,-2.259765375,1257.0
41472,81,1324,31,-43.25687634944916,0.9783768653869629,0.0004092704424510632,0.316650390625,0.00431256180308992,-0.045089855790138245,-0.0036247968673706055,-0.03446702068322338,0.028029943,0.2,1280,-2.259765375,1257.0
41984,82,1324,31,-43.27053451538086,0.9793498516082764,0.0004092704424510632,0.2578125,0.00525810871477006,-0.0353541262447834,-0.0007495880126953125,-0.028169381563202478,0.022073431,0.2,1296,-2.2630982727272726,1257.0
42496,83,1324,32,-43.30691480636597,0.9810277819633484,0.0004092704424510632,0.2850341796875,0.07803030265495181,0.022222457453608513,3.129243850708008e-05,-0.022862444340717047,0.038533725,0.2,1312,-2.2630982727272726,1257.0
43008,84,1323,32,-43.333157658576965,0.9805564284324646,0.0004092704424510632,0.1943359375,0.005555395189730916,-0.022856779396533966,-0.00010538101196289062,-0.023014109552605078,0.015136674,0.2,1328,-2.268261794117647,1257.0
43520,85,1323,32,-43.30544853210449,0.9802782535552979,0.0004092704424510632,0.2506103515625,0.2502825637347996,0.07579430937767029,8.404254913330078e-05,-0.025107565510552377,0.018784132,0.2,1344,-2.268261794117647,1257.0
44032,86,1323,33,-43.30256199836731,0.9802579283714294,0.0004092704424510632,0.2738037109375,0.00480019576207269,-0.04581833258271217,-0.0015271902084350586,-0.032546684582484886,0.026718196,0.2,1360,-2.2730936857142856,1257.0
44544,87,1322,33,-43.30252468585968,0.9804645776748657,0.0004092704424510632,0.2655029296875,0.2302930592559278,0.059981558471918106,0.00018066167831420898,-0.03011711928411387,0.025070757,0.2,1376,-2.2730936857142856,1257.0
