time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1295,106,204800,41,0.13293659687042236,0.2,0.03972442075610161,0.0943603515625,0.0153476,-42.26815366744995,6384,0.0004092704424510632,0.33396065048873425,-0.014964427260565571,0.9582890868186951,-2.0904328600000004,1223.0
1295,107,205312,42,-1.2152643203735352,0.2,-0.010750580579042435,0.2529296875,0.017889887,-42.29158127307892,6400,0.0004092704424510632,0.015516028681304306,-0.023222969990456477,0.9586901664733887,-2.0904328600000004,1223.0
1295,108,205824,42,-0.8181514739990234,0.2,-0.03376171737909317,0.2860107421875,0.018466163,-42.32352042198181,6416,0.0004092704424510632,0.002504675059753936,-0.0276994074229151,0.9605725407600403,-2.08946814,1223.0
1295,109,206336,43,0.272524356842041,0.2,0.01774144545197487,0.142333984375,0.016007012,-42.35736680030823,6432,0.0004092704424510632,0.2394484644755721,-0.020221356069669127,0.9605634212493896,-2.08946814,1223.0
1295,110,206848,43,-3.766483783721924,0.2,-0.04452059045433998,0.2535400390625,0.0189056,-42.319750905036926,6448,0.0004092704424510632,0.013948426872957498,-0.02309859069646336,0.9587588310241699,-2.08740394,1223.0
1295,111,207360,43,0.35127097368240356,0.2,0.04398399591445923,0.1033935546875,0.012242519,-42.27599561214447,6464,0.0004092704424510632,0.2964266873896122,-0.016276152833597735,0.9579961895942688,-2.08740394,1223.0
1295,112,207872,44,-6.187239170074463,0.2,-0.03415752202272415,0.228759765625,0.02035496,-42.269278049468994,6480,0.0004092704424510632,0.013945797982160002,-0.02339961373945698,0.9584435820579529,-2.08740394,1223.0
1295,113,208384,44,0.37199878692626953,0.2,-0.036844465881586075,0.26171875,0.020508677,-42.29798650741577,6496,0.0004092704424510632,0.0035399886983213946,-0.028984008153202012,0.9596680998802185,-2.0861293499999998,1223.0
1295,114,208896,45,0.388391375541687,0.2,-0.0011151358485221863,0.205322265625,0.02808712,-42.31431543827057,6512,0.0004092704424510632,0.1257495479658246,-0.024848171771736816,0.9596532583236694,-2.0861293499999998,1223.0
1295,115,209408,45,-4.945427417755127,0.2,-0.02986438199877739,0.3203125,0.021857047,-42.28859496116638,6528,0.0004092704424510632,0.0052867745398543775,-0.02941960138559807,0.9586890935897827,-2.08747477,1223.0
1295,116,209920,45,0.12279140949249268,0.2,0.03589421510696411,0.1533203125,0.017228981,-42.263562083244324,6544,0.0004092704424510632,0.3177708797156811,-0.019804047158686444,0.9582631587982178,-2.08747477,1223.0
1295,117,210432,46,-2.726125478744507,0.2,-0.02244620770215988,0.298095703125,0.027312621,-42.26656651496887,6560,0.0004092704424510632,0.018312249274458736,-0.027136338932905346,0.9598378539085388,-2.08452945,1223.0
1295,118,210944,46,0.20740550756454468,0.2,0.04630764201283455,0.1123046875,0.015063261,-42.311702370643616,6576,0.0004092704424510632,0.27427022252231836,-0.014601962669985369,0.9605846405029297,-2.08452945,1223.0
1294,119,211456,47,-0.6721301078796387,0.2,-0.026088692247867584,0.2066650390625,0.012078207,-42.313525557518005,6592,0.0004092704424510632,0.004570624005282298,-0.02008933140314184,0.9600802659988403,-2.08452945,1223.0
1294,120,211968,47,0.023003816604614258,0.2,-0.018900861963629723,0.2503662109375,0.018674653,-42.270212173461914,6608,0.0004092704424510632,0.0031675048885517754,-0.02323434632853605,0.9570512175559998,-2.0818663500000003,1223.0
1294,121,212480,47,0.2965223789215088,0.2,0.05584864690899849,0.0516357421875,0.010036258,-42.19403326511383,6624,0.0004092704424510632,0.2608062312938273,-0.010185013103182428,0.9564586877822876,-2.0818663500000003,1223.0
1294,122,212992,48,-9.381678581237793,0.2,-0.030202245339751244,0.2265625,0.021699255,-42.194106340408325,6640,0.0004092704424510632,0.03746530634816736,-0.019596062746131793,0.9564476013183594,-2.07892628,1223.0
1294,123,213504,48,0.16708648204803467,0.2,0.009547825902700424,0.09912109375,0.0162942,-42.187801361083984,6656,0.0004092704424510632,0.3226200034841895,-0.015342692480771802,0.9562963247299194,-2.07892628,1223.0
1294,124,214016,49,-7.564507484436035,0.2,-0.050695110112428665,0.2598876953125,0.02194447,-42.19783413410187,6672,0.0004092704424510632,0.010337982021155767,-0.028468828793847933,0.9575713276863098,-2.07892628,1223.0
1294,125,214528,49,0.45212388038635254,0.2,0.007042997516691685,0.2208251953125,0.015148666,-42.244938135147095,6688,0.0004092704424510632,0.05739156389608979,-0.023660934035433456,0.9585514664649963,-2.0765785300000004,1223.0
1294,126,215040,49,0.7377679347991943,0.2,-0.017896262928843498,0.2606201171875,0.022325281,-42.25802707672119,6704,0.0004092704424510632,0.03127983832382597,-0.022022927063517272,0.9581523537635803,-2.0765785300000004,1223.0
1294,127,215552,50,-5.187013149261475,0.2,-0.02059955894947052,0.242919921875,0.014191946,-42.21967017650604,6720,0.0004092704424510632,0.003705230323248543,-0.024688499775948003,0.9558020234107971,-2.07480238,1223.0
1294,128,216064,50,0.11403864622116089,0.2,0.017202777788043022,0.0643310546875,0.01231405,-42.15510320663452,6736,0.0004092704424510632,0.33890057844109833,-0.012699466271442361,0.9549187421798706,-2.07480238,1223.0
