time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1283,63,32256,25,0.021417953,0.031174436211586,0.2,0.0004092704424510632,-0.022600880212849006,0.178466796875,0.9646561145782471,992,0.06431937217712402,0.2417031661607325,-42.833444476127625,1258.0,-2.3133974
1282,64,32768,25,0.016953018,-0.02818581834435463,0.2,0.0004092704424510632,-0.021900663879932836,0.1912841796875,0.9640206098556519,1008,-2.4878010749816895,0.012154449868830852,-42.811763882637024,1258.0,-2.3157685
1282,65,33280,25,0.014015883,0.04465417563915253,0.2,0.0004092704424510632,-0.015625281201209873,0.1168212890625,0.963021993637085,1024,0.1949704885482788,0.26541108451783657,-42.78548991680145,1258.0,-2.3157685
1282,66,33792,26,0.028510805,-0.04586409032344818,0.2,0.0004092704424510632,-0.03066115411638748,0.27587890625,0.9639272093772888,1040,-10.071579933166504,0.009122348325036,-42.778337478637695,1258.0,-2.3157685
1281,67,34304,26,0.019872118,-0.030594708397984505,0.2,0.0004092704424510632,-0.027561729089939035,0.2666015625,0.962751567363739,1056,0.05673396587371826,0.006065947702154517,-42.789806962013245,1258.0,-2.3125722222222223
1280,68,34816,27,0.018078437,0.055472977459430695,0.2,0.0004092704424510632,-0.024669813879881985,0.186767578125,0.9621697068214417,1072,0.053064703941345215,0.3370186425745487,-42.744571566581726,1258.0,-2.3125722222222223
1280,69,35328,27,0.023168676,-0.03821064159274101,0.2,0.0004092704424510632,-0.03011714748572558,0.2567138671875,0.9615083336830139,1088,-1.7987003326416016,0.015016849443782121,-42.73352110385895,1258.0,-2.3155467499999998
1279,70,35840,28,0.01934126,0.05395248904824257,0.2,0.0004092704424510632,-0.01809919159859419,0.1328125,0.9614391326904297,1104,0.3049759864807129,0.31197294779121876,-42.71097707748413,1258.0,-2.3155467499999998
1279,71,36352,28,0.019713476,-0.034309644252061844,0.2,0.0004092704424510632,-0.02599460576311685,0.236572265625,0.9591231942176819,1120,-10.480892181396484,0.0072708429652266204,-42.68644595146179,1258.0,-2.3155467499999998
1278,72,36864,28,0.022109017,-0.043545912951231,0.2,0.0004092704424510632,-0.030344169994350523,0.2713623046875,0.9571269750595093,1136,0.1151357889175415,0.0072087948938133195,-42.603219628334045,1258.0,-2.3186835862068964
1278,73,37376,29,0.013354946,0.08069587498903275,0.2,0.0004092704424510632,-0.017581092630280182,0.1199951171875,0.9565719366073608,1152,0.09641057252883911,0.4065567711368203,-42.5633749961853,1258.0,-2.3186835862068964
1278,74,37888,29,0.017408488,-0.026916345581412315,0.2,0.0004092704424510632,-0.022602352590183727,0.2158203125,0.9582360982894897,1168,-2.1643035411834717,0.02398950743372552,-42.57571482658386,1258.0,-2.3221732
1277,75,38400,30,0.015891708,0.08570985496044159,0.2,0.0004092704424510632,-0.0141714712663088,0.106689453125,0.9588345885276794,1184,0.251137375831604,0.3797299978323281,-42.62569808959961,1258.0,-2.3221732
1276,76,38912,30,0.015174248,-0.0354108065366745,0.2,0.0004092704424510632,-0.021805121941724792,0.19482421875,0.9569727182388306,1200,-11.385408401489258,0.006740093613188947,-42.60450851917267,1258.0,-2.3221732
1276,77,39424,30,0.018617924,-0.03425072133541107,0.2,0.0004092704424510632,-0.0297235658072168,0.2681884765625,0.9562156200408936,1216,0.12252861261367798,0.007880146979005076,-42.547470927238464,1258.0,-2.3212343548387095
1275,78,39936,31,0.010840321,0.037973206490278244,0.2,0.0004092704424510632,-0.011773819598602131,0.064208984375,0.9560785889625549,1232,0.11902076005935669,0.4396067741326988,-42.53281307220459,1258.0,-2.3212343548387095
1274,79,40448,31,0.01807981,-0.017065059393644333,0.2,0.0004092704424510632,-0.023278062653844245,0.20458984375,0.9551275372505188,1248,-1.779489517211914,0.027573879051487893,-42.51761257648468,1258.0,-2.32646175
1274,80,40960,32,0.019647215,0.06586533784866333,0.2,0.0004092704424510632,-0.0181807643675711,0.1424560546875,0.9537017345428467,1264,0.3571741580963135,0.31941673858091235,-42.47640347480774,1258.0,-2.32646175
