time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
135680,118,32,1840,-42.83557951450348,-0.023927454582008068,0.018695332,0.15987586975097656,0.9708767533302307,4224,0.252197265625,0.2,0.01819431537296623,-0.03521505370736122,0.0004092704424510632,1258.0,-2.7141212599999993
136192,119,33,1840,-42.879802942276,-0.02354382720659487,0.025622945,0.10163110494613647,0.9718073010444641,4240,0.2742919921875,0.2,0.10906910197809339,0.017197828739881516,0.0004092704424510632,1258.0,-2.7137639199999994
136704,120,33,1839,-42.89918386936188,-0.0077324862431851216,0.008642887,0.7409501075744629,0.9721158146858215,4256,0.0228271484375,0.2,0.8971113068982959,0.03866656869649887,0.0004092704424510632,1258.0,-2.7137639199999994
137216,121,33,1839,-42.90049433708191,-0.02583489500102587,0.0253768,-2.7761282920837402,0.9719477295875549,4272,0.2537841796875,0.2,0.0180594930134248,-0.026011129841208458,0.0004092704424510632,1258.0,-2.7150591499999996
137728,122,33,1839,-42.882524371147156,-0.015785778407007456,0.012018811,0.6636812686920166,0.9715877175331116,4288,0.1075439453125,0.2,1.2669655680656433,0.21349379420280457,0.0004092704424510632,1258.0,-2.7150591499999996
138240,123,34,1839,-42.88433241844177,-0.02027923785499297,0.011852018,-1.1517186164855957,0.9725667834281921,4304,0.2076416015625,0.2,0.007199773448519409,-0.020394926890730858,0.0004092704424510632,1258.0,-2.7150591499999996
138752,124,34,1839,-42.9146329164505,-0.028172442951472476,0.025001518,0.5999773740768433,0.9729529023170471,4320,0.2972412109375,0.2,0.013453691150061786,-0.030602045357227325,0.0004092704424510632,1258.0,-2.7164944199999996
139264,125,34,1839,-42.905396819114685,-0.004473081571632065,0.0049195793,0.7102292776107788,0.9727110266685486,4336,0.0181884765625,0.2,0.8465009247884154,0.05761443078517914,0.0004092704424510632,1258.0,-2.7164944199999996
139776,126,35,1839,-42.898106813430786,-0.024678647983819246,0.023868633,-1.826476812362671,0.972175121307373,4352,0.2618408203125,0.2,0.016892498126253486,-0.032984670251607895,0.0004092704424510632,1258.0,-2.7128470899999995
140288,127,35,1840,-42.87398409843445,-0.009731781668961048,0.006399459,0.5134860277175903,0.9718545079231262,4368,0.0233154296875,0.2,1.185374272055924,0.21212464570999146,0.0004092704424510632,1258.0,-2.7128470899999995
140800,128,35,1839,-42.86021423339844,-0.025669418027973734,0.017039072,0.007014811038970947,0.971417248249054,4384,0.2403564453125,0.2,0.004452418455912266,-0.037199173122644424,0.0004092704424510632,1258.0,-2.7128470899999995
141312,129,35,1839,-42.83897387981415,-0.023334425583016127,0.0152953155,0.7469003200531006,0.9709813594818115,4400,0.229736328125,0.2,0.011286460270639509,-0.030177004635334015,0.0004092704424510632,1258.0,-2.7133747599999993
141824,130,36,1839,-42.82291841506958,-0.006286343261308502,0.0061410405,0.5621362924575806,0.9704856872558594,4416,0.0322265625,0.2,1.1352552673779428,0.1841101050376892,0.0004092704424510632,1258.0,-2.7133747599999993
142336,131,36,1838,-42.79903769493103,-0.026338151859818026,0.018736716,-0.12210273742675781,0.9691608548164368,4432,0.2607421875,0.2,0.04619091853965074,-0.02149105630815029,0.0004092704424510632,1258.0,-2.7146579999999996
142848,132,36,1838,-42.75886428356171,-0.006498466340417508,0.005454194,0.8245242238044739,0.9687076807022095,4448,0.01025390625,0.2,0.8656905042007565,0.15196959674358368,0.0004092704424510632,1258.0,-2.7146579999999996
143360,133,37,1838,-42.76788580417633,-0.027529855724424124,0.021219678,-1.6027145385742188,0.969577431678772,4464,0.2720947265625,0.2,0.008758111667702906,-0.031325820833444595,0.0004092704424510632,1258.0,-2.7146579999999996
143872,134,37,1837,-42.796735882759094,-0.027560209200601093,0.01969326,0.7506392002105713,0.9699006080627441,4480,0.2491455078125,0.2,0.016076057101599872,-0.03446831926703453,0.0004092704424510632,1258.0,-2.7142160399999993
144384,135,37,1837,-42.79768133163452,-0.011112295280327089,0.014037274,0.5217596292495728,0.9698826670646667,4496,0.0592041015625,0.2,0.5871781887253746,0.030181368812918663,0.0004092704424510632,1258.0,-2.7142160399999993
144896,136,37,1837,-42.798720598220825,-0.023298962973058224,0.0149108395,0.15814095735549927,0.970017671585083,4512,0.2310791015625,0.2,0.01225003061699681,-0.03381470590829849,0.0004092704424510632,1258.0,-2.71328052
145408,137,38,1836,-42.79940211772919,-0.004898889397736639,0.0046504783,0.7591239213943481,0.9700488448143005,4528,0.010986328125,0.2,1.0086679393425584,0.16374564170837402,0.0004092704424510632,1258.0,-2.71328052
145920,138,38,1836,-42.81443226337433,-0.026939382194541395,0.025587875,-0.4204857349395752,0.9715310335159302,4544,0.2537841796875,0.2,0.008961352548794821,-0.0373452827334404,0.0004092704424510632,1258.0,-2.71328052
146432,139,38,1836,-42.85693717002869,-0.0065934901795117185,0.004832376,0.8353970050811768,0.9722487330436707,4560,0.0120849609375,0.2,0.8152672508731484,0.20274899899959564,0.0004092704424510632,1258.0,-2.7120331099999997
146944,140,39,1836,-42.85349476337433,-0.023945927096065134,0.04507464,0.9795210361480713,0.9716657400131226,4576,0.3154296875,0.2,0.017649597299168818,-0.031815893948078156,0.0004092704424510632,1258.0,-2.7120331099999997
147456,141,39,1836,-42.84890139102936,-0.019936663753469475,0.014205316,-0.160322904586792,0.9726428389549255,4592,0.2095947265625,0.2,0.011051070992834866,-0.031717486679553986,0.0004092704424510632,1258.0,-2.71098071
147968,142,39,1836,-42.888821721076965,-0.005521864179172553,0.0066793333,0.7526601552963257,0.9730287790298462,4608,0.0130615234375,0.2,0.7152413786388934,0.048195406794548035,0.0004092704424510632,1258.0,-2.71098071
148480,143,39,1836,-42.932814598083496,-0.025757584284292534,0.02287655,-1.5395846366882324,0.9762648344039917,4624,0.2763671875,0.2,0.012863343610661104,-0.03613642230629921,0.0004092704424510632,1258.0,-2.71155194
148992,144,40,1836,-43.01816439628601,-0.004280855107936077,0.0047246222,0.7283825874328613,0.9772995114326477,4640,0.0135498046875,0.2,0.912929939571768,0.40706074237823486,0.0004092704424510632,1258.0,-2.71155194
149504,145,40,1836,-43.003207087516785,-0.027679624588927254,0.015024012,-0.1287369728088379,0.9753534197807312,4656,0.21826171875,0.2,0.0032739891030360013,-0.034517280757427216,0.0004092704424510632,1258.0,-2.71155194
150016,146,40,1836,-42.92445635795593,-0.02461660935659893,0.022115562,-1.3327279090881348,0.9725860357284546,4672,0.2774658203125,0.2,0.0033213888491445687,-0.02584283985197544,0.0004092704424510632,1258.0,-2.7133713
150528,147,40,1836,-42.86553645133972,-0.0043750336626544595,0.0051689027,0.5672179460525513,0.971744954586029,4688,0.010498046875,0.2,0.9091098220087588,0.02922108583152294,0.0004092704424510632,1258.0,-2.7133713
151040,1,0,4138,-42.844775676727295,-0.025187901366734877,0.02109197,-0.9696847200393677,0.9704487323760986,4704,0.2420654296875,0.2,0.013463410519761965,-0.030056724324822426,0.0004092704424510632,1258.0,-2.7134238300000004
151552,2,0,2537,-42.8130224943161,0.00041734213300514966,0.003585578,0.5571411848068237,0.9699872732162476,4720,0.0074462890625,0.2,1.2720918888226151,0.09823677688837051,0.0004092704424510632,1258.0,-2.7134238300000004
152064,3,0,2272,-42.80375349521637,-0.023835028492612764,0.01413139,0.07446432113647461,0.9694649577140808,4736,0.1998291015625,0.2,0.005060361363575794,-0.03445393219590187,0.0004092704424510632,1258.0,-2.7134238300000004
152576,4,0,2152,-42.79687416553497,-0.023650214687222615,0.015715618,0.18354064226150513,0.9690326452255249,4752,0.220947265625,0.2,0.005124834875459783,-0.038499023765325546,0.0004092704424510632,1258.0,-2.7154643700000003
153088,5,1,2086,-42.78379046916962,-0.0008436750576947816,0.0029894542,0.6523399949073792,0.968873918056488,4768,0.0025634765625,0.2,1.1490631850901991,0.08156169205904007,0.0004092704424510632,1258.0,-2.7154643700000003
153600,6,1,2050,-42.78478693962097,-0.02474107639864087,0.019830618,-1.2186448574066162,0.9691047668457031,4784,0.23876953125,0.2,0.009216787671903148,-0.02528846263885498,0.0004092704424510632,1258.0,-2.7125232000000006
154112,7,1,2009,-42.79698061943054,-0.0028376500922604464,0.0027654045,0.669827401638031,0.9693604707717896,4800,0.0020751953125,0.2,1.3949087564833462,0.5110337138175964,0.0004092704424510632,1258.0,-2.7125232000000006
154624,8,2,1983,-42.84233844280243,-0.023006213072221726,0.022355452,-2.655568838119507,0.9723847508430481,4816,0.2381591796875,0.2,0.006017875297402497,-0.025623081251978874,0.0004092704424510632,1258.0,-2.7125232000000006
155136,9,2,1961,-42.89166295528412,-0.022705613606376573,0.016212124,0.6086251735687256,0.9716938734054565,4832,0.2359619140625,0.2,0.005139551954925992,-0.0367511622607708,0.0004092704424510632,1258.0,-2.7149304600000006
155648,10,2,1941,-42.84993648529053,-0.00733484463125933,0.0072719106,0.6622995138168335,0.9709380865097046,4848,0.02978515625,0.2,0.7164144872222096,0.053176768124103546,0.0004092704424510632,1258.0,-2.7149304600000006
156160,11,2,1931,-42.84735035896301,-0.02878098565270193,0.03238377,-0.09528744220733643,0.9718899726867676,4864,0.27734375,0.2,0.24882603343576193,0.07739906758069992,0.0004092704424510632,1258.0,-2.7166643300000004
156672,12,3,1919,-42.87022280693054,-0.003998170999693684,0.0033830479,0.6934351921081543,0.9722936153411865,4880,0.0048828125,0.2,1.71545354090631,0.30366185307502747,0.0004092704424510632,1258.0,-2.7166643300000004
157184,13,3,1911,-42.874451875686646,-0.03413051083043683,0.021652477,-0.01452791690826416,0.9722497463226318,4896,0.287841796875,0.2,0.009185918592265807,-0.046104952692985535,0.0004092704424510632,1258.0,-2.7166643300000004
157696,14,3,1905,-42.86556053161621,-0.02898180953343399,0.028784592,0.6898828148841858,0.9715838432312012,4912,0.2906494140625,0.2,0.057061295374296606,-0.012997424229979515,0.0004092704424510632,1258.0,-2.7160297900000008
158208,15,4,1900,-42.84914696216583,-0.0069158122496446595,0.009244755,0.6405732035636902,0.9711887836456299,4928,0.0218505859375,0.2,0.7174581941217184,-0.0010344088077545166,0.0004092704424510632,1258.0,-2.7160297900000008
158720,16,4,1894,-42.835782527923584,-0.025562201626598835,0.038199987,-0.7798998355865479,0.9708348512649536,4944,0.2498779296875,0.2,0.16770294238813221,0.03020045906305313,0.0004092704424510632,1258.0,-2.71220638
