time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
81,23,1792,41472,-2.0421881675720215,0.0004092704424510632,0.2,0.0137834195,1280,-43.61923098564148,0.9896163940429688,0.197998046875,-0.022950118320295587,0.0035377251988393255,-0.040524475276470184,1223.0,-2.222429818181818
82,23,1796,41984,-0.1073681116104126,0.0004092704424510632,0.2,0.01365982,1296,-43.63325011730194,0.9905230402946472,0.1649169921875,-0.01684729306725785,0.002395187104411889,-0.030917160212993622,1223.0,-2.218776794117647
83,23,1799,42496,0.20230633020401,0.0004092704424510632,0.2,0.02141657,1312,-43.66912508010864,0.9915093779563904,0.15673828125,-0.023323568413616158,0.09491408820031211,-0.015048518776893616,1223.0,-2.218776794117647
84,23,1803,43008,-4.566427707672119,0.0004092704424510632,0.2,0.020589568,1328,-43.67828905582428,0.9909813404083252,0.2628173828125,-0.02806814391806256,0.006456218252424151,-0.04107928276062012,1223.0,-2.21746
85,24,1808,43520,0.14215505123138428,0.0004092704424510632,0.2,0.015613949,1344,-43.654863595962524,0.9901580810546875,0.1297607421875,-0.01985047159541864,0.1267160823335871,-0.012564050033688545,1223.0,-2.21746
86,24,1811,44032,-0.14565765857696533,0.0004092704424510632,0.2,0.015182101,1360,-43.634509682655334,0.9899271130561829,0.2261962890625,-0.02640481926209759,0.005522891107830219,-0.027639273554086685,1223.0,-2.2175143055555555
87,24,1814,44544,0.6109733581542969,0.0004092704424510632,0.2,0.023529902,1376,-43.64108717441559,0.9903545379638672,0.1636962890625,-0.024885418082703836,0.11765758018009365,-0.0030338317155838013,1223.0,-2.2175143055555555
88,24,1818,45056,-0.6198575496673584,0.0004092704424510632,0.2,0.018709136,1392,-43.66013586521149,0.9914383888244629,0.267822265625,-0.026143941984628327,0.004149511762079783,-0.03404034674167633,1223.0,-2.2175143055555555
89,25,1820,45568,0.02038341760635376,0.0004092704424510632,0.2,0.01584744,1408,-43.70913481712341,0.9932302236557007,0.2213134765625,-0.02493933797813952,0.0017910315309563885,-0.034014783799648285,1223.0,-2.2167578378378376
90,25,1818,46080,0.03638577461242676,0.0004092704424510632,0.2,0.020275911,1424,-43.75393056869507,0.9944905042648315,0.2109375,-0.023200909636216238,0.1520851528039202,-0.015707680955529213,1223.0,-2.2167578378378376
91,25,1817,46592,-1.542952537536621,0.0004092704424510632,0.2,0.016098758,1440,-43.78936302661896,0.995780348777771,0.22412109375,-0.022403760827728547,0.005370198545278981,-0.028860600665211678,1223.0,-2.2138957631578946
92,25,1816,47104,0.27760446071624756,0.0004092704424510632,0.2,0.017819896,1456,-43.82154178619385,0.9961631298065186,0.13671875,-0.020753030345076695,0.13719635794404894,-0.011543933302164078,1223.0,-2.2138957631578946
93,26,1814,47616,-0.5864731073379517,0.0004092704424510632,0.2,0.01729305,1472,-43.81030809879303,0.9952235221862793,0.24267578125,-0.021520907801459543,0.008319644155562855,-0.022938068956136703,1223.0,-2.2138957631578946
94,26,1813,48128,0.09410732984542847,0.0004092704424510632,0.2,0.013796121,1488,-43.81799602508545,0.9974423050880432,0.2135009765625,-0.025283837981987745,0.004001314526249189,-0.03418808802962303,1223.0,-2.212916794871795
95,26,1816,48640,0.34521228075027466,0.0004092704424510632,0.2,0.01571633,1504,-43.876275062561035,0.9980937838554382,0.0980224609375,-0.013856727484380826,0.08310659130802378,-0.015549109317362309,1223.0,-2.212916794871795
96,27,1820,49152,-4.912570953369141,0.0004092704424510632,0.2,0.025088642,1520,-43.86911880970001,0.9971538782119751,0.2664794921875,-0.02673514431808144,0.009770912089152262,-0.03651557117700577,1223.0,-2.2146546999999996
97,27,1823,49664,0.12224036455154419,0.0004092704424510632,0.2,0.024655614,1536,-43.835939168930054,0.9965211153030396,0.2393798828125,-0.027321878951624967,0.10638702200958505,-0.024906057864427567,1223.0,-2.2146546999999996
98,27,1828,50176,-1.5310819149017334,0.0004092704424510632,0.2,0.018173564,1552,-43.828717947006226,0.9965503215789795,0.22802734375,-0.020908794773276895,0.006696308664686512,-0.028168488293886185,1223.0,-2.2186473658536583
99,27,1832,50688,0.27342885732650757,0.0004092704424510632,0.2,0.021743186,1568,-43.835883140563965,0.9969824552536011,0.1446533203125,-0.02183951211918611,0.1499100651126355,0.0050603486597537994,1223.0,-2.2186473658536583
100,27,1837,51200,-0.914879560470581,0.0004092704424510632,0.2,0.02420387,1584,-43.8387211561203,0.9965503215789795,0.2991943359375,-0.034258340994711034,0.004358075158961583,-0.04798301309347153,1223.0,-2.2186473658536583
101,28,1841,51712,-0.041339993476867676,0.0004092704424510632,0.2,0.013631609,1600,-43.83417820930481,0.996786892414093,0.2259521484375,-0.026066506034112535,0.0027312628117215354,-0.03275565803050995,1223.0,-2.217600214285714
102,28,1845,52224,0.26904773712158203,0.0004092704424510632,0.2,0.02404122,1616,-43.83990275859833,0.9963488578796387,0.1728515625,-0.02228976097831037,0.13944338139845058,-0.018936291337013245,1223.0,-2.217600214285714
103,28,1849,52736,-3.8896994590759277,0.0004092704424510632,0.2,0.016765386,1632,-43.85089838504791,0.9982948303222656,0.235595703125,-0.01779974647797644,0.00976048075244762,-0.021307120099663734,1223.0,-2.213783953488372
104,28,1853,53248,0.18199479579925537,0.0004092704424510632,0.2,0.014039885,1648,-43.90721273422241,0.9990410804748535,0.091796875,-0.01794355372840073,0.17098661651834846,0.0023554209619760513,1223.0,-2.213783953488372
105,28,1857,53760,0.06555747985839844,0.0004092704424510632,0.2,0.017614696,1664,-43.90133082866669,0.998059868812561,0.2462158203125,-0.026620038086548448,0.006428602151572704,-0.03679300844669342,1223.0,-2.213783953488372
106,29,1860,54272,0.4112289547920227,0.0004092704424510632,0.2,0.015981536,1680,-43.84178817272186,0.9949612021446228,0.2086181640625,-0.02212604480155278,0.007528038098826073,-0.019267605617642403,1223.0,-2.2142539545454545
107,29,1862,54784,0.5957385301589966,0.0004092704424510632,0.2,0.023056064,1696,-43.77525818347931,0.9942125678062439,0.1849365234375,-0.024352035004994832,0.07026165118440986,-0.02500319294631481,1223.0,-2.2142539545454545
108,29,1865,55296,-5.550942897796631,0.0004092704424510632,0.2,0.02453203,1712,-43.7588974237442,0.9934305548667908,0.2742919921875,-0.027275100685073994,0.014355192819493823,-0.030549833551049232,1223.0,-2.2139181555555556
109,29,1868,55808,0.07860291004180908,0.0004092704424510632,0.2,0.017540934,1728,-43.73511040210724,0.9928691983222961,0.1241455078125,-0.01925461456994526,0.2544868184486404,0.0009403340518474579,1223.0,-2.2139181555555556
110,30,1871,56320,-2.0728728771209717,0.0004092704424510632,0.2,0.018807573,1744,-43.710843324661255,0.99152010679245,0.2310791015625,-0.025643707616836764,0.008149540939484723,-0.04099154472351074,1223.0,-2.217838391304348
111,30,1874,56832,0.30092692375183105,0.0004092704424510632,0.2,0.010402579,1760,-43.67431163787842,0.9911726117134094,0.0406494140625,-0.009415483291377313,0.2141445882152766,0.028835108503699303,1223.0,-2.217838391304348
112,30,1877,57344,-0.4198719263076782,0.0004092704424510632,0.2,0.022235302,1776,-43.67482614517212,0.9913545250892639,0.2662353515625,-0.02556154187186621,0.003686857598950155,-0.037367600947618484,1223.0,-2.217838391304348
113,30,1881,57856,-0.12824273109436035,0.0004092704424510632,0.2,0.016425882,1792,-43.66955244541168,0.9908690452575684,0.23583984375,-0.026480456479475833,0.002407717507594498,-0.04987948015332222,1223.0,-2.2186592127659575
114,30,1884,58368,0.2685398459434509,0.0004092704424510632,0.2,0.014376642,1808,-43.64579677581787,0.9902286529541016,0.0928955078125,-0.00920537018100731,0.14705651358235627,0.013014341704547405,1223.0,-2.2186592127659575
115,31,1886,58880,-3.569188117980957,0.0004092704424510632,0.2,0.015914233,1824,-43.621864795684814,0.9897580742835999,0.2530517578125,-0.028782070890883915,0.00826074781070929,-0.02489374577999115,1223.0,-2.2206270208333336
116,31,1890,59392,0.2291508913040161,0.0004092704424510632,0.2,0.02213874,1840,-43.61649239063263,0.9900780320167542,0.142333984375,-0.02278172882506624,0.1804003295255825,-0.018371431156992912,1223.0,-2.2206270208333336
117,31,1893,59904,-1.3506138324737549,0.0004092704424510632,0.2,0.022137184,1856,-43.64195466041565,0.9921213984489441,0.2647705078125,-0.027174174872925505,0.004767626101966016,-0.03177380934357643,1223.0,-2.2206270208333336
118,31,1897,60416,0.6130332946777344,0.0004092704424510632,0.2,0.020225277,1872,-43.72428894042969,0.9949061870574951,0.247314453125,-0.02719497212092392,0.018929376965388656,-0.034085921943187714,1223.0,-2.2229242653061227
119,32,1900,60928,0.6584897041320801,0.0004092704424510632,0.2,0.028967213,1888,-43.77781009674072,0.9953036308288574,0.2254638671875,-0.019548098993254825,0.05077330191852525,-0.018973493948578835,1223.0,-2.2229242653061227
120,32,1903,61440,-6.295790672302246,0.0004092704424510632,0.2,0.023200361,1904,-43.78443646430969,0.9959676265716553,0.2701416015625,-0.025241627896321006,0.014072844598558731,-0.038559503853321075,1223.0,-2.22182426
121,32,1905,61952,0.10116487741470337,0.0004092704424510632,0.2,0.014215349,1920,-43.806326389312744,0.9965888261795044,0.115234375,-0.020312113221734762,0.2597899312386289,0.005921108648180962,1223.0,-2.22182426
122,32,1907,62464,-1.3097352981567383,0.0004092704424510632,0.2,0.012847198,1936,-43.823816537857056,0.9971601963043213,0.1978759765625,-0.02069680456770584,0.002705149832763709,-0.03259562700986862,1223.0,-2.225695843137255
