time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
104448,1333,21,57,0.0004092704424510632,0.2,-42.372841000556946,0.9557968974113464,0.022150223318021744,-0.0284222327209136,-0.04833965376019478,0.027937658,0.2861328125,3248,-5.112825870513916,-2.398102445783133,1257.0
104960,1333,22,58,0.0004092704424510632,0.2,-42.38480079174042,0.9558163285255432,0.5383592499420047,-0.01267343238578178,0.12671351432800293,0.013663758,0.0958251953125,3264,0.3054572343826294,-2.398102445783133,1257.0
105472,1332,22,59,0.0004092704424510632,0.2,-42.38872241973877,0.9562280774116516,0.06322919391095638,-0.028324047903879546,0.005204379558563232,0.020108208,0.2762451171875,3280,0.0802847146987915,-2.398102445783133,1257.0
105984,1332,23,60,0.0004092704424510632,0.2,-42.41086828708649,0.9573075175285339,0.01913153170607984,-0.018591482046758756,-0.011809537187218666,0.015911259,0.1925048828125,3296,-0.46639466285705566,-2.396785714285715,1257.0
106496,1332,23,61,0.0004092704424510632,0.2,-42.42935287952423,0.9573809504508972,0.46264949860051274,-0.013448184734443203,0.11594568192958832,0.010776846,0.086669921875,3312,0.34046268463134766,-2.396785714285715,1257.0
107008,1332,23,62,0.0004092704424510632,0.2,-42.42725348472595,0.9579574465751648,0.037146089132875204,-0.025355489749927074,-0.032152555882930756,0.023963867,0.24853515625,3328,-4.621179103851318,-2.3955699529411767,1257.0
107520,1331,24,63,0.0004092704424510632,0.2,-42.457006335258484,0.9584962725639343,0.7183349635452032,-0.013787848904030398,0.09301797300577164,0.014366533,0.06982421875,3344,0.23873770236968994,-2.3955699529411767,1257.0
108032,1331,24,64,0.0004092704424510632,0.2,-42.44020402431488,0.9567532539367676,0.02567701635416597,-0.027649737196043134,-0.027818579226732254,0.015957475,0.247802734375,3360,-1.9741690158843994,-2.3955699529411767,1257.0
108544,1331,24,65,0.0004092704424510632,0.2,-42.42850351333618,0.9590629935264587,0.008552095285267569,-0.0316428176156478,-0.03521406650543213,0.02729223,0.2733154296875,3376,0.3031134009361267,-2.395578790697675,1257.0
109056,1331,25,66,0.0004092704424510632,0.2,-42.50229024887085,0.9599801301956177,0.4260231861844659,-0.015163257223321125,0.10937687009572983,0.01338958,0.0936279296875,3392,0.44722068309783936,-2.395578790697675,1257.0
109568,1331,25,67,0.0004092704424510632,0.2,-42.48656702041626,0.9581863880157471,0.04705654364079237,-0.02856512475409545,-0.03333937004208565,0.024067022,0.2642822265625,3408,-3.569990634918213,-2.3939217471264373,1257.0
110080,1330,26,68,0.0004092704424510632,0.2,-42.42724168300629,0.9572343230247498,0.46645126724615693,-0.017379283395712264,0.08653636276721954,0.01682467,0.1226806640625,3424,0.44268691539764404,-2.3939217471264373,1257.0
110592,1330,26,69,0.0004092704424510632,0.2,-42.44682705402374,0.9595009684562683,0.037083736911881715,-0.018016180052654818,-0.012607097625732422,0.015409237,0.1900634765625,3440,-1.2484564781188965,-2.3939217471264373,1257.0
111104,1330,26,70,0.0004092704424510632,0.2,-42.503440380096436,0.9596301913261414,0.07005496276542544,-0.030285188360721804,-0.0018883012235164642,0.02340803,0.2735595703125,3456,0.5774778723716736,-2.392060193181818,1257.0
111616,1329,27,71,0.0004092704424510632,0.2,-42.48590552806854,0.9582987427711487,0.09802822617348284,-0.018445437905029394,-3.9711594581604004e-05,0.03455489,0.214111328125,3472,0.6489390730857849,-2.392060193181818,1257.0
112128,1329,27,72,0.0004092704424510632,0.2,-42.46669661998749,0.9591554403305054,0.011735362990293652,-0.02388451735896524,-0.02610350027680397,0.01853757,0.253662109375,3488,-2.431581735610962,-2.391040842696629,1257.0
112640,1329,28,73,0.0004092704424510632,0.2,-42.50406789779663,0.9598674178123474,0.6992767117917538,-0.01440020216978155,0.12647700309753418,0.014084115,0.128173828125,3504,0.19662529230117798,-2.391040842696629,1257.0
113152,1328,28,74,0.0004092704424510632,0.2,-42.49122083187103,0.958385169506073,0.022755204263376072,-0.021230763697531074,-0.018764741718769073,0.017838541,0.2381591796875,3520,-2.0496132373809814,-2.3907827111111106,1257.0
113664,1328,28,75,0.0004092704424510632,0.2,-42.448843121528625,0.957870364189148,0.4352997853420675,-0.01797938661184162,0.09216208010911942,0.022444865,0.1192626953125,3536,0.41088008880615234,-2.3907827111111106,1257.0
114176,1328,29,76,0.0004092704424510632,0.2,-42.42242121696472,0.956177294254303,0.026603597914800048,-0.026362831937149167,-0.04022769629955292,0.015918968,0.2576904296875,3552,-2.3527848720550537,-2.3907827111111106,1257.0
114688,1328,29,77,0.0004092704424510632,0.2,-42.37744581699371,0.9551565051078796,0.005333879991667345,-0.030155819025821984,-0.04205334559082985,0.017172828,0.2642822265625,3568,-0.14141738414764404,-2.3930399890109886,1257.0
115200,1328,30,78,0.0004092704424510632,0.2,-42.37341582775116,0.9552060961723328,0.658661509398371,-0.010377171958680265,0.06711404025554657,0.009860054,0.058837890625,3584,0.17789620161056519,-2.3930399890109886,1257.0
115712,1328,30,79,0.0004092704424510632,0.2,-42.38253593444824,0.9559458494186401,0.029724211111897603,-0.021326282469090074,-0.018285376951098442,0.017879892,0.21240234375,3600,-2.865218162536621,-2.3932994021739127,1257.0
116224,1328,30,80,0.0004092704424510632,0.2,-42.400492906570435,0.9558241367340088,0.4743719263933599,-0.011732315047993325,0.13796085119247437,0.012816563,0.1099853515625,3616,0.2844405174255371,-2.3932994021739127,1257.0
116736,1328,31,81,0.0004092704424510632,0.2,-42.379794239997864,0.9547125697135925,0.04567077395040542,-0.02684342145221308,-0.024594640359282494,0.01844012,0.242919921875,3632,-0.8847953081130981,-2.3932994021739127,1257.0
117248,1328,31,82,0.0004092704424510632,0.2,-42.36208760738373,0.9551230072975159,0.005572772475716192,-0.02532694855472073,-0.042382366955280304,0.019111153,0.2333984375,3648,-1.5842037200927734,-2.3908827849462364,1257.0
117760,1328,31,83,0.0004092704424510632,0.2,-42.37478220462799,0.95524001121521,0.6002547149546444,-0.013760976973571815,0.1380801647901535,0.011455165,0.1038818359375,3664,0.23333466053009033,-2.3908827849462364,1257.0
118272,1328,32,84,0.0004092704424510632,0.2,-42.38354825973511,0.9559871554374695,0.01385123714862857,-0.021976125077344477,-0.02819310687482357,0.020413391,0.251953125,3680,-3.302811622619629,-2.391454478723404,1257.0
118784,1328,32,85,0.0004092704424510632,0.2,-42.406949281692505,0.9560996294021606,0.5647876337170601,-0.018859055839129724,0.09253112971782684,0.017586306,0.10400390625,3696,0.38531357049942017,-2.391454478723404,1257.0
119296,1328,33,86,0.0004092704424510632,0.2,-42.38854229450226,0.9547591805458069,0.09014711459167302,-0.019890906682121567,0.0164005346596241,0.014140369,0.2117919921875,3712,0.0757678747177124,-2.391454478723404,1257.0
119808,1328,33,87,0.0004092704424510632,0.2,-42.3405978679657,0.9530138969421387,0.039498900121543556,-0.02539982000598684,-0.023830095306038857,0.017132517,0.2489013671875,3728,0.029198765754699707,-2.390905042105263,1257.0
120320,1328,33,88,0.0004092704424510632,0.2,-42.30431830883026,0.9522313475608826,0.44554295064881444,-0.01742818245838862,0.08621932566165924,0.019914474,0.125244140625,3744,0.42275118827819824,-2.390905042105263,1257.0
120832,1327,34,89,0.0004092704424510632,0.2,-42.28988444805145,0.9521248936653137,0.03756386291934177,-0.01802028392557986,-0.014376346953213215,0.020043518,0.1951904296875,3760,-4.573665142059326,-2.38979875,1257.0
121344,1327,34,90,0.0004092704424510632,0.2,-42.28907763957977,0.9520898461341858,0.5553319151513278,-0.014632281134254299,0.06954458355903625,0.015286176,0.0914306640625,3776,0.1631680130958557,-2.38979875,1257.0
121856,1327,35,91,0.0004092704424510632,0.2,-42.285308480262756,0.9517636299133301,0.026495283818803728,-0.027701558370608836,-0.03729390352964401,0.020280076,0.2784423828125,3792,-1.6309711933135986,-2.38979875,1257.0
122368,1327,35,92,0.0004092704424510632,0.2,-42.283806920051575,0.952090859413147,0.029661644774023443,-0.021216850203927606,-0.019955605268478394,0.016408991,0.211669921875,3808,0.3234955072402954,-2.3912331340206183,1257.0
122880,1327,35,93,0.0004092704424510632,0.2,-42.28935098648071,0.9515697956085205,0.36370470793917775,-0.023252576851518825,0.049749866127967834,0.013569498,0.1827392578125,3824,0.5367360711097717,-2.3912331340206183,1257.0
123392,1327,36,94,0.0004092704424510632,0.2,-42.27591001987457,0.9513610005378723,0.03274232300464064,-0.02387482617632486,-0.0325901173055172,0.028482778,0.251708984375,3840,-4.006704807281494,-2.3903268775510207,1257.0
123904,1327,36,95,0.0004092704424510632,0.2,-42.28823125362396,0.9518141150474548,0.45886434987187386,-0.01370559076895006,0.11103902757167816,0.017112628,0.099365234375,3856,0.379912793636322,-2.3903268775510207,1257.0
124416,1327,37,96,0.0004092704424510632,0.2,-42.31994950771332,0.9531717896461487,0.017299213010119274,-0.03236195823410526,-0.031358033418655396,0.028211564,0.3341064453125,3872,-2.0441629886627197,-2.3903268775510207,1257.0
124928,1326,37,97,0.0004092704424510632,0.2,-42.35083293914795,0.9538544416427612,0.11898901499807835,-0.02515986471553333,0.004617735743522644,0.017344153,0.2447509765625,3888,0.3540526032447815,-2.387780585858586,1257.0
125440,1326,37,98,0.0004092704424510632,0.2,-42.36819016933441,0.9538528323173523,0.10252748662605882,-0.02208681586489547,0.012568306177854538,0.028788313,0.21875,3904,0.7924890518188477,-2.387780585858586,1257.0
125952,1327,38,99,0.0004092704424510632,0.2,-42.36908400058746,0.954569935798645,0.006853864339063875,-0.027360362801118754,-0.03144167736172676,0.021610789,0.2806396484375,3920,-3.039614200592041,-2.38731593,1257.0
126464,1327,38,100,0.0004092704424510632,0.2,-42.38668429851532,0.9547992944717407,0.6415317142382264,-0.017582970118382946,0.10949254035949707,0.014607882,0.1346435546875,3936,0.2648141384124756,-2.38731593,1257.0
126976,1327,38,101,0.0004092704424510632,0.2,-42.39710605144501,0.9558459520339966,0.03340279986150563,-0.021215545857558027,-0.018074264749884605,0.013367137,0.197509765625,3952,-1.9966826438903809,-2.38597168,1257.0
127488,1327,39,102,0.0004092704424510632,0.2,-42.431225299835205,0.9559599161148071,0.45448752539232373,-0.010070193646242842,0.15504877269268036,0.018959388,0.0732421875,3968,0.5035388469696045,-2.38597168,1257.0
128000,1326,39,103,0.0004092704424510632,0.2,-42.413925528526306,0.9547990560531616,0.023531279497547075,-0.02552465905318968,-0.023536600172519684,0.023731645,0.2919921875,3984,-2.6551826000213623,-2.38597168,1257.0
128512,1326,40,104,0.0004092704424510632,0.2,-42.385188579559326,0.9551268219947815,0.004438023264810909,-0.027592937381996308,-0.03503713384270668,0.018622532,0.2703857421875,4000,-0.11089551448822021,-2.38979076,1257.0
129024,1326,40,105,0.0004092704424510632,0.2,-42.41094672679901,0.9555405378341675,0.6953114434145391,-0.018707332768826745,0.062189240008592606,0.014448024,0.0989990234375,4016,0.2599567174911499,-2.38979076,1257.0
129536,1326,40,106,0.0004092704424510632,0.2,-42.420483231544495,0.9559327363967896,0.038176208443474025,-0.02765199304849375,-0.03929564729332924,0.02192295,0.25439453125,4032,-2.9663918018341064,-2.3904511200000003,1257.0
130048,1326,41,107,0.0004092704424510632,0.2,-42.42064297199249,0.9561114311218262,0.526643518358469,-0.015567574810120277,0.060578424483537674,0.0133164795,0.075927734375,4048,0.26585811376571655,-2.3904511200000003,1257.0
130560,1326,41,108,0.0004092704424510632,0.2,-42.413540959358215,0.9555736184120178,0.05862495373003185,-0.023070777795510367,-0.0029850490391254425,0.019038584,0.244873046875,4064,-0.21115350723266602,-2.3904511200000003,1257.0
131072,1325,42,109,0.0004092704424510632,0.2,-42.385485768318176,0.9546721577644348,0.0068139780923957005,-0.03192257773480378,-0.04338532313704491,0.022452913,0.298095703125,4080,-1.6082713603973389,-2.3875260600000003,1257.0
131584,1325,42,110,0.0004092704424510632,0.2,-42.36800730228424,0.9545776844024658,0.517201560549438,-0.01658880886679981,0.08623650670051575,0.018456936,0.1075439453125,4096,0.3124854564666748,-2.3875260600000003,1257.0
132096,1325,42,111,0.0004092704424510632,0.2,-42.35026717185974,0.9529592990875244,0.013389886895311065,-0.029472943831933662,-0.03242684155702591,0.020965852,0.264404296875,4112,-4.331109523773193,-2.38680436,1257.0
132608,1325,43,112,0.0004092704424510632,0.2,-42.304962038993835,0.9525309205055237,0.49639971600845456,-0.015663983154809102,0.10084854066371918,0.018216018,0.0941162109375,4128,0.26180529594421387,-2.38680436,1257.0
