time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,3,76800,2334,0.014570288,0.2186279296875,0.0004092704424510632,0.2,-2.4963455200195312,-0.02334020080161281,-44.00906765460968,1.0029404163360596,-0.025682127103209496,2384,0.011022944629075937,1258.0,-2.128485704918033
0,4,77312,2234,0.012371283,0.0555419921875,0.0004092704424510632,0.2,0.21499711275100708,-0.012475988405640237,-43.993576526641846,1.002697229385376,0.09606564044952393,2400,0.5014678044244647,1258.0,-2.128485704918033
1,5,77824,2188,0.02495496,0.2628173828125,0.0004092704424510632,0.2,-6.186527252197266,-0.027159579869476147,-43.988893151283264,1.0025660991668701,-0.038515496999025345,2416,0.009235494573658798,1258.0,-2.128485704918033
1,6,78336,2155,0.020057678,0.261962890625,0.0004092704424510632,0.2,0.04426699876785278,-0.022997144318651408,-43.94237792491913,0.9991961121559143,-0.03396736457943916,2432,0.005334843634045683,1258.0,-2.128400193548387
1,7,78848,2130,0.012136965,0.0496826171875,0.0004092704424510632,0.2,0.2134714126586914,-0.012097441402147524,-43.85817813873291,0.9985840916633606,0.06822729110717773,2448,0.4399409503675997,1258.0,-2.128400193548387
1,8,79360,2113,0.020844398,0.2108154296875,0.0004092704424510632,0.2,-12.197447776794434,-0.020276943512726575,-43.862255811691284,0.9986226558685303,-0.03595906123518944,2464,0.02127852162811905,1258.0,-2.1277328095238097
2,9,79872,2099,0.01416182,0.0926513671875,0.0004092704424510632,0.2,0.2452908754348755,-0.010831842853804119,-43.850815534591675,0.9980564713478088,0.10006251186132431,2480,0.5113341775722802,1258.0,-2.1277328095238097
2,10,80384,2090,0.016830627,0.2008056640625,0.0004092704424510632,0.2,-16.397722244262695,-0.020439877691387665,-43.839893102645874,0.9978622794151306,-0.030121466144919395,2496,0.008875152620021254,1258.0,-2.1277328095238097
2,11,80896,2079,0.019439943,0.2664794921875,0.0004092704424510632,0.2,0.05211639404296875,-0.023443504935130477,-43.82640826702118,0.9966716766357422,-0.027788467705249786,2512,0.0054089468394522555,1258.0,-2.1291636093749995
2,12,81408,2073,0.0135358125,0.0692138671875,0.0004092704424510632,0.2,0.16137242317199707,-0.016021781542804092,-43.785183906555176,0.9959035515785217,0.011474858969449997,2528,0.486346552381292,1258.0,-2.1291636093749995
3,13,81920,2064,0.022666726,0.243896484375,0.0004092704424510632,0.2,-7.67333984375,-0.022583125581149943,-43.76510941982269,0.9952858090400696,-0.026040581986308098,2544,0.01821244429447688,1258.0,-2.1274039999999994
3,14,82432,2058,0.016834814,0.1439208984375,0.0004092704424510632,0.2,0.270132839679718,-0.021063261756353313,-43.75482892990112,0.9955754280090332,0.06425599753856659,2560,0.4374071233905852,1258.0,-2.1274039999999994
3,15,82944,2046,0.019079637,0.239501953125,0.0004092704424510632,0.2,-5.341346740722656,-0.02615034753398504,-43.759127736091614,0.9951711297035217,-0.031024545431137085,2576,0.0035880621944670565,1258.0,-2.1274039999999994
4,16,83456,2028,0.02350777,0.2977294921875,0.0004092704424510632,0.2,0.05606484413146973,-0.028306716092629358,-43.758440375328064,0.9960494041442871,-0.03432420641183853,2592,0.0037361195209086873,1258.0,-2.125332696969697
4,17,83968,2021,0.015480816,0.1103515625,0.0004092704424510632,0.2,0.19109511375427246,-0.018379882982117124,-43.77969574928284,0.9963889718055725,0.028598550707101822,2608,0.3927710629068315,1258.0,-2.125332696969697
4,18,84480,2000,0.014027998,0.172607421875,0.0004092704424510632,0.2,-9.056654930114746,-0.020919480855809525,-43.78878176212311,0.9970802068710327,-0.027090776711702347,2624,0.008573128397983965,1258.0,-2.125812671641791
4,19,84992,1982,0.007915209,0.0908203125,0.0004092704424510632,0.2,0.15237605571746826,-0.012610798876266927,-43.809954047203064,0.997384250164032,0.06968677043914795,2640,0.5553143206052482,1258.0,-2.125812671641791
5,20,85504,1982,0.023722488,0.2991943359375,0.0004092704424510632,0.2,-14.44090747833252,-0.02889308426529169,-43.80329084396362,0.9968358874320984,-0.03953900560736656,2656,0.0031428509628312895,1258.0,-2.125812671641791
5,21,86016,1970,0.022209924,0.259521484375,0.0004092704424510632,0.2,0.17098647356033325,-0.02556355274282396,-43.78939473628998,0.9967576265335083,-0.03405742719769478,2672,0.004879664149484597,1258.0,-2.1268376176470585
5,22,86528,1951,0.022262955,0.099609375,0.0004092704424510632,0.2,0.22982865571975708,-0.015346568572567776,-43.78834116458893,0.9963132739067078,0.012048760429024696,2688,0.3027723798295483,1258.0,-2.1268376176470585
6,23,87040,1944,0.027208898,0.2977294921875,0.0004092704424510632,0.2,-7.357633590698242,-0.030125929100904614,-43.750998973846436,0.9943087697029114,-0.03556618094444275,2704,0.014761684637051076,1258.0,-2.124271188405797
6,24,87552,1946,0.011210615,0.05126953125,0.0004092704424510632,0.2,0.07724803686141968,-0.011724822848918848,-43.702733516693115,0.9937600493431091,0.04375055432319641,2720,0.744155976222828,1258.0,-2.124271188405797
6,25,88064,1948,0.019947283,0.2481689453125,0.0004092704424510632,0.2,-13.661046028137207,-0.02513182682741899,-43.69622874259949,0.9934803247451782,-0.040806591510772705,2736,0.008512003842042759,1258.0,-2.123829671428571
6,26,88576,1950,0.010646551,0.0333251953125,0.0004092704424510632,0.2,0.32535481452941895,-0.010094283876242116,-43.68481147289276,0.993281900882721,0.09403020143508911,2752,0.5791510357521474,1258.0,-2.123829671428571
7,27,89088,1951,0.021485109,0.2130126953125,0.0004092704424510632,0.2,-13.342720985412598,-0.01684467871382367,-43.7055481672287,0.9955798983573914,-0.0227215513586998,2768,0.007393215400952613,1258.0,-2.123829671428571
7,28,89600,1952,0.022664644,0.293212890625,0.0004092704424510632,0.2,0.04487341642379761,-0.030197314568795264,-43.76487064361572,0.9958846569061279,-0.039671942591667175,2784,0.00436050770804286,1258.0,-2.1255705211267606
7,29,90112,1952,0.01298739,0.140380859375,0.0004092704424510632,0.2,0.1783769130706787,-0.018173894670326263,-43.75243699550629,0.9953691959381104,0.106755331158638,2800,0.647069875150919,1258.0,-2.1255705211267606
7,30,90624,1947,0.018207861,0.22265625,0.0004092704424510632,0.2,-7.222620964050293,-0.02417584089562297,-43.760743379592896,0.9969830513000488,-0.03153863176703453,2816,0.004443376084964257,1258.0,-2.1231228611111113
8,31,91136,1942,0.0141365,0.08935546875,0.0004092704424510632,0.2,0.3128735423088074,-0.01721106171316933,-43.806020855903625,0.9977641105651855,0.08866257220506668,2832,0.5859147207811475,1258.0,-2.1231228611111113
8,32,91648,1944,0.022981968,0.2760009765625,0.0004092704424510632,0.2,-10.754770278930664,-0.028892827220261097,-43.80520498752594,0.9971245527267456,-0.04175227880477905,2848,0.008099417776975315,1258.0,-2.1231228611111113
8,33,92160,1946,0.020344036,0.2642822265625,0.0004092704424510632,0.2,0.03442639112472534,-0.02893651458725799,-43.788371086120605,0.9971131682395935,-0.0334409661591053,2864,0.0039564065300510265,1258.0,-2.1234703561643835
8,34,92672,1948,0.013111316,0.0584716796875,0.0004092704424510632,0.2,0.1932273507118225,-0.012238362192874774,-43.77652680873871,0.9966306090354919,0.06421548128128052,2880,0.5873253615573049,1258.0,-2.1234703561643835
9,35,93184,1950,0.020861613,0.231201171875,0.0004092704424510632,0.2,-4.518624782562256,-0.02300637389998883,-43.7616161108017,0.9965947866439819,-0.03156566247344017,2896,0.011332046997267753,1258.0,-2.1230963108108107
9,36,93696,1951,0.012066276,0.0452880859375,0.0004092704424510632,0.2,0.2842751741409302,-0.009526400950562675,-43.77173089981079,0.9969631433486938,0.11831340193748474,2912,0.5383876361884177,1258.0,-2.1230963108108107
9,37,94208,1952,0.019704655,0.2789306640625,0.0004092704424510632,0.2,-10.585000991821289,-0.025653063552454114,-43.78051781654358,0.997551679611206,-0.04012478142976761,2928,0.008683976921020076,1258.0,-2.1230963108108107
9,38,94720,1954,0.01719213,0.2557373046875,0.0004092704424510632,0.2,0.04187881946563721,-0.026854600087972358,-43.75956618785858,0.995140790939331,-0.03467154502868652,2944,0.004746141239593271,1258.0,-2.1237476933333337
10,39,95232,1955,0.015470142,0.0770263671875,0.0004092704424510632,0.2,0.17769402265548706,-0.012220364282256924,-43.68637776374817,0.9939103722572327,0.03655355051159859,2960,0.5233838278800249,1258.0,-2.1237476933333337
10,40,95744,1956,0.027572863,0.3248291015625,0.0004092704424510632,0.2,-6.868458271026611,-0.0249876715533901,-43.67220640182495,0.9946613311767578,-0.034388862550258636,2976,0.00700749151292257,1258.0,-2.1253569342105263
10,41,96256,1957,0.011048267,0.0469970703125,0.0004092704424510632,0.2,0.17323529720306396,-0.01111423865222605,-43.70210027694702,0.9953120946884155,0.09755511581897736,2992,0.6421792823821306,1258.0,-2.1253569342105263
10,42,96768,1958,0.01820908,0.260498046875,0.0004092704424510632,0.2,-2.948927164077759,-0.02374850919295568,-43.71587145328522,0.995593249797821,-0.03301044553518295,3008,0.013250071729999036,1258.0,-2.1253569342105263
11,43,97280,1959,0.020778973,0.264892578125,0.0004092704424510632,0.2,0.05235648155212402,-0.025765905564185232,-43.729787826538086,0.9963018894195557,-0.03899334743618965,3024,0.004002536654297728,1258.0,-2.1256668961038963
11,44,97792,1961,0.015344343,0.07470703125,0.0004092704424510632,0.2,0.20775049924850464,-0.013504008034942672,-43.742111563682556,0.9963327646255493,0.06251060962677002,3040,0.5900561064481735,1258.0,-2.1256668961038963
11,45,98304,1962,0.020739593,0.2991943359375,0.0004092704424510632,0.2,-1.4977762699127197,-0.029221647913800552,-43.74069404602051,0.9960347414016724,-0.0394880585372448,3056,0.006385334374499507,1258.0,-2.122225448717949
11,46,98816,1963,0.011728119,0.0570068359375,0.0004092704424510632,0.2,0.4248892664909363,-0.010898237880610395,-43.724557399749756,0.9953717589378357,0.11493657529354095,3072,0.6221488532610238,1258.0,-2.122225448717949
12,47,99328,1964,0.025575276,0.3179931640625,0.0004092704424510632,0.2,-11.847273826599121,-0.029268099009641446,-43.716424107551575,0.9954532980918884,-0.04230763018131256,3088,0.004365236334706424,1258.0,-2.122225448717949
12,48,99840,1963,0.018020835,0.27197265625,0.0004092704424510632,0.2,0.13155597448349,-0.027692681120242923,-43.70803666114807,0.9941756725311279,-0.02656308002769947,3104,0.0038911149094928987,1258.0,-2.119134278481013
12,49,100352,1959,0.015726477,0.0897216796875,0.0004092704424510632,0.2,0.2248515486717224,-0.015519647771725431,-43.66732597351074,0.9936901330947876,0.034226514399051666,3120,0.3614852628670633,1258.0,-2.119134278481013
13,50,100864,1952,0.032716397,0.296875,0.0004092704424510632,0.2,-0.6159225702285767,-0.02919552095409017,-43.67539143562317,0.994401216506958,-0.017300795763731003,3136,0.0606068919878453,1258.0,-2.118545075
13,51,101376,1949,0.015345853,0.108154296875,0.0004092704424510632,0.2,0.6462758779525757,-0.01906390191288665,-43.70025444030762,0.994836688041687,0.09646373987197876,3152,0.4520770334638655,1258.0,-2.118545075
13,52,101888,1943,0.021797433,0.238037109375,0.0004092704424510632,0.2,-14.953230857849121,-0.022135026170872152,-43.69771158695221,0.993973970413208,-0.02353598177433014,3168,0.01583641371689737,1258.0,-2.118545075
13,53,102400,1944,0.017240958,0.2515869140625,0.0004092704424510632,0.2,0.40827083587646484,-0.029508452746085823,-43.6616427898407,0.9934489130973816,-0.03422556072473526,3184,0.03273803132469766,1258.0,-2.1170484938271605
14,54,102912,1945,0.034812637,0.30224609375,0.0004092704424510632,0.2,0.3486820459365845,-0.023093865311238915,-43.643885254859924,0.9928858876228333,-0.008660057559609413,3200,0.27992724149953574,1258.0,-2.1170484938271605
14,55,103424,1945,0.020650757,0.2874755859375,0.0004092704424510632,0.2,-4.9556169509887695,-0.02569323561328929,-43.62614965438843,0.9923685193061829,-0.03461042791604996,3216,0.022624940174864605,1258.0,-2.116408231707317
14,56,103936,1943,0.011468343,0.099853515625,0.0004092704424510632,0.2,0.22275644540786743,-0.01295884681167081,-43.61298322677612,0.9921137690544128,0.08786323666572571,3232,0.527186278719455,1258.0,-2.116408231707317
15,57,104448,1939,0.016597431,0.2723388671875,0.0004092704424510632,0.2,-16.946855545043945,-0.027550084778340533,-43.61403703689575,0.992642879486084,-0.031915076076984406,3248,0.006207827867910964,1258.0,-2.1168415060240964
15,58,104960,1933,0.010069123,0.05126953125,0.0004092704424510632,0.2,0.17250466346740723,-0.011275703640421852,-43.6236013174057,0.9926854968070984,0.09738261252641678,3264,0.7316344911232591,1258.0,-2.1168415060240964
15,59,105472,1929,0.018363375,0.256103515625,0.0004092704424510632,0.2,-3.8512487411499023,-0.02422452246537432,-43.63795804977417,0.9936804175376892,-0.031123531982302666,3280,0.0037012016473454423,1258.0,-2.1168415060240964
15,60,105984,1925,0.022253396,0.2686767578125,0.0004092704424510632,0.2,0.017819762229919434,-0.029850682214600965,-43.67391836643219,0.9949505925178528,-0.04943761229515076,3296,0.00435365924204234,1258.0,-2.117413369047619
16,61,106496,1925,0.016649453,0.070556640625,0.0004092704424510632,0.2,0.33194249868392944,-0.013222634159319568,-43.70684504508972,0.9954646825790405,0.0901152566075325,3312,0.6618902268819511,1258.0,-2.117413369047619
16,62,107008,1926,0.01699615,0.2188720703125,0.0004092704424510632,0.2,-4.594845294952393,-0.022013410925865173,-43.69074463844299,0.9935420155525208,-0.020175751298666,3328,0.02956161560723558,1258.0,-2.116669811764706
16,63,107520,1928,0.00864441,0.043701171875,0.0004092704424510632,0.2,0.2810036540031433,-0.00584464093844872,-43.63701355457306,0.9925512075424194,0.11606834828853607,3344,0.5695129334926605,1258.0,-2.116669811764706
17,64,108032,1924,0.020829909,0.27099609375,0.0004092704424510632,0.2,-8.964900016784668,-0.028011189730023034,-43.617035031318665,0.9924719929695129,-0.029930109158158302,3360,0.0027321217021381017,1258.0,-2.116669811764706
17,65,108544,1926,0.013966815,0.22900390625,0.0004092704424510632,0.2,0.011493504047393799,-0.02155950400629081,-43.643280386924744,0.9942793846130371,-0.03403450921177864,3376,0.005385686134104617,1258.0,-2.116823860465116
17,66,109056,1927,0.012393015,0.072998046875,0.0004092704424510632,0.2,0.07648295164108276,-0.015963406141963787,-43.69311451911926,0.9945783019065857,0.08105099201202393,3392,0.7331283427774906,1258.0,-2.116823860465116
17,67,109568,1928,0.017289158,0.2392578125,0.0004092704424510632,0.2,-1.9703164100646973,-0.023967831337358803,-43.682220816612244,0.993928849697113,-0.02895347774028778,3408,0.006412778049707413,1258.0,-2.117113103448276
18,68,110080,1930,0.009653507,0.0404052734375,0.0004092704424510632,0.2,0.41796135902404785,-0.00805468593898695,-43.665870785713196,0.9937475323677063,0.15610302984714508,3424,0.7493920875713229,1258.0,-2.117113103448276
18,69,110592,1931,0.02174779,0.237060546875,0.0004092704424510632,0.2,-11.201437950134277,-0.02060477617487777,-43.662346959114075,0.9934647679328918,-0.03326888382434845,3440,0.009923141165927518,1258.0,-2.117113103448276
18,70,111104,1932,0.019445691,0.2547607421875,0.0004092704424510632,0.2,0.03443640470504761,-0.027656745951389894,-43.65765595436096,0.9937323927879333,-0.037043265998363495,3456,0.0034397004346828908,1258.0,-2.1147176931818183
18,71,111616,1933,0.009450644,0.078857421875,0.0004092704424510632,0.2,0.203802227973938,-0.011734647589037195,-43.66077959537506,0.993608832359314,0.0759894847869873,3472,0.5758858239278197,1258.0,-2.1147176931818183
19,72,112128,1933,0.02815039,0.2967529296875,0.0004092704424510632,0.2,-9.211907386779785,-0.031669146032072604,-43.65301322937012,0.9938238859176636,-0.03843095526099205,3488,0.008583422742958646,1258.0,-2.11510695505618
19,73,112640,1934,0.009226504,0.0606689453125,0.0004092704424510632,0.2,0.1631665825843811,-0.009363449004013091,-43.670392751693726,0.9941866397857666,0.11731020361185074,3504,0.708400955889374,1258.0,-2.11510695505618
19,74,113152,1934,0.022690121,0.2823486328125,0.0004092704424510632,0.2,-16.882020950317383,-0.029201639801613055,-43.69424092769623,0.9955160617828369,-0.04870658367872238,3520,0.006587891766685061,1258.0,-2.11510695505618
19,75,113664,1935,0.017854124,0.27587890625,0.0004092704424510632,0.2,0.07271528244018555,-0.03052274213405326,-43.738277316093445,0.9964362978935242,-0.04129930958151817,3536,0.00400179539428791,1258.0,-2.114269911111111
20,76,114176,1935,0.011490705,0.0567626953125,0.0004092704424510632,0.2,0.22595417499542236,-0.009326163606601767,-43.75176155567169,0.9964832067489624,0.11815154552459717,3552,0.634919386357069,1258.0,-2.114269911111111
20,77,114688,1936,0.013577465,0.1697998046875,0.0004092704424510632,0.2,-0.8836276531219482,-0.017867698727059178,-43.74245202541351,0.9961247444152832,-0.017687302082777023,3568,0.00901127335964702,1258.0,-2.1147499450549447
20,78,115200,1936,0.012841499,0.0872802734375,0.0004092704424510632,0.2,0.29981327056884766,-0.01936560195463244,-43.72793769836426,0.9957737326622009,0.14013636112213135,3584,0.6727594891563058,1258.0,-2.1147499450549447
20,79,115712,1936,0.023434572,0.2265625,0.0004092704424510632,0.2,-23.650306701660156,-0.02205837078508921,-43.71783435344696,0.9959028363227844,-0.02839009091258049,3600,0.01811248426383827,1258.0,-2.1147499450549447
21,80,116224,1937,0.022557043,0.310546875,0.0004092704424510632,0.2,0.3381078839302063,-0.030380808049812913,-43.73082149028778,0.9962621927261353,-0.03876493498682976,3616,0.005502661049831659,1258.0,-2.1138277391304348
21,81,116736,1937,0.025792051,0.1484375,0.0004092704424510632,0.2,0.317069947719574,-0.01562266681867186,-43.735644817352295,0.9957832098007202,-0.017348673194646835,3632,0.2631767896236852,1258.0,-2.1138277391304348
21,82,117248,1934,0.02317217,0.2974853515625,0.0004092704424510632,0.2,-7.053586959838867,-0.025524102617055178,-43.718499302864075,0.9955517053604126,-0.03347495198249817,3648,0.019535784784238786,1258.0,-2.1128647096774196
21,83,117760,1935,0.012313834,0.04833984375,0.0004092704424510632,0.2,0.08487904071807861,-0.011719898517185356,-43.71617305278778,0.995560884475708,0.064265176653862,3664,0.837349456269294,1258.0,-2.1128647096774196
22,84,118272,1936,0.018168706,0.213623046875,0.0004092704424510632,0.2,-28.95156478881836,-0.02074530374375172,-43.74266183376312,0.9982325434684753,-0.025512808933854103,3680,0.018227777858555783,1258.0,-2.112030914893617
22,85,118784,1936,0.01111196,0.07080078125,0.0004092704424510632,0.2,0.3193094730377197,-0.01126088614546461,-43.822545170784,0.9992433190345764,0.11795767396688461,3696,0.7047519003972411,1258.0,-2.112030914893617
