time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
36352,29,1243,71,0.0012295432388782501,0.978417158126831,-43.25379431247711,0.1491066049784422,0.0004092704424510632,-0.023959167825523764,1120,0.02144982,0.11249500513076782,0.193359375,0.2,1223.0,-2.452166551724138
36864,29,1243,72,-0.028582710772752762,0.9759330153465271,-43.21643829345703,0.02692251789267175,0.0004092704424510632,-0.022674969921354204,1136,0.01957452,-2.975620746612549,0.18896484375,0.2,1223.0,-2.4484083
37376,30,1242,73,-0.007881779223680496,0.9754236936569214,-43.15202593803406,0.13844422448892146,0.0004092704424510632,-0.023725830498733558,1152,0.017493125,0.07501131296157837,0.2586669921875,0.2,1223.0,-2.4484083
37888,30,1242,74,-0.023810848593711853,0.9753249287605286,-43.150938630104065,0.013596035889349878,0.0004092704424510632,-0.022362891904776916,1168,0.018117977,-1.0383872985839844,0.2073974609375,0.2,1223.0,-2.4484083
38400,30,1242,75,-0.029354140162467957,0.9770663976669312,-43.16724956035614,0.016009844024665654,0.0004092704424510632,-0.025849201934761368,1184,0.018963939,0.540364682674408,0.241943359375,0.2,1223.0,-2.449414516129033
38912,31,1241,76,-0.0050234682857990265,0.9772757291793823,-43.21100962162018,0.06771861342713237,0.0004092704424510632,-0.01946625392884016,1200,0.030106168,0.46838515996932983,0.2103271484375,0.2,1223.0,-2.449414516129033
39424,31,1241,77,-0.041085850447416306,0.9777101874351501,-43.214444041252136,0.015826820221263915,0.0004092704424510632,-0.027228402796026785,1216,0.022100797,-4.045906066894531,0.2574462890625,0.2,1223.0,-2.45447628125
39936,32,1241,78,-0.0029869303107261658,0.977251410484314,-43.20666289329529,0.14259867614600807,0.0004092704424510632,-0.026161727611906826,1232,0.021831498,0.05187666416168213,0.2557373046875,0.2,1223.0,-2.45447628125
40448,32,1240,79,-0.03476082906126976,0.9772689938545227,-43.199427366256714,0.007532486197305843,0.0004092704424510632,-0.027745693325414322,1248,0.018046934,-1.3609859943389893,0.2296142578125,0.2,1223.0,-2.454186121212121
40960,33,1240,80,0.06107039004564285,0.9764083027839661,-43.195600390434265,0.14274466410279274,0.0004092704424510632,-0.012294942804146558,1264,0.014343992,0.27006566524505615,0.09521484375,0.2,1223.0,-2.454186121212121
41472,33,1239,81,-0.029902497306466103,0.9747986197471619,-43.15030765533447,0.006909148025442846,0.0004092704424510632,-0.03178043299703859,1280,0.018927101,-2.5767359733581543,0.26318359375,0.2,1223.0,-2.454186121212121
41984,33,1239,82,-0.04502066969871521,0.9727362394332886,-43.098769783973694,0.0033430361982027534,0.0004092704424510632,-0.03157545663998462,1296,0.021625409,-0.028038620948791504,0.281005859375,0.2,1223.0,-2.452907676470588
42496,34,1239,83,-0.011851750314235687,0.9719918370246887,-43.049238204956055,0.14496971375774592,0.0004092704424510632,-0.017268886134843342,1312,0.017788999,0.11506175994873047,0.1455078125,0.2,1223.0,-2.452907676470588
43008,34,1238,84,-0.036661092191934586,0.9730318188667297,-43.05163586139679,0.018287680693902075,0.0004092704424510632,-0.0307739838026464,1328,0.018691938,-5.208345413208008,0.2684326171875,0.2,1223.0,-2.4539125714285714
43520,35,1238,85,0.0694439709186554,0.9734610915184021,-43.07567358016968,0.17227751156315207,0.0004092704424510632,-0.025865306990453973,1344,0.028853789,0.0321086049079895,0.29345703125,0.2,1223.0,-2.4539125714285714
44032,35,1238,86,-0.03479347005486488,0.973063051700592,-43.07737159729004,0.023085713415639475,0.0004092704424510632,-0.03053914415067993,1360,0.022162363,-0.8824580907821655,0.2518310546875,0.2,1223.0,-2.453913611111111
44544,35,1239,87,0.02704896405339241,0.9725453853607178,-43.064743876457214,0.1438977811485529,0.0004092704424510632,-0.01878913852851838,1376,0.01697018,0.5808634757995605,0.153564453125,0.2,1223.0,-2.453913611111111
45056,36,1238,88,-0.047669410705566406,0.9729217886924744,-43.05998480319977,0.008532060528523289,0.0004092704424510632,-0.028904647842864506,1392,0.017739583,-0.7119013071060181,0.2403564453125,0.2,1223.0,-2.453913611111111
45568,36,1238,89,-0.027129054069519043,0.9739027619361877,-43.08425414562225,0.004408395499922335,0.0004092704424510632,-0.01883613482641522,1408,0.013803994,-0.17792153358459473,0.1829833984375,0.2,1223.0,-2.4561583783783782
46080,37,1238,90,0.0037355832755565643,0.9742781519889832,-43.11295664310455,0.1572228135773912,0.0004092704424510632,-0.023411283778841607,1424,0.020073041,0.15041887760162354,0.1776123046875,0.2,1223.0,-2.4561583783783782
46592,37,1238,91,-0.027559753507375717,0.9734659790992737,-43.106121301651,0.012786217703251168,0.0004092704424510632,-0.020501040969975293,1440,0.016873112,-2.5093703269958496,0.2039794921875,0.2,1223.0,-2.4542819736842105
47104,38,1238,92,0.03974774107336998,0.9727256298065186,-43.07154858112335,0.1699098605895415,0.0004092704424510632,-0.018315085020731203,1456,0.015066024,0.12943041324615479,0.14013671875,0.2,1223.0,-2.4542819736842105
47616,38,1238,93,-0.034151989966630936,0.9717782139778137,-43.04942536354065,0.009032351576024666,0.0004092704424510632,-0.02918258961290121,1472,0.015255272,-0.10750198364257812,0.2515869140625,0.2,1223.0,-2.4542819736842105
48128,38,1237,94,-0.03254174068570137,0.9716979265213013,-43.02303087711334,0.005694905325071886,0.0004092704424510632,-0.027878091554157436,1488,0.022087153,-0.6197744607925415,0.25927734375,0.2,1223.0,-2.4522003333333333
48640,39,1237,95,-0.00965486653149128,0.9715092182159424,-43.02609443664551,0.1789369460893795,0.0004092704424510632,-0.022816042124759406,1504,0.019805651,0.16198021173477173,0.1546630859375,0.2,1223.0,-2.4522003333333333
49152,39,1237,96,-0.039187368005514145,0.9701730012893677,-43.004644989967346,0.014403412264073268,0.0004092704424510632,-0.0254221016948577,1520,0.016188193,-5.200803756713867,0.2288818359375,0.2,1223.0,-2.4536479
49664,40,1237,97,0.023664327338337898,0.9697292447090149,-42.97598373889923,0.2190619654720649,0.0004092704424510632,-0.022757080601877533,1536,0.021689435,0.052054643630981445,0.21533203125,0.2,1223.0,-2.4536479
50176,40,1236,98,-0.028197146952152252,0.971259355545044,-42.98665535449982,0.020141966961091384,0.0004092704424510632,-0.022936767840292305,1552,0.018206742,-1.931776762008667,0.22509765625,0.2,1223.0,-2.4527596341463416
50688,40,1236,99,0.04222020506858826,0.9715068936347961,-43.025674700737,0.2427640852984041,0.0004092704424510632,-0.01911145211488474,1568,0.01804689,0.13270968198776245,0.1885986328125,0.2,1223.0,-2.4527596341463416
51200,41,1236,100,-0.050053879618644714,0.9721473455429077,-43.0311473608017,0.007369244660367258,0.0004092704424510632,-0.027008774981368333,1584,0.017363844,-1.4858708381652832,0.22998046875,0.2,1223.0,-2.4527596341463416
51712,41,1236,101,-0.039000123739242554,0.972747802734375,-43.052457332611084,0.0028734299085044768,0.0004092704424510632,-0.022875667549669743,1600,0.01465404,0.06542402505874634,0.2060546875,0.2,1223.0,-2.4533973571428573
52224,42,1236,102,0.011845733970403671,0.9735276103019714,-43.07622051239014,0.23315679910592735,0.0004092704424510632,-0.026506715454161167,1616,0.018333798,0.12329906225204468,0.1328125,0.2,1223.0,-2.4533973571428573
52736,42,1236,103,-0.03485969454050064,0.9761027097702026,-43.11677825450897,0.023379242949886248,0.0004092704424510632,-0.023216248082462698,1632,0.016479654,-3.550313949584961,0.198974609375,0.2,1223.0,-2.4541568139534884
53248,43,1235,104,0.05109493061900139,0.97801673412323,-43.206374645233154,0.2801503073424101,0.0004092704424510632,-0.024446498864563182,1648,0.02311701,0.03077596426010132,0.2315673828125,0.2,1223.0,-2.4541568139534884
53760,43,1235,105,-0.008769597858190536,0.9784823060035706,-43.24079370498657,0.04588244331534952,0.0004092704424510632,-0.024944739110651426,1664,0.01554365,0.12893807888031006,0.2034912109375,0.2,1223.0,-2.4541568139534884
54272,43,1235,106,-0.01608576439321041,0.9786075949668884,-43.25019311904907,0.055946596316061914,0.0004092704424510632,-0.03032493614591658,1680,0.02329847,-0.16542506217956543,0.281005859375,0.2,1223.0,-2.4554197500000003
54784,44,1235,107,0.017326325178146362,0.9782065153121948,-43.24773621559143,0.12418806320056319,0.0004092704424510632,-0.01705018602660857,1696,0.022737116,0.6580785512924194,0.1885986328125,0.2,1223.0,-2.4554197500000003
55296,44,1235,108,-0.03397873044013977,0.9765757918357849,-43.21735656261444,0.017091471585445106,0.0004092704424510632,-0.03129919346247334,1712,0.020938825,-4.700859069824219,0.276123046875,0.2,1223.0,-2.4568974444444445
55808,45,1235,109,0.031222153455018997,0.976235032081604,-43.18026328086853,0.2501388369128108,0.0004092704424510632,-0.01976516706054099,1728,0.016744355,0.07840627431869507,0.1298828125,0.2,1223.0,-2.4568974444444445
56320,45,1235,110,-0.027979273349046707,0.9754979610443115,-43.17000722885132,0.02479185233823955,0.0004092704424510632,-0.028569459915161133,1744,0.018750641,-1.4792098999023438,0.256591796875,0.2,1223.0,-2.452482521739131
56832,46,1235,111,0.044167861342430115,0.9752655029296875,-43.156325578689575,0.25774050573818386,0.0004092704424510632,-0.011431328734033741,1760,0.010750197,0.23934268951416016,0.0528564453125,0.2,1223.0,-2.452482521739131
57344,46,1235,112,-0.038935091346502304,0.9738062024116516,-43.134482979774475,0.0071029923419700935,0.0004092704424510632,-0.02916975854896009,1776,0.020670773,-0.74986732006073,0.267333984375,0.2,1223.0,-2.452482521739131
57856,46,1234,113,-0.019101012498140335,0.9734936356544495,-43.09425437450409,0.0032329370478692,0.0004092704424510632,-0.023240682668983936,1792,0.014274895,-0.16269159317016602,0.2078857421875,0.2,1223.0,-2.4516088297872343
58368,47,1234,114,0.029237914830446243,0.9733503460884094,-43.08868741989136,0.24279113812372088,0.0004092704424510632,-0.022881603232235648,1808,0.018021245,0.14656049013137817,0.1546630859375,0.2,1223.0,-2.4516088297872343
58880,47,1234,115,-0.03497641906142235,0.9736543893814087,-43.08580124378204,0.03316267830086872,0.0004092704424510632,-0.027684114436851814,1824,0.024870925,-4.515851020812988,0.251953125,0.2,1223.0,-2.453722958333333
59392,48,1234,116,0.015597809106111526,0.9736541509628296,-43.09430968761444,0.2777973662596196,0.0004092704424510632,-0.015112784734810703,1840,0.013849017,0.039152443408966064,0.1517333984375,0.2,1223.0,-2.453722958333333
59904,48,1234,117,-0.011377301067113876,0.9740437865257263,-43.097097992897034,0.021271847712341696,0.0004092704424510632,-0.01616169823682867,1856,0.012037007,-1.0114314556121826,0.1461181640625,0.2,1223.0,-2.453722958333333
60416,48,1234,118,-0.025003250688314438,0.9749202728271484,-43.1226931810379,0.0558235376374796,0.0004092704424510632,-0.032218015257967636,1872,0.026754498,0.606693685054779,0.3160400390625,0.2,1223.0,-2.4551642653061223
60928,49,1234,119,0.0010492689907550812,0.974097728729248,-43.1319055557251,0.08633616589941084,0.0004092704424510632,-0.02066594072675798,1888,0.0350049,0.6406078338623047,0.23486328125,0.2,1223.0,-2.4551642653061223
61440,49,1233,120,-0.022362254559993744,0.9738070368766785,-43.09998142719269,0.022378074325388297,0.0004092704424510632,-0.023951784998644143,1904,0.017152157,-4.942380905151367,0.2178955078125,0.2,1223.0,-2.45343152
61952,50,1233,121,0.014476150274276733,0.9732811450958252,-43.0923091173172,0.2497156225144863,0.0004092704424510632,-0.02028730438905768,1920,0.018386295,0.04751819372177124,0.2049560546875,0.2,1223.0,-2.45343152
62464,50,1233,122,-0.03193400800228119,0.9723965525627136,-43.068792939186096,0.013535704900277779,0.0004092704424510632,-0.025980199628975242,1936,0.017485393,-1.7439978122711182,0.25,0.2,1223.0,-2.4516235098039214
62976,51,1233,123,0.02720201015472412,0.9714663028717041,-43.04287254810333,0.2549005046021193,0.0004092704424510632,-0.016646656265947968,1952,0.012816941,0.24918222427368164,0.093017578125,0.2,1223.0,-2.4516235098039214
