time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
84,43008,35,1210,-0.023377122241072357,0.013837503,-0.24649465084075928,-42.90196132659912,0.2,0.010055409307824448,1328,0.0004092704424510632,0.190185546875,-0.03663327544927597,0.9673256874084473,-2.4093269411764706,1258.0
85,43520,35,1210,-0.017044626059941947,0.0145040825,0.10107344388961792,-42.91788029670715,0.2,0.11169045348651707,1344,0.0004092704424510632,0.1983642578125,0.013830939307808876,0.9680851101875305,-2.4093269411764706,1258.0
86,44032,36,1210,-0.022270353641943075,0.017040491,0.3047693967819214,-42.92831301689148,0.2,0.013906347507145256,1360,0.0004092704424510632,0.1883544921875,-0.029797598719596863,0.9677527546882629,-2.4105476,1258.0
87,44544,36,1210,-0.022895590314874426,0.0151675455,0.21219760179519653,-42.90291917324066,0.2,0.11607160815037787,1376,0.0004092704424510632,0.2020263671875,0.02170199528336525,0.9666534662246704,-2.4105476,1258.0
88,45056,37,1210,-0.02666436950676143,0.017704096,-3.3323068618774414,-42.88033735752106,0.2,0.00417168279454927,1392,0.0004092704424510632,0.24755859375,-0.04004346579313278,0.9665276408195496,-2.4105476,1258.0
89,45568,37,1210,-0.0322491409315262,0.02751342,0.2542215585708618,-42.87534499168396,0.2,0.0032151563245861325,1408,0.0004092704424510632,0.29931640625,-0.03893899917602539,0.9661641120910645,-2.4071526666666667,1258.0
90,46080,38,1210,-0.028279508856940083,0.029148964,0.06461447477340698,-42.85316729545593,0.2,0.1269931155256927,1424,0.0004092704424510632,0.2886962890625,0.0018222518265247345,0.9651600122451782,-2.4071526666666667,1258.0
91,46592,38,1210,-0.02146625510067679,0.015219403,0.32674211263656616,-42.84086513519287,0.2,0.018295842048246413,1440,0.0004092704424510632,0.1864013671875,-0.021223511546850204,0.9660143852233887,-2.402675675675676,1258.0
92,47104,38,1210,-0.024130989200784825,0.020414544,0.31968843936920166,-42.86146819591522,0.2,0.14102339814417064,1456,0.0004092704424510632,0.2335205078125,0.018855806440114975,0.9663189053535461,-2.402675675675676,1258.0
93,47616,39,1210,-0.02450288675026968,0.016535405,-1.293388843536377,-42.868484139442444,0.2,0.006063189735868946,1472,0.0004092704424510632,0.21435546875,-0.04137708619236946,0.9662498831748962,-2.402675675675676,1258.0
94,48128,39,1209,-0.025562069364241324,0.01806751,-0.1778101921081543,-42.88572692871094,0.2,0.003583809419069439,1488,0.0004092704424510632,0.25830078125,-0.044648975133895874,0.9678398370742798,-2.3990522894736848,1258.0
95,48640,40,1209,-0.025085611094255,0.02400845,0.04260176420211792,-42.936784505844116,0.2,0.1273263457696885,1504,0.0004092704424510632,0.2489013671875,0.030469633638858795,0.9688740372657776,-2.3990522894736848,1258.0
96,49152,40,1209,-0.02101675103767775,0.0141410325,0.0028290748596191406,-42.94680440425873,0.2,0.023381865117698908,1520,0.0004092704424510632,0.192626953125,-0.03221403807401657,0.9684018492698669,-2.4007593333333337,1258.0
97,49664,41,1209,-0.019761760864639655,0.011954226,0.33520591259002686,-42.934741735458374,0.2,0.1392234698869288,1536,0.0004092704424510632,0.1875,0.030254000797867775,0.9683423042297363,-2.4007593333333337,1258.0
98,50176,41,1209,-0.031233342102495953,0.020544594,0.3689303398132324,-42.92994976043701,0.2,0.018217034463305026,1552,0.0004092704424510632,0.259033203125,-0.038487836718559265,0.9679511189460754,-2.4007593333333337,1258.0
99,50688,41,1208,-0.018763927015243098,0.0151627455,-0.3695812225341797,-42.91870319843292,0.2,0.002366958222410176,1568,0.0004092704424510632,0.17626953125,-0.03171480447053909,0.9684054851531982,-2.397427,1258.0
100,51200,42,1208,-0.024833107978338376,0.022669284,0.10676515102386475,-42.94218313694,0.2,0.1270505127031356,1584,0.0004092704424510632,0.2181396484375,0.01810314878821373,0.968609094619751,-2.397427,1258.0
101,51712,42,1208,-0.028338988588075154,0.016972799,-0.34040606021881104,-42.93952250480652,0.2,0.016248650586931035,1600,0.0004092704424510632,0.2364501953125,-0.034127846360206604,0.968809187412262,-2.3907837073170732,1258.0
102,52224,43,1208,-0.01924379335832782,0.014852926,0.13158506155014038,-42.94707226753235,0.2,0.1031029096338898,1616,0.0004092704424510632,0.15966796875,0.02034197933971882,0.9691929221153259,-2.3907837073170732,1258.0
