time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
41,145920,1720,138,-0.03250856325030327,-0.021514419582672417,4544,0.2,0.021361731,-5.0607991218566895,0.23193359375,-42.397380352020264,0.012016786335152574,0.9582628607749939,0.0004092704424510632,-2.5255390500000003,1257.0
41,146432,1719,139,0.18211574852466583,-0.004747265949845314,4560,0.2,0.0049059764,0.34375905990600586,0.014892578125,-42.406408190727234,1.1409740317612886,0.95831298828125,0.0004092704424510632,-2.5255390500000003,1257.0
41,146944,1719,140,-0.031326714903116226,-0.029726447857683524,4576,0.2,0.018147288,-0.8993628025054932,0.269287109375,-42.39204382896423,0.017478141700848937,0.9575796723365784,0.0004092704424510632,-2.5255390500000003,1257.0
41,147456,1719,141,-0.029219169169664383,-0.022881240518472623,4592,0.2,0.019960362,0.3092530369758606,0.253173828125,-42.35283648967743,0.007434090264723636,0.9562817215919495,0.0004092704424510632,-2.5272367300000003,1257.0
42,147968,1719,142,0.18431435525417328,-0.007218470491352491,4608,0.2,0.005044965,0.3587602972984314,0.076904296875,-42.32252037525177,1.3131239963695407,0.956107497215271,0.0004092704424510632,-2.5272367300000003,1257.0
42,148480,1720,143,-0.038969460874795914,-0.03053237884887494,4624,0.2,0.026588844,-2.904897689819336,0.2861328125,-42.336206674575806,0.02081241930136457,0.9575534462928772,0.0004092704424510632,-2.5262018000000004,1257.0
42,148992,1720,144,0.1770532727241516,-0.01198871594533557,4640,0.2,0.010470729,0.4016040563583374,0.0594482421875,-42.37270951271057,1.0009507536888123,0.9582952857017517,0.0004092704424510632,-2.5262018000000004,1257.0
43,149504,1719,145,-0.02920752391219139,-0.02530996795394458,4656,0.2,0.023599386,-0.23574578762054443,0.30126953125,-42.41486346721649,0.04487878060899675,0.9612170457839966,0.0004092704424510632,-2.5262018000000004,1257.0
43,150016,1718,146,-0.022669397294521332,-0.02852052272646688,4672,0.2,0.022280257,0.6414215564727783,0.289306640625,-42.48514378070831,0.04702020552940667,0.9612675905227661,0.0004092704424510632,-2.5252249700000005,1257.0
43,150528,1719,147,0.07372395694255829,-0.014789779466809705,4688,0.2,0.0148529075,0.5083425641059875,0.0992431640625,-42.47115755081177,0.7002371866255999,0.9609522819519043,0.0004092704424510632,-2.5252249700000005,1257.0
0,151040,4005,1,-0.02210782654583454,-0.03142515241052024,4704,0.2,0.022555508,-3.096165657043457,0.293212890625,-42.443915605545044,0.026090699422638863,0.9588816165924072,0.0004092704424510632,-2.5254018,1257.0
0,151552,2421,2,0.16903647780418396,-0.007974819935043342,4720,0.2,0.007818317,0.3291759490966797,0.024169921875,-42.38601338863373,1.2234280984848738,0.9579021334648132,0.0004092704424510632,-2.5254018,1257.0
0,152064,2137,3,-0.03499577194452286,-0.03564357350114733,4736,0.2,0.026859766,-0.18673574924468994,0.353759765625,-42.354474663734436,0.0337455123080872,0.9563500881195068,0.0004092704424510632,-2.5254018,1257.0
0,152576,2060,4,-0.006922580301761627,-0.02271520919748582,4752,0.2,0.021549765,0.5895649194717407,0.259033203125,-42.28941881656647,0.09507238259539008,0.954328715801239,0.0004092704424510632,-2.52383572,1257.0
1,153088,1992,5,0.00911637768149376,-0.017314654018264264,4768,0.2,0.022712514,0.6158092021942139,0.115234375,-42.246501445770264,0.31024285312741995,0.9534897804260254,0.0004092704424510632,-2.52383572,1257.0
1,153600,1945,6,-0.03648404777050018,-0.02153179855667986,4784,0.2,0.02337372,-7.9474334716796875,0.2874755859375,-42.219780921936035,0.022571274428628385,0.9521250128746033,0.0004092704424510632,-2.52630299,1257.0
1,154112,1912,7,0.17610713839530945,-0.009680849121650681,4800,0.2,0.0124979215,0.26470422744750977,0.0556640625,-42.19817292690277,1.4553181985393167,0.9519729018211365,0.0004092704424510632,-2.52630299,1257.0
2,154624,1891,8,-0.029864860698580742,-0.02518099089502357,4816,0.2,0.018996634,-0.4924314022064209,0.232177734375,-42.188557624816895,0.01666167759685777,0.9512299299240112,0.0004092704424510632,-2.5256430400000003,1257.0
2,155136,1866,9,0.16261477768421173,-0.004990604917111341,4832,0.2,0.006792443,0.5867640972137451,0.019775390625,-42.15404272079468,1.1103066075593233,0.9508023858070374,0.0004092704424510632,-2.5256430400000003,1257.0
2,155648,1852,10,-0.024933792650699615,-0.02514176649856381,4848,0.2,0.018092144,-1.7501013278961182,0.23974609375,-42.127153515815735,0.019408225343795493,0.9492830634117126,0.0004092704424510632,-2.5256430400000003,1257.0
3,156160,1840,11,-0.041100241243839264,-0.032693041022866964,4864,0.2,0.021548763,-0.5999082326889038,0.3094482421875,-42.092045545578,0.005435018669231795,0.9496453404426575,0.0004092704424510632,-2.52757592,1257.0
3,156672,1830,12,0.1725761443376541,-0.013031959213549271,4880,0.2,0.00925857,0.4064560532569885,0.1103515625,-42.11623287200928,2.12427797075361,0.9498127698898315,0.0004092704424510632,-2.52757592,1257.0
3,157184,1823,13,-0.03812709450721741,-0.022920268747839145,4896,0.2,0.018535707,-2.6409716606140137,0.2540283203125,-42.11640548706055,0.021497201145393774,0.9497765302658081,0.0004092704424510632,-2.52900773,1257.0
3,157696,1817,14,0.13730274140834808,-0.01082257078087423,4912,0.2,0.014400389,0.483731210231781,0.0567626953125,-42.12242233753204,1.0637622401118279,0.9497137665748596,0.0004092704424510632,-2.52900773,1257.0
4,158208,1813,15,0.028549019247293472,-0.027897006802959368,4928,0.2,0.023431811,0.0675167441368103,0.284423828125,-42.11560642719269,0.16140173468738794,0.9496005177497864,0.0004092704424510632,-2.52900773,1257.0
4,158720,1808,16,-0.027668502181768417,-0.02251274639274925,4944,0.2,0.016525328,-2.908402681350708,0.243896484375,-42.09697413444519,0.01880312687717378,0.9491363763809204,0.0004092704424510632,-2.53133501,1257.0
4,159232,1802,17,0.16460883617401123,-0.010072381541249342,4960,0.2,0.009158694,0.3627789616584778,0.053466796875,-42.08021569252014,2.1023707957938313,0.9489551186561584,0.0004092704424510632,-2.53133501,1257.0
5,159744,1799,18,-0.029187554493546486,-0.02867296260956209,4976,0.2,0.016871737,-6.941992282867432,0.2669677734375,-42.099247455596924,0.004193881970422808,0.950454592704773,0.0004092704424510632,-2.5342528800000004,1257.0
5,160256,1794,19,0.26049721240997314,-0.0050884020602097735,4992,0.2,0.006922567,0.0692257285118103,0.024169921875,-42.13856267929077,1.8759928084909916,0.951005756855011,0.0004092704424510632,-2.5342528800000004,1257.0
5,160768,1791,20,-0.027576373890042305,-0.028202317960676737,5008,0.2,0.018943552,0.052109360694885254,0.2574462890625,-42.171462178230286,0.015801676432602108,0.9527935981750488,0.0004092704424510632,-2.5342528800000004,1257.0
6,161280,1787,21,-0.029421783983707428,-0.025935823272448033,5024,0.2,0.016469112,0.355560302734375,0.2655029296875,-42.20393347740173,0.015160009235842153,0.9517840147018433,0.0004092704424510632,-2.5353549200000005,1257.0
6,161792,1785,22,0.15241944789886475,-0.010607576747133862,5040,0.2,0.011106269,0.4841846823692322,0.04541015625,-42.163718819618225,1.0397143652662635,0.9511038661003113,0.0004092704424510632,-2.5353549200000005,1257.0
6,162304,1780,23,-0.025186020880937576,-0.021771485859062523,5056,0.2,0.02174525,-3.750819683074951,0.2445068359375,-42.17518854141235,0.027600740955676883,0.9527355432510376,0.0004092704424510632,-2.5365605300000005,1257.0
