time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
1240,105984,24,60,0.0004092704424510632,0.22265625,0.007380702372756787,0.2,0.9951688051223755,-43.64551067352295,-0.024542312865378335,0.016147032,-0.043726805597543716,0.15110266208648682,3296,-2.302815023809524,1257.0
1240,106496,25,61,0.0004092704424510632,0.071533203125,0.29644977021962404,0.2,0.9961932301521301,-43.71336317062378,-0.01759342645527795,0.016554642,0.01662628725171089,0.5024182200431824,3312,-2.302815023809524,1257.0
1240,107008,25,62,0.0004092704424510632,0.2904052734375,0.009519637314951979,0.2,0.9993472099304199,-43.761029958724976,-0.02638348753680475,0.027245328,-0.04028817266225815,-2.6216518878936768,3328,-2.301389388235294,1257.0
1240,107520,26,63,0.0004092704424510632,0.0419921875,0.552106337621808,0.2,1.0007638931274414,-43.84379506111145,-0.010163835802813992,0.011649925,0.053668148815631866,0.11102926731109619,3344,-2.301389388235294,1257.0
1240,108032,26,64,0.0004092704424510632,0.2431640625,0.007312020272365771,0.2,0.9992775321006775,-43.848583698272705,-0.02653975080465898,0.018532041,-0.042472731322050095,0.06758081912994385,3360,-2.301389388235294,1257.0
1239,108544,26,65,0.0004092704424510632,0.220703125,0.06844324490521103,0.2,0.9988430738449097,-43.8080233335495,-0.024402028444455937,0.02029504,0.0013699233531951904,0.5886886119842529,3376,-2.2991853139534886,1257.0
1239,109056,27,66,0.0004092704424510632,0.1162109375,0.21293837507255375,0.2,0.9989182353019714,-43.81051325798035,-0.015060737758176401,0.017679662,0.019907616078853607,0.8167329430580139,3392,-2.2991853139534886,1257.0
1239,109568,27,67,0.0004092704424510632,0.2353515625,0.0749654151732102,0.2,0.9977695345878601,-43.798614263534546,-0.02476553837186657,0.019837825,-0.009571461006999016,-1.7629761695861816,3408,-2.298174,1257.0
1238,110080,28,68,0.0004092704424510632,0.06396484375,0.5081858430057764,0.2,0.9973942637443542,-43.768075942993164,-0.012601350725162774,0.009302393,0.3059782087802887,0.8059514164924622,3424,-2.298174,1257.0
1237,110592,28,69,0.0004092704424510632,0.2811279296875,0.11343697388656437,0.2,0.9965752363204956,-43.757253766059875,-0.029108579430612735,0.030202497,0.015753716230392456,0.5940200090408325,3440,-2.298174,1257.0
1237,111104,28,70,0.0004092704424510632,0.0682373046875,0.6543888282030821,0.2,0.9966738820075989,-43.746302485466,-0.012719019097858109,0.011774992,0.23746542632579803,0.805266797542572,3456,-2.2973335909090906,1257.0
1237,111616,29,71,0.0004092704424510632,0.2103271484375,0.018266272178152576,0.2,0.9965946078300476,-43.75129437446594,-0.02590357681037858,0.013826636,-0.03909334912896156,0.9829056859016418,3472,-2.2973335909090906,1257.0
1237,112128,29,72,0.0004092704424510632,0.28955078125,0.042321435757912695,0.2,0.9978320598602295,-43.76187860965729,-0.028563678730279207,0.023143008,-0.017830077558755875,-1.233313798904419,3488,-2.2977136966292133,1257.0
