time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
177664,1275,21,53,-44.004520297050476,0.011779028252931312,-0.028629524633288383,-0.028458305372623727,5536,0.0004092704424510632,0.2,0.0059212446212768555,0.2939453125,1.0108540058135986,0.021778092,-2.7712890399999996,1258.0
178176,1275,21,54,-44.01367199420929,1.310988299548626,0.12847088277339935,-0.012103916436899453,5552,0.0004092704424510632,0.2,0.16230201721191406,0.052001953125,1.0109593868255615,0.0102494685,-2.7712890399999996,1258.0
178688,1275,22,55,-44.003787994384766,0.007544607564341277,-0.032699815928936005,-0.023162230296293274,5568,0.0004092704424510632,0.2,-8.058466911315918,0.256103515625,1.0102324485778809,0.01823707,-2.77070577,1258.0
179200,1275,22,56,-43.976829409599304,1.29054013825953,0.19584305584430695,-0.006179361167596653,5584,0.0004092704424510632,0.2,0.3432217240333557,0.009033203125,1.0098737478256226,0.0056507946,-2.77070577,1258.0
179712,1275,22,57,-43.98240339756012,0.0031244408710335847,-0.04594510793685913,-0.03480941810994409,5600,0.0004092704424510632,0.2,-1.9688146114349365,0.3470458984375,1.0104625225067139,0.027017461,-2.77070577,1258.0
180224,1274,23,58,-44.02548658847809,0.01137033337727189,-0.02820461243391037,-0.027399933198466897,5616,0.0004092704424510632,0.2,0.006098508834838867,0.26416015625,1.013810634613037,0.019370604,-2.7685549500000004,1258.0
180736,1274,23,59,-44.1135687828064,1.4271601038053632,0.11774371564388275,-0.012064964568708092,5632,0.0004092704424510632,0.2,0.177750825881958,0.0330810546875,1.0151218175888062,0.008387015,-2.7685549500000004,1258.0
181248,1272,24,60,-44.11035859584808,0.011970500112511218,-0.03237035125494003,-0.027554906861041673,5648,0.0004092704424510632,0.2,-1.3546512126922607,0.2930908203125,1.0141386985778809,0.020800672,-2.7678188400000003,1258.0
181760,1271,24,61,-44.090341567993164,1.102470145560801,0.1628975123167038,-0.010341270084609278,5664,0.0004092704424510632,0.2,0.2699456810951233,0.0374755859375,1.0137488842010498,0.010793466,-2.7678188400000003,1258.0
182272,1271,24,62,-44.104522943496704,0.004822127808438381,-0.02352619357407093,-0.02721251643379219,5680,0.0004092704424510632,0.2,-13.654892921447754,0.2779541015625,1.0154632329940796,0.02321989,-2.7678188400000003,1258.0
182784,1271,25,63,-44.14744305610657,0.0117413061670959,-0.024101536720991135,-0.02384922039345838,5696,0.0004092704424510632,0.2,0.012869596481323242,0.245849609375,1.0151220560073853,0.016080763,-2.7675648,1258.0
183296,1271,25,64,-44.13170504570007,1.000983958132565,0.12767666578292847,-0.009100889234105125,5712,0.0004092704424510632,0.2,0.2458602786064148,0.029296875,1.0147502422332764,0.0103184795,-2.7675648,1258.0
183808,1271,26,65,-44.124632835388184,0.026797661936143413,-0.03574434667825699,-0.024368569305806886,5728,0.0004092704424510632,0.2,-4.794615268707275,0.244384765625,1.0143170356750488,0.0300214,-2.77119088,1258.0
184320,1271,26,66,-44.11152541637421,1.0065078428015113,0.16448888182640076,-0.013740897738898639,5744,0.0004092704424510632,0.2,0.35073304176330566,0.05078125,1.0138113498687744,0.011691762,-2.77119088,1258.0
