time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1771,40960,80,23,0.017511625,0.0004092704424510632,0.0002371072769165039,1264,0.2108154296875,0.9844889640808105,0.17275426513515413,-0.021234413565252908,-43.413750648498535,0.2,0.04330006241798401,1223.0,-2.1920238181818177
1772,41472,81,23,0.022550102,0.0004092704424510632,0.0005775094032287598,1280,0.2489013671875,0.9835215210914612,0.002572919987869682,-0.028732287319144234,-43.424219489097595,0.2,-0.02541661076247692,1223.0,-2.1920238181818177
1772,41984,82,23,0.019540435,0.0004092704424510632,-0.001252293586730957,1296,0.2379150390625,0.9843412637710571,0.002394175317022018,-0.027943612265517004,-43.40450727939606,0.2,-0.03241073712706566,1223.0,-2.194276970588235
1774,42496,83,23,0.015834833,0.0004092704424510632,0.0001437664031982422,1312,0.2371826171875,0.984157145023346,0.1803505765274167,-0.02517225733026862,-43.42616009712219,0.2,0.05107336491346359,1223.0,-2.194276970588235
1775,43008,84,24,0.019242242,0.0004092704424510632,-0.0008541345596313477,1328,0.2396240234375,0.9840273857116699,0.0011796482967838529,-0.02766968571813777,-43.41948223114014,0.2,-0.024981360882520676,1223.0,-2.1945856857142854
1776,43520,85,24,0.024768876,0.0004092704424510632,0.0004036426544189453,1344,0.23583984375,0.9842875003814697,0.16973358346149325,-0.024110386904794723,-43.42057538032532,0.2,0.04063389450311661,1223.0,-2.1945856857142854
1776,44032,86,24,0.016206931,0.0004092704424510632,-0.00486445426940918,1360,0.232421875,0.9841957688331604,0.0014839030391158303,-0.026261222374159843,-43.427106976509094,0.2,-0.043474726378917694,1223.0,-2.1939163055555557
1771,44544,87,25,0.017958146,0.0004092704424510632,0.00039136409759521484,1376,0.2135009765625,0.9835297465324402,0.16402401332743466,-0.02269358534249477,-43.40743386745453,0.2,0.045164335519075394,1223.0,-2.1939163055555557
1767,45056,88,25,0.014899673,0.0004092704424510632,-0.002812981605529785,1392,0.246337890625,0.9832860231399536,0.002595112044218695,-0.026180137821938843,-43.38695669174194,0.2,-0.026730332523584366,1223.0,-2.1939163055555557
1766,45568,89,25,0.018621374,0.0004092704424510632,-0.0004941225051879883,1408,0.2213134765625,0.9828729033470154,0.0019491531384119298,-0.02494393941015005,-43.37658953666687,0.2,-0.024500466883182526,1223.0,-2.1905556486486484
1767,46080,90,26,0.015905531,0.0004092704424510632,0.0002803206443786621,1424,0.224853515625,0.9822220206260681,0.16654651681892574,-0.023587300966028124,-43.35120761394501,0.2,0.04014972969889641,1223.0,-2.1905556486486484
1768,46592,91,26,0.0161624,0.0004092704424510632,-0.004002690315246582,1440,0.2325439453125,0.9827235341072083,0.0015501252146350453,-0.023636864869331475,-43.34577810764313,0.2,-0.0353793203830719,1223.0,-2.190331236842105
1767,47104,92,26,0.02054365,0.0004092704424510632,0.000359952449798584,1456,0.272216796875,0.9828612804412842,0.1584740944672376,-0.027217259019380435,-43.36773931980133,0.2,0.036962974816560745,1223.0,-2.190331236842105
1768,47616,93,26,0.019342985,0.0004092704424510632,-0.010541439056396484,1472,0.234619140625,0.9819382429122925,0.0016123763198265806,-0.02485179968061857,-43.34884858131409,0.2,-0.040347445756196976,1223.0,-2.190331236842105
1770,48128,94,27,0.01671959,0.0004092704424510632,-0.001066446304321289,1488,0.221923828125,0.9802794456481934,0.003016486720298417,-0.02388705449993722,-43.31603026390076,0.2,-0.030715713277459145,1223.0,-2.1968576153846153
1771,48640,95,27,0.020886775,0.0004092704424510632,0.00019347667694091797,1504,0.2327880859375,0.9807803630828857,0.17408785177394748,-0.025679346406832337,-43.28822386264801,0.2,0.06209178268909454,1223.0,-2.1968576153846153
1773,49152,96,27,0.013478583,0.0004092704424510632,-0.00442957878112793,1520,0.19091796875,0.9817596077919006,0.0013322129252628656,-0.017396974177245283,-43.32248604297638,0.2,-0.02735929563641548,1223.0,-2.195047325
1774,49664,97,27,0.0261726,0.0004092704424510632,0.0002828836441040039,1536,0.2742919921875,0.9831679463386536,0.1713746590539813,-0.03048740720259957,-43.35747730731964,0.2,0.06038058549165726,1223.0,-2.195047325
1776,50176,98,28,0.01344398,0.0004092704424510632,-0.001648545265197754,1552,0.207763671875,0.9831544160842896,0.0013831521191605134,-0.024631761058117263,-43.38728630542755,0.2,-0.03954173997044563,1223.0,-2.194333073170732
1779,50688,99,28,0.02217367,0.0004092704424510632,0.00033736228942871094,1568,0.2381591796875,0.9828744530677795,0.16416205721907318,-0.026241959480103105,-43.37569999694824,0.2,0.058336082845926285,1223.0,-2.194333073170732
1780,51200,100,28,0.011398425,0.0004092704424510632,-0.02232944965362549,1584,0.168212890625,0.9824755787849426,0.001996907598368125,-0.022220886225113645,-43.353482723236084,0.2,-0.03130701929330826,1223.0,-2.194333073170732
1782,51712,101,29,0.016991353,0.0004092704424510632,-0.0005059242248535156,1600,0.2293701171875,0.9825913906097412,0.0032711399107938632,-0.024069735081866384,-43.342628836631775,0.2,-0.030579470098018646,1223.0,-2.193342523809524
1783,52224,102,29,0.014617091,0.0004092704424510632,0.00015175342559814453,1616,0.1947021484375,0.980613112449646,0.1799062117934227,-0.023562328424304724,-43.31680643558502,0.2,0.04387205094099045,1223.0,-2.193342523809524
1784,52736,103,29,0.019723646,0.0004092704424510632,-0.0033936500549316406,1632,0.2640380859375,0.9798170924186707,0.0016472376919409726,-0.028041274868883193,-43.262725710868835,0.2,-0.03899741172790527,1223.0,-2.1969094418604653
1784,53248,104,29,0.019133423,0.0004092704424510632,0.00011622905731201172,1648,0.2210693359375,0.9813128709793091,0.17100067343562841,-0.022890184569405392,-43.26712620258331,0.2,0.05855268985033035,1223.0,-2.1969094418604653
1786,53760,105,30,0.015389212,0.0004092704424510632,-6.914138793945312e-05,1664,0.1905517578125,0.9816901087760925,0.0015073539689183235,-0.020049916085554287,-43.30605888366699,0.2,-0.02516680210828781,1223.0,-2.1969094418604653
1787,54272,106,30,0.015518004,0.0004092704424510632,0.00016874074935913086,1680,0.198974609375,0.981360137462616,0.0030114815963315777,-0.0220082817832008,-43.298662185668945,0.2,-0.02630959078669548,1223.0,-2.196561363636364
1788,54784,107,30,0.024349488,0.0004092704424510632,6.562471389770508e-05,1696,0.2669677734375,0.9818050861358643,0.17175116576254368,-0.02805768375401385,-43.29848504066467,0.2,0.043906889855861664,1223.0,-2.196561363636364
1789,55296,108,30,0.013907671,0.0004092704424510632,0.0012635588645935059,1712,0.1802978515625,0.9825841188430786,0.0019121394925605273,-0.019109414773993194,-43.31269419193268,0.2,-0.02919127233326435,1223.0,-2.197450533333334
1790,55808,109,31,0.023871217,0.0004092704424510632,9.208917617797852e-05,1728,0.260498046875,0.9821527600288391,0.18962606554850936,-0.027319513726979494,-43.320773124694824,0.2,0.06599722802639008,1223.0,-2.197450533333334
1791,56320,110,31,0.013007417,0.0004092704424510632,-0.0022869110107421875,1744,0.1893310546875,0.981769323348999,0.001185089944556239,-0.023333130142418668,-43.30196714401245,0.2,-0.03453807532787323,1223.0,-2.197730782608696
1792,56832,111,31,0.018786129,0.0004092704424510632,9.298324584960938e-05,1760,0.214111328125,0.9799680113792419,0.1748311910778284,-0.02012097703118343,-43.264880657196045,0.2,0.061041831970214844,1223.0,-2.197730782608696
1793,57344,112,31,0.014216797,0.0004092704424510632,0.0001614689826965332,1776,0.1851806640625,0.9800218343734741,0.002848021835234249,-0.01711792372225318,-43.230472445487976,0.2,-0.0032585232984274626,1223.0,-2.197730782608696
1793,57856,113,32,0.019228715,0.0004092704424510632,-0.0006409883499145508,1792,0.249755859375,0.9792789816856384,0.0019326457913848571,-0.028328914137091488,-43.23002731800079,0.2,-0.03904002532362938,1223.0,-2.1987724893617027
1794,58368,114,32,0.02034075,0.0004092704424510632,9.5367431640625e-05,1808,0.2354736328125,0.9781268835067749,0.18587081646546721,-0.024253898809547536,-43.19547975063324,0.2,0.06218764930963516,1223.0,-2.1987724893617027
1794,58880,115,32,0.014029827,0.0004092704424510632,0.0004068613052368164,1824,0.191162109375,0.9804026484489441,0.001490536271376186,-0.02160326200828422,-43.19840228557587,0.2,-0.04505810886621475,1223.0,-2.20193675
1795,59392,116,33,0.018034086,0.0004092704424510632,9.149312973022461e-05,1840,0.242431640625,0.978520929813385,0.17933188984170556,-0.025924866989953443,-43.227049469947815,0.2,0.05170082300901413,1223.0,-2.20193675
1795,59904,117,33,0.020094424,0.0004092704424510632,-0.0007940530776977539,1856,0.259033203125,0.9761433601379395,0.0014688751962239621,-0.02835178535315208,-43.135671496391296,0.2,-0.04181893914937973,1223.0,-2.20193675
1796,60416,118,33,0.016998408,0.0004092704424510632,6.461143493652344e-05,1872,0.2030029296875,0.9750895500183105,0.0026930155836453196,-0.02058815592317842,-43.079256772994995,0.2,-0.024727238342165947,1223.0,-2.2016462244897963
1797,60928,119,33,0.02998491,0.0004092704424510632,7.873773574829102e-05,1888,0.2860107421875,0.9758340120315552,0.13209664588794112,-0.025886002855258994,-43.0678436756134,0.2,0.021568648517131805,1223.0,-2.2016462244897963
1796,61440,120,34,0.021757884,0.0004092704424510632,-0.0023343563079833984,1904,0.24072265625,0.9763814210891724,0.0023740286196698435,-0.02366750423971098,-43.09556865692139,0.2,-0.03592698276042938,1223.0,-2.2054026400000004
1796,61952,121,34,0.019708384,0.0004092704424510632,4.32133674621582e-05,1920,0.25732421875,0.9763897061347961,0.20978989824652672,-0.026362092190538533,-43.10119545459747,0.2,0.06444647908210754,1223.0,-2.2054026400000004
1796,62464,122,34,0.022747383,0.0004092704424510632,-0.020505070686340332,1936,0.2969970703125,0.9775188565254211,0.0009634147490942269,-0.028851171664427966,-43.115339159965515,0.2,-0.04763377085328102,1223.0,-2.204257196078432
1796,62976,123,35,0.026935954,0.0004092704424510632,4.1425228118896484e-05,1952,0.2562255859375,0.9783555865287781,0.19706356199458241,-0.029359215957811102,-43.154439210891724,0.2,0.07350387424230576,1223.0,-2.204257196078432
1796,63488,124,35,0.016571704,0.0004092704424510632,-0.0002086162567138672,1968,0.2325439453125,0.9791296720504761,0.002349065209273249,-0.02715655461361166,-43.17147088050842,0.2,-0.036140818148851395,1223.0,-2.204257196078432
1796,64000,125,35,0.018777316,0.0004092704424510632,-0.0002803802490234375,1984,0.2799072265625,0.98002690076828,0.0028878265293315053,-0.030294969998067245,-43.20344614982605,0.2,-0.05319596454501152,1223.0,-2.2052834038461544
1795,64512,126,35,0.014322054,0.0004092704424510632,2.8967857360839844e-05,2000,0.1998291015625,0.9791123867034912,0.21285869786515832,-0.019538371023372747,-43.20487976074219,0.2,0.06495273858308792,1223.0,-2.2052834038461544
1794,65024,127,36,0.011000451,0.0004092704424510632,-0.0005499124526977539,2016,0.168701171875,0.978879988193512,0.0015697631297371117,-0.01793163496768102,-43.17783558368683,0.2,-0.020489241927862167,1223.0,-2.207382849056604
1792,65536,128,36,0.025154034,0.0004092704424510632,5.459785461425781e-05,2032,0.25341796875,0.9784323573112488,0.19349715672433376,-0.026662866061087698,-43.16665506362915,0.2,0.04942450299859047,1223.0,-2.207382849056604
1792,66048,129,36,0.022299733,0.0004092704424510632,-0.0005785226821899414,2048,0.287109375,0.9788835644721985,0.0014592066017939942,-0.032709637307561934,-43.16047203540802,0.2,-0.03578788787126541,1223.0,-2.2059002222222226
1792,66560,130,37,0.017730875,0.0004092704424510632,8.881092071533203e-05,2064,0.2513427734375,0.9787986278533936,0.18588035134598613,-0.03041522958665155,-43.16683053970337,0.2,0.04038092494010925,1223.0,-2.2059002222222226
1792,67072,131,37,0.013812542,0.0004092704424510632,0.0007494688034057617,2080,0.2073974609375,0.9801999926567078,0.003057889854972018,-0.024237188845290802,-43.17346656322479,0.2,-0.03458622097969055,1223.0,-2.2059002222222226
1792,67584,132,37,0.018140767,0.0004092704424510632,5.5730342864990234e-05,2096,0.2633056640625,0.9792863726615906,0.0036696200477308594,-0.031395757832797244,-43.1949063539505,0.2,-0.04246034473180771,1223.0,-2.2087081090909093
1792,68096,133,37,0.017665245,0.0004092704424510632,2.485513687133789e-05,2112,0.2193603515625,0.9799510836601257,0.1966032567434013,-0.02230153715936467,-43.17350363731384,0.2,0.06553798913955688,1223.0,-2.2087081090909093
1793,68608,134,38,0.019940585,0.0004092704424510632,-0.000735163688659668,2128,0.234130859375,0.9787923693656921,0.001496254924859386,-0.022549647372215986,-43.17524480819702,0.2,-0.023553289473056793,1223.0,-2.2085163571428574
