time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
39,99,50688,1277,-0.027584529692830984,0.2,1568,0.9701418280601501,-0.041092995554208755,0.0004092704424510632,0.0028095712877984624,0.016850704,-0.04561436176300049,-42.97182631492615,0.24072265625,-2.5647219750000003,1257.0
40,100,51200,1276,-0.01899222702922998,0.2,1584,0.9703198671340942,0.015465965494513512,0.0004092704424510632,0.1712491470389068,0.016090725,0.06878656148910522,-42.956939458847046,0.1524658203125,-2.5647219750000003,1257.0
40,101,51712,1276,-0.026279361656634137,0.2,1600,0.9695430397987366,-0.032645948231220245,0.0004092704424510632,0.014149657654343173,0.019536432,-9.272911071777344,-42.95717144012451,0.2528076171875,-2.564453292682927,1257.0
40,102,52224,1276,-0.020832151785725728,0.2,1616,0.9685627818107605,0.032927364110946655,0.0004092704424510632,0.1753591625019908,0.018342026,0.1032489538192749,-42.91802144050598,0.2178955078125,-2.564453292682927,1257.0
41,103,52736,1276,-0.03192228378611617,0.2,1632,0.9678864479064941,-0.041042622178792953,0.0004092704424510632,0.00404150782560464,0.029401818,-3.112272262573242,-42.89182126522064,0.3001708984375,-2.564453292682927,1257.0
41,104,53248,1276,-0.032608576642815024,0.2,1648,0.9689642190933228,-0.04847262427210808,0.0004092704424510632,0.002061123293970013,0.020425562,0.03257012367248535,-42.89121115207672,0.2855224609375,-2.5709885952380955,1257.0
42,105,53760,1276,-0.02282289174036123,0.2,1664,0.9683375358581543,0.007436737418174744,0.0004092704424510632,0.19529298855923116,0.023111884,0.043654441833496094,-42.91036331653595,0.21044921875,-2.5709885952380955,1257.0
42,106,54272,1276,-0.021519979411095846,0.2,1680,0.9692859053611755,-0.027134163305163383,0.0004092704424510632,0.02216467712423764,0.02333298,-8.298513412475586,-42.89707374572754,0.2015380859375,-2.5644609302325585,1257.0
42,107,54784,1276,-0.020762132335221395,0.2,1696,0.969386875629425,0.011260483413934708,0.0004092704424510632,0.2019539773464203,0.016275126,0.06941604614257812,-42.92277181148529,0.189697265625,-2.5644609302325585,1257.0
43,108,55296,1276,-0.027133376308484003,0.2,1712,0.9716064929962158,-0.03963978961110115,0.0004092704424510632,0.01416727525065653,0.018599194,-3.163177490234375,-42.94247770309448,0.2467041015625,-2.5644609302325585,1257.0
43,109,55808,1276,-0.02463021531002596,0.2,1728,0.9723993539810181,-0.0268601942807436,0.0004092704424510632,0.014052130281925201,0.018881999,0.2819287180900574,-43.012391686439514,0.22705078125,-2.561372363636364,1257.0
44,110,56320,1275,-0.021779761867946945,0.2,1744,0.9729344248771667,-0.014944333583116531,0.0004092704424510632,0.05475489509990439,0.02584647,0.408385694026947,-43.02178382873535,0.212646484375,-2.561372363636364,1257.0
44,111,56832,1275,-0.025566179218003526,0.2,1760,0.9729342460632324,-0.035649556666612625,0.0004092704424510632,0.007351415719313081,0.015584452,-4.122232437133789,-43.03753983974457,0.2257080078125,-2.5576235333333335,1257.0
44,112,57344,1275,-0.02326358639402315,0.2,1776,0.9723626971244812,0.015380870550870895,0.0004092704424510632,0.2197362119331956,0.016947545,0.0591772198677063,-43.0216269493103,0.2139892578125,-2.5576235333333335,1257.0
45,113,57856,1275,-0.02717537959688343,0.2,1792,0.9715443849563599,-0.03388332575559616,0.0004092704424510632,0.014116397767793387,0.025324523,-2.6865572929382324,-42.99927246570587,0.2841796875,-2.551042630434783,1257.0
45,114,58368,1275,-0.019042393716517836,0.2,1808,0.9709413051605225,0.018085986375808716,0.0004092704424510632,0.22679953882470727,0.017319847,0.12163209915161133,-42.97197663784027,0.1614990234375,-2.551042630434783,1257.0
46,115,58880,1275,-0.022658264511846937,0.2,1824,0.9692661166191101,-0.03785023093223572,0.0004092704424510632,0.010801821532368194,0.017938476,-6.074766159057617,-42.94140183925629,0.2303466796875,-2.551042630434783,1257.0
46,116,59392,1275,-0.034788215984008275,0.2,1840,0.9667720198631287,-0.04896515607833862,0.0004092704424510632,0.0032230656361207366,0.034936637,0.00873023271560669,-42.86879885196686,0.30810546875,-2.5543374255319153,1257.0
46,117,59904,1275,-0.02796540196868591,0.2,1856,0.9661275148391724,0.003062780946493149,0.0004092704424510632,0.23463079938665032,0.02262944,0.07026314735412598,-42.81311571598053,0.2340087890625,-2.5543374255319153,1257.0
47,118,60416,1275,-0.023715002243989147,0.2,1872,0.9651795625686646,-0.033229466527700424,0.0004092704424510632,0.015266354006598704,0.017688684,-7.161812782287598,-42.79390048980713,0.1923828125,-2.555767125,1257.0
47,119,60928,1274,-0.01921292705810629,0.2,1888,0.9653674960136414,0.029575254768133163,0.0004092704424510632,0.24436544347554445,0.016932786,0.04814028739929199,-42.78175234794617,0.1575927734375,-2.555767125,1257.0
48,120,61440,1274,-0.03235854092054069,0.2,1904,0.9670965075492859,-0.04991615191102028,0.0004092704424510632,0.005877615036297357,0.026585694,-12.164344787597656,-42.80353629589081,0.30224609375,-2.555767125,1257.0
48,121,61952,1274,-0.02904816227965057,0.2,1920,0.9656639099121094,-0.03394161909818649,0.0004092704424510632,0.003021706754225306,0.019485928,-0.004022479057312012,-42.82625472545624,0.2474365234375,-2.556568,1257.0
48,122,62464,1274,-0.019859390711644664,0.2,1936,0.9639286994934082,0.039685145020484924,0.0004092704424510632,0.26084053912200034,0.01626607,0.08607602119445801,-42.753729939460754,0.1337890625,-2.556568,1257.0
49,123,62976,1274,-0.02560879083466716,0.2,1952,0.9622817635536194,-0.031069155782461166,0.0004092704424510632,0.007150857491069473,0.01453851,-3.450751304626465,-42.70586311817169,0.2235107421875,-2.5555054,1257.0
49,124,63488,1274,-0.011925085389520973,0.2,1968,0.9622149467468262,0.06850365549325943,0.0004092704424510632,0.31280964240431786,0.010733476,0.12167775630950928,-42.67318344116211,0.086181640625,-2.5555054,1257.0
50,125,64000,1274,-0.028164766408735886,0.2,1984,0.9612236022949219,-0.05094680190086365,0.0004092704424510632,0.005878473763004877,0.020304227,-3.6291980743408203,-42.6694997549057,0.2454833984375,-2.5555054,1257.0
50,126,64512,1274,-0.02629663592961151,0.2,2000,0.96097332239151,-0.04022548720240593,0.0004092704424510632,0.0023959969221323263,0.022766633,-0.07987868785858154,-42.64730215072632,0.23681640625,-2.5545812352941177,1257.0
51,127,65024,1274,-0.023244528194481973,0.2,2016,0.96100252866745,0.026888407766819,0.0004092704424510632,0.27245713397860527,0.019835271,0.12630116939544678,-42.6466498374939,0.1263427734375,-2.5545812352941177,1257.0
51,128,65536,1274,-0.024398478446528316,0.2,2032,0.9604046940803528,-0.037756770849227905,0.0004092704424510632,0.010966652764182072,0.015266191,-7.502799987792969,-42.64068555831909,0.2447509765625,-2.5536540384615387,1257.0
51,129,66048,1274,-0.022598421695875004,0.2,2048,0.9601688981056213,0.06936632841825485,0.0004092704424510632,0.36181357596069574,0.019369807,0.08650630712509155,-42.624290227890015,0.189697265625,-2.5536540384615387,1257.0
52,130,66560,1273,-0.026673282824049238,0.2,2064,0.9604546427726746,-0.031917233020067215,0.0004092704424510632,0.005123001032188768,0.018792748,-5.1044182777404785,-42.62358355522156,0.278564453125,-2.5536540384615387,1257.0
52,131,67072,1273,-0.026109384642040823,0.2,2080,0.961652934551239,-0.03691317141056061,0.0004092704424510632,0.0030705778845003806,0.015606762,0.032155632972717285,-42.646299719810486,0.2091064453125,-2.5548669245283024,1257.0
53,132,67584,1273,-0.01683462284563575,0.2,2096,0.961280882358551,0.023550044745206833,0.0004092704424510632,0.2919251450803131,0.017723078,0.145502507686615,-42.65805184841156,0.10693359375,-2.5548669245283024,1257.0
53,133,68096,1273,-0.017067595959815662,0.2,2112,0.9604347944259644,-0.021989064291119576,0.0004092704424510632,0.024238167286966927,0.019457867,-11.533160209655762,-42.632230043411255,0.1737060546875,-2.5581072407407417,1257.0
53,134,68608,1272,-0.016860249830642715,0.2,2128,0.9601819515228271,0.06498703360557556,0.0004092704424510632,0.37361910240724683,0.01487601,0.05895233154296875,-42.61649966239929,0.1181640625,-2.5581072407407417,1257.0
54,135,69120,1272,-0.027795072906883433,0.2,2144,0.9597769975662231,-0.022687485441565514,0.0004092704424510632,0.009692501073004678,0.017070647,-2.6530017852783203,-42.59844720363617,0.22998046875,-2.5581072407407417,1257.0
54,136,69632,1272,-0.022275282055488788,0.2,2160,0.955451488494873,-0.03001350536942482,0.0004092704424510632,0.014490050176391378,0.013547645,0.28848081827163696,-42.52634656429291,0.189208984375,-2.5563330909090918,1257.0
55,137,70144,1272,-0.020587712264386937,0.2,2176,0.9539787769317627,-0.00868714414536953,0.0004092704424510632,0.08613223995780572,0.03401591,0.46732795238494873,-42.41152465343475,0.2354736328125,-2.5563330909090918,1257.0
55,138,70656,1272,-0.025115703319897875,0.2,2192,0.9538513422012329,-0.021779527887701988,0.0004092704424510632,0.007201387801615056,0.016289257,-7.950929641723633,-42.39484620094299,0.24560546875,-2.5536836607142854,1257.0
55,139,71168,1272,-0.01826422281737905,0.2,2208,0.953813374042511,0.07139897346496582,0.0004092704424510632,0.40083393920212984,0.012894204,0.06720072031021118,-42.39359092712402,0.1279296875,-2.5536836607142854,1257.0
56,140,71680,1272,-0.03111580351833254,0.2,2224,0.9532298445701599,-0.023959843441843987,0.0004092704424510632,0.034212763246614486,0.022063196,-0.15392053127288818,-42.38725936412811,0.2847900390625,-2.5507759824561402,1257.0
56,141,72192,1272,-0.017608443653443828,0.2,2240,0.9527515172958374,0.1361245959997177,0.0004092704424510632,0.3800952099263668,0.011346959,0.2936580777168274,-42.36879563331604,0.1331787109375,-2.5507759824561402,1257.0
57,142,72704,1272,-0.026673221145756543,0.2,2256,0.9528611302375793,-0.04355531558394432,0.0004092704424510632,0.007036182556475978,0.018763728,-6.665295124053955,-42.36092913150787,0.250732421875,-2.5507759824561402,1257.0
57,143,73216,1272,-0.031880865135462955,0.2,2272,0.9541739225387573,-0.03801869973540306,0.0004092704424510632,0.004956676704750862,0.02440565,0.009371161460876465,-42.38258922100067,0.2884521484375,-2.5507496896551722,1257.0
57,144,73728,1272,-0.022718396183336154,0.2,2288,0.9543982744216919,0.036640964448451996,0.0004092704424510632,0.37920685950666666,0.020623744,0.15321463346481323,-42.41139233112335,0.18115234375,-2.5507496896551722,1257.0
58,145,74240,1272,-0.027079904481070116,0.2,2304,0.9541748762130737,-0.03448907285928726,0.0004092704424510632,0.012611195372301154,0.016812723,-11.470721244812012,-42.408281207084656,0.270751953125,-2.549203016949152,1257.0
58,146,74752,1272,-0.018260934710269794,0.2,2320,0.9537667036056519,0.06569253653287888,0.0004092704424510632,0.4420106397010386,0.016773358,0.07276874780654907,-42.3987991809845,0.1754150390625,-2.549203016949152,1257.0
59,147,75264,1272,-0.019685401042806916,0.2,2336,0.9532436728477478,-0.027270348742604256,0.0004092704424510632,0.008346754082594998,0.01504615,-9.192296028137207,-42.38523602485657,0.2086181640625,-2.549203016949152,1257.0
0,1,75776,3873,-0.018459272061591037,0.2,2352,0.9514465928077698,-0.021032897755503654,0.0004092704424510632,0.0026278496407030616,0.013367094,-0.009993910789489746,-42.353800535202026,0.214599609375,-2.5482965166666665,1257.0
0,2,76288,1915,-0.015912163420580328,0.2,2368,0.9501639604568481,0.07842748612165451,0.0004092704424510632,0.3646816941909492,0.020000834,0.12094199657440186,-42.29064381122589,0.1112060546875,-2.5482965166666665,1257.0
0,3,76800,1636,-0.024892527610063553,0.2,2384,0.9479929208755493,-0.038570649921894073,0.0004092704424510632,0.0072421702570864,0.02473545,-9.075840950012207,-42.24169635772705,0.279541015625,-2.551173163934426,1257.0
1,4,77312,1523,-0.028352297202218324,0.2,2400,0.9475280046463013,0.10263766348361969,0.0004092704424510632,0.5336677692830563,0.021770718,0.10648590326309204,-42.19246244430542,0.178466796875,-2.551173163934426,1257.0
1,5,77824,1465,-0.02507617686933372,0.2,2416,0.9471921324729919,-0.03912696987390518,0.0004092704424510632,0.0043369959385017864,0.019083675,-1.8989462852478027,-42.186798334121704,0.276611328125,-2.551173163934426,1257.0
2,6,78336,1429,-0.024005292798392475,0.2,2432,0.946236789226532,-0.028319260105490685,0.0004092704424510632,0.0023634276767552365,0.015105197,-0.08548974990844727,-42.16537892818451,0.227783203125,-2.5507087096774193,1257.0
2,7,78848,1405,-0.016405297064920887,0.2,2448,0.9460863471031189,0.04577327519655228,0.0004092704424510632,0.3685338427312672,0.018200077,0.1621307134628296,-42.14205980300903,0.085205078125,-2.5507087096774193,1257.0
2,8,79360,1387,-0.021531424412387423,0.2,2464,0.9465023279190063,-0.03211645781993866,0.0004092704424510632,0.02508314192527905,0.024224807,-11.322155952453613,-42.146148562431335,0.235107421875,-2.5484114920634915,1257.0
3,9,79872,1372,-0.009767310271854512,0.2,2480,0.9469380974769592,0.08391962945461273,0.0004092704424510632,0.4419990638270974,0.011099393,0.16121810674667358,-42.15745830535889,0.078369140625,-2.5484114920634915,1257.0
3,10,80384,1360,-0.02848277946759481,0.2,2496,0.9481688141822815,-0.04337088391184807,0.0004092704424510632,0.004236994587699883,0.02417285,-5.023877143859863,-42.18008470535278,0.31689453125,-2.5484114920634915,1257.0
4,11,80896,1351,-0.026774929167004302,0.2,2512,0.9462970495223999,-0.038260072469711304,0.0004092704424510632,0.002213063507952029,0.018483672,0.04975318908691406,-42.18168318271637,0.2696533203125,-2.546925984375,1257.0
4,12,81408,1342,-0.012100234744139016,0.2,2528,0.9455238580703735,0.03613145649433136,0.0004092704424510632,0.364413408562541,0.016501684,0.11339151859283447,-42.12455880641937,0.1221923828125,-2.546925984375,1257.0
4,13,81920,1336,-0.026412486244225875,0.2,2544,0.9446960091590881,-0.029215749353170395,0.0004092704424510632,0.010898434848058969,0.019644778,-10.030803680419922,-42.102110385894775,0.2459716796875,-2.5429708769230768,1257.0
5,14,82432,1331,-0.019817511303699575,0.2,2560,0.94428950548172,0.08047432452440262,0.0004092704424510632,0.534667456522584,0.016439939,0.057125091552734375,-42.08599412441254,0.191162109375,-2.5429708769230768,1257.0
5,15,82944,1327,-0.019743805256439373,0.2,2576,0.9445074200630188,-0.029687538743019104,0.0004092704424510632,0.014266411060816608,0.02448742,-6.382506370544434,-42.07994365692139,0.2235107421875,-2.5429708769230768,1257.0
