time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
23,81,41472,1776,0.003104164767137263,-0.03157597850076854,0.98208087682724,0.2,0.301513671875,-1.6216249465942383,1280,-0.034676991403102875,0.0004092704424510632,0.024933767,-43.359840869903564,-2.2924701875,1258.0
23,82,41984,1777,0.01679328441969119,-0.026759343687444925,0.9823217988014221,0.2,0.2882080078125,0.6631721258163452,1296,-0.03151518106460571,0.0004092704424510632,0.019522257,-43.36475992202759,-2.2897400000000006,1258.0
23,83,42496,1778,0.12258126409142278,-0.02101778911310248,0.9806551933288574,0.2,0.210693359375,0.607086181640625,1312,-0.02626931108534336,0.0004092704424510632,0.028437208,-43.352789878845215,-2.2897400000000006,1258.0
24,84,43008,1778,0.0070476589316967875,-0.021109356930537615,0.9800259470939636,0.2,0.2208251953125,0.03066849708557129,1328,-0.02704281359910965,0.0004092704424510632,0.017778523,-43.305808663368225,-2.2878592352941176,1258.0
24,85,43520,1778,0.09821031522005796,-0.02588680563349044,0.9800531268119812,0.2,0.200439453125,0.7367711067199707,1344,0.0033441968262195587,0.0004092704424510632,0.022245675,-43.30480480194092,-2.2878592352941176,1258.0
24,86,44032,1779,0.00437465693539707,-0.023067058966262266,0.9790975451469421,0.2,0.234619140625,-5.8376970291137695,1360,-0.028323659673333168,0.0004092704424510632,0.021022677,-43.291290283203125,-2.287919742857143,1258.0
25,87,44544,1778,0.12014565389836207,-0.02536502075236058,0.9792152047157288,0.2,0.157958984375,0.4982905983924866,1376,-0.025574790313839912,0.0004092704424510632,0.017256565,-43.27276957035065,-2.287919742857143,1258.0
25,88,45056,1778,0.0027814382665383164,-0.028841953637311235,0.9779344797134399,0.2,0.2860107421875,0.0029132962226867676,1392,-0.04011350870132446,0.0004092704424510632,0.023976482,-43.26484751701355,-2.287919742857143,1258.0
25,89,45568,1778,0.00820618649595417,-0.03010009857825935,0.9757532477378845,0.2,0.29443359375,0.025873303413391113,1408,-0.03499193862080574,0.0004092704424510632,0.021240257,-43.204864740371704,-2.2872146666666664,1258.0
25,90,46080,1778,0.17244567110901698,-0.02026429501711391,0.9753115177154541,0.2,0.1368408203125,0.4118732810020447,1424,-0.011595357209444046,0.0004092704424510632,0.018964168,-43.16009771823883,-2.2872146666666664,1258.0
26,91,46592,1777,0.002185449564422015,-0.02778985560144065,0.9762997627258301,0.2,0.281005859375,0.06398016214370728,1440,-0.0377216599881649,0.0004092704424510632,0.022384228,-43.16790974140167,-2.284489972972973,1258.0
26,92,47104,1777,0.2072884794906713,-0.013581929437350482,0.9769122004508972,0.2,0.0694580078125,0.39787840843200684,1456,-0.014585957862436771,0.0004092704424510632,0.013744742,-43.19425165653229,-2.284489972972973,1258.0
26,93,47616,1777,0.0026302651494916063,-0.033176772558363155,0.9760920405387878,0.2,0.2880859375,-0.19464921951293945,1472,-0.04325829818844795,0.0004092704424510632,0.01704254,-43.19874346256256,-2.284489972972973,1258.0
27,94,48128,1777,0.006547841418068856,-0.029847294616047293,0.9735032916069031,0.2,0.27490234375,0.015672266483306885,1488,-0.04497333988547325,0.0004092704424510632,0.020700887,-43.14025819301605,-2.2827640789473684,1258.0
27,95,48640,1778,0.2191533778095618,-0.014061700727324933,0.9722282290458679,0.2,0.0760498046875,0.23867279291152954,1504,0.0057874806225299835,0.0004092704424510632,0.014452308,-43.06663703918457,-2.2827640789473684,1258.0
27,96,49152,1779,0.0047749055956956,-0.02645046598627232,0.9724552035331726,0.2,0.2552490234375,0.125261127948761,1520,-0.04632658511400223,0.0004092704424510632,0.022123527,-43.04666304588318,-2.2745850769230773,1258.0
27,97,49664,1779,0.19152422982733697,-0.021248116288916208,0.9724461436271667,0.2,0.1510009765625,0.519950807094574,1536,0.002706412225961685,0.0004092704424510632,0.019498337,-43.05894422531128,-2.2745850769230773,1258.0
28,98,50176,1780,0.0030287271983979736,-0.023894182464573532,0.971299409866333,0.2,0.2357177734375,-0.7785060405731201,1552,-0.04188283160328865,0.0004092704424510632,0.01614011,-43.03360712528229,-2.2745850769230773,1258.0
28,99,50688,1781,0.007786902031512,-0.02606319187907502,0.9707599878311157,0.2,0.2305908203125,0.12876087427139282,1568,-0.0348849780857563,0.0004092704424510632,0.015778145,-43.00573408603668,-2.276220475,1258.0
