time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/std,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
21,38912,1847,76,0.2435302734375,0.42523080110549927,0.972885012626648,0.0004092704424510632,-0.001988127827644348,0.2,-0.020583318051649258,-43.09994864463806,0.034491602,0.07313013973180205,1200,1223.0,-2.188946774193548
21,39424,1847,77,0.200439453125,-2.6510021686553955,0.9729226231575012,0.0004092704424510632,-0.020708251744508743,0.2,-0.021062612169771455,-43.089884638786316,0.0151245035,0.006590814016817603,1216,1223.0,-2.18202590625
21,39936,1846,78,0.1656494140625,0.09563207626342773,0.9725239872932434,0.0004092704424510632,0.003459494560956955,0.2,-0.01964531937846914,-43.08651518821716,0.0143944025,0.09741235116962343,1232,1223.0,-2.18202590625
21,40448,1846,79,0.1722412109375,-0.730424165725708,0.9715616106987,0.0004092704424510632,-0.024748191237449646,0.2,-0.018264306912897155,-43.064236879348755,0.013347345,0.0035588777718658093,1248,1223.0,-2.1785562424242424
22,40960,1846,80,0.16357421875,0.2055269479751587,0.9708446264266968,0.0004092704424510632,0.020915530622005463,0.2,-0.020564793550875038,-43.0371857881546,0.018735066,0.10223608335945755,1264,1223.0,-2.1785562424242424
22,41472,1845,81,0.211181640625,-1.1281371116638184,0.9683358669281006,0.0004092704424510632,-0.023693013936281204,0.2,-0.02238373496220447,-42.986289262771606,0.018747125,0.0035668447089847177,1280,1223.0,-2.1785562424242424
22,41984,1845,82,0.24853515625,0.001576244831085205,0.9678305387496948,0.0004092704424510632,-0.028626108542084694,0.2,-0.025346978414745536,-42.9314911365509,0.019138848,0.0027959009785263333,1296,1223.0,-2.1738853823529407
23,42496,1844,83,0.1553955078125,0.18501317501068115,0.9668923616409302,0.0004092704424510632,-0.01685062050819397,0.2,-0.02111737815721426,-42.922489285469055,0.016550742,0.07573721162043512,1312,1223.0,-2.1738853823529407
23,43008,1844,84,0.1805419921875,-1.7095763683319092,0.966977059841156,0.0004092704424510632,-0.02595658414065838,0.2,-0.020364645301015116,-42.89192605018616,0.013678012,0.008369476679945365,1328,1223.0,-2.1726813428571425
23,43520,1844,85,0.1917724609375,0.1843222975730896,0.9676167368888855,0.0004092704424510632,-0.014686482027173042,0.2,-0.027126731656608172,-42.91424477100372,0.020820092,0.08492183987982571,1344,1223.0,-2.1726813428571425
23,44032,1843,86,0.2470703125,0.2124006152153015,0.9669782519340515,0.0004092704424510632,-0.035697825253009796,0.2,-0.027453929622424766,-42.91391837596893,0.018449292,0.004126478961552493,1360,1223.0,-2.1745587499999997
24,44544,1843,87,0.1663818359375,0.5380411148071289,0.9672398567199707,0.0004092704424510632,-0.002048708498477936,0.2,-0.02181498712161556,-42.894378542900085,0.020149874,0.10063409712165594,1376,1223.0,-2.1745587499999997
24,45056,1842,88,0.212646484375,-0.2507164478302002,0.9668489098548889,0.0004092704424510632,-0.02839558757841587,0.2,-0.023361367158940993,-42.90283155441284,0.014817804,0.003922760508430656,1392,1223.0,-2.1745587499999997
24,45568,1842,89,0.233642578125,0.0803878903388977,0.9658928513526917,0.0004092704424510632,-0.037821825593709946,0.2,-0.02264654748432804,-42.87840390205383,0.019463876,0.0023582487483508885,1408,1223.0,-2.1784517297297294
25,46080,1842,90,0.182373046875,0.19489645957946777,0.9660680294036865,0.0004092704424510632,0.0030160509049892426,0.2,-0.021504498305148445,-42.85946083068848,0.022266153,0.11114485759753734,1424,1223.0,-2.1784517297297294
25,46592,1842,91,0.193603515625,-1.551276445388794,0.9674648642539978,0.0004092704424510632,-0.03618008643388748,0.2,-0.021372451476054266,-42.885775685310364,0.014837123,0.006520987633848563,1440,1223.0,-2.175132236842105
25,47104,1841,92,0.1622314453125,0.37808048725128174,0.9674023389816284,0.0004092704424510632,0.011183205991983414,0.2,-0.021344715903978795,-42.91288959980011,0.016267156,0.1010551885701716,1456,1223.0,-2.175132236842105
25,47616,1841,93,0.291748046875,-0.15721356868743896,0.9666659235954285,0.0004092704424510632,-0.05183045566082001,0.2,-0.03095492738066241,-42.8954119682312,0.02111507,0.0035333300183992833,1472,1223.0,-2.175132236842105
26,48128,1841,94,0.2342529296875,0.15323221683502197,0.9668631553649902,0.0004092704424510632,-0.04165441542863846,0.2,-0.02770605184196029,-42.88848173618317,0.016980117,0.004778691669343971,1488,1223.0,-2.1703933076923074
26,48640,1841,95,0.108154296875,0.41072696447372437,0.9671178460121155,0.0004092704424510632,-0.0034387176856398582,0.2,-0.015404219011543319,-42.897698402404785,0.016072882,0.07086262298980728,1504,1223.0,-2.1703933076923074
26,49152,1840,96,0.188232421875,-4.204773902893066,0.9665786027908325,0.0004092704424510632,-0.023463819175958633,0.2,-0.01881879776919959,-42.897221326828,0.016139328,0.008690428658155724,1520,1223.0,-2.16910755
26,49664,1840,97,0.0999755859375,0.08505469560623169,0.9652344584465027,0.0004092704424510632,-0.008609117940068245,0.2,-0.01637492040754296,-42.86566126346588,0.01713548,0.1354694018373266,1536,1223.0,-2.16910755
27,50176,1840,98,0.2449951171875,-1.5265443325042725,0.9661903977394104,0.0004092704424510632,-0.03566638380289078,0.2,-0.026269026711815968,-42.85182750225067,0.017754398,0.004061399209604133,1552,1223.0,-2.172840682926829
27,50688,1840,99,0.0806884765625,0.3702557682991028,0.9665096402168274,0.0004092704424510632,0.03990828990936279,0.2,-0.011349176445946796,-42.88520658016205,0.013448963,0.12016163708176464,1568,1223.0,-2.172840682926829
27,51200,1839,100,0.263671875,-0.7341912984848022,0.9646906852722168,0.0004092704424510632,-0.03491326421499252,0.2,-0.027551293271244504,-42.8634250164032,0.021041973,0.005299193537211977,1584,1223.0,-2.172840682926829
28,51712,1839,101,0.27587890625,0.12196004390716553,0.9643172025680542,0.0004092704424510632,-0.04094953462481499,0.2,-0.03283927938900888,-42.81204426288605,0.021481466,0.0026307237858418375,1600,1223.0,-2.1742675714285715
28,52224,1839,102,0.1507568359375,0.3554331064224243,0.9645868539810181,0.0004092704424510632,-0.0009568464010953903,0.2,-0.015726257959613577,-42.81900763511658,0.012534304,0.08811949181836098,1616,1223.0,-2.1742675714285715
28,52736,1839,103,0.257080078125,-2.5970470905303955,0.9662885069847107,0.0004092704424510632,-0.03881856054067612,0.2,-0.02538299816660583,-42.84064018726349,0.022798652,0.00808188520022668,1632,1223.0,-2.172615930232558
28,53248,1838,104,0.127685546875,0.31655561923980713,0.9670097231864929,0.0004092704424510632,-0.002486288547515869,0.2,-0.01882128362194635,-42.8903591632843,0.013264066,0.11042761290445924,1648,1223.0,-2.172615930232558
29,53760,1838,105,0.2750244140625,0.12558186054229736,0.9682976603507996,0.0004092704424510632,-0.021561283618211746,0.2,-0.03301205433672294,-42.9151394367218,0.023659434,0.006620353931793943,1664,1223.0,-2.172615930232558
29,54272,1838,106,0.22314453125,0.4671567678451538,0.9694099426269531,0.0004092704424510632,-0.027947600930929184,0.2,-0.02548433702031616,-42.9557284116745,0.021127678,0.022490764851681888,1680,1223.0,-2.1724268636363635
29,54784,1838,107,0.2286376953125,0.7757692933082581,0.969516396522522,0.0004092704424510632,-0.014092696830630302,0.2,-0.026667270212783478,-42.978276014328,0.028984044,0.04438239807495847,1696,1223.0,-2.1724268636363635
30,55296,1838,108,0.2349853515625,-1.6829595565795898,0.9705086350440979,0.0004092704424510632,-0.02548963949084282,0.2,-0.02260051912162453,-42.984182953834534,0.02059922,0.02376501285471022,1712,1223.0,-2.169265688888889
30,55808,1838,109,0.1357421875,0.17430347204208374,0.9703186750411987,0.0004092704424510632,-0.009154777973890305,0.2,-0.019495205546263605,-43.00532639026642,0.015537314,0.11617590545210987,1728,1223.0,-2.169265688888889
30,56320,1837,110,0.2576904296875,-1.0427052974700928,0.9684382081031799,0.0004092704424510632,-0.045353129506111145,0.2,-0.02844268232001923,-42.9698451757431,0.022608884,0.0024479031380906235,1744,1223.0,-2.1688297608695652
30,56832,1837,111,0.1026611328125,0.4424418807029724,0.9674838781356812,0.0004092704424510632,1.7272308468818665e-05,0.2,-0.014005313423695043,-42.91510796546936,0.017150788,0.12738182628527284,1760,1223.0,-2.1688297608695652
31,57344,1837,112,0.1951904296875,-0.5828847885131836,0.9663398265838623,0.0004092704424510632,-0.03528152406215668,0.2,-0.022403555951314047,-42.883811831474304,0.014902499,0.00313941986678401,1776,1223.0,-2.1688297608695652
31,57856,1837,113,0.232421875,-0.27787232398986816,0.9635063409805298,0.0004092704424510632,-0.045511774718761444,0.2,-0.027559982569073327,-42.823896288871765,0.020350996,0.002488783618900925,1792,1223.0,-2.166446829787234
31,58368,1837,114,0.055419921875,0.2587493062019348,0.9628804922103882,0.0004092704424510632,-0.015140393748879433,0.2,-0.014345846007927321,-42.752472162246704,0.014002374,0.14806913386564702,1808,1223.0,-2.166446829787234
