time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1943,60,15,105984,0.243896484375,0.934304416179657,-0.02419163880404085,0.01941147,-0.036203254014253616,0.003204853335773805,-41.778300523757935,0.0004092704424510632,0.2,1.5735626220703125e-05,3296,1258.0,-3.155161511904762
1943,61,16,106496,0.2427978515625,0.9334043264389038,-0.022211788847926073,0.02406066,0.21518054604530334,0.43496260792016983,-41.73674750328064,0.0004092704424510632,0.2,1.6093254089355469e-06,3312,1258.0,-3.155161511904762
1942,62,16,107008,0.251953125,0.9344257116317749,-0.02539915508532431,0.020857148,-0.023517580702900887,0.011959521245444193,-41.73022246360779,0.0004092704424510632,0.2,2.1278858184814453e-05,3328,1258.0,-3.1527162823529413
1942,63,16,107520,0.1888427734375,0.9361929893493652,-0.017963799851713702,0.014382623,0.20885977149009705,0.41293891333043575,-41.78720998764038,0.0004092704424510632,0.2,2.8014183044433594e-06,3344,1258.0,-3.1527162823529413
1938,64,16,108032,0.23876953125,0.9357118010520935,-0.024310117893037386,0.02171506,-0.024368511512875557,0.00892608480353374,-41.81523776054382,0.0004092704424510632,0.2,1.722574234008789e-05,3360,1258.0,-3.1527162823529413
1935,65,17,108544,0.2215576171875,0.9353655576705933,-0.023531420978542883,0.015319223,-0.038701318204402924,0.0032367336643801536,-41.798964858055115,0.0004092704424510632,0.2,3.135204315185547e-05,3376,1258.0,-3.1491700581395348
1932,66,17,109056,0.2437744140625,0.9360491037368774,-0.026473397243535146,0.015930375,0.14904296398162842,0.4177132984623313,-41.79940605163574,0.0004092704424510632,0.2,2.5033950805664062e-06,3392,1258.0,-3.1491700581395348
1929,67,17,109568,0.21435546875,0.9356494545936584,-0.021859260741621256,0.015653217,-0.023478832095861435,0.0106478265079204,-41.819377303123474,0.0004092704424510632,0.2,7.11679458618164e-05,3408,1258.0,-3.145715344827586
1926,68,18,110080,0.2607421875,0.9351428747177124,-0.029314771469216794,0.023883551,0.15599355101585388,0.4010545751079917,-41.796844720840454,0.0004092704424510632,0.2,9.894371032714844e-06,3424,1258.0,-3.145715344827586
1923,69,18,110592,0.236083984375,0.9350754618644714,-0.022411065438063815,0.025835715,-0.031579382717609406,0.009769514930667356,-41.78476369380951,0.0004092704424510632,0.2,1.4722347259521484e-05,3440,1258.0,-3.145715344827586
1920,70,18,111104,0.2276611328125,0.9351533651351929,-0.026825420442037284,0.016318584,-0.03285571187734604,0.004549908881017473,-41.779200196266174,0.0004092704424510632,0.2,1.2576580047607422e-05,3456,1258.0,-3.142858875
1918,71,18,111616,0.222900390625,0.9354201555252075,-0.025094646989600733,0.01668393,0.1694641411304474,0.4151341440156102,-41.78349423408508,0.0004092704424510632,0.2,2.086162567138672e-06,3472,1258.0,-3.142858875
1915,72,19,112128,0.2642822265625,0.9368959665298462,-0.025273908366216347,0.019009642,-0.03144437447190285,0.00962191256985534,-41.81007707118988,0.0004092704424510632,0.2,0.0012454986572265625,3488,1258.0,-3.1401199438202245
