time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
45056,1306,88,34,-0.031778624310391024,-0.043755486607551575,0.2,0.9936460852622986,0.0032423026823380496,0.30029296875,1392,0.0004092704424510632,-43.715898871421814,0.020739518,-5.587111949920654,-2.7605049142857143,1258.0
45568,1306,89,34,-0.03159912972478196,-0.04291529580950737,0.2,0.9915787577629089,0.003986839008575771,0.298583984375,1408,0.0004092704424510632,-43.68541634082794,0.024241382,0.019071996212005615,-2.755407472222222,1258.0
46080,1306,90,35,-0.020867905070190318,0.11328765004873276,0.2,0.9907737374305725,0.4316908782348037,0.11962890625,1424,0.0004092704424510632,-43.629875898361206,0.017262936,0.15272009372711182,-2.755407472222222,1258.0
46592,1306,91,35,-0.01946740499988664,-0.01985427737236023,0.2,0.9938844442367554,0.04340077983215451,0.194091796875,1440,0.0004092704424510632,-43.652369260787964,0.02232561,-4.648876667022705,-2.7515417027027027,1258.0
47104,1306,92,36,-0.010614714759867638,0.06336352229118347,0.2,0.9950585961341858,0.40860583959147334,0.0550537109375,1456,0.0004092704424510632,-43.74163734912872,0.013285895,0.3113531470298767,-2.7515417027027027,1258.0
47616,1306,93,36,-0.02641144003428053,-0.04904063418507576,0.2,0.9931796193122864,0.014068155898712575,0.27197265625,1472,0.0004092704424510632,-43.72601008415222,0.032425497,-5.416137218475342,-2.7515417027027027,1258.0
48128,1306,94,36,-0.020518549405096564,-0.02581573650240898,0.2,0.9930194020271301,0.0029724384876317345,0.21630859375,1488,0.0004092704424510632,-43.68704533576965,0.016051084,-0.006321430206298828,-2.7505892894736843,1258.0
48640,1306,95,37,-0.013357160292798653,0.03492548316717148,0.2,0.9927716255187988,0.5864736344665289,0.0511474609375,1504,0.0004092704424510632,-43.68467879295349,0.011654818,0.07114332914352417,-2.7505892894736843,1258.0
49152,1306,96,37,-0.026439658111485187,-0.025048352777957916,0.2,0.9913133382797241,0.02674497099360451,0.2408447265625,1520,0.0004092704424510632,-43.65629577636719,0.018459585,-4.630838871002197,-2.7477953076923076,1258.0
49664,1306,97,38,-0.017212383332662284,0.09306257218122482,0.2,0.9910770654678345,0.626935894601047,0.0648193359375,1536,0.0004092704424510632,-43.62299418449402,0.0119680185,0.1956859827041626,-2.7477953076923076,1258.0
50176,1306,98,38,-0.02035313635133207,-0.019917046651244164,0.2,0.9908486008644104,0.01286640003672801,0.2227783203125,1552,0.0004092704424510632,-43.61847102642059,0.022847015,-5.650389671325684,-2.7477953076923076,1258.0
50688,1306,99,38,-0.02883011329686269,-0.03441992774605751,0.2,0.9897069334983826,0.004344643930380698,0.266357421875,1568,0.0004092704424510632,-43.590705156326294,0.019819703,-0.012910962104797363,-2.7516768,1258.0
51200,1306,100,39,-0.01296086917136563,0.05871264636516571,0.2,0.9894886612892151,0.484078424051404,0.066162109375,1584,0.0004092704424510632,-43.56244122982025,0.013265515,0.10078483819961548,-2.7516768,1258.0
51712,1306,101,39,-0.020241332167643122,0.0035369545221328735,0.2,0.9897951483726501,0.06384873227216303,0.2120361328125,1600,0.0004092704424510632,-43.56420922279358,0.015431801,-1.8136646747589111,-2.754429975609756,1258.0
52224,1306,102,39,-0.011533946875715628,0.15095290541648865,0.2,0.9897187352180481,0.6453144522383809,0.0821533203125,1616,0.0004092704424510632,-43.56627130508423,0.012938665,0.1364220380783081,-2.754429975609756,1258.0
52736,1305,103,40,-0.023814941683667712,-0.028297848999500275,0.2,0.9878133535385132,0.012644642643863335,0.2471923828125,1632,0.0004092704424510632,-43.539777636528015,0.019983359,-1.107682228088379,-2.754429975609756,1258.0
53248,1305,104,40,-0.03608989523490891,-0.04104119539260864,0.2,0.9847444891929626,0.003963835668400861,0.3209228515625,1648,0.0004092704424510632,-43.45567321777344,0.027323935,0.019889414310455322,-2.7519704761904764,1258.0
53760,1305,105,41,-0.007039617965347134,0.08583704382181168,0.2,0.9838760495185852,0.5836299587972462,0.01904296875,1664,0.0004092704424510632,-43.38961350917816,0.005883904,0.17453676462173462,-2.7519704761904764,1258.0
54272,1305,106,41,-0.02131129810004495,-0.0182297732681036,0.2,0.9826772809028625,0.012012505409074947,0.2579345703125,1680,0.0004092704424510632,-43.366469502449036,0.02423086,-2.4892282485961914,-2.751194627906977,1258.0
54784,1305,107,41,-0.007615726630319841,0.11487992852926254,0.2,0.9825353026390076,0.6586293503642082,0.03515625,1696,0.0004092704424510632,-43.33637249469757,0.009544941,0.24620920419692993,-2.751194627906977,1258.0
55296,1305,108,42,-0.02683556244301144,-0.031886134296655655,0.2,0.982194185256958,0.021070965041872114,0.2666015625,1712,0.0004092704424510632,-43.334888100624084,0.026053809,-7.414650917053223,-2.751194627906977,1258.0
