time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
79,32,40448,1229,1248,0.2457275390625,-43.155441999435425,-0.025614420446800068,0.018111693,0.2,0.0004092704424510632,-0.0288932416588068,-0.18597817420959473,0.9754565358161926,0.008793267465080135,-2.1459949062500003,1258.0
80,33,40960,1229,1264,0.0770263671875,-43.16822421550751,-0.013874373456928879,0.010747081,0.2,0.0004092704424510632,0.019585346803069115,0.6225481629371643,0.9756051898002625,0.2906976949889213,-2.1459949062500003,1258.0
81,33,41472,1229,1280,0.2476806640625,-43.169456243515015,-0.02672225063724909,0.01701221,0.2,0.0004092704424510632,-0.03286542370915413,-8.476329803466797,0.975624680519104,0.005949111997324508,-2.1459949062500003,1258.0
82,34,41984,1229,1296,0.246826171875,-43.16258203983307,-0.026090133804245852,0.015134913,0.2,0.0004092704424510632,-0.031145861372351646,0.6101884841918945,0.9750173687934875,0.00558286585874157,-2.145621272727273,1258.0
83,34,42496,1228,1312,0.151611328125,-43.14573085308075,-0.014951732198824175,0.021796439,0.2,0.0004092704424510632,-0.011013643816113472,0.4794917106628418,0.9750737547874451,0.09721428877674043,-2.145621272727273,1258.0
84,35,43008,1226,1328,0.288818359375,-43.13859784603119,-0.02695045480504632,0.024082247,0.2,0.0004092704424510632,-0.03924853354692459,-1.644486665725708,0.9740437865257263,0.007679903515963815,-2.1441016470588234,1258.0
85,35,43520,1226,1344,0.0936279296875,-43.10738027095795,-0.012862027309893165,0.018849827,0.2,0.0004092704424510632,0.05832085758447647,0.45488041639328003,0.973561704158783,0.21482894220389426,-2.1441016470588234,1258.0
86,35,44032,1225,1360,0.26611328125,-43.11467146873474,-0.02449513244937407,0.019407004,0.2,0.0004092704424510632,-0.032737426459789276,-1.2571983337402344,0.9745992422103882,0.007284536142833531,-2.1444830285714285,1258.0
87,36,44544,1224,1376,0.0968017578125,-43.14443600177765,-0.014792783353186678,0.016704082,0.2,0.0004092704424510632,0.015578247606754303,0.5355424284934998,0.9751364588737488,0.2600624170154333,-2.1444830285714285,1258.0
88,36,45056,1224,1392,0.216796875,-43.15000140666962,-0.02151338246767409,0.016700143,0.2,0.0004092704424510632,-0.02338504046201706,-3.4243459701538086,0.975006103515625,0.00416970114747528,-2.1444830285714285,1258.0
89,37,45568,1224,1408,0.265869140625,-43.15332114696503,-0.026162484369706362,0.020233829,0.2,0.0004092704424510632,-0.03252437710762024,0.12192308902740479,0.9756151437759399,0.0026083605553139932,-2.148432222222222,1258.0
90,37,46080,1224,1424,0.1175537109375,-43.170610308647156,-0.01474110906565329,0.012098167,0.2,0.0004092704424510632,0.017915062606334686,0.31100428104400635,0.9759348630905151,0.33356651826761663,-2.148432222222222,1258.0
91,38,46592,1224,1440,0.2515869140625,-43.19080662727356,-0.027408558235038072,0.019640341,0.2,0.0004092704424510632,-0.043748706579208374,-2.7176663875579834,0.9771289825439453,0.0034541964778327383,-2.1450465405405406,1258.0
92,38,47104,1224,1456,0.0848388671875,-43.2159948348999,-0.015839279476494994,0.016729785,0.2,0.0004092704424510632,0.028208650648593903,0.49174582958221436,0.977403998374939,0.2494148293044418,-2.1450465405405406,1258.0
93,38,47616,1224,1472,0.2763671875,-43.23885357379913,-0.02741051722841803,0.024581732,0.2,0.0004092704424510632,-0.034156687557697296,-6.74440860748291,0.9790658354759216,0.005428357198979938,-2.1450465405405406,1258.0
94,39,48128,1224,1488,0.2269287109375,-43.28974401950836,-0.023173486617452,0.016300533,0.2,0.0004092704424510632,-0.024170028045773506,-0.032212018966674805,0.9797539710998535,0.00493257500056643,-2.1449563157894733,1258.0
95,39,48640,1224,1504,0.0889892578125,-43.29464876651764,-0.013461800379445776,0.013342157,0.2,0.0004092704424510632,0.048763033002614975,0.28703534603118896,0.9797150492668152,0.3023418849334121,-2.1449563157894733,1258.0
96,40,49152,1223,1520,0.23046875,-43.31954526901245,-0.023311456738156267,0.019826308,0.2,0.0004092704424510632,-0.039278216660022736,-0.5009570121765137,0.9816251993179321,0.004676690739870537,-2.141426128205128,1258.0
97,40,49664,1223,1536,0.0614013671875,-43.36965012550354,-0.012622891968931071,0.014410087,0.2,0.0004092704424510632,0.12021062523126602,0.5822253227233887,0.982252299785614,0.32392581505700946,-2.141426128205128,1258.0
98,41,50176,1223,1552,0.2823486328125,-43.369763135910034,-0.03250157105503604,0.02385734,0.2,0.0004092704424510632,-0.041246023029088974,-1.753394365310669,0.9819586277008057,0.0025505186204100028,-2.141426128205128,1258.0
99,41,50688,1223,1568,0.2764892578125,-43.34396243095398,-0.0267604342661798,0.02530038,0.2,0.0004092704424510632,-0.03041079454123974,0.2513764500617981,0.9803085923194885,0.006706351923639886,-2.1404092500000003,1258.0
100,41,51200,1223,1584,0.0941162109375,-43.29303729534149,-0.013780645131191704,0.01928832,0.2,0.0004092704424510632,0.006118379533290863,0.5957608819007874,0.9795908331871033,0.24109070049598813,-2.1404092500000003,1258.0
101,42,51712,1223,1600,0.2137451171875,-43.29243540763855,-0.02427840288146399,0.01452386,0.2,0.0004092704424510632,-0.030139600858092308,-0.4174485206604004,0.9798725247383118,0.01447823757189326,-2.14469512195122,1258.0
102,42,52224,1223,1616,0.12451171875,-43.30015254020691,-0.018258201831486076,0.016733779,0.2,0.0004092704424510632,0.11006401479244232,0.7305928468704224,0.9799869060516357,0.4825942004099488,-2.14469512195122,1258.0
103,43,52736,1222,1632,0.2547607421875,-43.30717134475708,-0.02278242656029761,0.021063985,0.2,0.0004092704424510632,-0.03563717380166054,-1.4327845573425293,0.9805355668067932,0.013905458123190328,-2.14469512195122,1258.0
104,43,53248,1222,1648,0.263916015625,-43.324867725372314,-0.029745023522991687,0.01935673,0.2,0.0004092704424510632,-0.04499944671988487,0.398104727268219,0.9809642434120178,0.005779770333901979,-2.1428524761904764,1258.0
105,43,53760,1222,1664,0.09912109375,-43.3298556804657,-0.012087488925317302,0.0170022,0.2,0.0004092704424510632,0.006318382918834686,0.5911126732826233,0.9807156920433044,0.2620598025387153,-2.1428524761904764,1258.0
106,44,54272,1221,1680,0.3074951171875,-43.341954588890076,-0.03196230379398912,0.02235183,0.2,0.0004092704424510632,-0.03536568954586983,-0.2571432590484619,0.9828675985336304,0.01990062213735655,-2.1405514418604654,1258.0
107,44,54784,1221,1696,0.0950927734375,-43.41072344779968,-0.015231151643092744,0.014081581,0.2,0.0004092704424510632,0.062486112117767334,0.7950895428657532,0.9842792749404907,0.2656478122808039,-2.1405514418604654,1258.0
108,45,55296,1221,1712,0.2930908203125,-43.453153133392334,-0.028015505929943174,0.02184645,0.2,0.0004092704424510632,-0.03429870679974556,-3.9849390983581543,0.985974133014679,0.006067879818147048,-2.1405514418604654,1258.0
109,45,55808,1221,1728,0.1788330078125,-43.49652409553528,-0.0221921372867655,0.013828153,0.2,0.0004092704424510632,-0.02297125570476055,0.4223446249961853,0.9865833520889282,0.008740609657252207,-2.1413380000000006,1258.0
110,46,56320,1221,1744,0.1629638671875,-43.497568249702454,-0.018110658711520955,0.026379917,0.2,0.0004092704424510632,-0.011593736708164215,0.6374082565307617,0.9860610365867615,0.11395554180489853,-2.1413380000000006,1258.0
111,46,56832,1221,1760,0.26513671875,-43.50191116333008,-0.030520079337293282,0.023666646,0.2,0.0004092704424510632,-0.04728261008858681,-2.3362972736358643,0.98770672082901,0.009973952692234889,-2.1440439111111114,1258.0
112,46,57344,1221,1776,0.10302734375,-43.55398631095886,-0.015138819886487909,0.014800394,0.2,0.0004092704424510632,0.019728370010852814,0.5473273396492004,0.9887838959693909,0.2485084601212293,-2.1440439111111114,1258.0
113,47,57856,1221,1792,0.22705078125,-43.58981657028198,-0.026463621645234525,0.015830593,0.2,0.0004092704424510632,-0.04098901152610779,-4.652986526489258,0.990349531173706,0.00263800486936816,-2.1440439111111114,1258.0
114,47,58368,1221,1808,0.2003173828125,-43.62120831012726,-0.023335165082244202,0.020574577,0.2,0.0004092704424510632,0.0003982745110988617,0.6369136571884155,0.9904783964157104,0.06542926270049065,-2.1447572391304353,1258.0
115,48,58880,1221,1824,0.2540283203125,-43.62533175945282,-0.022820821788627654,0.033942543,0.2,0.0004092704424510632,-0.028080392628908157,0.7143471240997314,0.9907011389732361,0.1250218608765863,-2.1447572391304353,1258.0
116,48,59392,1221,1840,0.2210693359375,-43.60341942310333,-0.02343276675674133,0.020648856,0.2,0.0004092704424510632,-0.04492726922035217,-0.5149871110916138,0.9887336492538452,0.01716704262071289,-2.1414608297872344,1258.0
117,49,59904,1221,1856,0.065673828125,-43.55015218257904,-0.011059333148295991,0.013985835,0.2,0.0004092704424510632,0.07317906618118286,0.42119699716567993,0.9880685210227966,0.4904106992762536,-2.1414608297872344,1258.0
118,49,60416,1221,1872,0.3206787109375,-43.54959154129028,-0.03146861289860681,0.02229875,0.2,0.0004092704424510632,-0.05033697932958603,-0.8936779499053955,0.9888169169425964,0.003600410454964731,-2.1408838541666664,1258.0
119,49,60928,1221,1888,0.03955078125,-43.576048612594604,-0.009215415280777961,0.010661783,0.2,0.0004092704424510632,0.0523868203163147,0.4077337384223938,0.9893124103546143,0.5370056524407119,-2.1408838541666664,1258.0
120,50,61440,1221,1904,0.2894287109375,-43.57469594478607,-0.026107435289304703,0.019621816,0.2,0.0004092704424510632,-0.03832773119211197,-2.4370434284210205,0.9886646270751953,0.001949741928910953,-2.1408838541666664,1258.0
121,50,61952,1221,1920,0.3480224609375,-43.57586967945099,-0.03453085922228638,0.025923628,0.2,0.0004092704424510632,-0.03916509449481964,-0.025183558464050293,0.9898265600204468,0.003969053585024085,-2.140671081632653,1258.0
122,51,62464,1221,1936,0.0113525390625,-43.60979354381561,-0.007248351714224555,0.0064083776,0.2,0.0004092704424510632,0.03436432406306267,0.08257275819778442,0.9902504682540894,0.9482831612695009,-2.140671081632653,1258.0
