time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1263,178176,54,21,0.2,-0.016851177853823174,0.5218816786073148,-42.12860119342804,0.9497846364974976,0.0004092704424510632,0.04743734002113342,0.30465561151504517,5552,0.1219482421875,0.01695045,-2.0958249299999996,1258.0
1263,178688,55,22,0.2,-0.025062975066248327,0.00691004357940983,-42.11799144744873,0.949512243270874,0.0004092704424510632,-0.028942298144102097,-15.414737701416016,5568,0.2664794921875,0.02138618,-2.0955131199999992,1258.0
1263,179200,56,22,0.2,-0.010749661931185983,0.6134360288269818,-42.11093878746033,0.9493257999420166,0.0004092704424510632,0.07826760411262512,0.37774139642715454,5584,0.0609130859375,0.014588859,-2.0955131199999992,1258.0
1263,179712,57,23,0.2,-0.02752193140622694,0.009147037664661184,-42.09907114505768,0.9488645792007446,0.0004092704424510632,-0.027316473424434662,-5.382056713104248,5600,0.34375,0.034952637,-2.0955131199999992,1258.0
1263,180224,58,23,0.2,-0.030175153719028458,0.004890365162282251,-42.11293303966522,0.9508195519447327,0.0004092704424510632,-0.04093583673238754,-0.0022240877151489258,5616,0.267822265625,0.017347202,-2.0937434899999996,1258.0
1263,180736,59,23,0.2,-0.017821606568759307,0.5096614682115614,-42.166062235832214,0.9511708617210388,0.0004092704424510632,0.05168551206588745,0.34849393367767334,5632,0.099609375,0.017139448,-2.0937434899999996,1258.0
1262,181248,60,24,0.2,-0.02316732582403347,0.010730861002230085,-42.16029727458954,0.9504895210266113,0.0004092704424510632,-0.03348909690976143,-7.981512069702148,5648,0.2938232421875,0.029348472,-2.09291744,1258.0
1262,181760,61,24,0.2,-0.014765104715479538,0.5826032133772969,-42.13960564136505,0.9501116275787354,0.0004092704424510632,0.0810716301202774,0.3340097665786743,5664,0.10205078125,0.015077174,-2.09291744,1258.0
1262,182272,62,25,0.2,-0.02111167210387066,0.006642041727900505,-42.12685286998749,0.9496476650238037,0.0004092704424510632,-0.025970526039600372,-7.853322982788086,5680,0.2694091796875,0.017128628,-2.09291744,1258.0
1262,182784,63,25,0.2,-0.02451677422504872,0.004390139009046834,-42.10816931724548,0.9489598870277405,0.0004092704424510632,-0.025689978152513504,0.012082993984222412,5696,0.2408447265625,0.018206248,-2.0920777800000003,1258.0
1262,183296,64,25,0.2,-0.013041512123891152,0.5487363561987877,-42.090489864349365,0.9484263062477112,0.0004092704424510632,0.05756189674139023,0.40826159715652466,5712,0.0738525390625,0.01749646,-2.0920777800000003,1258.0
1262,183808,65,26,0.2,-0.027755839764722623,0.05596422153757885,-42.08676326274872,0.949568510055542,0.0004092704424510632,-0.028578313067555428,-6.449584007263184,5728,0.2696533203125,0.025048643,-2.0942835800000004,1258.0
1262,184320,66,26,0.2,-0.014291530460468493,0.516213096678257,-42.11834406852722,0.9495699405670166,0.0004092704424510632,0.05552748590707779,0.39278191328048706,5744,0.0911865234375,0.02057901,-2.0942835800000004,1258.0
1261,184832,67,27,0.2,-0.028267579298699275,0.02463738521328196,-42.101157903671265,0.9494085907936096,0.0004092704424510632,-0.036527715623378754,-1.9547119140625,5760,0.3575439453125,0.033165295,-2.0942835800000004,1258.0
1261,185344,68,27,0.2,-0.01966539357090369,0.007402009068755433,-42.120285630226135,0.9512199759483337,0.0004092704424510632,-0.03405795246362686,0.048431575298309326,5776,0.192626953125,0.014896963,-2.09473369,1258.0
1261,185856,69,27,0.2,-0.016844529935042374,0.3765474259853363,-42.17064702510834,0.9516506791114807,0.0004092704424510632,0.04432858154177666,0.5548638105392456,5792,0.1201171875,0.019383702,-2.09473369,1258.0
