time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
24576,48,1636,15,0.23486328125,-43.9868266582489,-0.019103348400676623,0.0004092704424510632,0.0181311,752,0.1752195406006649,1.0003747940063477,0.2,0.011799579486250877,0.04154515266418457,-2.6759575789473686,1258.0
25088,49,1636,15,0.2279052734375,-43.96402430534363,-0.022197558864718303,0.0004092704424510632,0.011652477,768,0.004367433768493356,1.0008190870285034,0.2,-0.027189459651708603,-3.118358612060547,-2.6759575789473686,1258.0
25600,50,1636,15,0.249755859375,-43.99288368225098,-0.022389223042409867,0.0004092704424510632,0.016410066,784,0.011791867262218148,1.0016041994094849,0.2,-0.027278658002614975,0.18270909786224365,-2.67990385,1258.0
26112,51,1635,15,0.1829833984375,-43.991254687309265,-0.023565797368064523,0.0004092704424510632,0.024221193,800,0.10677339392714202,1.0011374950408936,0.2,-0.012640148401260376,0.42726820707321167,-2.67990385,1258.0
26624,52,1635,16,0.1593017578125,-44.01061773300171,-0.01853842052514665,0.0004092704424510632,0.012803454,816,0.015586300083668903,1.003437876701355,0.2,-0.027019329369068146,-0.5780929327011108,-2.683122,1258.0
27136,53,1635,16,0.0999755859375,-44.07344138622284,-0.017438598340959288,0.0004092704424510632,0.01564087,832,0.15965338971000165,1.0042994022369385,0.2,-0.00444195419549942,0.35027003288269043,-2.683122,1258.0
27648,54,1638,16,0.2437744140625,-44.055100321769714,-0.026403388226754032,0.0004092704424510632,0.01870027,848,0.0026921148055407684,1.0025529861450195,0.2,-0.038656461983919144,-2.913939952850342,-2.683122,1258.0
28160,55,1640,17,0.2869873046875,-44.017186760902405,-0.02752180497191148,0.0004092704424510632,0.030548632,864,0.012589328733156435,1.0025379657745361,0.2,-0.03132826089859009,0.1254984736442566,-2.687245681818182,1258.0
28672,56,1640,17,0.2257080078125,-44.01358509063721,-0.022070259583415464,0.0004092704424510632,0.019892383,880,0.16895457706414163,1.0018361806869507,0.2,-0.010472927242517471,0.2725081443786621,-2.687245681818182,1258.0
29184,57,1640,17,0.212890625,-43.98634314537048,-0.023487740865675732,0.0004092704424510632,0.016905744,896,0.016065852221800014,1.001432180404663,0.2,-0.01779966801404953,-0.9450386762619019,-2.6931874347826086,1258.0
29696,58,1640,18,0.1075439453125,-43.98090708255768,-0.01606835723941913,0.0004092704424510632,0.013880834,912,0.18760871060658246,1.001377820968628,0.2,-0.0031700320541858673,0.545720100402832,-2.6931874347826086,1258.0
30208,59,1640,18,0.2452392578125,-43.97553014755249,-0.023826489778002724,0.0004092704424510632,0.02192708,928,0.00908857012836961,1.0011577606201172,0.2,-0.027448002249002457,-7.153276443481445,-2.6981067500000004,1258.0
30720,60,1640,18,0.1026611328125,-43.96127104759216,-0.019166035286616534,0.0004092704424510632,0.016544072,944,0.2067462494596839,1.0004957914352417,0.2,0.01322890818119049,0.336869478225708,-2.6981067500000004,1258.0
31232,61,1639,19,0.21875,-43.959041118621826,-0.020783689484233037,0.0004092704424510632,0.016605973,960,0.0037365017269621603,1.0014362335205078,0.2,-0.03110668808221817,-4.8837666511535645,-2.6981067500000004,1258.0
31744,62,1639,19,0.34521484375,-43.97918903827667,-0.03134157645399682,0.0004092704424510632,0.02621693,976,0.012304578092880547,1.000887155532837,0.2,-0.03099702298641205,0.03988301753997803,-2.6989053600000004,1258.0
32256,63,1639,19,0.1495361328125,-43.95162308216095,-0.01536927919369191,0.0004092704424510632,0.0197538,992,0.1728804059093818,1.0001732110977173,0.2,0.014409402385354042,0.3729063868522644,-2.6989053600000004,1258.0
32768,64,1639,19,0.2950439453125,-43.929073214530945,-0.02629765495657921,0.0004092704424510632,0.020575322,1008,0.00828050245763734,0.9993125200271606,0.2,-0.03748144209384918,-1.0591323375701904,-2.7007480000000004,1258.0
33280,65,1639,20,0.15478515625,-43.9065728187561,-0.018307999504031613,0.0004092704424510632,0.017241579,1024,0.19872748758643866,0.9988203644752502,0.2,0.01580233871936798,0.3728892207145691,-2.7007480000000004,1258.0
33792,66,1638,20,0.248291015625,-43.87766075134277,-0.026630248845322058,0.0004092704424510632,0.016712204,1040,0.002684092534764204,0.9974098205566406,0.2,-0.04066178947687149,-3.7192864418029785,-2.7007480000000004,1258.0
34304,67,1638,20,0.3172607421875,-43.85322856903076,-0.029690328723518178,0.0004092704424510632,0.019919287,1056,0.015145466953981668,0.9980575442314148,0.2,-0.030465073883533478,0.02248513698577881,-2.704757481481482,1258.0
34816,68,1638,21,0.1251220703125,-43.87921154499054,-0.011172451937454753,0.0004092704424510632,0.01230634,1072,0.2346288627013564,0.9982476234436035,0.2,0.0032420922070741653,0.261823832988739,-2.704757481481482,1258.0
35328,69,1637,21,0.2523193359375,-43.89581620693207,-0.027390084287617356,0.0004092704424510632,0.017116677,1088,0.011692315776599571,0.9999250769615173,0.2,-0.04137131944298744,-0.2046869993209839,-2.708593785714286,1258.0
35840,70,1637,21,0.1181640625,-43.93777000904083,-0.01904910225130152,0.0004092704424510632,0.018830888,1104,0.33265908993780613,1.0003045797348022,0.2,0.01761346310377121,0.14599549770355225,-2.708593785714286,1258.0
36352,71,1637,22,0.235107421875,-43.90008771419525,-0.024606543927802704,0.0004092704424510632,0.018108636,1120,0.006639374099904671,0.9977604150772095,0.2,-0.03573334962129593,-2.885042428970337,-2.708593785714286,1258.0
36864,72,1637,22,0.2659912109375,-43.836294054985046,-0.025882714151521213,0.0004092704424510632,0.024885546,1136,0.01203794710454531,0.9970361590385437,0.2,-0.038970328867435455,0.047670960426330566,-2.711736965517242,1258.0
37376,73,1637,22,0.1151123046875,-43.8280383348465,-0.016349530400475487,0.0004092704424510632,0.018185247,1152,0.2331393922213465,0.9965698719024658,0.2,0.008027607575058937,0.37414640188217163,-2.711736965517242,1258.0
37888,74,1636,23,0.282470703125,-43.787405371665955,-0.0295546336856205,0.0004092704424510632,0.018724252,1168,0.008553203268093057,0.9944888353347778,0.2,-0.037723712623119354,-0.4255305528640747,-2.712786466666667,1258.0
38400,75,1638,23,0.102783203125,-43.741251826286316,-0.012145913016865961,0.0004092704424510632,0.013926793,1184,0.3160336127039045,0.9942007660865784,0.2,0.02162984386086464,0.4475952982902527,-2.712786466666667,1258.0
38912,76,1638,23,0.2076416015625,-43.73460805416107,-0.020206729066558182,0.0004092704424510632,0.014800792,1200,0.006121535763668362,0.993235170841217,0.2,-0.031271446496248245,-3.5791358947753906,-2.712786466666667,1258.0
39424,77,1637,24,0.260498046875,-43.73805797100067,-0.02393923042109236,0.0004092704424510632,0.01916776,1216,0.012753320974297822,0.99512779712677,0.2,-0.027566634118556976,0.14216291904449463,-2.712536548387097,1258.0
39936,78,1637,24,0.0823974609375,-43.792174220085144,-0.01569089700933546,0.0004092704424510632,0.015802328,1232,0.21555866161361337,0.9955251216888428,0.2,-0.007128952071070671,0.5266879796981812,-2.712536548387097,1258.0
40448,79,1637,24,0.277587890625,-43.80662667751312,-0.02913025532325264,0.0004092704424510632,0.021959186,1248,0.012174032191978768,0.9973495006561279,0.2,-0.03931162878870964,-0.8717067241668701,-2.7172976249999996,1258.0
40960,80,1637,25,0.0902099609375,-43.8525493144989,-0.01320611118717352,0.0004092704424510632,0.016881913,1264,0.29128185869194567,0.9975637793540955,0.2,0.03805100917816162,0.5547047853469849,-2.7172976249999996,1258.0
41472,81,1637,25,0.2537841796875,-43.83864486217499,-0.02343076962279156,0.0004092704424510632,0.020472534,1280,0.0042885923030553386,0.9967656135559082,0.2,-0.031003814190626144,-9.617219924926758,-2.7172976249999996,1258.0
41984,82,1637,25,0.2550048828125,-43.84130311012268,-0.026698505549575202,0.0004092704424510632,0.023409985,1296,0.012351314682746306,0.9985145926475525,0.2,-0.040221892297267914,0.24568289518356323,-2.715709363636363,1258.0
42496,83,1636,25,0.1395263671875,-43.89155304431915,-0.018430673546390608,0.0004092704424510632,0.020257883,1312,0.24110295489663258,0.9991653561592102,0.2,-0.011174341663718224,0.3466641902923584,-2.715709363636363,1258.0
43008,84,1636,26,0.24951171875,-43.89047420024872,-0.028107787351473235,0.0004092704424510632,0.017895617,1328,0.02098156829015352,0.9991217851638794,0.2,-0.0201895609498024,-0.7327499389648438,-2.7158922647058823,1258.0
