time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
35328,1934,18,69,0.227294921875,0.9941602945327759,-0.026739923283457756,-43.72631633281708,-0.024750445707468316,0.012794992726412602,0.0014081597328186035,0.02196797,0.2,1088,0.0004092704424510632,-2.6757284999999995,1258.0
35840,1934,18,70,0.2274169921875,0.993986964225769,0.062264300882816315,-43.71526527404785,-0.024683524534339085,0.2440463313832879,4.5239925384521484e-05,0.022495698,0.2,1104,0.0004092704424510632,-2.6757284999999995,1258.0
36352,1933,18,71,0.2686767578125,0.994228720664978,-0.03474158048629761,-43.707141637802124,-0.02613030100474134,0.0030482929723802954,0.00017583370208740234,0.018971406,0.2,1120,0.0004092704424510632,-2.6757284999999995,1258.0
36864,1933,19,72,0.2369384765625,0.9951979517936707,-0.023092560470104218,-43.72487819194794,-0.022556057665497065,0.012494008202338591,0.00112837553024292,0.020845193,0.2,1136,0.0004092704424510632,-2.674982206896552,1258.0
37376,1933,19,73,0.22509765625,0.9929764866828918,0.08030764013528824,-43.72161364555359,-0.02341354345844593,0.26141280261799693,9.942054748535156e-05,0.02094217,0.2,1152,0.0004092704424510632,-2.674982206896552,1258.0
37888,1933,19,74,0.2099609375,0.992634117603302,-0.03409288823604584,-43.662906885147095,-0.025035434489836916,0.010627492098137736,0.002977609634399414,0.016012091,0.2,1168,0.0004092704424510632,-2.674191366666667,1258.0
38400,1932,19,75,0.2406005859375,0.9922502040863037,0.0732034370303154,-43.65548658370972,-0.02560906863072887,0.24168364517390728,0.00013810396194458008,0.021232117,0.2,1184,0.0004092704424510632,-2.674191366666667,1258.0
38912,1932,20,76,0.2353515625,0.9929854869842529,-0.04055878892540932,-43.65043818950653,-0.02468329342082143,0.002598829745693365,0.024105072021484375,0.022646047,0.2,1200,0.0004092704424510632,-2.674191366666667,1258.0
39424,1931,20,77,0.2103271484375,0.9949871897697449,-0.034879058599472046,-43.69309747219086,-0.023990268469788134,0.009873479400994256,0.014128506183624268,0.017149005,0.2,1216,0.0004092704424510632,-2.674138032258065,1258.0
39936,1931,20,78,0.212158203125,0.9950314164161682,0.07169395685195923,-43.73424446582794,-0.021182893004151992,0.24825739581137896,0.00011754035949707031,0.013868804,0.2,1232,0.0004092704424510632,-2.674138032258065,1258.0
