time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1786,2,10,80384,0.2,0.2784423828125,0.9496334791183472,-42.31363880634308,-0.027213868146645837,-4.5923943519592285,2496,0.0004092704424510632,0.026844837,-0.03490952029824257,0.00783693497942295,1257.0,-2.5106192063492063
1773,3,11,80896,0.2,0.199951171875,0.9488919377326965,-42.30871295928955,-0.022942507406696677,0.021152257919311523,2512,0.0004092704424510632,0.012556285,-0.020205337554216385,0.002194739801780088,1257.0,-2.50596659375
1761,3,12,81408,0.2,0.2110595703125,0.9481057524681091,-42.280572056770325,-0.02004871581448242,0.06023973226547241,2528,0.0004092704424510632,0.019866228,0.009608490392565727,0.16349532001186162,1257.0,-2.50596659375
1770,3,13,81920,0.2,0.255126953125,0.9487723112106323,-42.269097089767456,-0.025955699165933765,-4.149564743041992,2544,0.0004092704424510632,0.027160004,-0.032947245985269547,0.02394290070515126,1257.0,-2.504314753846154
1776,4,14,82432,0.2,0.1942138671875,0.9497645497322083,-42.30488157272339,-0.024474043369991705,0.1525355577468872,2560,0.0004092704424510632,0.021481242,0.0013918578624725342,0.15083367098122835,1257.0,-2.504314753846154
1790,4,15,82944,0.2,0.2469482421875,0.9507997632026672,-42.33251070976257,-0.022746394184650853,-4.2260308265686035,2576,0.0004092704424510632,0.015644126,-0.029834356158971786,0.01713223842671141,1257.0,-2.504314753846154
1792,4,16,83456,0.2,0.2432861328125,0.9517860412597656,-42.367003321647644,-0.026151179685257375,0.4202314615249634,2592,0.0004092704424510632,0.018318174,-0.03182283788919449,0.004219395486870781,1257.0,-2.5025814242424245
1799,4,17,83968,0.2,0.2867431640625,0.951497495174408,-42.37374556064606,-0.025873945909552276,0.4983794689178467,2608,0.0004092704424510632,0.03812015,-0.021740982308983803,0.03891561570344493,1257.0,-2.5025814242424245
1809,5,18,84480,0.2,0.25927734375,0.950721263885498,-42.3550785779953,-0.02357941705849953,-3.845949172973633,2624,0.0004092704424510632,0.019557681,-0.03753399848937988,0.006503598197014071,1257.0,-2.501181656716418
1814,5,19,84992,0.2,0.2061767578125,0.9501438736915588,-42.334041237831116,-0.02607933961553499,0.09607374668121338,2640,0.0004092704424510632,0.025845703,-0.011454027146100998,0.17528752656653523,1257.0,-2.501181656716418
1807,5,20,85504,0.2,0.3140869140625,0.9492678642272949,-42.31068980693817,-0.035413812642218545,-3.542006492614746,2656,0.0004092704424510632,0.032745674,-0.04733968526124954,0.027106578316306695,1257.0,-2.4994912794117647
1798,5,21,86016,0.2,0.1602783203125,0.9490699172019958,-42.28459715843201,-0.019296248668979388,0.22333145141601562,2672,0.0004092704424510632,0.017250119,0.007330914959311485,0.14429129241034389,1257.0,-2.4994912794117647
1790,6,22,86528,0.2,0.2608642578125,0.9491562247276306,-42.28423237800598,-0.02921368034731131,-1.536224603652954,2688,0.0004092704424510632,0.022596769,-0.03923990577459335,0.005000520548492204,1257.0,-2.4994912794117647
1782,6,23,87040,0.2,0.25439453125,0.9484671354293823,-42.282469749450684,-0.027394354925490916,-0.013695955276489258,2704,0.0004092704424510632,0.02392999,-0.029845254495739937,0.0034243746049469337,1257.0,-2.499386536231884
1774,6,24,87552,0.2,0.1435546875,0.9481915831565857,-42.266098737716675,-0.015151179370150203,0.09150272607803345,2720,0.0004092704424510632,0.016552787,0.011312760412693024,0.18116942676715553,1257.0,-2.499386536231884
1767,7,25,88064,0.2,0.2738037109375,0.9490465521812439,-42.27393126487732,-0.029374305508099496,-5.102776527404785,2736,0.0004092704424510632,0.029139638,-0.03282276540994644,0.02303027265588753,1257.0,-2.496609542857143
1761,7,26,88576,0.2,0.21142578125,0.9482160806655884,-42.282610297203064,-0.022934519380214624,0.16119372844696045,2752,0.0004092704424510632,0.023830201,0.011411882936954498,0.1604155427776277,1257.0,-2.496609542857143
1756,7,27,89088,0.2,0.2677001953125,0.9476457834243774,-42.24977111816406,-0.02397606906015426,-9.601459503173828,2768,0.0004092704424510632,0.018920384,-0.030351655557751656,0.003998401632998139,1257.0,-2.496609542857143
1753,8,28,89600,0.2,0.23828125,0.9467735290527344,-42.23239731788635,-0.02392739083370543,-0.03721916675567627,2784,0.0004092704424510632,0.01653476,-0.03908335044980049,0.0027875824089278467,1257.0,-2.4944254366197187
1758,8,29,90112,0.2,0.2088623046875,0.9471626877784729,-42.22001326084137,-0.02269574790261686,0.08259743452072144,2800,0.0004092704424510632,0.02153912,0.00900825671851635,0.16785696672741324,1257.0,-2.4944254366197187
1769,8,30,90624,0.2,0.221923828125,0.9496644139289856,-42.263670563697815,-0.020927624180330895,-6.879509449005127,2816,0.0004092704424510632,0.017034765,-0.031041506677865982,0.03181490517454222,1257.0,-2.4944550555555556
1770,8,31,91136,0.2,0.134765625,0.9499688744544983,-42.32300662994385,-0.014624836170696653,0.20859086513519287,2832,0.0004092704424510632,0.019009529,0.010571952909231186,0.13529276079498231,1257.0,-2.4944550555555556
1777,9,32,91648,0.2,0.2484130859375,0.9493449926376343,-42.311917424201965,-0.021055975012131967,-6.46634578704834,2848,0.0004092704424510632,0.0218231,-0.022115863859653473,0.005911417109018657,1257.0,-2.4944550555555556
1776,9,33,92160,0.2,0.2537841796875,0.9488099813461304,-42.28870964050293,-0.025491225096629933,-0.01902937889099121,2864,0.0004092704424510632,0.015986959,-0.043231301009655,0.0026332052912039217,1257.0,-2.4955273698630136
1779,9,34,92672,0.2,0.2109375,0.9489818811416626,-42.280200719833374,-0.02427871803229209,0.09551262855529785,2880,0.0004092704424510632,0.017948478,-0.008848894387483597,0.14281634660437703,1257.0,-2.4955273698630136
1783,10,35,93184,0.2,0.2247314453125,0.9480776786804199,-42.27114498615265,-0.023067780712153763,-5.715439319610596,2896,0.0004092704424510632,0.024475686,-0.02719343639910221,0.030162450158968568,1257.0,-2.4970975675675673
