time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
22,29184,57,1277,0.013809626,0.9890214800834656,-43.643152713775635,896,-0.03503955900669098,0.2239990234375,0.01070796740532387,-3.944380283355713,0.2,0.0004092704424510632,-0.023850078709074296,-2.7151686086956515,1258.0
23,29696,58,1277,0.021302518,0.9876781105995178,-43.57713234424591,912,0.011186391115188599,0.1673583984375,0.23616660991683602,0.14148253202438354,0.2,0.0004092704424510632,-0.025367849608301185,-2.7151686086956515,1258.0
23,30208,59,1277,0.021888342,0.9870745539665222,-43.548163175582886,928,-0.043427642434835434,0.2791748046875,0.0037339785412768833,-1.0222687721252441,0.2,0.0004092704424510632,-0.031349763259640895,-2.7250623333333337,1258.0
24,30720,60,1276,0.01237825,0.9869056344032288,-43.53903067111969,944,0.045286618173122406,0.0833740234375,0.30001685954630375,0.39224451780319214,0.2,0.0004092704424510632,-0.015466105924133444,-2.7250623333333337,1258.0
24,31232,61,1277,0.025413902,0.988422691822052,-43.550745487213135,960,-0.05397642403841019,0.29736328125,0.0053324644977692515,-1.3408522605895996,0.2,0.0004092704424510632,-0.029396908401395194,-2.7250623333333337,1258.0
24,31744,62,1277,0.016384255,0.9891676306724548,-43.597073912620544,976,-0.042498666793107986,0.240234375,0.003573962429072708,0.032673656940460205,0.2,0.0004092704424510632,-0.02808795147575438,-2.7311597200000004,1258.0
25,32256,63,1276,0.016459543,0.9893368482589722,-43.60636270046234,992,0.06259571015834808,0.127197265625,0.3551921758335084,0.08489972352981567,0.2,0.0004092704424510632,-0.018912302839453332,-2.7311597200000004,1258.0
25,32768,64,1276,0.026286617,0.9904693365097046,-43.61958110332489,1008,-0.03147438168525696,0.29931640625,0.005985538511595223,-1.6537377834320068,0.2,0.0004092704424510632,-0.027227974656852894,-2.728798961538462,1258.0
26,33280,65,1276,0.013870092,0.9911273717880249,-43.65475606918335,1024,0.03240465372800827,0.0826416015625,0.3426130539737642,0.18272888660430908,0.2,0.0004092704424510632,-0.014843194658169523,-2.728798961538462,1258.0
26,33792,66,1276,0.012932781,0.9915050864219666,-43.66778779029846,1040,-0.029048031195998192,0.1785888671875,0.0019837422332784627,-4.540879249572754,0.2,0.0004092704424510632,-0.020988922682590783,-2.728798961538462,1258.0
26,34304,67,1276,0.018865442,0.9914742708206177,-43.677576422691345,1056,-0.026417003944516182,0.2540283203125,0.0090391486446606,0.01943385601043701,0.2,0.0004092704424510632,-0.026678304639062844,-2.7246423703703706,1258.0
27,34816,68,1276,0.017793767,0.9911651611328125,-43.66957998275757,1072,0.044564053416252136,0.1011962890625,0.36402516392990947,0.13182413578033447,0.2,0.0004092704424510632,-0.019048497095354833,-2.7246423703703706,1258.0
27,35328,69,1276,0.015219594,0.9932929277420044,-43.69073045253754,1088,-0.024652324616909027,0.1917724609375,0.006910570358741097,-3.491297721862793,0.2,0.0004092704424510632,-0.019724384939763695,-2.723412285714286,1258.0
28,35840,70,1275,0.0148648545,0.9939010143280029,-43.747260212898254,1104,0.07901164889335632,0.1219482421875,0.4807904316112399,0.06753313541412354,0.2,0.0004092704424510632,-0.022126678028143942,-2.723412285714286,1258.0
28,36352,71,1275,0.023970691,0.9934415221214294,-43.74469590187073,1120,-0.038571547716856,0.2828369140625,0.0037585752106679138,-7.612455368041992,0.2,0.0004092704424510632,-0.026583435072097927,-2.723412285714286,1258.0
28,36864,72,1275,0.022550792,0.9934470057487488,-43.73712146282196,1136,-0.03246788680553436,0.2821044921875,0.011413794287363999,0.03855806589126587,0.2,0.0004092704424510632,-0.028558326928759925,-2.721106482758621,1258.0
29,37376,73,1275,0.009714134,0.9930917024612427,-43.73427355289459,1152,0.03737609088420868,0.0540771484375,0.3391278132330626,0.1869480013847351,0.2,0.0004092704424510632,-0.01189358570263721,-2.721106482758621,1258.0
29,37888,74,1275,0.015380526,0.9930226802825928,-43.721784710884094,1168,-0.03139039874076843,0.2432861328125,0.0076440319026005454,-4.732092380523682,0.2,0.0004092704424510632,-0.024324903322849423,-2.7240863333333336,1258.0
30,38400,75,1275,0.013945288,0.992920458316803,-43.72283661365509,1184,0.07296162843704224,0.1641845703125,0.45658357348293066,0.1626722812652588,0.2,0.0004092704424510632,-0.019199181886506267,-2.7240863333333336,1258.0
30,38912,76,1275,0.018946704,0.9908044338226318,-43.694698095321655,1200,-0.02304357849061489,0.2320556640625,0.008870144141837955,-0.9168030023574829,0.2,0.0004092704424510632,-0.02656087682407815,-2.7240863333333336,1258.0
30,39424,77,1275,0.021085382,0.9895133376121521,-43.63073229789734,1216,-0.028394591063261032,0.25146484375,0.014710326970089227,0.15680605173110962,0.2,0.0004092704424510632,-0.026544283115072176,-2.727603645161291,1258.0
31,39936,78,1275,0.021368846,0.9891273379325867,-43.60280656814575,1232,0.037684909999370575,0.154541015625,0.23927851184271276,0.5705363750457764,0.2,0.0004092704424510632,-0.022056595975300297,-2.727603645161291,1258.0
31,40448,79,1274,0.022794373,0.9876692295074463,-43.58487284183502,1248,-0.03401065617799759,0.251953125,0.011188280404894613,-2.748385190963745,0.2,0.0004092704424510632,-0.025122661216300912,-2.7255310625,1258.0
32,40960,80,1274,0.015704531,0.9875337481498718,-43.551395773887634,1264,0.1113186776638031,0.08251953125,0.3456381009891629,0.4872596263885498,0.2,0.0004092704424510632,-0.013591742506832816,-2.7255310625,1258.0
32,41472,81,1274,0.022076637,0.986005425453186,-43.54093384742737,1280,-0.049323711544275284,0.2933349609375,0.006309226046141703,-10.313658714294434,0.2,0.0004092704424510632,-0.03472839397727512,-2.7255310625,1258.0
32,41984,82,1274,0.027303336,0.9836271405220032,-43.46900272369385,1296,-0.035865191370248795,0.3614501953125,0.024259237688966095,0.3611241579055786,0.2,0.0004092704424510632,-0.0387412843410857,-2.726892878787879,1258.0
33,42496,83,1274,0.029590618,0.9832294583320618,-43.41544497013092,1312,0.0024238228797912598,0.2083740234375,0.13987541664391756,0.5362528562545776,0.2,0.0004092704424510632,-0.022456246515503153,-2.726892878787879,1258.0
33,43008,84,1274,0.017567227,0.9843074083328247,-43.43377983570099,1328,-0.03001890890300274,0.27978515625,0.006284858696744777,-2.7565386295318604,0.2,0.0004092704424510632,-0.03039350948529318,-2.7221978235294118,1258.0
34,43520,85,1274,0.013151145,0.9842981696128845,-43.45206141471863,1344,0.09007292240858078,0.04736328125,0.45541995018720627,0.37352561950683594,0.2,0.0004092704424510632,-0.015777128312038258,-2.7221978235294118,1258.0
34,44032,86,1274,0.019131094,0.983540415763855,-43.43970227241516,1360,-0.030190370976924896,0.281982421875,0.003816145192104159,-0.885019063949585,0.2,0.0004092704424510632,-0.028436606575269252,-2.7231438285714287,1258.0
34,44544,87,1274,0.015150057,0.9833029508590698,-43.423617124557495,1376,0.08132040500640869,0.10595703125,0.43460813583806157,0.39933377504348755,0.2,0.0004092704424510632,-0.01720997563097626,-2.7231438285714287,1258.0
35,45056,88,1274,0.010511981,0.9833794832229614,-43.42059075832367,1392,-0.031009532511234283,0.1871337890625,0.005449718213640153,-3.1536507606506348,0.2,0.0004092704424510632,-0.017846020244178362,-2.7231438285714287,1258.0
35,45568,89,1274,0.015069464,0.9851786494255066,-43.44731843471527,1408,-0.02641170471906662,0.177490234375,0.0031382229026348796,0.0760732889175415,0.2,0.0004092704424510632,-0.01981257103034295,-2.7262278055555553,1258.0
36,46080,90,1274,0.010634186,0.985756516456604,-43.49403119087219,1424,0.10860992968082428,0.049560546875,0.5915397549979389,0.24655121564865112,0.2,0.0004092704424510632,-0.01065423563704826,-2.7262278055555553,1258.0
36,46592,91,1274,0.018789895,0.9881408214569092,-43.52660799026489,1440,-0.03234868124127388,0.24609375,0.0053269247291609645,-3.929569721221924,0.2,0.0004092704424510632,-0.02728546281286981,-2.725578081081081,1258.0
36,47104,92,1274,0.013072951,0.9882248640060425,-43.58108079433441,1456,0.10014224797487259,0.064697265625,0.5671606827527285,0.25328004360198975,0.2,0.0004092704424510632,-0.011450545833213255,-2.725578081081081,1258.0
37,47616,93,1275,0.022114072,0.9874370694160461,-43.55264949798584,1472,-0.03795836120843887,0.2784423828125,0.00394204414988053,-7.162596702575684,0.2,0.0004092704424510632,-0.030263142893090844,-2.725578081081081,1258.0
37,48128,94,1275,0.026117682,0.9870491623878479,-43.54139971733093,1488,-0.030782032757997513,0.2767333984375,0.011353965470334515,-0.0024814605712890625,0.2,0.0004092704424510632,-0.026990838719939347,-2.7196187105263157,1258.0
