time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
45568,89,1827,24,0.00014156103134155273,0.9852231740951538,0.019081164,0.215087890625,0.2,0.0004092704424510632,-0.024582572019426152,-0.026368653401732445,0.002155901544028893,-43.44996964931488,1408,-2.287051108108108,1223.0
46080,90,1825,25,0.00027626752853393555,0.9846518635749817,0.015329598,0.221923828125,0.2,0.0004092704424510632,-0.022669894970022142,0.04949503391981125,0.18436251813545823,-43.430477142333984,1424,-2.287051108108108,1223.0
46592,91,1826,25,-0.003663182258605957,0.9851369261741638,0.018031111,0.2359619140625,0.2,0.0004092704424510632,-0.023599675318109803,-0.03639647737145424,0.0016611490846116794,-43.425621509552,1440,-2.286751842105263,1223.0
47104,92,1826,25,-0.00031757354736328125,0.9852525591850281,0.019755853,0.281494140625,0.2,0.0004092704424510632,-0.02716679876903072,0.0445522665977478,0.1743355505168438,-43.44594049453735,1456,-2.286751842105263,1223.0
47616,93,1826,26,0.0023142099380493164,0.9842568635940552,0.020239966,0.2373046875,0.2,0.0004092704424510632,-0.025310657612862997,-0.041209861636161804,0.0016008542697818484,-43.426894664764404,1472,-2.286751842105263,1223.0
48128,94,1826,26,-0.00029599666595458984,0.9827107191085815,0.017035468,0.2197265625,0.2,0.0004092704424510632,-0.023173977620899677,-0.03104405291378498,0.0032860196733963676,-43.39359784126282,1488,-2.293580487179487,1223.0
48640,95,1825,26,0.0001024007797241211,0.9832016229629517,0.021616988,0.229248046875,0.2,0.0004092704424510632,-0.02585323499806691,0.07265707850456238,0.19278940930962563,-43.367666244506836,1504,-2.293580487179487,1223.0
49152,96,1825,26,-0.0004991292953491211,0.9842399954795837,0.013270707,0.187255859375,0.2,0.0004092704424510632,-0.017262980254599825,-0.02763250842690468,0.0014529380332533037,-43.40201818943024,1520,-2.2918342750000003,1223.0
49664,97,1825,27,0.00015145540237426758,0.9857920408248901,0.026722617,0.2772216796875,0.2,0.0004092704424510632,-0.03038536017993465,0.0716211348772049,0.19021079316735268,-43.441092014312744,1536,-2.2918342750000003,1223.0
50176,98,1825,27,-0.0006382465362548828,0.9858201146125793,0.014737972,0.2052001953125,0.2,0.0004092704424510632,-0.023692089031101204,-0.03788139298558235,0.0014662107641925104,-43.47465538978577,1552,-2.2912368048780487,1223.0
50688,99,1825,27,0.00021117925643920898,0.9855995774269104,0.02153854,0.2255859375,0.2,0.0004092704424510632,-0.02624406196991913,0.06882524490356445,0.18278986681252718,-43.46392464637756,1568,-2.2912368048780487,1223.0
51200,100,1825,28,-0.0040405988693237305,0.9852061867713928,0.011559967,0.1724853515625,0.2,0.0004092704424510632,-0.02240510676347185,-0.029409706592559814,0.002370640209846897,-43.44460606575012,1584,-2.2912368048780487,1223.0
51712,101,1824,28,-0.0005892515182495117,0.9851800203323364,0.017276373,0.2265625,0.2,0.0004092704424510632,-0.023946286135469563,-0.029252829030156136,0.003548863882315345,-43.43248701095581,1600,-2.290248857142857,1223.0
52224,102,1824,28,0.00013655424118041992,0.9831719398498535,0.014128864,0.194091796875,0.2,0.0004092704424510632,-0.02377043904562015,0.0506596714258194,0.19771506171673536,-43.402345299720764,1616,-2.290248857142857,1223.0
52736,103,1823,28,-0.0016843080520629883,0.9824531674385071,0.0204584,0.262939453125,0.2,0.0004092704424510632,-0.027720538550056517,-0.039963264018297195,0.0018257432930113282,-43.35077369213104,1632,-2.2938812558139534,1223.0
53248,104,1823,29,0.00019752979278564453,0.9839605093002319,0.020433722,0.2191162109375,0.2,0.0004092704424510632,-0.02255506071378477,0.06843092292547226,0.19005629373714328,-43.356356739997864,1648,-2.2938812558139534,1223.0
53760,105,1822,29,-0.0011649131774902344,0.9843084216117859,0.01625439,0.1856689453125,0.2,0.0004092704424510632,-0.01994700798240956,-0.02540331892669201,0.0016417585902672727,-43.392528772354126,1664,-2.2938812558139534,1223.0
54272,106,1822,29,-0.0013191699981689453,0.9839606285095215,0.015900599,0.2110595703125,0.2,0.0004092704424510632,-0.022010265514836647,-0.02386578731238842,0.0032789106298878323,-43.38813233375549,1680,-2.2934532272727273,1223.0
54784,107,1822,30,0.00015240907669067383,0.9843326210975647,0.025069177,0.2608642578125,0.2,0.0004092704424510632,-0.028423582029063255,0.056476473808288574,0.1901081562973559,-43.384907245635986,1696,-2.2934532272727273,1223.0
55296,108,1821,30,-0.0032007694244384766,0.9849022626876831,0.013896804,0.1732177734375,0.2,0.0004092704424510632,-0.019227575226977933,-0.03126158565282822,0.002092338112561265,-43.39712059497833,1712,-2.2943368444444445,1223.0
55808,109,1820,30,0.00018072128295898438,0.9844264388084412,0.025632052,0.2620849609375,0.2,0.0004092704424510632,-0.027185899249161594,0.07723281532526016,0.20830093882977962,-43.401249408721924,1728,-2.2943368444444445,1223.0
56320,110,1819,30,-0.012578248977661133,0.9841660261154175,0.013447039,0.2083740234375,0.2,0.0004092704424510632,-0.023515501961810514,-0.03488371521234512,0.0012383804796627373,-43.38310694694519,1744,-2.2945124782608697,1223.0
56832,111,1818,31,8.159875869750977e-05,0.9823299646377563,0.017721355,0.20654296875,0.2,0.0004092704424510632,-0.020052329622558318,0.07285994291305542,0.19873118912801147,-43.34789514541626,1760,-2.2945124782608697,1223.0
57344,112,1817,31,-0.0003317594528198242,0.9827202558517456,0.013316801,0.1837158203125,0.2,0.0004092704424510632,-0.016836867813253775,-0.005235800053924322,0.0031064996401255485,-43.3182806968689,1776,-2.2945124782608697,1223.0
57856,113,1815,31,-0.0005350112915039062,0.9820701479911804,0.020648815,0.2532958984375,0.2,0.0004092704424510632,-0.0282591382128885,-0.03976064175367355,0.0021107429929543287,-43.32509243488312,1792,-2.2953542553191486,1223.0
58368,114,1814,32,3.808736801147461e-05,0.9809220433235168,0.01985975,0.2413330078125,0.2,0.0004092704424510632,-0.0242500462118187,0.07515432685613632,0.21018899325281382,-43.29082691669464,1808,-2.2953542553191486,1223.0
58880,115,1813,32,-0.00038373470306396484,0.983462393283844,0.014571825,0.20166015625,0.2,0.0004092704424510632,-0.021489748934982345,-0.044974930584430695,0.001644975511226221,-43.29833924770355,1824,-2.2985851250000002,1223.0
59392,116,1812,32,6.270408630371094e-05,0.9815552234649658,0.01899778,0.243408203125,0.2,0.0004092704424510632,-0.025916668484569527,0.06275886297225952,0.20163813699036837,-43.33050191402435,1840,-2.2985851250000002,1223.0
59904,117,1812,33,-0.0016709566116333008,0.97909015417099,0.021871202,0.265869140625,0.2,0.0004092704424510632,-0.027839988411869854,-0.04191998392343521,0.0015618570050719427,-43.23827934265137,1856,-2.2985851250000002,1223.0
60416,118,1812,33,-0.00014066696166992188,0.978137195110321,0.016147219,0.1907958984375,0.2,0.0004092704424510632,-0.02042454350157641,-0.02654719166457653,0.0029320170324353967,-43.18050408363342,1872,-2.2983262653061223,1223.0
60928,119,1811,33,4.673004150390625e-05,0.9788601994514465,0.028492559,0.2659912109375,0.2,0.0004092704424510632,-0.0256727345258696,0.02885967493057251,0.14776558871380985,-43.171773195266724,1888,-2.2983262653061223,1223.0
61440,120,1812,33,-0.0007299184799194336,0.979476809501648,0.024272645,0.235595703125,0.2,0.0004092704424510632,-0.02346555163967423,-0.03486742824316025,0.0028207800023665186,-43.199164390563965,1904,-2.30209068,1223.0
61952,121,1811,34,8.237361907958984e-05,0.9795672297477722,0.01872107,0.254638671875,0.2,0.0004092704424510632,-0.025518699549138546,0.07602742314338684,0.23677736707031727,-43.20791280269623,1920,-2.30209068,1223.0
62464,122,1810,34,-0.0027360916137695312,0.9807103276252747,0.022705482,0.2900390625,0.2,0.0004092704424510632,-0.028833293035859242,-0.04783431440591812,0.0012445169577404158,-43.223610281944275,1936,-2.3008890784313727,1223.0
