time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
13824,10,1262,27,416,0.0035889640348614193,-44.03891408443451,1.0027958154678345,0.018820237,-0.2562527656555176,0.240478515625,-0.030388040468096733,0.2,-0.02825055201537907,0.0004092704424510632,1257.0,-2.3834665999999993
14336,11,1260,28,432,0.0015842979755689157,-44.08643293380737,1.0041754245758057,0.01581948,-0.00026416778564453125,0.196533203125,-0.037727825343608856,0.2,-0.021816943277372047,0.0004092704424510632,1257.0,-2.380683727272727
14848,11,1259,29,448,0.01242233271477744,-44.09966790676117,1.003395676612854,0.025738336,1.1324882507324219e-05,0.2371826171875,-0.018817365169525146,0.2,-0.018655652354937047,0.0004092704424510632,1257.0,-2.380683727272727
15360,12,1258,30,464,0.0038372133931261487,-44.07780075073242,1.0033693313598633,0.018603202,-0.0006672143936157227,0.2196044921875,-0.02920885942876339,0.2,-0.02724804040917661,0.0004092704424510632,1257.0,-2.3749826666666665
15872,12,1258,31,480,0.07960164221003652,-44.09870636463165,1.0047813653945923,0.024626397,0.0003841519355773926,0.2449951171875,-0.0058106593787670135,0.2,-0.029245595447719097,0.0004092704424510632,1257.0,-2.3749826666666665
16384,13,1257,32,496,0.005289773114782292,-44.122363686561584,1.0043444633483887,0.015972845,-0.0078002214431762695,0.2208251953125,-0.03542816638946533,0.2,-0.02557434991467744,0.0004092704424510632,1257.0,-2.3786369230769226
16896,13,1256,33,512,0.08277758746407926,-44.10869741439819,1.0044105052947998,0.026816584,0.0004984140396118164,0.306640625,-0.0037307217717170715,0.2,-0.032474044608534314,0.0004092704424510632,1257.0,-2.3786369230769226
17408,13,1256,34,528,0.002997621282702312,-44.101667523384094,1.0037423372268677,0.01528433,-0.021350502967834473,0.2025146484375,-0.032440219074487686,0.2,-0.02284327574307099,0.0004092704424510632,1257.0,-2.3786369230769226
17920,14,1255,35,544,0.0035449664792395197,-44.078150391578674,1.003109097480774,0.018952535,-0.0036308765411376953,0.2275390625,-0.039724916219711304,0.2,-0.024011367102502845,0.0004092704424510632,1257.0,-2.3770562857142856
18432,14,1255,36,560,0.09544910630211234,-44.08543515205383,1.00456702709198,0.014724895,0.0006731152534484863,0.1668701171875,0.009878501296043396,0.2,-0.019949892506701872,0.0004092704424510632,1257.0,-2.3770562857142856
18944,15,1254,37,576,0.0031373200326925144,-44.14141392707825,1.0068858861923218,0.0147414375,-0.0025244951248168945,0.2049560546875,-0.0410022996366024,0.2,-0.021794209009385668,0.0004092704424510632,1257.0,-2.3722559333333333
19456,15,1253,38,592,0.09523077798075974,-44.20892822742462,1.0084881782531738,0.0175853,0.0005470514297485352,0.2247314453125,0.018298067152500153,0.2,-0.025735273433383554,0.0004092704424510632,1257.0,-2.3722559333333333
19968,15,1253,39,608,0.0018835939990822226,-44.236034512519836,1.0085923671722412,0.019944228,-0.9833269119262695,0.2393798828125,-0.03979923576116562,0.2,-0.03042109709349461,0.0004092704424510632,1257.0,-2.3722559333333333
20480,16,1252,40,624,0.002388608525507152,-44.22873294353485,1.0088815689086914,0.016129903,-0.005645036697387695,0.2125244140625,-0.026696551591157913,0.2,-0.02513958266354166,0.0004092704424510632,1257.0,-2.3654241874999995
