time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
25,61,1244,31232,-0.0278721644426696,0.9866092205047607,-43.53871834278107,0.009263758242013864,0.0004092704424510632,0.2,0.2657470703125,-0.49439311027526855,960,-0.04281807690858841,0.017513338,-3.0571885416666666,1257.0
25,62,1243,31744,-0.018838767864508554,0.9876376986503601,-43.5413544178009,0.0057171150838257745,0.0004092704424510632,0.2,0.16748046875,-0.35070300102233887,976,-0.028646204620599747,0.013842136,-3.05775212,1257.0
25,63,1243,32256,-0.021474684443091974,0.9877000451087952,-43.565088510513306,0.16187944216653705,0.0004092704424510632,0.2,0.1707763671875,0.08137965202331543,992,0.004235289990901947,0.021851981,-3.05775212,1257.0
26,64,1243,32768,-0.02907831806805916,0.9864868521690369,-43.54967021942139,0.008778451861871872,0.0004092704424510632,0.2,0.2789306640625,-7.617018699645996,1008,-0.04715242609381676,0.028972173,-3.0600905000000003,1257.0
26,65,1243,33280,-0.02170519249921199,0.9852076768875122,-43.50236439704895,0.18132874625734985,0.0004092704424510632,0.2,0.3072509765625,0.023461103439331055,1024,0.008702147752046585,0.036522023,-3.0600905000000003,1257.0
27,66,1243,33792,-0.030238571358495392,0.9846751093864441,-43.47698259353638,0.016206873377086595,0.0004092704424510632,0.2,0.2626953125,-0.8940284252166748,1040,-0.037528932094573975,0.022430655,-3.0600905000000003,1257.0
27,67,1243,34304,-0.026528542177402414,0.9851252436637878,-43.4709552526474,0.004826356598641723,0.0004092704424510632,0.2,0.2601318359375,-4.63422966003418,1056,-0.042095378041267395,0.017464781,-3.0623226666666663,1257.0
28,68,1243,34816,-0.023943624495586846,0.9847762584686279,-43.48065912723541,0.1256087338551879,0.0004092704424510632,0.2,0.2095947265625,0.07969850301742554,1072,-0.0017367340624332428,0.016896326,-3.0623226666666663,1257.0
28,69,1243,35328,-0.022279436598182656,0.9844984412193298,-43.4617919921875,0.012332398677244782,0.0004092704424510632,0.2,0.21826171875,-4.493494033813477,1088,-0.027426978573203087,0.014152981,-3.0653751428571425,1257.0
28,70,1243,35840,-0.016809941276733298,0.9833804368972778,-43.44354498386383,0.1525617070728913,0.0004092704424510632,0.2,0.1466064453125,0.07948458194732666,1104,0.01888306811451912,0.01787308,-3.0653751428571425,1257.0
29,71,1242,36352,-0.02800133643904701,0.9825138449668884,-43.412299275398254,0.018158176739234477,0.0004092704424510632,0.2,0.2874755859375,-0.23215746879577637,1120,-0.03662030026316643,0.02194272,-3.0653751428571425,1257.0
29,72,1242,36864,-0.019330050272401422,0.9810177683830261,-43.37768638134003,0.007372921390924603,0.0004092704424510632,0.2,0.2081298828125,-1.568474531173706,1136,-0.018002521246671677,0.014227283,-3.072588413793103,1257.0
30,73,1242,37376,-0.017932244543771958,0.980550229549408,-43.33997321128845,0.12769714056048542,0.0004092704424510632,0.2,0.16357421875,0.09411448240280151,1152,-0.0012167878448963165,0.017773096,-3.072588413793103,1257.0
30,74,1242,37888,-0.024528985435608774,0.9815518260002136,-43.346712708473206,0.014430372772039846,0.0004092704424510632,0.2,0.2138671875,-3.1053242683410645,1168,-0.03166711702942848,0.014155297,-3.0648199666666662,1257.0
