time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
45,23040,12,1880,0.004216317938698921,0.021107659,0.242919921875,-43.275639057159424,0.0004092704424510632,-0.1192176342010498,0.2,-0.026977154455380514,-0.031603164970874786,704,0.977774977684021,-2.4324715555555554,1258.0
46,23552,12,1880,0.0644021014450118,0.021923864,0.244384765625,-43.2577862739563,0.0004092704424510632,0.3047773838043213,0.2,-0.026524164830334485,-0.007905784994363785,720,0.9774702787399292,-2.4324715555555554,1258.0
47,24064,12,1879,0.01916736990096979,0.020786587,0.2200927734375,-43.26094043254852,0.0004092704424510632,-0.5500874519348145,0.2,-0.023143630460253917,-0.03156837075948715,736,0.977936327457428,-2.4305703684210527,1258.0
48,24576,13,1877,0.07530503626912832,0.01788465,0.180908203125,-43.2560453414917,0.0004092704424510632,0.4053746461868286,0.2,-0.02061523617885541,-0.005131039768457413,752,0.9771294593811035,-2.4305703684210527,1258.0
49,25088,13,1875,0.02223766120732762,0.016821079,0.191650390625,-43.220677733421326,0.0004092704424510632,0.33109867572784424,0.2,-0.019217293891415466,-0.021678779274225235,768,0.9758905172348022,-2.4305703684210527,1258.0
50,25600,13,1875,0.006065754147130065,0.0238744,0.26416015625,-43.156723499298096,0.0004092704424510632,0.05947768688201904,0.2,-0.027801336924312636,-0.03651340305805206,784,0.9730639457702637,-2.4400564499999997,1258.0
51,26112,13,1873,0.07909770112019032,0.017355843,0.1492919921875,-43.09277629852295,0.0004092704424510632,0.4134526252746582,0.2,-0.0186847578297602,0.0055688172578811646,800,0.9725263714790344,-2.4400564499999997,1258.0
52,26624,14,1871,0.010586538657662459,0.018156357,0.24365234375,-43.07518744468689,0.0004092704424510632,-0.7110482454299927,0.2,-0.027457244897959754,-0.029262645170092583,816,0.9713761210441589,-2.4346294285714287,1258.0
53,27136,14,1869,0.0941909747198224,0.01625466,0.1971435546875,-43.038201332092285,0.0004092704424510632,0.3745257258415222,0.2,-0.018628653429914266,0.014259770512580872,832,0.9705118536949158,-2.4346294285714287,1258.0
54,27648,14,1868,0.02297516487305984,0.022666052,0.273681640625,-43.02732765674591,0.0004092704424510632,0.0071634650230407715,0.2,-0.03382056605187245,-0.03824114799499512,848,0.9708549976348877,-2.4346294285714287,1258.0
55,28160,15,1865,0.00966228150355164,0.01576344,0.2242431640625,-42.996822357177734,0.0004092704424510632,0.5457887053489685,0.2,-0.023921644227812067,-0.03643600270152092,864,0.9681035876274109,-2.429777,1258.0
56,28672,15,1862,0.05112165695754811,0.04175494,0.3353271484375,-42.924609899520874,0.0004092704424510632,0.4959547519683838,0.2,-0.02758046632516198,-0.015479423105716705,880,0.9673354625701904,-2.429777,1258.0
57,29184,15,1859,0.025181121978675947,0.024391772,0.239990234375,-42.91526508331299,0.0004092704424510632,-1.1205241680145264,0.2,-0.025367905211169273,-0.025988373905420303,896,0.9674496054649353,-2.4290304347826086,1258.0
58,29696,15,1856,0.07386437058448792,0.017811205,0.18994140625,-42.92338001728058,0.0004092704424510632,0.49354463815689087,0.2,-0.023626148264156654,7.485225796699524e-05,912,0.967880129814148,-2.4290304347826086,1258.0
59,30208,16,1855,0.027318664826452732,0.02268369,0.23388671875,-42.932345390319824,0.0004092704424510632,-0.021797776222229004,0.2,-0.025133401060884353,-0.02571599930524826,928,0.9673624634742737,-2.4193939583333335,1258.0
60,30720,16,1855,0.08438153122551739,0.017926412,0.1844482421875,-42.90360939502716,0.0004092704424510632,0.5022660493850708,0.2,-0.022988112817984074,0.009309882298111916,944,0.9666386246681213,-2.4193939583333335,1258.0
61,31232,16,1853,0.002939789013908012,0.018172946,0.2296142578125,-42.87459647655487,0.0004092704424510632,-3.3202409744262695,0.2,-0.022151731507619843,-0.032845884561538696,960,0.9654461741447449,-2.4193939583333335,1258.0
62,31744,17,1849,0.00249774671101477,0.015533227,0.1920166015625,-42.8546781539917,0.0004092704424510632,0.2950283885002136,0.2,-0.02118685405002907,-0.025515787303447723,976,0.9659331440925598,-2.420521,1258.0
63,32256,17,1843,0.09730025846511126,0.019725058,0.1859130859375,-42.86865198612213,0.0004092704424510632,0.12849026918411255,0.2,-0.02191556672914885,0.004163581877946854,992,0.9657809734344482,-2.420521,1258.0
64,32768,17,1839,0.022953023144509643,0.01668573,0.2093505859375,-42.87981128692627,0.0004092704424510632,-0.22198951244354248,0.2,-0.023519296664744616,-0.0233645997941494,1008,0.9675251245498657,-2.4305891923076923,1258.0
65,33280,18,1835,0.09207222075201571,0.020039216,0.158935546875,-42.927340269088745,0.0004092704424510632,0.41905099153518677,0.2,-0.01724210719112307,0.008227819576859474,1024,0.9678581357002258,-2.4305891923076923,1258.0
66,33792,18,1831,0.02260858833324164,0.02152282,0.2947998046875,-42.9175363779068,0.0004092704424510632,0.10385912656784058,0.2,-0.027578369190450758,-0.029740290716290474,1040,0.9673568606376648,-2.4305891923076923,1258.0
67,34304,18,1832,0.00463337468681857,0.017606132,0.256103515625,-42.88507342338562,0.0004092704424510632,-0.12908577919006348,0.2,-0.025583598064258695,-0.01668388396501541,1056,0.9656180739402771,-2.4319198518518514,1258.0
68,34816,18,1833,0.10698643233627081,0.01952285,0.1859130859375,-42.83631682395935,0.0004092704424510632,0.2085910439491272,0.2,-0.02372606220887974,0.01795298233628273,1072,0.9645655155181885,-2.4319198518518514,1258.0
69,35328,19,1832,0.014603976102080196,0.023565818,0.2376708984375,-42.8381712436676,0.0004092704424510632,-0.5966452360153198,0.2,-0.024402052113146055,-0.029662877321243286,1088,0.9662640690803528,-2.4291198928571425,1258.0
70,35840,19,1831,0.12251027813181281,0.01826143,0.189453125,-42.88910925388336,0.0004092704424510632,0.33941662311553955,0.2,-0.01955892796831904,-0.000332612544298172,1104,0.9667969346046448,-2.4291198928571425,1258.0
71,36352,19,1832,0.0314790119882673,0.026092181,0.263671875,-42.87936818599701,0.0004092704424510632,0.15945816040039062,0.2,-0.02572579677507747,-0.03309572860598564,1120,0.9659602046012878,-2.4291198928571425,1258.0
72,36864,20,1832,0.003929928469005972,0.02244346,0.2398681640625,-42.86907362937927,0.0004092704424510632,-0.38110101222991943,0.2,-0.024773130520770792,-0.03495536744594574,1136,0.9671186208724976,-2.4264493793103448,1258.0
73,37376,20,1832,0.10278781456872821,0.019856866,0.1888427734375,-42.90924596786499,0.0004092704424510632,0.25316017866134644,0.2,-0.02433992324222345,-0.013713905587792397,1152,0.968024730682373,-2.4264493793103448,1258.0
74,37888,20,1831,0.030747958924621344,0.016470846,0.2115478515625,-42.929797768592834,0.0004092704424510632,-0.8086733818054199,0.2,-0.022568057785974815,-0.01941741071641445,1168,0.9684963226318359,-2.4304832333333333,1258.0
75,38400,20,1830,0.11822618311271071,0.018376391,0.1947021484375,-42.94221758842468,0.0004092704424510632,0.4057468771934509,0.2,-0.026764866823214106,0.007218562066555023,1184,0.9692354798316956,-2.4304832333333333,1258.0
76,38912,21,1829,0.03226246731355786,0.021338576,0.293701171875,-42.9575160741806,0.0004092704424510632,0.07409948110580444,0.2,-0.028122440053266473,-0.024141833186149597,1200,0.9692592620849609,-2.4304832333333333,1258.0
77,39424,21,1827,0.010058927058707923,0.017967377,0.2232666015625,-42.940301060676575,0.0004092704424510632,-0.16456139087677002,0.2,-0.022808150592027232,-0.0352143794298172,1216,0.9681337475776672,-2.4346742258064515,1258.0
78,39936,21,1824,0.14488720917142928,0.015407813,0.0980224609375,-42.90437829494476,0.0004092704424510632,0.20771253108978271,0.2,-0.014980566513258964,0.0270213782787323,1232,0.9674336910247803,-2.4346742258064515,1258.0
79,40448,22,1821,0.038398288073949516,0.025480129,0.233154296875,-42.888031363487244,0.0004092704424510632,-0.6012512445449829,0.2,-0.030245913643739186,-0.02067943476140499,1248,0.9665815234184265,-2.43354821875,1258.0
80,40960,22,1818,0.12080980069003999,0.015543857,0.20751953125,-42.86098647117615,0.0004092704424510632,0.48165571689605713,0.2,-0.021875705147976987,0.005992576479911804,1264,0.9662172198295593,-2.43354821875,1258.0
81,41472,22,1815,0.06522817956283689,0.028739087,0.2880859375,-42.850401878356934,0.0004092704424510632,0.348604679107666,0.2,-0.030035845673410222,-0.010929776355624199,1280,0.965763509273529,-2.43354821875,1258.0
82,41984,23,1812,0.03373599180486053,0.012815125,0.2186279296875,-42.84058105945587,0.0004092704424510632,0.2956088185310364,0.2,-0.02521141679608263,-0.0265613105148077,1296,0.9656456708908081,-2.4382049393939393,1258.0
83,42496,23,1808,0.06356906017754227,0.02094819,0.1722412109375,-42.834794759750366,0.0004092704424510632,0.710385799407959,0.2,-0.016863616358023137,-0.00418999046087265,1312,0.9656152129173279,-2.4382049393939393,1258.0
84,43008,23,1805,0.02388234974932857,0.020966124,0.207275390625,-42.83112037181854,0.0004092704424510632,-0.9924241304397583,0.2,-0.02213381491310429,-0.02953735738992691,1328,0.9653524160385132,-2.437382,1258.0
85,43520,24,1803,0.09181704628281295,0.022421993,0.1727294921875,-42.82031035423279,0.0004092704424510632,0.5366768836975098,0.2,-0.023586884228279814,0.0005852282047271729,1344,0.964674174785614,-2.437382,1258.0
