time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
49664,1222,40,97,0.0004092704424510632,-0.01926048268796876,0.2,-43.2254513502121,0.2729951797518879,0.015838794,0.1121826171875,0.1526382565498352,0.9775795340538025,-0.007876411080360413,1536,-2.1230263589743585,1258.0
50176,1222,41,98,0.0004092704424510632,-0.022836993244709447,0.2,-43.207345366477966,0.002538911627198104,0.015052382,0.1942138671875,-1.7840831279754639,0.9765317440032959,-0.03212320804595947,1552,-2.1230263589743585,1258.0
50688,1222,41,99,0.0004092704424510632,-0.02096137753687799,0.2,-43.16303598880768,0.003794796604779549,0.0143642295,0.224365234375,0.03027796745300293,0.9746459126472473,-0.03554030880331993,1568,-2.125842975,1258.0
51200,1221,41,100,0.0004092704424510632,-0.01819576698471792,0.2,-43.114701628685,0.28232055925764143,0.016228676,0.082275390625,0.21176689863204956,0.9741111397743225,0.006207931786775589,1584,-2.125842975,1258.0
51712,1221,42,101,0.0004092704424510632,-0.024331708293175325,0.2,-43.10698699951172,0.0070302497333614156,0.024838522,0.2510986328125,-0.6958153247833252,0.973965048789978,-0.026666710153222084,1600,-2.125868951219512,1258.0
52224,1221,42,102,0.0004092704424510632,-0.02145904378267005,0.2,-43.10147047042847,0.2346403538249433,0.016521368,0.10693359375,0.46995675563812256,0.9739196300506592,-0.00541352853178978,1616,-2.125868951219512,1258.0
52736,1222,43,103,0.0004092704424510632,-0.02817824720114004,0.2,-43.08640718460083,0.0030718877824256197,0.017128978,0.2711181640625,-1.524641752243042,0.9729487299919128,-0.03807354345917702,1632,-2.125868951219512,1258.0
53248,1222,43,104,0.0004092704424510632,-0.02600167749915272,0.2,-43.052393436431885,0.003923041731468402,0.015793065,0.2164306640625,0.1857854127883911,0.9722009301185608,-0.04593439772725105,1648,-2.1273994285714286,1258.0
53760,1222,43,105,0.0004092704424510632,-0.014582065166905522,0.2,-43.02857172489166,0.19845417712349445,0.019332068,0.0924072265625,0.5656070709228516,0.9714106917381287,-0.0065942853689193726,1664,-2.1273994285714286,1258.0
54272,1222,44,106,0.0004092704424510632,-0.029361276363488287,0.2,-42.998326539993286,0.006187049293657765,0.025458496,0.271240234375,-1.5406277179718018,0.9703366160392761,-0.03243865445256233,1680,-2.127138046511628,1258.0
54784,1222,44,107,0.0004092704424510632,-0.018075251326081343,0.2,-42.977635860443115,0.1771400987636298,0.0152526535,0.0968017578125,0.6520640850067139,0.9707176685333252,-0.0036558080464601517,1696,-2.127138046511628,1258.0
55296,1222,45,108,0.0004092704424510632,-0.023658536563743837,0.2,-42.98055565357208,0.0024265999309136532,0.016194072,0.2265625,-4.348545551300049,0.9696242213249207,-0.02500324510037899,1712,-2.127138046511628,1258.0
55808,1222,45,109,0.0004092704424510632,-0.030202179739717394,0.2,-42.940526247024536,0.0031097865212359466,0.02086901,0.2677001953125,0.34402406215667725,0.9693474769592285,-0.04154235124588013,1728,-2.1229272499999996,1258.0
56320,1222,46,110,0.0004092704424510632,-0.01681941337301396,0.2,-42.939178347587585,0.15241039614193141,0.029108128,0.150390625,0.4822617769241333,0.9692508578300476,-0.01740761287510395,1744,-2.1229272499999996,1258.0
56832,1221,46,111,0.0004092704424510632,-0.02917902488843538,0.2,-42.926347494125366,0.01772840562625788,0.022208398,0.25390625,0.19763731956481934,0.9685030579566956,-0.044066570699214935,1760,-2.1211246888888886,1258.0
57344,1221,46,112,0.0004092704424510632,-0.017411536631698254,0.2,-42.90646994113922,0.25010128878057003,0.019027172,0.0994873046875,0.7465664148330688,0.968401312828064,0.011400755494832993,1776,-2.1211246888888886,1258.0
57856,1222,47,113,0.0004092704424510632,-0.02329979764908785,0.2,-42.92682933807373,0.005677215209288988,0.024109632,0.2415771484375,-7.7261810302734375,0.9696559906005859,-0.030931580811738968,1792,-2.1211246888888886,1258.0
58368,1222,47,114,0.0004092704424510632,-0.025633446683059447,0.2,-42.957797169685364,0.05287348496494815,0.028038673,0.221923828125,0.6033413410186768,0.9700099229812622,-0.018393132835626602,1808,-2.12475304347826,1258.0
58880,1222,48,115,0.0004092704424510632,-0.023431818743119948,0.2,-42.961649894714355,0.12140200298745185,0.02641638,0.265380859375,0.6696531176567078,0.9696576595306396,-0.005952274426817894,1824,-2.12475304347826,1258.0
59392,1222,48,116,0.0004092704424510632,-0.028184958297060803,0.2,-42.964197635650635,0.017253399011678994,0.022607768,0.2435302734375,-0.5317040681838989,0.9709511399269104,-0.03565816581249237,1840,-2.1224371489361697,1258.0
59904,1222,49,117,0.0004092704424510632,-0.007217163576569874,0.2,-43.00330662727356,0.23811041750013828,0.011558123,0.0391845703125,0.6602400541305542,0.9715667366981506,0.02443702146410942,1856,-2.1224371489361697,1258.0
60416,1222,49,118,0.0004092704424510632,-0.028009146510157734,0.2,-43.026103138923645,0.0035296171372465324,0.020040259,0.237548828125,-4.103020668029785,0.9733070135116577,-0.03710344061255455,1872,-2.1206360625,1258.0
60928,1222,49,119,0.0004092704424510632,-0.012128814632887952,0.2,-43.08453345298767,0.3413015827536583,0.010977654,0.0491943359375,0.4840601086616516,0.9742615818977356,0.01786881312727928,1888,-2.1206360625,1258.0
