time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
235008,6,18,1348,0.2437744140625,-0.025619368709158152,0.021415051,0.2,-0.027033060789108276,-39.66672337055206,0.0037016848727944307,-1.1920928955078125e-06,0.0004092704424510632,0.8801305890083313,7328,-2.12716223,1257.0
235520,7,19,1345,0.221435546875,-0.026274829549947754,0.016492695,0.2,-0.040564604103565216,-39.65405547618866,0.0020880914125882555,-1.9073486328125e-06,0.0004092704424510632,0.8782088756561279,7344,-2.12361882,1257.0
236032,7,20,1342,0.2744140625,-0.024587417166912928,0.02460826,0.2,0.03891896829009056,-39.61692559719086,0.13977517117746174,2.562999725341797e-06,0.0004092704424510632,0.8791242837905884,7360,-2.12361882,1257.0
236544,8,21,1340,0.2462158203125,-0.026609496504534036,0.016290957,0.2,-0.0350152850151062,-39.685534954071045,0.00396397418808192,2.682209014892578e-06,0.0004092704424510632,0.8812584280967712,7376,-2.12059123,1257.0
237056,8,22,1339,0.2147216796875,-0.024169591284589842,0.013795753,0.2,0.034501608461141586,-39.73078787326813,0.14909226237796247,1.430511474609375e-06,0.0004092704424510632,0.881405234336853,7392,-2.12059123,1257.0
237568,8,23,1336,0.229736328125,-0.022733665275154635,0.018832061,0.2,-0.03203495964407921,-39.73476254940033,0.0038594680445385166,-3.7550926208496094e-05,0.0004092704424510632,0.8816913962364197,7408,-2.12059123,1257.0
238080,9,24,1335,0.23193359375,-0.02713816604227759,0.01795182,0.2,-0.041526541113853455,-39.76041662693024,0.0014592992738471366,2.7418136596679688e-06,0.0004092704424510632,0.8822545409202576,7424,-2.11899602,1257.0
238592,9,25,1333,0.2528076171875,-0.018223277846118435,0.029357402,0.2,-0.015152222476899624,-39.77692639827728,0.03617618256248534,1.6689300537109375e-06,0.0004092704424510632,0.8824450373649597,7440,-2.11899602,1257.0
239104,9,26,1332,0.236328125,-0.026622805395163596,0.017255966,0.2,-0.0395047627389431,-39.7642639875412,0.003937108376703691,4.589557647705078e-06,0.0004092704424510632,0.8811858892440796,7456,-2.1185629,1257.0
239616,10,27,1331,0.236083984375,-0.02381824079202488,0.019282762,0.2,0.050893884152173996,-39.72984325885773,0.16723268665373325,4.112720489501953e-06,0.0004092704424510632,0.8804974555969238,7472,-2.1185629,1257.0
240128,10,28,1330,0.236328125,-0.024480456806486472,0.017055128,0.2,-0.039493903517723083,-39.723586678504944,0.0044666124595096335,-4.76837158203125e-07,0.0004092704424510632,0.8805258274078369,7488,-2.1154437500000003,1257.0
240640,11,29,1328,0.2708740234375,-0.030227376177208498,0.02942424,0.2,0.0347728431224823,-39.72983276844025,0.1613745386712253,1.7285346984863281e-06,0.0004092704424510632,0.8804698586463928,7504,-2.1154437500000003,1257.0
241152,11,30,1326,0.2152099609375,-0.02293668298079865,0.0136514325,0.2,-0.03448314219713211,-39.7132705450058,0.003263004735345021,-0.00018870830535888672,0.0004092704424510632,0.8803926706314087,7520,-2.1154437500000003,1257.0
241664,11,31,1325,0.20361328125,-0.024830669397488236,0.013740352,0.2,-0.03800470381975174,-39.70672583580017,0.0037669402809115127,-1.049041748046875e-05,0.0004092704424510632,0.8802841305732727,7536,-2.1111081,1257.0
242176,12,32,1326,0.2666015625,-0.02429244454833679,0.021011263,0.2,0.05193657428026199,-39.709941267967224,0.1585034290328622,8.52346420288086e-06,0.0004092704424510632,0.8808026313781738,7552,-2.1111081,1257.0
242688,12,33,1325,0.194580078125,-0.021619238148559816,0.013159826,0.2,-0.029917236417531967,-39.73873257637024,0.004964227868185844,3.331899642944336e-05,0.0004092704424510632,0.8822680711746216,7568,-2.10954654,1257.0
243200,13,34,1325,0.2203369140625,-0.02308093810279388,0.015408039,0.2,0.0487440787255764,-39.79525005817413,0.15341676422394812,1.0728836059570312e-06,0.0004092704424510632,0.8835122585296631,7584,-2.10954654,1257.0
