time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
45,1228,109,55808,0.48500388860702515,0.0004092704424510632,0.012429597,0.9520173668861389,-0.03095150552690029,0.0024022176694415975,0.1607666015625,1728,0.2,-42.38998317718506,-0.01958935469156131,1258.0,-2.387540227272727
45,1228,110,56320,0.18795931339263916,0.0004092704424510632,0.017031513,0.9524960517883301,-0.010004427284002304,0.4657759965630248,0.0987548828125,1744,0.2,-42.424726128578186,-0.018571073160273954,1258.0,-2.387540227272727
46,1227,111,56832,-4.937060832977295,0.0004092704424510632,0.027046692,0.9524277448654175,-0.0307098850607872,0.02582941681612283,0.263916015625,1760,0.2,-42.425049901008606,-0.02735494558874052,1258.0,-2.3877115333333334
46,1227,112,57344,0.18054687976837158,0.0004092704424510632,0.015863406,0.9522964358329773,0.039798133075237274,0.8715196885168552,0.10400390625,1776,0.2,-42.42125070095062,-0.01889853458851576,1258.0,-2.3877115333333334
47,1227,113,57856,-1.2630460262298584,0.0004092704424510632,0.014655078,0.9520500898361206,-0.02779005467891693,0.00861059564340394,0.19873046875,1792,0.2,-42.416614294052124,-0.01749257011397276,1258.0,-2.3877115333333334
47,1227,114,58368,0.5558857917785645,0.0004092704424510632,0.020156093,0.9519377946853638,-0.03080040030181408,0.01612896448932588,0.28515625,1808,0.2,-42.40584456920624,-0.025978985853726044,1258.0,-2.3849066304347826
47,1227,115,58880,0.3412643074989319,0.0004092704424510632,0.022210252,0.9523575305938721,-0.02652772143483162,0.21119629975873977,0.2154541015625,1824,0.2,-42.41155552864075,-0.02056271064793691,1258.0,-2.3849066304347826
48,1227,116,59392,-1.658261775970459,0.0004092704424510632,0.023321956,0.9514216780662537,-0.03349407762289047,0.020399996225023642,0.289306640625,1840,0.2,-42.403980016708374,-0.028050382425135467,1258.0,-2.382856829787234
48,1227,117,59904,0.5183984041213989,0.0004092704424510632,0.0092667015,0.9512549638748169,0.05913510546088219,0.5355033415835351,0.043212890625,1856,0.2,-42.380807280540466,-0.008559165769838728,1258.0,-2.382856829787234
49,1227,118,60416,-3.358278274536133,0.0004092704424510632,0.023613594,0.9512711763381958,-0.02230009064078331,0.04194933216786012,0.2489013671875,1872,0.2,-42.37921190261841,-0.024853166745742783,1258.0,-2.379596770833333
