time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
16896,1271,13,33,-43.78155589103699,0.10858970880508423,0.024435538798570633,-0.027899272099602968,512,0.0004092704424510632,0.2,0.07480144500732422,0.2781982421875,0.9933197498321533,0.024699245,-2.6974987692307693,1258.0
17408,1269,13,34,-43.72905516624451,0.0030332626738527324,-0.04414143040776253,-0.028523447763291188,528,0.0004092704424510632,0.2,-5.0558552742004395,0.254638671875,0.9915810823440552,0.018588398,-2.6974987692307693,1258.0
17920,1269,14,35,-43.72509777545929,0.008080788713414222,-0.03579604625701904,-0.028672193438978866,544,0.0004092704424510632,0.2,0.11808359622955322,0.2733154296875,0.9942455887794495,0.018254321,-2.691648571428572,1258.0
18432,1269,14,36,-43.80205249786377,0.12028816295787692,0.008425146341323853,-0.020756844562129118,560,0.0004092704424510632,0.2,0.16141855716705322,0.1885986328125,0.995345413684845,0.019754037,-2.691648571428572,1258.0
18944,1269,14,37,-43.820210456848145,0.005061979420133866,-0.031756624579429626,-0.024390767386648804,576,0.0004092704424510632,0.2,-1.755873680114746,0.253173828125,0.9960230588912964,0.021958929,-2.6865979333333336,1258.0
19456,1268,15,38,-43.826382756233215,0.1517244663555175,0.027333837002515793,-0.02303076501993928,592,0.0004092704424510632,0.2,0.2624763250350952,0.195068359375,0.9953368306159973,0.023154575,-2.6865979333333336,1258.0
19968,1268,15,39,-43.822594165802,0.005925441520957975,-0.03074757382273674,-0.02537462995678652,608,0.0004092704424510632,0.2,-7.391206741333008,0.2247314453125,0.9964609742164612,0.01766939,-2.6865979333333336,1258.0
20480,1268,16,40,-43.85949432849884,0.01607526862062514,-0.04009147360920906,-0.025680558115709573,624,0.0004092704424510632,0.2,0.027616500854492188,0.269287109375,0.9973931312561035,0.02625645,-2.700667125,1258.0
20992,1267,16,41,-43.862494587898254,0.1603211301844567,0.00630999356508255,-0.01928632402268704,640,0.0004092704424510632,0.2,0.0524442195892334,0.2337646484375,0.9965975880622864,0.020629812,-2.700667125,1258.0
21504,1266,16,42,-43.845494747161865,0.02112070910516195,-0.019295532256364822,-0.025310286939202342,656,0.0004092704424510632,0.2,-0.49654924869537354,0.2303466796875,0.9967358708381653,0.017370947,-2.702742294117647,1258.0
22016,1266,17,43,-43.86050009727478,0.16272992291487753,0.03153987601399422,-0.02025925731868483,672,0.0004092704424510632,0.2,0.445667028427124,0.1864013671875,0.99739009141922,0.019331742,-2.702742294117647,1258.0
22528,1266,17,44,-43.86932027339935,0.006010463770508068,-0.05026840418577194,-0.03331052520661615,688,0.0004092704424510632,0.2,-10.339583396911621,0.2904052734375,0.997189998626709,0.025441138,-2.702742294117647,1258.0
23040,1266,18,45,-43.87421476840973,0.00869625601626467,-0.05000612139701843,-0.030153142040944658,704,0.0004092704424510632,0.2,0.05629408359527588,0.2891845703125,0.9978945851325989,0.030771364,-2.712811111111111,1258.0
23552,1265,18,46,-43.895729660987854,0.2309509264305234,0.03010966256260872,-0.026849367503018584,720,0.0004092704424510632,0.2,0.06524348258972168,0.20654296875,0.9983238577842712,0.02375583,-2.712811111111111,1258.0
