time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
29184,23,1225,57,0.2,0.024450311,-0.04164424166083336,0.2591552734375,-43.41884005069733,896,0.0004092704424510632,0.9833953380584717,-0.03304039414069848,0.004227107790939044,0.00013017654418945312,1257.0,-2.425387956521739
29696,24,1225,58,0.2,0.020978142,0.07686854153871536,0.20751953125,-43.38370335102081,912,0.0004092704424510632,0.9818860292434692,-0.022802016625064425,0.20741964504122734,0.0001939535140991211,1257.0,-2.425387956521739
30208,24,1225,59,0.2,0.019027188,-0.02868606336414814,0.22412109375,-43.35877752304077,928,0.0004092704424510632,0.9822815656661987,-0.02533789537847042,0.0033778835204429924,-0.006293177604675293,1257.0,-2.4207593333333333
30720,25,1225,60,0.2,0.018980667,0.05943072587251663,0.225341796875,-43.37791955471039,944,0.0004092704424510632,0.9825984835624695,-0.02432986823259853,0.19960711570456624,0.00010192394256591797,1257.0,-2.4207593333333333
31232,25,1225,61,0.2,0.017832877,-0.0226897019892931,0.2269287109375,-43.39026641845703,960,0.0004092704424510632,0.9833003878593445,-0.025110899208812043,0.002655767613759963,-0.001202225685119629,1257.0,-2.4207593333333333
31744,25,1225,62,0.2,0.014883643,-0.02750151976943016,0.180419921875,-43.40561556816101,976,0.0004092704424510632,0.9834644198417664,-0.02217592069064267,0.003668200966785662,2.0623207092285156e-05,1257.0,-2.4207216
32256,26,1225,63,0.2,0.026529912,0.044418200850486755,0.22509765625,-43.38515484333038,992,0.0004092704424510632,0.9814655184745789,-0.024989622383145615,0.19781689392402768,0.000311434268951416,1257.0,-2.4207216
32768,26,1225,64,0.2,0.022696275,-0.02295348048210144,0.2412109375,-43.3410986661911,1008,0.0004092704424510632,0.9818792939186096,-0.024584298313129693,0.0030265394852904137,-0.0926743745803833,1257.0,-2.4124668846153847
33280,27,1225,65,0.2,0.028249308,0.046075016260147095,0.2681884765625,-43.376137137413025,1024,0.0004092704424510632,0.9829734563827515,-0.029432549519697204,0.18210863904096186,0.014395177364349365,1257.0,-2.4124668846153847
33792,27,1225,66,0.2,0.021851093,-0.042159538716077805,0.2728271484375,-43.37955713272095,1040,0.0004092704424510632,0.9820408821105957,-0.02940285569638945,0.0019581573906179983,-1.6322112083435059,1257.0,-2.4124668846153847
