time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
25600,50,1321,19,-43.267717123031616,0.9782619476318359,0.0004092704424510632,0.2437744140625,0.0038638949481537566,-0.044076867401599884,-0.0005549192428588867,-0.028094625216908753,0.018649392,0.2,784,-2.2584190499999997,1257.0
26112,51,1321,19,-43.26625669002533,0.9771692156791687,0.0004092704424510632,0.213134765625,0.16505327727645636,0.04391200840473175,0.00011241436004638672,-0.02371868831687607,0.025368191,0.2,800,-2.2584190499999997,1257.0
26624,52,1320,20,-43.2231969833374,0.9760903120040894,0.0004092704424510632,0.22216796875,0.003133551337668905,-0.021753890439867973,-0.0033991336822509766,-0.024488481525622774,0.019816635,0.2,816,-2.2470302857142856,1257.0
27136,53,1320,20,-43.17347741127014,0.9738715887069702,0.0004092704424510632,0.2093505859375,0.1702418732456863,0.04547028988599777,0.00024324655532836914,-0.020963425806257874,0.015707992,0.2,832,-2.2470302857142856,1257.0
27648,54,1320,20,-43.103986740112305,0.9725398421287537,0.0004092704424510632,0.22021484375,0.0035369380566407926,-0.02933800034224987,-0.018594026565551758,-0.02451334334909916,0.019430127,0.2,848,-2.2470302857142856,1257.0
28160,55,1319,21,-43.08133411407471,0.9723971486091614,0.0004092704424510632,0.27099609375,0.0053058723351568915,-0.04377758502960205,0.0004640817642211914,-0.032076916490041185,0.023688102,0.2,864,-2.2518184545454543,1257.0
28672,56,1319,21,-43.091668128967285,0.9733136296272278,0.0004092704424510632,0.2650146484375,0.04773882211884484,0.0006031729280948639,3.8504600524902344e-05,-0.02312404110125499,0.034875892,0.2,880,-2.2518184545454543,1257.0
29184,57,1319,22,-43.107022285461426,0.9729118347167969,0.0004092704424510632,0.248291015625,0.004396325864945538,-0.03923207148909569,3.55839729309082e-05,-0.02829418345936574,0.02120469,0.2,896,-2.2580174347826087,1257.0
29696,58,1319,22,-43.09026885032654,0.9725782871246338,0.0004092704424510632,0.226318359375,0.20285922195762396,0.04939572513103485,7.76052474975586e-05,-0.02661620879371185,0.022101372,0.2,912,-2.2580174347826087,1257.0
30208,59,1318,22,-43.07694053649902,0.9724161624908447,0.0004092704424510632,0.2513427734375,0.003972220598370768,-0.023389199748635292,-0.0010563135147094727,-0.02513016811280977,0.017263185,0.2,928,-2.25660025,1257.0
