time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1854,192512,82,22,0.265625,0.0004092704424510632,-2.1399154663085938,0.020270895,-41.827117562294006,-0.024749519609031267,0.2,-0.03294670581817627,6000,0.002271493152875337,0.9439731240272522,-2.24191311,1258.0
1854,193024,83,22,0.0474853515625,0.0004092704424510632,0.5403380393981934,0.0062459707,-41.88118231296539,-0.002205818222137168,0.2,0.40866947174072266,6016,1.70927900262177,0.9447914958000183,-2.24191311,1258.0
1853,193536,84,23,0.2515869140625,0.0004092704424510632,-13.828726768493652,0.018589893,-41.865044355392456,-0.022704258321027737,0.2,-0.031565453857183456,6032,0.0036810503734159283,0.9428380131721497,-2.24191311,1258.0
1852,194048,85,23,0.2828369140625,0.0004092704424510632,-0.011504173278808594,0.021939322,-41.816254019737244,-0.026626850143657066,0.2,-0.0412263423204422,6048,0.005761344778875355,0.9426358342170715,-2.2418471899999997,1258.0
1852,194560,86,23,0.02978515625,0.0004092704424510632,0.18897241353988647,0.007352186,-41.82238054275513,-0.007670986306038685,0.2,0.15238800644874573,6064,1.934416338801384,0.9427695870399475,-2.2418471899999997,1258.0
1852,195072,87,24,0.2655029296875,0.0004092704424510632,-0.937105655670166,0.018305235,-41.81147015094757,-0.02722068064031191,0.2,-0.04417829588055611,6080,0.01012216683011502,0.9419542551040649,-2.2410231699999996,1258.0
1852,195584,88,24,0.0504150390625,0.0004092704424510632,0.5171217918395996,0.010198358,-41.78245210647583,-0.011020762860425748,0.2,0.28287941217422485,6096,1.7011500196531415,0.941591203212738,-2.2410231699999996,1258.0
1852,196096,89,24,0.2869873046875,0.0004092704424510632,-3.510857105255127,0.021437306,-41.77127027511597,-0.02532835939200595,0.2,-0.03691341355443001,6112,0.003207858251698781,0.9415886998176575,-2.2410231699999996,1258.0
1852,196608,90,24,0.3089599609375,0.0004092704424510632,0.042772114276885986,0.026250236,-41.77272570133209,-0.029030184596194886,0.2,-0.038030169904232025,6128,0.0056309201318072155,0.9422525763511658,-2.2399003100000003,1258.0
1852,197120,91,25,0.0037841796875,0.0004092704424510632,0.20362049341201782,0.003952646,-41.77242147922516,-0.001291723398026079,0.2,0.5217188596725464,6144,1.9950997829437256,0.9421727657318115,-2.2399003100000003,1258.0
1852,197632,92,25,0.31298828125,0.0004092704424510632,-1.0931823253631592,0.020661723,-41.76701283454895,-0.028743889677571133,0.2,-0.037365399301052094,6160,0.003876585225953022,0.9416308403015137,-2.23929765,1258.0
1851,198144,93,25,0.00732421875,0.0004092704424510632,0.4579058289527893,0.004749798,-41.76808559894562,-0.005035615962697193,0.2,0.25694695115089417,6176,1.7232748586684465,0.9416000843048096,-2.23929765,1258.0
1851,198656,94,25,0.2227783203125,0.0004092704424510632,-6.142607688903809,0.018188903,-41.76175630092621,-0.021601438682409935,0.2,-0.03568863868713379,6192,0.010323866416001692,0.9408233761787415,-2.23929765,1258.0
1851,199168,95,26,0.2705078125,0.0004092704424510632,0.11711239814758301,0.01542663,-41.722543478012085,-0.030988013066235,0.2,-0.03378130495548248,6208,0.005363038762880024,0.9394262433052063,-2.23856131,1258.0
1851,199680,96,26,0.028564453125,0.0004092704424510632,0.3250209093093872,0.00756383,-41.69181048870087,-0.010832397820195183,0.2,0.11429162323474884,6224,1.3732134560123086,0.9390009045600891,-2.23856131,1258.0
1851,200192,97,26,0.2974853515625,0.0004092704424510632,-2.1066248416900635,0.027306903,-41.6760128736496,-0.02753331909480039,0.2,-0.03875778615474701,6240,0.020027345686685294,0.9378077983856201,-2.23798106,1258.0
1851,200704,98,27,0.036376953125,0.0004092704424510632,0.4159078598022461,0.008975559,-41.64002561569214,-0.008681341700139455,0.2,0.23426714539527893,6256,1.5086905267089605,0.9372565150260925,-2.23798106,1258.0
1851,201216,99,27,0.276123046875,0.0004092704424510632,-10.10537338256836,0.019929912,-41.62145733833313,-0.024229519251093734,0.2,-0.029255865141749382,6272,0.0035320973165653413,0.9364405274391174,-2.23798106,1258.0
