time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
29,95,199168,1626,-41.96881830692291,6208,0.024946810153778642,-0.030755866318941116,-0.020330318162450567,0.7939268350601196,0.177978515625,0.017649163,0.9479941129684448,0.0004092704424510632,0.2,-2.3181045,1257.0
30,96,199680,1626,-41.98338735103607,6224,0.005594751099124551,-0.03620763495564461,-0.02866219547286164,0.23377686738967896,0.3006591796875,0.025029108,0.9478331804275513,0.0004092704424510632,0.2,-2.3181045,1257.0
30,97,200192,1628,-41.97958064079285,6240,0.0034105470404028893,-0.02198471501469612,-0.022578501972020604,-0.5813519954681396,0.220703125,0.014693668,0.9485798478126526,0.0004092704424510632,0.2,-2.31545865,1257.0
30,98,200704,1628,-41.991339921951294,6256,0.03149053335073404,-0.028586983680725098,-0.019555389546439983,0.5177998542785645,0.150146484375,0.01997963,0.9486461877822876,0.0004092704424510632,0.2,-2.31545865,1257.0
31,99,201216,1627,-41.993674516677856,6272,0.007380620008916594,-0.04196242243051529,-0.023873016645666212,-1.1291778087615967,0.2005615234375,0.017384743,0.948787271976471,0.0004092704424510632,0.2,-2.3127811100000004,1257.0
31,100,201728,1627,-41.99253571033478,6288,0.03077028223196976,-0.019737908616662025,-0.022334650813718326,0.5982053279876709,0.1881103515625,0.016749285,0.9491086602210999,0.0004092704424510632,0.2,-2.3127811100000004,1257.0
31,101,202240,1627,-41.99666452407837,6304,0.004179348368779756,-0.03657418116927147,-0.025532057261443697,0.1818562150001526,0.21240234375,0.017766269,0.9488629102706909,0.0004092704424510632,0.2,-2.3127811100000004,1257.0
32,102,202752,1627,-41.976439476013184,6320,0.0061081289168214425,-0.040640927851200104,-0.024188525858335197,-0.0652000904083252,0.257568359375,0.019826487,0.9478403329849243,0.0004092704424510632,0.2,-2.30928252,1257.0
32,103,203264,1627,-41.9354749917984,6336,0.02422730505350046,-0.040153518319129944,-0.02463133185665356,0.6350924968719482,0.1915283203125,0.014873322,0.9461261034011841,0.0004092704424510632,0.2,-2.30928252,1257.0
32,104,203776,1627,-41.90543270111084,6352,0.006933147393283434,-0.03618805482983589,-0.029339105167309754,-0.7211109399795532,0.288330078125,0.028506376,0.9465624094009399,0.0004092704424510632,0.2,-2.30776132,1257.0
33,105,204288,1627,-41.93574500083923,6368,0.028408047481207177,-0.017583386972546577,-0.01990732876583934,0.686897873878479,0.15380859375,0.015162041,0.9471988677978516,0.0004092704424510632,0.2,-2.30776132,1257.0
33,106,204800,1626,-41.925033926963806,6384,0.014284365577623248,-0.027768980711698532,-0.026766602582938503,0.5944598913192749,0.243896484375,0.020802757,0.9458624720573425,0.0004092704424510632,0.2,-2.30776132,1257.0
33,107,205312,1626,-41.856698751449585,6400,0.01346396718872711,-0.03138912469148636,-0.02556169353192672,0.4473496079444885,0.2152099609375,0.013789849,0.9430201649665833,0.0004092704424510632,0.2,-2.3050798500000003,1257.0
33,108,205824,1626,-41.7908935546875,6416,0.01695704847224988,-0.03295370191335678,-0.02686647910741158,0.862586259841919,0.2398681640625,0.019381572,0.9421496987342834,0.0004092704424510632,0.2,-2.3050798500000003,1257.0
34,109,206336,1626,-41.79163599014282,6432,0.017491505859652534,-0.029880933463573456,-0.0246641828562133,-0.06631457805633545,0.2352294921875,0.020429123,0.942313551902771,0.0004092704424510632,0.2,-2.30163835,1257.0
34,110,206848,1626,-41.78806245326996,6448,0.02817768056411296,-0.02808743715286255,-0.02611396153224632,0.8584087491035461,0.210205078125,0.023176331,0.9418652057647705,0.0004092704424510632,0.2,-2.30163835,1257.0
34,111,207360,1626,-41.768858671188354,6464,0.01774858619319275,-0.03557247668504715,-0.030556825669918908,-0.14505815505981445,0.251708984375,0.022997193,0.9414831399917603,0.0004092704424510632,0.2,-2.30163835,1257.0
35,112,207872,1626,-41.77318632602692,6480,0.020167591981589794,-0.02328791655600071,-0.021647143104928546,0.7842119336128235,0.2191162109375,0.015015254,0.9422550797462463,0.0004092704424510632,0.2,-2.30227653,1257.0
35,113,208384,1625,-41.7904394865036,6496,0.01226528498227708,-0.030768312513828278,-0.027592794576776214,0.9468913674354553,0.243408203125,0.021067597,0.9424564242362976,0.0004092704424510632,0.2,-2.30227653,1257.0
35,114,208896,1625,-41.792714953422546,6512,0.013730745646171272,-0.021330170333385468,-0.01942985304776812,-0.17248833179473877,0.2008056640625,0.015193217,0.943006694316864,0.0004092704424510632,0.2,-2.30528781,1257.0
36,115,209408,1625,-41.804824113845825,6528,0.027289683843264356,-0.03563723713159561,-0.024971594524686225,0.8303265571594238,0.2269287109375,0.020970145,0.9429981112480164,0.0004092704424510632,0.2,-2.30528781,1257.0
36,116,209920,1625,-41.78239572048187,6544,0.01374802488135174,-0.02313307859003544,-0.024445421440759674,-0.7403497695922852,0.2105712890625,0.013590756,0.9422399401664734,0.0004092704424510632,0.2,-2.30707056,1257.0
36,117,210432,1625,-41.76508188247681,6560,0.02743314823601395,-0.02517753653228283,-0.025602892565075308,0.811713695526123,0.1868896484375,0.018966287,0.9423838257789612,0.0004092704424510632,0.2,-2.30707056,1257.0
37,118,210944,1624,-41.7513530254364,6576,0.012576861190609634,-0.030327865853905678,-0.021899994026171044,0.7516887187957764,0.233642578125,0.020344276,0.9400739073753357,0.0004092704424510632,0.2,-2.30707056,1257.0
37,119,211456,1624,-41.68618869781494,6592,0.01221727131633088,-0.03423552215099335,-0.020775529876118526,-0.1469036340713501,0.2098388671875,0.018241942,0.9397960901260376,0.0004092704424510632,0.2,-2.30696945,1257.0
