strategy,period,n_days,avg_oneway_turnover,portfolio_entropy,risky_entropy,avg_largest_position,risky_largest_position,avg_cash_share,max_drawdown,cvar_5
M2_eta3.0,2022,251,0.007014886951859098,1.8561705145372056,1.850198049236565,0.1963511833604674,0.1965444452462646,0.0009832986404427,0.2315509052709834,-0.02965615442799666
M2_eta3.0,2023,250,0.005913334901264556,2.549899994138649,2.5498999867297245,0.10477085326300492,0.10477085330148006,3.6723063772942255e-10,0.0939044679759936,-0.015768356799136355
M2_eta3.0,2024,252,0.007346066701640175,2.2219950769306154,2.2219950676076072,0.14124826175830177,0.1412482618232411,4.5975208784175203e-10,0.07559798587145788,-0.01892724025639605
M2_eta3.0,2025,250,0.0067435491471562236,2.3839977720800762,2.3839977173436497,0.1140855674029335,0.11408556774528592,3.0008386847369115e-09,0.13778257456019435,-0.020594101204294443
M2_eta3.0,2026,113,0.010083399670867257,2.5809865121736673,2.5070123952486054,0.10487240213798615,0.11669166143052447,0.1012862371453602,0.0570143542899458,-0.013489635023267667
M2_eta3.0,2021-2026,1368,0.006908138468540164,2.2354831686777814,2.2282768903385364,0.14322336792841106,0.14423512612115108,0.008546896249455017,0.27457275210840687,-0.021423600812502077
M2_eta7.0,2021,252,0.005969389919954953,2.453627632142688,2.3690276748175525,0.128929139836112,0.14558400941365715,0.11440040458167698,0.0572226608958912,-0.01538476443715084
M2_eta7.0,2022,251,0.006306979329105047,1.6520237170680496,1.652023667430835,0.2795867409034496,0.27958674162939234,2.59648469507304e-09,0.15298487673782424,-0.029732588389469294
M2_eta7.0,2023,250,0.005687082388199385,1.9188139794937942,1.918329070699033,0.21905610105533352,0.21906803792898671,5.4489343886015394e-05,0.09511860344984127,-0.016406088074979938
M2_eta7.0,2024,252,0.007355820384866987,2.3394422732999964,2.339442261466202,0.12210213502067653,0.12210213509327243,5.945503382218634e-10,0.07081909685667337,-0.01907392221048534
M2_eta7.0,2025,250,0.006068775579555582,2.305563622349653,2.305563596648628,0.1383005922995215,0.13830059248540508,1.3440545267317873e-09,0.18428470533567312,-0.028588121353050864
M2_eta7.0,2026,113,0.010127553228718923,2.5025599503367237,2.4176105587479664,0.10615613240400819,0.11665937433401033,0.09003341557387409,0.08729150351488572,-0.016151499204148063
M2_eta7.0,2021-2026,1368,0.006596771063745962,2.164762605266483,2.142072751786609,0.17161620579754625,0.17555398206729886,0.02852068814909346,0.18428470533567315,-0.022732634072671884
M3_eta1.0,2021,252,0.006962167781954665,2.1228989424376303,2.122898774699819,0.2074580935316563,0.20745809553960254,9.678803302374143e-09,0.0738691277365703,-0.0197694661504395
M3_eta1.0,2022,251,0.008106367409697935,2.4951524838786336,2.4951524768309747,0.13327025858811353,0.1332702586344153,3.4742679484152016e-10,0.25137473719885806,-0.03255534347361852
M3_eta1.0,2023,250,0.005651111205632645,2.3190659943668774,2.319054819612403,0.1626499632020381,0.1626501072492041,8.856260126459715e-07,0.09031850359274723,-0.017667640092671157
M3_eta1.0,2024,252,0.006504928622311128,2.3581996373823797,2.261345128788502,0.12658097826574252,0.1368864712458542,0.0752849634176235,0.05517741791071353,-0.017606847649763366
M3_eta1.0,2025,250,0.007743074816571899,2.3486953844290297,2.3379247117905746,0.1629244097017392,0.16329468068184388,0.0022675017860869996,0.17530658278175443,-0.0267479989907383
M3_eta1.0,2026,113,0.009932603960679234,2.1182665243296226,2.118266502699445,0.16802363683284802,0.1680236370192132,1.1091604039841502e-09,0.09820599898209927,-0.017365454030780648
M3_eta1.0,2021-2026,1368,0.007236357651182055,2.3112752759622834,2.2914632551311502,0.15936326402530493,0.16132933750958076,0.014282829156333124,0.2654882911841724,-0.023800602417917757
M3_eta3.0,2021,252,0.006467814655809685,2.4608472418952068,2.460847233597585,0.11722283429212936,0.11722283434040186,4.118001234872184e-10,0.05849637033240465,-0.019383780389554316
M3_eta3.0,2022,251,0.007281728749023941,2.0756421762267143,2.0756418556527185,0.15503508406741628,0.15503508704481997,1.9204708835160128e-08,0.24096990182789466,-0.032371182114268524
M3_eta3.0,2023,250,0.005365910476409523,2.394799234935974,2.3014350935281156,0.1376807132128046,0.1546919282726449,0.1099683432083017,0.06216057926322126,-0.011377581578108458
M3_eta3.0,2024,252,0.00694525766584528,2.6157952948724974,2.615795286971944,0.10912669538228402,0.10912669542531003,3.942751287663706e-10,0.06835439078809738,-0.017828306630299863
M3_eta3.0,2025,250,0.00639989072552953,2.3706383484317466,2.2946606220796193,0.16205688186888217,0.1687735376130686,0.03979685345924879,0.17165718597661436,-0.025716034367305202
M3_eta3.0,2026,113,0.010821566343012751,2.4403183118776295,2.3609053084299285,0.12602413439054994,0.13241234993403858,0.04824486195336598,0.10011810309260484,-0.027164194954808023
M3_eta3.0,2021-2026,1368,0.006850946957826949,2.388461601302975,2.350954860896834,0.13532822626858734,0.14019214207835085,0.031354512859013785,0.24096990182789477,-0.02432375925759103
M3_eta7.0,2021,252,0.006113423525078359,2.3819941514962246,2.381994088502767,0.13356943421686154,0.13356943468188262,3.4814921175004253e-09,0.07424638497117969,-0.01804515090101597
M3_eta7.0,2022,251,0.007241300282200847,2.6141239512946384,2.614123792842406,0.1020070840179552,0.10200708497610814,9.39300318892188e-09,0.2538167813168274,-0.030966259015145995
M3_eta7.0,2023,250,0.005240749089298319,2.343442717355785,2.24280404429216,0.1383752415413105,0.1542143934206037,0.1027086481875489,0.07989105767136291,-0.014250303112077688
M3_eta7.0,2024,252,0.007453687109254299,2.216902803195783,2.2169023955222404,0.16549915314857613,0.16549915729132056,2.5031815155638882e-08,0.10014520759238685,-0.020010971021238513
M3_eta7.0,2025,250,0.006852537374359407,2.6276440331105806,2.552663646679226,0.0992363863933444,0.10709937280185032,0.07341766999003378,0.17722677004248352,-0.02523154458119238
M3_eta7.0,2026,113,0.011077444490501975,2.322866338379934,2.3228663265570266,0.1478385057684249,0.14783850585616026,5.934540934395965e-10,0.06486064002014028,-0.019394838158092804
