algo,eta,hypothesis,arm,baseline,measure,value_arm,value_baseline,difference,seed_mean_arm,seed_mean_baseline,difference_seed_mean,seed_sd_arm,seed_sd_baseline,seed_band,exceeds_seed_band,n_days,exploratory
SAC,1.0,H4,M4,M3,max_drawdown,0.24174889850271505,0.2654882911841724,-0.023739392681457333,0.2470433239736567,0.2385957123909587,0.008447611582697995,0.05244513312791968,0.016600810967011315,0.05500980743074513,False,1368,False
SAC,1.0,H4,M4,M3,cvar_5,-0.021831200435858934,-0.023800602417917757,0.0019694019820588222,-0.021928906780525698,-0.022460194068778104,0.0005312872882524064,0.0015085354023194933,0.0009813734310713915,0.0017996590986250898,True,1368,False
SAC,1.0,H4,M5,M4,max_drawdown,0.1827120947488267,0.24174889850271505,-0.05903680375388837,0.2133604845575142,0.2470433239736567,-0.0336828394161425,0.039832282358126574,0.05244513312791968,0.06585668308275736,False,1368,False
SAC,1.0,H4,M5,M4,cvar_5,-0.0216320252502762,-0.021831200435858934,0.00019917518558273256,-0.021915322737254394,-0.021928906780525698,1.358404327130372e-05,0.0014215356592895889,0.0015085354023194933,0.002072786214418439,False,1368,False
SAC,1.0,H4,M6,M5,max_drawdown,0.23553981352310135,0.1827120947488267,0.05282771877427467,0.23850674210006045,0.2133604845575142,0.025146257542546263,0.04007005016921942,0.039832282358126574,0.0564997313128238,False,1368,False
SAC,1.0,H4,M6,M5,cvar_5,-0.022407945077356006,-0.0216320252502762,-0.0007759198270798039,-0.02177508808108243,-0.021915322737254394,0.00014023465617196348,0.0016574015790231326,0.0014215356592895889,0.002183516344060712,False,1368,False
SAC,1.0,SUPP,M2,M1,max_drawdown,0.24671893330063513,0.27535002743468534,-0.02863109413405021,0.2025332107446219,0.21264268218857724,-0.010109471443955326,0.02802979787406246,0.040888241261000914,0.04957335819044958,False,1368,False
SAC,1.0,SUPP,M2,M1,cvar_5,-0.02135436059342326,-0.022646260923862013,0.0012919003304387514,-0.020845404168955556,-0.020968132372710287,0.00012272820375473087,0.0006208769446813622,0.0017453842079284488,0.0018525264407621507,False,1368,False
SAC,3.0,H1,M3,M1,max_drawdown,0.24096990182789477,0.19032339136921958,0.05064651045867519,0.19506542550612607,0.1947286714218355,0.0003367540842905692,0.026808654044479092,0.010014251335710406,0.028617986677810563,True,1368,True
SAC,3.0,H1,M3,M1,cvar_5,-0.02432375925759103,-0.020907376243942042,-0.0034163830136489867,-0.021329603036021792,-0.020934352430937598,-0.0003952506050841943,0.0015206217570294077,0.001403153632918414,0.002069089327584323,True,1368,True
SAC,3.0,H1,M4,M1,max_drawdown,0.1832226549791574,0.19032339136921958,-0.007100736390062173,0.23862382046581102,0.1947286714218355,0.04389514904397551,0.033796943469134054,0.010014251335710406,0.03524937755011598,False,1368,True
SAC,3.0,H1,M4,M1,cvar_5,-0.02297640176634212,-0.020907376243942042,-0.0020690255224000767,-0.022552868167427936,-0.020934352430937598,-0.0016185157364903384,0.0009886204007044258,0.001403153632918414,0.00171645285815286,True,1368,True
SAC,3.0,H1,M5,M1,max_drawdown,0.20886817469375812,0.19032339136921958,0.018544783324538544,0.22820907406234775,0.1947286714218355,0.03348040264051225,0.030151432811683417,0.010014251335710406,0.031770963636821546,False,1368,True
SAC,3.0,H1,M5,M1,cvar_5,-0.021546818868140256,-0.020907376243942042,-0.0006394426241982144,-0.021114511372355482,-0.020934352430937598,-0.00018015894141788433,0.001287640014746845,0.001403153632918414,0.0019044308664662518,False,1368,True
SAC,3.0,H1,M6,M1,max_drawdown,0.266082208438528,0.19032339136921958,0.0757588170693084,0.2294866638826138,0.1947286714218355,0.03475799246077829,0.021098474426829206,0.010014251335710406,0.0233544610932118,True,1368,True
SAC,3.0,H1,M6,M1,cvar_5,-0.02273781024045562,-0.020907376243942042,-0.0018304339965135794,-0.02168364147766291,-0.020934352430937598,-0.0007492890467253113,0.0008684909796386155,0.001403153632918414,0.0016501868679897392,True,1368,True
