time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
30,54272,106,1765,0.240966796875,1680,0.9925086498260498,-0.025205586898664478,0.019147633,-43.64912831783295,-0.027119236066937447,0.014894226100295782,-5.409328937530518,0.2,0.0004092704424510632,-2.628886744186046,1257.0
31,54784,107,1766,0.1107177734375,1696,0.9927302598953247,-0.01689412022824399,0.015108809,-43.67410922050476,0.01848725602030754,0.19381896778941154,0.14816069602966309,0.2,0.0004092704424510632,-2.628886744186046,1257.0
31,55296,108,1766,0.2877197265625,1712,0.9929414391517639,-0.027494388225022703,0.023021763,-43.671391248703,-0.0366770476102829,0.008800425843219273,-1.3249361515045166,0.2,0.0004092704424510632,-2.628886744186046,1257.0
31,55808,109,1766,0.210693359375,1728,0.9910048246383667,-0.02386823040433228,0.0150957825,-43.65670871734619,-0.026405414566397667,0.003381847171112895,0.14715886116027832,0.2,0.0004092704424510632,-2.6262035227272724,1257.0
31,56320,110,1766,0.3031005859375,1744,0.989823043346405,-0.024460032262140885,0.039125353,-43.5921311378479,-0.006391264498233795,0.08514073345577344,0.07393056154251099,0.2,0.0004092704424510632,-2.6262035227272724,1257.0
32,56832,111,1766,0.26806640625,1760,0.9892498850822449,-0.027971100469585508,0.018464746,-43.5689138174057,-0.03871966898441315,0.006248304518521763,-5.125141620635986,0.2,0.0004092704424510632,-2.621150022222222,1257.0
32,57344,112,1766,0.1458740234375,1776,0.9885989427566528,-0.01876617269590497,0.015529016,-43.545207023620605,0.010494247078895569,0.27002173964865506,0.0950249433517456,0.2,0.0004092704424510632,-2.621150022222222,1257.0
32,57856,113,1766,0.1973876953125,1792,0.987916111946106,-0.01922568002191838,0.014965951,-43.523284554481506,-0.024462344124913216,0.03903534897835925,-0.7890603542327881,0.2,0.0004092704424510632,-2.6177232826086954,1257.0
33,58368,114,1766,0.1038818359375,1808,0.9868761301040649,-0.019784337622695602,0.016216977,-43.50105369091034,0.0262877456843853,0.22668984113261104,0.35771942138671875,0.2,0.0004092704424510632,-2.6177232826086954,1257.0
33,58880,115,1766,0.267333984375,1824,0.9855543375015259,-0.03004344055079855,0.02414668,-43.45780098438263,-0.034277476370334625,0.0038171832711668685,-5.142947673797607,0.2,0.0004092704424510632,-2.6177232826086954,1257.0
33,59392,116,1766,0.2357177734375,1840,0.9839922785758972,-0.028717979832435958,0.016866194,-43.4036248922348,-0.052582867443561554,0.0035213433075114153,-0.0019522905349731445,0.2,0.0004092704424510632,-2.6188090425531914,1257.0
33,59904,117,1766,0.2098388671875,1856,0.983609676361084,-0.021275428181979805,0.020541351,-43.362319111824036,0.007216796278953552,0.2820089557208121,0.04064673185348511,0.2,0.0004092704424510632,-2.6188090425531914,1257.0
34,60416,118,1766,0.20751953125,1872,0.9831199645996094,-0.020554507747874595,0.018791797,-43.35228407382965,-0.021778305992484093,0.013614877170766704,-3.4783077239990234,0.2,0.0004092704424510632,-2.6219288333333335,1257.0
34,60928,119,1766,0.0985107421875,1888,0.9833136796951294,-0.018609182472573593,0.015676573,-43.342549443244934,0.03946958854794502,0.29467999702319503,0.08046305179595947,0.2,0.0004092704424510632,-2.6219288333333335,1257.0
34,61440,120,1766,0.3179931640625,1904,0.9853404760360718,-0.032985032274154946,0.026392272,-43.37043845653534,-0.04592836648225784,0.006109052741521737,-11.515263557434082,0.2,0.0004092704424510632,-2.6219288333333335,1257.0
35,61952,121,1766,0.2708740234375,1920,0.9842473268508911,-0.02813183564285282,0.021123327,-43.401469707489014,-0.030208704993128777,0.0026423271592648234,-0.05274844169616699,0.2,0.0004092704424510632,-2.6200132857142857,1257.0
35,62464,122,1766,0.128173828125,1936,0.9836295247077942,-0.020788093912415206,0.01598071,-43.36018419265747,0.01286359503865242,0.2615037246141583,0.1327565312385559,0.2,0.0004092704424510632,-2.6200132857142857,1257.0
