time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
145920,36,1932,138,-3.253678798675537,0.0004092704424510632,-0.03546290472149849,0.2392578125,0.01670115,-43.22073566913605,0.2,0.9828009009361267,4544,-0.024550172049202956,0.004530502701527439,1258.0,-2.22967548
146432,36,1933,139,0.5107518434524536,0.0004092704424510632,0.0548996701836586,0.1741943359375,0.022821564,-43.198946475982666,0.2,0.9827881455421448,4560,-0.020261025361833163,0.269704622682184,1258.0,-2.2287661900000004
146944,37,1933,140,0.898658812046051,0.0004092704424510632,-0.014653744176030159,0.270751953125,0.02469445,-43.20913791656494,0.2,0.9831365346908569,4576,-0.02061796232010238,0.06013890836038627,1258.0,-2.2287661900000004
147456,37,1933,141,-2.2579314708709717,0.0004092704424510632,-0.03328625485301018,0.266357421875,0.018756725,-43.19164276123047,0.2,0.9817929863929749,4592,-0.026756863022455946,0.007923106590169482,1258.0,-2.2262946400000003
147968,37,1933,142,0.3966946601867676,0.0004092704424510632,0.07081659138202667,0.0438232421875,0.010494202,-43.15882396697998,0.2,0.9813030362129211,4608,-0.009566096749040298,0.6381724933162332,1258.0,-2.2262946400000003
148480,37,1934,143,-4.240537643432617,0.0004092704424510632,-0.029388831928372383,0.2481689453125,0.02765264,-43.14670956134796,0.2,0.9810338020324707,4624,-0.02053152149892412,0.011573464260436594,1258.0,-2.22308559
148992,38,1934,144,0.35821694135665894,0.0004092704424510632,0.10897068679332733,0.0506591796875,0.0107280165,-43.14408552646637,0.2,0.9809461236000061,4640,-0.012381029067910276,0.771101703401655,1258.0,-2.22308559
149504,38,1934,145,-0.14459097385406494,0.0004092704424510632,-0.01787012815475464,0.2840576171875,0.017456401,-43.15718150138855,0.2,0.9825443029403687,4656,-0.02477759326575324,0.024723786977119744,1258.0,-2.22308559
150016,38,1934,146,-0.4125627279281616,0.0004092704424510632,-0.03159742429852486,0.24951171875,0.0157994,-43.188483357429504,0.2,0.9828605055809021,4672,-0.02692019632377196,0.008866735457559116,1258.0,-2.2251434900000002
150528,38,1934,147,0.517867386341095,0.0004092704424510632,0.06047314032912254,0.0657958984375,0.010072793,-43.17324757575989,0.2,0.9828381538391113,4688,-0.010736963835370261,0.626713968347758,1258.0,-2.2251434900000002
151040,0,4035,1,-6.257695198059082,0.0004092704424510632,-0.02971959114074707,0.2340087890625,0.020472258,-43.16747295856476,0.2,0.9826557040214539,4704,-0.024363394171814434,0.018556726528913714,1258.0,-2.2242476700000005
