time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
4,19,2043,84992,-0.016532037523575127,0.013426401,-0.006730910390615463,0.5671772956848145,2640,0.9840697050094604,0.2,0.09228515625,-43.33331620693207,0.14968609798233956,0.0004092704424510632,1257.0,-2.9541507164179106
5,20,2041,85504,-0.024011192843317986,0.023417491,-0.027594557031989098,-3.3404717445373535,2656,0.9842209219932556,0.2,0.248779296875,-43.31038725376129,0.014071146229980513,0.0004092704424510632,1257.0,-2.956514911764706
5,21,2038,86016,-0.01497758986079134,0.013057622,-0.010479552671313286,0.4935680627822876,2672,0.9836397767066956,0.2,0.1168212890625,-43.31146812438965,0.15401952946558595,0.0004092704424510632,1257.0,-2.956514911764706
5,22,2035,86528,-0.01854601124068722,0.011963014,-0.02676963619887829,-0.012886285781860352,2688,0.9840845465660095,0.2,0.1754150390625,-43.299636363983154,0.015111515967873856,0.0004092704424510632,1257.0,-2.956514911764706
5,23,2032,87040,-0.028643762867432088,0.022130158,-0.03989909589290619,-0.9639889001846313,2704,0.9832116961479187,0.2,0.2811279296875,-43.3093466758728,0.011935037095099688,0.0004092704424510632,1257.0,-2.9531796956521736
6,24,2030,87552,-0.014325670374091715,0.015258791,-0.005791157484054565,0.22975265979766846,2720,0.9821689128875732,0.2,0.0908203125,-43.26917576789856,0.21577180130407214,0.0004092704424510632,1257.0,-2.9531796956521736
6,25,2028,88064,-0.02802424898254685,0.01805393,-0.047205355018377304,-3.8301539421081543,2736,0.9812610745429993,0.2,0.26806640625,-43.234668016433716,0.005645243945764378,0.0004092704424510632,1257.0,-2.9527800714285712
6,26,2027,88576,-0.018323634460102767,0.014528966,0.039441514760255814,0.06529843807220459,2752,0.9811838865280151,0.2,0.20654296875,-43.222535729408264,0.35717183363158256,0.0004092704424510632,1257.0,-2.9527800714285712
6,27,2025,89088,-0.022896219074027613,0.013442894,-0.022023195400834084,-1.8285861015319824,2768,0.9801514744758606,0.2,0.21484375,-43.21199023723602,0.0036465959819906857,0.0004092704424510632,1257.0,-2.9527800714285712
7,28,2022,89600,-0.014802350051468238,0.013367018,-0.018215764313936234,-0.12195026874542236,2784,0.9780999422073364,0.2,0.179443359375,-43.16794741153717,0.0037920074319117703,0.0004092704424510632,1257.0,-2.9529177746478874
7,29,2019,90112,-0.017646323278313503,0.015978962,0.0008989842608571053,0.2906155586242676,2800,0.9777524471282959,0.2,0.1160888671875,-43.11834442615509,0.22188787581399083,0.0004092704424510632,1257.0,-2.9529177746478874
7,30,2018,90624,-0.02175716847705189,0.015063856,-0.03117043524980545,-3.203671932220459,2816,0.9777857065200806,0.2,0.2191162109375,-43.114487171173096,0.012470664907596074,0.0004092704424510632,1257.0,-2.9495618472222223
7,31,2016,91136,-0.016887736521312036,0.018826747,-0.007711485028266907,0.3756420612335205,2832,0.9773278832435608,0.2,0.114990234375,-43.1054961681366,0.23716045869514346,0.0004092704424510632,1257.0,-2.9495618472222223
8,32,2015,91648,-0.028271055780351162,0.016813805,-0.038615357130765915,-2.1696557998657227,2848,0.9770706295967102,0.2,0.2821044921875,-43.0862512588501,0.007108179990609642,0.0004092704424510632,1257.0,-2.9495618472222223
8,33,2014,92160,-0.023833394516259432,0.014882737,-0.03557214513421059,-0.01581716537475586,2864,0.9759816527366638,0.2,0.2115478515625,-43.0692857503891,0.0027764417027356103,0.0004092704424510632,1257.0,-2.9483228767123286
8,34,2014,92672,-0.015383964535431005,0.015068778,0.019815456122159958,0.12203502655029297,2880,0.9754550457000732,0.2,0.081298828125,-43.03684413433075,0.3096544916043058,0.0004092704424510632,1257.0,-2.9483228767123286
8,35,2013,93184,-0.021944949869066477,0.016048979,-0.028683334589004517,-3.810152530670166,2896,0.9755359292030334,0.2,0.232666015625,-43.02715086936951,0.012736377291730605,0.0004092704424510632,1257.0,-2.948381324324324
9,36,2012,93696,-0.015130593048525043,0.020059217,0.0002719759941101074,0.2139231562614441,2912,0.9753515720367432,0.2,0.1173095703125,-43.02124786376953,0.2632238686783239,0.0004092704424510632,1257.0,-2.948381324324324
9,37,2011,94208,-0.02615966138546355,0.024339627,-0.028148416429758072,-1.3715236186981201,2928,0.9739200472831726,0.2,0.3011474609375,-42.995487451553345,0.01332738428027369,0.0004092704424510632,1257.0,-2.948381324324324
9,38,2011,94720,-0.027714472402294632,0.017824754,-0.04487599804997444,0.34165501594543457,2944,0.973649799823761,0.2,0.267333984375,-42.96301543712616,0.0028002961626043543,0.0004092704424510632,1257.0,-2.9462446666666664
9,39,2010,95232,-0.02050160738872364,0.021206753,-0.018593519926071167,0.5610314011573792,2960,0.9733825922012329,0.2,0.153076171875,-42.95001673698425,0.16142493789084256,0.0004092704424510632,1257.0,-2.9462446666666664
10,40,2010,95744,-0.02664983129943721,0.024439786,-0.01636725291609764,-1.6293668746948242,2976,0.9758961796760559,0.2,0.2398681640625,-42.97586786746979,0.024722749833017588,0.0004092704424510632,1257.0,-2.9489375263157895
10,41,2009,96256,-0.014786912717681844,0.015268031,0.02258920669555664,0.7385599613189697,2992,0.9765573143959045,0.2,0.1077880859375,-43.03768229484558,0.18898679898120463,0.0004092704424510632,1257.0,-2.9489375263157895
10,42,2008,96768,-0.028413103660568595,0.018570986,-0.020518409088253975,-1.5162522792816162,3008,0.9746414422988892,0.2,0.2484130859375,-43.02002024650574,0.03988237777957693,0.0004092704424510632,1257.0,-2.9489375263157895
10,43,2008,97280,-0.02221910996013321,0.023131441,0.005307894200086594,0.6831471920013428,3024,0.9734940528869629,0.2,0.17822265625,-42.96190559864044,0.1288112998008728,0.0004092704424510632,1257.0,-2.949744116883117
11,44,2008,97792,-0.028524746114271693,0.020964112,-0.030360162258148193,0.9534271955490112,3040,0.972156286239624,0.2,0.278564453125,-42.92865550518036,0.03955504042096436,0.0004092704424510632,1257.0,-2.949744116883117
11,45,2007,98304,-0.02673701620369684,0.025439087,-0.03238872438669205,-2.1754679679870605,3056,0.9721368551254272,0.2,0.2825927734375,-42.89617562294006,0.02884619339602068,0.0004092704424510632,1257.0,-2.949752217948718
11,46,2007,98816,-0.014489785375189967,0.0129029825,-0.00046359747648239136,0.7361835241317749,3072,0.9725223183631897,0.2,0.0770263671875,-42.91047441959381,0.17079109302721918,0.0004092704424510632,1257.0,-2.949752217948718
11,47,2007,99328,-0.026089901431987528,0.01788685,-0.03163723275065422,-2.585144281387329,3088,0.9744969010353088,0.2,0.2333984375,-42.94066143035889,0.026704421441536397,0.0004092704424510632,1257.0,-2.95115364556962
12,48,2006,99840,-0.0132045221835142,0.013871571,0.003931276500225067,0.7431536316871643,3104,0.9751197695732117,0.2,0.057373046875,-42.99528777599335,0.17662055441178381,0.0004092704424510632,1257.0,-2.95115364556962
12,49,2005,100352,-0.029573999097920023,0.023367014,-0.028190070763230324,0.12965542078018188,3120,0.9767115116119385,0.2,0.2781982421875,-43.01618146896362,0.03340102196671069,0.0004092704424510632,1257.0,-2.95115364556962
12,50,2005,100864,-0.025926873699063435,0.02265062,-0.028751712292432785,-2.1163744926452637,3136,0.9779673218727112,0.2,0.2723388671875,-43.06890070438385,0.014740979531779885,0.0004092704424510632,1257.0,-2.9522988249999997
13,51,2004,101376,-0.018204348714789376,0.014706585,0.03641768917441368,0.6853681802749634,3152,0.9781706929206848,0.2,0.1282958984375,-43.0945200920105,0.16589929442852736,0.0004092704424510632,1257.0,-2.9522988249999997
13,52,2004,101888,-0.028526092195534147,0.019339476,-0.041167132556438446,-4.608036041259766,3168,0.976460337638855,0.2,0.2879638671875,-43.07806384563446,0.010829188424395397,0.0004092704424510632,1257.0,-2.950421135802469
13,53,2003,102400,-0.013003161788219586,0.012035843,0.003100307658314705,0.36184728145599365,3184,0.9760448336601257,0.2,0.0584716796875,-43.03417694568634,0.22432356560602784,0.0004092704424510632,1257.0,-2.950421135802469
13,54,2003,102912,-0.022526834130985662,0.020568328,-0.028629550710320473,-0.6084462404251099,3200,0.9755016565322876,0.2,0.265869140625,-43.02817738056183,0.004894587873423006,0.0004092704424510632,1257.0,-2.950421135802469
14,55,2002,103424,-0.027726139000151306,0.014871502,-0.03803485259413719,-0.05439281463623047,3216,0.9741026163101196,0.2,0.22998046875,-42.993459939956665,0.0027531397608981933,0.0004092704424510632,1257.0,-2.9517680487804876
14,56,2002,103936,-0.015760093316202983,0.010578813,-0.005159759894013405,0.17718297243118286,3232,0.9734516739845276,0.2,0.0704345703125,-42.96976375579834,0.33338462421670556,0.0004092704424510632,1257.0,-2.9517680487804876
14,57,2002,104448,-0.0195647584478138,0.016662281,-0.012734935618937016,-3.372880458831787,3248,0.9731498956680298,0.2,0.2037353515625,-42.955256938934326,0.023322479479247704,0.0004092704424510632,1257.0,-2.9521737469879517
14,58,2002,104960,-0.01604970352491364,0.012044617,-0.0005892477929592133,0.3866605758666992,3264,0.9733436107635498,0.2,0.0738525390625,-42.959341645240784,0.2294250768609345,0.0004092704424510632,1257.0,-2.9521737469879517
15,59,2002,105472,-0.020731204756884836,0.02538524,-0.02711428329348564,-1.853320598602295,3280,0.976024329662323,0.2,0.263427734375,-42.99625492095947,0.00828747870400548,0.0004092704424510632,1257.0,-2.9521737469879517
15,60,2002,105984,-0.029399402948911302,0.019620113,-0.05173063650727272,-0.008012771606445312,3296,0.9783632159233093,0.2,0.2669677734375,-43.084412932395935,0.002583356348623056,0.0004092704424510632,1257.0,-2.952315404761905
15,61,2002,106496,-0.009894208749756217,0.012060877,0.027291979640722275,0.16256260871887207,3312,0.9786273241043091,0.2,0.061279296875,-43.11854422092438,0.3408163123531267,0.0004092704424510632,1257.0,-2.952315404761905
15,62,2002,107008,-0.022084113443270326,0.018254157,-0.02877265401184559,-3.2271862030029297,3328,0.979792058467865,0.2,0.2105712890625,-43.126842856407166,0.012252672706381418,0.0004092704424510632,1257.0,-2.9524712117647063
16,63,2002,107520,-0.016150942639796995,0.015146558,0.03303716704249382,0.23447221517562866,3344,0.9802402257919312,0.2,0.1220703125,-43.16215991973877,0.290066359564662,0.0004092704424510632,1257.0,-2.9524712117647063
16,64,2003,108032,-0.03319075510080438,0.023221105,-0.02838822454214096,-0.35610318183898926,3360,0.980190098285675,0.2,0.2955322265625,-43.167373180389404,0.032869460759684443,0.0004092704424510632,1257.0,-2.9524712117647063
16,65,2003,108544,-0.02773987199179828,0.018745638,-0.020613301545381546,0.5678077936172485,3376,0.9798455238342285,0.2,0.2554931640625,-43.163402915000916,0.034341069287620485,0.0004092704424510632,1257.0,-2.952951651162791
16,66,2003,109056,-0.022154762147692963,0.026968334,-0.014873426407575607,0.8396832942962646,3392,0.9798102974891663,0.2,0.1876220703125,-43.14789605140686,0.1103986898669973,0.0004092704424510632,1257.0,-2.952951651162791
17,67,2003,109568,-0.01832007258781232,0.018325299,0.004047153517603874,-1.3026204109191895,3408,0.9810635447502136,0.2,0.1788330078125,-43.16356658935547,0.06907249893993139,0.0004092704424510632,1257.0,-2.950012816091954
17,68,2003,110080,-0.013857487501809373,0.020899693,0.025434967130422592,0.8123538494110107,3424,0.981056809425354,0.2,0.1260986328125,-43.19908630847931,0.1645581794437021,0.0004092704424510632,1257.0,-2.950012816091954
17,69,2003,110592,-0.024717464460991323,0.017500646,-0.009155891835689545,-1.2210242748260498,3440,0.9804445505142212,0.2,0.208251953125,-43.18748724460602,0.10557086300104856,0.0004092704424510632,1257.0,-2.950012816091954
17,70,2003,111104,-0.017763421055860817,0.018287795,0.028531838208436966,0.7352380156517029,3456,0.9794539213180542,0.2,0.132080078125,-43.165544748306274,0.1461559806484729,0.0004092704424510632,1257.0,-2.950346
18,71,2003,111616,-0.024323102697962895,0.016832385,-0.004747398197650909,0.936057984828949,3472,0.980829656124115,0.2,0.216796875,-43.16141355037689,0.05961974337697029,0.0004092704424510632,1257.0,-2.950346
18,72,2003,112128,-0.030815988953690976,0.028004622,-0.01629151776432991,-2.3131048679351807,3488,0.9810417890548706,0.2,0.2967529296875,-43.20157873630524,0.04068459459813312,0.0004092704424510632,1257.0,-2.9484776404494384
18,73,2003,112640,-0.013037253454967868,0.010217937,0.0004780031740665436,0.773268461227417,3504,0.9810280799865723,0.2,0.0965576171875,-43.20514714717865,0.14421065081842244,0.0004092704424510632,1257.0,-2.9484776404494384
18,74,2002,113152,-0.02484248994005611,0.02121934,-0.022646620869636536,-1.9807984828948975,3520,0.9809185862541199,0.2,0.24658203125,-43.20513212680817,0.049860070284921676,0.0004092704424510632,1257.0,-2.948652855555556
19,75,2002,113664,-0.009313867645687424,0.012059852,0.02338595502078533,0.7983708381652832,3536,0.9806274771690369,0.2,0.059814453125,-43.20056760311127,0.14509526372421533,0.0004092704424510632,1257.0,-2.948652855555556
19,76,2002,114176,-0.02366680876002647,0.018565241,-0.013910595327615738,0.31390148401260376,3552,0.9803485870361328,0.2,0.25732421875,-43.187498807907104,0.03647532232571393,0.0004092704424510632,1257.0,-2.948652855555556
19,77,2002,114688,-0.02205624354246538,0.017640328,-0.01573929563164711,-1.5112316608428955,3568,0.9792478084564209,0.2,0.2283935546875,-43.181546449661255,0.019419720105361193,0.0004092704424510632,1257.0,-2.9482478901098905
19,78,2002,115200,-0.016271070868242532,0.0133828595,-0.01111595332622528,0.7555869221687317,3584,0.9791560769081116,0.2,0.0941162109375,-43.1465083360672,0.1288079102523625,0.0004092704424510632,1257.0,-2.9482478901098905
20,79,2002,115712,-0.026423095434438437,0.019879544,-0.042246319353580475,-3.279608726501465,3600,0.9795228242874146,0.2,0.2479248046875,-43.16088545322418,0.027597363048698753,0.0004092704424510632,1257.0,-2.9488887065217395
20,80,2001,116224,-0.023703907267190516,0.017563492,-0.016070187091827393,0.5266750454902649,3616,0.9795693159103394,0.2,0.1805419921875,-43.17045295238495,0.14069688686868176,0.0004092704424510632,1257.0,-2.9488887065217395
20,81,2002,116736,-0.030532724820659496,0.021840077,-0.032835979014635086,-0.07832169532775879,3632,0.9795810580253601,0.2,0.2962646484375,-43.170520305633545,0.008590579804149456,0.0004092704424510632,1257.0,-2.9488887065217395
20,82,2001,117248,-0.0323024032622925,0.020552231,-0.04163321107625961,-0.9830880165100098,3648,0.9779598116874695,0.2,0.3177490234375,-43.14522886276245,0.00594151156838052,0.0004092704424510632,1257.0,-2.950063602150538
21,83,2001,117760,-0.015479502013477031,0.018998751,-0.004729202017188072,0.4472336173057556,3664,0.9771470427513123,0.2,0.1187744140625,-43.09295046329498,0.14213514747098088,0.0004092704424510632,1257.0,-2.950063602150538
21,84,2001,118272,-0.027417636709287763,0.0234707,-0.017123304307460785,-3.267091751098633,3680,0.975788950920105,0.2,0.277099609375,-43.07134544849396,0.013035617885179818,0.0004092704424510632,1257.0,-2.9489988085106384
21,85,2001,118784,-0.01718293671729043,0.017314786,-0.00431906059384346,0.4388754367828369,3696,0.9753992557525635,0.2,0.127197265625,-43.039936542510986,0.12433232564944774,0.0004092704424510632,1257.0,-2.9489988085106384
