time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
54272,1266,106,42,-42.42908549308777,0.9541670083999634,1680,0.01717211,-0.011670025996863842,0.0004092704424510632,0.004952920848154463,0.2,-0.0004190206527709961,-0.02233116971910931,0.2442626953125,-2.880925906976744,1257.0
54784,1266,107,43,-42.4264155626297,0.9528080821037292,1696,0.020008538,0.1401118040084839,0.0004092704424510632,0.36108363699167967,0.2,3.9696693420410156e-05,-0.024518772541341605,0.224609375,-2.880925906976744,1257.0
55296,1266,108,43,-42.399903774261475,0.9536970853805542,1712,0.020282306,-0.03353062644600868,0.0004092704424510632,0.009393473141244613,0.2,0.0002570152282714844,-0.022497766825836152,0.2449951171875,-2.880925906976744,1257.0
55808,1266,109,44,-42.40134119987488,0.9518735408782959,1728,0.024824316,-0.041092146188020706,0.0004092704424510632,0.006569044955540448,0.2,8.45193862915039e-05,-0.027801426622318104,0.2655029296875,-2.8826137727272725,1257.0
56320,1266,110,44,-42.35326957702637,0.9520918726921082,1744,0.045832913,0.057065900415182114,0.0004092704424510632,0.1797479698434472,0.2,4.178285598754883e-05,-0.026985274103935808,0.361572265625,-2.8826137727272725,1257.0
56832,1266,111,44,-42.36943328380585,0.9518245458602905,1760,0.015338241,-0.03715738281607628,0.0004092704424510632,0.005278042241116054,0.2,-0.0004545450210571289,-0.02023334847035585,0.209716796875,-2.8815379777777776,1257.0
57344,1266,112,45,-42.360342144966125,0.9520713090896606,1776,0.020601515,0.14628957211971283,0.0004092704424510632,0.407955726608634,0.2,8.83340835571289e-05,-0.023593774341861717,0.227783203125,-2.8815379777777776,1257.0
57856,1266,113,45,-42.351467967033386,0.9511009454727173,1792,0.03632881,-0.037516750395298004,0.0004092704424510632,0.010318891450879164,0.2,1.233816146850586e-05,-0.026598283177008852,0.31396484375,-2.8826520869565213,1257.0
58368,1266,114,46,-42.32764971256256,0.9508548378944397,1808,0.019513426,0.18363690376281738,0.0004092704424510632,0.39364270213991404,0.2,2.6226043701171875e-06,-0.022055040535633452,0.224365234375,-2.8826520869565213,1257.0
58880,1266,115,46,-42.31541454792023,0.9500025510787964,1824,0.01993554,-0.029157143086194992,0.0004092704424510632,0.013640543213114142,0.2,2.7120113372802734e-05,-0.024507281828846317,0.249267578125,-2.8826520869565213,1257.0
59392,1266,116,46,-42.29597270488739,0.9501248002052307,1840,0.016846161,-0.032601624727249146,0.0004092704424510632,0.004271839607099537,0.2,-3.528594970703125e-05,-0.022898464958416298,0.211669921875,-2.88135044680851,1257.0
59904,1266,117,47,-42.319557905197144,0.9510210156440735,1856,0.017300341,0.1776881068944931,0.0004092704424510632,0.4252162901684642,0.2,4.351139068603516e-06,-0.023178121831733733,0.22314453125,-2.88135044680851,1257.0
60416,1266,118,47,-42.32801389694214,0.9507209658622742,1872,0.019116383,-0.039715807884931564,0.0004092704424510632,0.002959485380415572,0.2,-2.8848648071289062e-05,-0.025330442826088984,0.2366943359375,-2.884287041666667,1257.0
60928,1266,119,48,-42.343504428863525,0.9516968727111816,1888,0.025604546,0.146136075258255,0.0004092704424510632,0.38563031516969204,0.2,7.033348083496094e-06,-0.027498843817738816,0.2724609375,-2.884287041666667,1257.0
61440,1267,120,48,-42.35822582244873,0.9519451260566711,1904,0.03197483,-0.023075655102729797,0.0004092704424510632,0.01340266052284278,0.2,3.802776336669922e-05,-0.027613371203187853,0.2923583984375,-2.884287041666667,1257.0
61952,1267,121,48,-42.36190867424011,0.9517064690589905,1920,0.017015167,-0.025310765951871872,0.0004092704424510632,0.005237296223640442,0.2,-5.7220458984375e-05,-0.023299928245251067,0.247314453125,-2.885698959183674,1257.0
