time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
74,31,1205,37888,0.24853515625,0.0004092704424510632,0.00794284233415965,-3.2898902893066406,1168,0.9733885526657104,-0.046193331480026245,-43.128596782684326,-0.02876145381014794,0.014377536,0.2,1257.0,-2.5055690333333334
75,31,1205,38400,0.17724609375,0.0004092704424510632,0.1333271856419742,0.18023502826690674,1184,0.972516655921936,0.014368854463100433,-43.09708487987518,-0.022346905228914693,0.018099613,0.2,1257.0,-2.5055690333333334
76,32,1205,38912,0.2176513671875,0.0004092704424510632,0.01095988677116111,0.10730224847793579,1200,0.9702145457267761,-0.021510012447834015,-43.04819118976593,-0.025366282847244292,0.015036842,0.2,1257.0,-2.5055690333333334
77,32,1205,39424,0.26513671875,0.0004092704424510632,0.017112515575718135,-0.06625688076019287,1216,0.9713958501815796,-0.0394558422267437,-43.013527631759644,-0.029501163167878985,0.017551228,0.2,1257.0,-2.5060175806451617
78,33,1205,39936,0.21826171875,0.0004092704424510632,0.07902685867156833,0.5904715061187744,1232,0.972088634967804,-0.0218711718916893,-43.06060230731964,-0.02235318417660892,0.024250438,0.2,1257.0,-2.5060175806451617
79,33,1205,40448,0.17333984375,0.0004092704424510632,0.03675388859119266,-1.7459499835968018,1248,0.973122239112854,-0.024623317644000053,-43.082722187042236,-0.0196061669557821,0.013246381,0.2,1257.0,-2.5086540937499997
80,33,1204,40960,0.2213134765625,0.0004092704424510632,0.13767069508321583,0.03919500112533569,1264,0.972368061542511,0.005458993837237358,-43.09402346611023,-0.022284023463726044,0.021858606,0.2,1257.0,-2.5086540937499997
81,34,1204,41472,0.247314453125,0.0004092704424510632,0.008078905113507062,-0.11159253120422363,1280,0.9737478494644165,-0.03211412578821182,-43.08740234375,-0.027447625645436347,0.014938956,0.2,1257.0,-2.5086540937499997
82,34,1204,41984,0.2774658203125,0.0004092704424510632,0.0316208727308549,0.5265576243400574,1296,0.9748836159706116,-0.018540849909186363,-43.14150953292847,-0.024947427067672834,0.021244105,0.2,1257.0,-2.502401909090909
83,35,1204,42496,0.3106689453125,0.0004092704424510632,0.026231231255223975,0.6340229511260986,1312,0.9757939577102661,-0.023905273526906967,-43.169829964637756,-0.025190159649355337,0.041813523,0.2,1257.0,-2.502401909090909
84,35,1204,43008,0.1707763671875,0.0004092704424510632,0.014990886498708278,-0.9375419616699219,1328,0.9745593070983887,-0.019519835710525513,-43.172701597213745,-0.019518118831911124,0.013092978,0.2,1257.0,-2.5008114117647056
85,36,1204,43520,0.2054443359375,0.0004092704424510632,0.09107633458916098,0.34632569551467896,1344,0.9732218980789185,-0.01325092650949955,-43.12167298793793,-0.0204687868244946,0.020611942,0.2,1257.0,-2.5008114117647056
86,36,1204,44032,0.2884521484375,0.0004092704424510632,0.011624819569988176,0.34453123807907104,1360,0.9736034274101257,-0.0303974486887455,-43.10349714756012,-0.025381526982528158,0.020742498,0.2,1257.0,-2.503002657142857
87,36,1204,44544,0.245361328125,0.0004092704424510632,0.13577918941155076,0.6924529075622559,1376,0.9740252494812012,0.02874920144677162,-43.122928619384766,-0.023961190672707744,0.02410766,0.2,1257.0,-2.503002657142857
