time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
13,32,166912,1251,0.5364910364151001,0.0004092704424510632,1.0111173056066036,0.007903516,0.12825287878513336,5200,0.9736864566802979,0.0230712890625,-0.00893536571675213,-42.97800874710083,0.2,1258.0,-2.659219940000001
13,33,167424,1251,-2.731414318084717,0.0004092704424510632,0.04225860501173884,0.022778478,-0.013776990585029125,5216,0.9753059148788452,0.1937255859375,-0.01932663461775519,-42.98767852783203,0.2,1258.0,-2.659633570000001
13,34,167936,1250,0.3363901972770691,0.0004092704424510632,1.2805387917906046,0.0065808548,0.10204508900642395,5232,0.9759971499443054,0.015869140625,-0.006850787285657134,-43.03921675682068,0.2,1258.0,-2.659633570000001
14,35,168448,1249,-2.829927444458008,0.0004092704424510632,0.006129783614596818,0.025893705,-0.03869978338479996,5248,0.9761644005775452,0.302978515625,-0.029178806289564818,-43.04669380187988,0.2,1258.0,-2.659633570000001
14,36,168960,1249,0.061103641986846924,0.0004092704424510632,0.013052720867563039,0.021992045,-0.038727808743715286,5264,0.9774076342582703,0.2686767578125,-0.029806151433149353,-43.05863440036774,0.2,1258.0,-2.65860513
15,37,169472,1248,0.5707172155380249,0.0004092704424510632,0.9136044727638364,0.008584855,0.13989751040935516,5280,0.9777916669845581,0.0235595703125,-0.0057082933417405,-43.08218574523926,0.2,1258.0,-2.65860513
15,38,169984,1247,-3.2820558547973633,0.0004092704424510632,0.019000808388227597,0.017390661,-0.028356589376926422,5296,0.9772144556045532,0.2130126953125,-0.020690528472186998,-43.08073925971985,0.2,1258.0,-2.6587759300000005
16,39,170496,1247,0.14322900772094727,0.0004092704424510632,1.483157698996365,0.007190886,0.13411523401737213,5312,0.9770950078964233,0.0313720703125,-0.006631138749071397,-43.0755934715271,0.2,1258.0,-2.6587759300000005
16,40,171008,1246,-3.9294257164001465,0.0004092704424510632,0.005559331220865715,0.020183284,-0.02833874151110649,5328,0.9777854084968567,0.260009765625,-0.02446471559233032,-43.081907510757446,0.2,1258.0,-2.6587759300000005
16,41,171520,1245,0.08410918712615967,0.0004092704424510632,0.01448272872949019,0.024979342,-0.04187741503119469,5344,0.9812057018280029,0.29296875,-0.03196793602546677,-43.13737881183624,0.2,1258.0,-2.66015787
