time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/std,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
32,1912,120,211968,0.0004092704424510632,0.2,0.02827242761850357,0.3439919352531433,0.284478000132367,0.9450934529304504,0.019814122,6608,-41.80007719993591,0.178466796875,-0.02183618624258088,-2.2205619800000003,1257.0
32,1912,121,212480,0.0004092704424510632,0.2,-0.02599124051630497,-7.495203018188477,0.02768952026963234,0.944739580154419,0.01817116,6624,-41.77545201778412,0.2626953125,-0.0249955608160235,-2.2146657899999997,1257.0
32,1912,122,212992,0.0004092704424510632,0.2,0.040334105491638184,0.19552701711654663,0.2777863547671586,0.945060133934021,0.017249871,6640,-41.76977264881134,0.1219482421875,-0.01729005973902531,-2.2146657899999997,1257.0
32,1912,123,213504,0.0004092704424510632,0.2,-0.027308089658617973,-12.157840728759766,0.008232959924498573,0.9464237689971924,0.019451631,6656,-41.790255665779114,0.2471923828125,-0.02209205078543164,-2.2146657899999997,1257.0
33,1912,124,214016,0.0004092704424510632,0.2,-0.03354465588927269,-0.017886996269226074,0.003069591311941622,0.9465195536613464,0.014888318,6672,-41.8252477645874,0.2376708984375,-0.027717541670426726,-2.21486185,1257.0
33,1913,125,214528,0.0004092704424510632,0.2,0.03957629203796387,0.16867047548294067,0.3055620880331844,0.9466627836227417,0.015879638,6688,-41.82663714885712,0.15625,-0.019401352110435255,-2.21486185,1257.0
33,1913,126,215040,0.0004092704424510632,0.2,-0.04926915839314461,-7.058017730712891,0.007120049660443328,0.9480748772621155,0.022111524,6704,-41.85197699069977,0.305908203125,-0.027985078122583218,-2.2153096,1257.0
33,1912,127,215552,0.0004092704424510632,0.2,0.052178896963596344,0.15988397598266602,0.35505962278693914,0.9486008882522583,0.01619853,6720,-41.89055109024048,0.140625,-0.01629064665758051,-2.2153096,1257.0
34,1912,128,216064,0.0004092704424510632,0.2,-0.04180626943707466,-2.5900025367736816,0.0029730783971899655,0.9488833546638489,0.029119216,6736,-41.89513564109802,0.2841796875,-0.025315470236819237,-2.2153096,1257.0
34,1912,129,216576,0.0004092704424510632,0.2,-0.037932299077510834,-0.20349657535552979,0.0022070116028771736,0.9494745135307312,0.01394094,6752,-41.9154326915741,0.2047119140625,-0.02208751137368381,-2.21506397,1257.0
34,1912,130,217088,0.0004092704424510632,0.2,0.05470108240842819,0.30121129751205444,0.2866893548052758,0.9494271278381348,0.015891867,6768,-41.91881883144379,0.09814453125,-0.013713640655623749,-2.21506397,1257.0
35,1912,131,217600,0.0004092704424510632,0.2,-0.030391139909625053,-7.91041374206543,0.03279806027421728,0.9483934044837952,0.02196103,6784,-41.90093421936035,0.2681884765625,-0.02352163773321081,-2.2141156200000003,1257.0
35,1912,132,218112,0.0004092704424510632,0.2,0.027365874499082565,0.15855425596237183,0.3147561647929251,0.9482905268669128,0.015695926,6800,-41.880629777908325,0.1119384765625,-0.0183372238825541,-2.2141156200000003,1257.0
35,1911,133,218624,0.0004092704424510632,0.2,-0.03400416672229767,-0.6336644887924194,0.012969061732292175,0.9485707879066467,0.018680282,6816,-41.883596777915955,0.2177734375,-0.022097558612586,-2.2141156200000003,1257.0
35,1911,134,219136,0.0004092704424510632,0.2,-0.03775183483958244,-0.35703957080841064,0.002187394984503044,0.9495287537574768,0.014231995,6832,-41.88971209526062,0.21630859375,-0.024162601999705657,-2.2111657100000004,1257.0
36,1911,135,219648,0.0004092704424510632,0.2,-0.0003559701144695282,0.40266042947769165,0.2334269001148641,0.9498323798179626,0.01882628,6848,-41.91141760349274,0.1485595703125,-0.019036563142435625,-2.2111657100000004,1257.0
36,1911,136,220160,0.0004092704424510632,0.2,-0.01394196692854166,-7.588320732116699,0.05394714494468644,0.9507836699485779,0.023107111,6864,-41.92050790786743,0.2532958984375,-0.022580202276003547,-2.21032246,1257.0
36,1911,137,220672,0.0004092704424510632,0.2,0.047837913036346436,0.22818523645401,0.2614208525046706,0.951339602470398,0.018229282,6880,-41.951772809028625,0.1591796875,-0.022152738441945985,-2.21032246,1257.0
36,1911,138,221184,0.0004092704424510632,0.2,-0.03671065345406532,-10.058588981628418,0.010909812364843674,0.9522739052772522,0.02309075,6896,-41.970518708229065,0.2740478515625,-0.026730323683295865,-2.21032246,1257.0
37,1911,139,221696,0.0004092704424510632,0.2,-0.03901223838329315,0.012905418872833252,0.0013013347179366974,0.950384795665741,0.016212678,6912,-41.95166993141174,0.2296142578125,-0.028517055165139027,-2.20889873,1257.0
37,1911,140,222208,0.0004092704424510632,0.2,-0.0012104324996471405,0.07890397310256958,0.224814870278351,0.9499439001083374,0.018137773,6928,-41.889665722846985,0.17041015625,-0.0162148035451537,-2.20889873,1257.0
37,1911,141,222720,0.0004092704424510632,0.2,-0.026957696303725243,-6.6704840660095215,0.0054244330822257325,0.9479459524154663,0.017144782,6944,-41.86518597602844,0.2303466796875,-0.020192503157886676,-2.20803786,1257.0
38,1910,142,223232,0.0004092704424510632,0.2,0.03683575987815857,0.027485191822052002,0.4556347094476223,0.9465846419334412,0.02436268,6960,-41.81043076515198,0.2568359375,-0.022119365457911044,-2.20803786,1257.0
38,1911,143,223744,0.0004092704424510632,0.2,-0.015575960278511047,-3.4398064613342285,0.033548493578564376,0.946008563041687,0.024249572,6976,-41.77691042423248,0.2576904296875,-0.021842672664206475,-2.20803786,1257.0
38,1911,144,224256,0.0004092704424510632,0.2,-0.004241514950990677,-0.1649022102355957,0.0863654394634068,0.9463315606117249,0.025895882,6992,-41.77128517627716,0.2476806640625,-0.024988888413645327,-2.20420636,1257.0
38,1911,145,224768,0.0004092704424510632,0.2,-0.008926420472562313,0.0730864405632019,0.037502038314414676,0.9462597966194153,0.027405718,7008,-41.776809334754944,0.3453369140625,-0.022247726388741285,-2.20420636,1257.0
39,1911,146,225280,0.0004092704424510632,0.2,-0.03357529267668724,-6.174611568450928,0.006506828205601778,0.9485906362533569,0.022973467,7024,-41.80645143985748,0.2662353515625,-0.023751710730721243,-2.20400589,1257.0
39,1911,147,225792,0.0004092704424510632,0.2,0.022277746349573135,0.2261718511581421,0.275469611864537,0.9497948884963989,0.01635335,7040,-41.86898338794708,0.13671875,-0.01661279663676396,-2.20400589,1257.0
0,3531,1,226304,0.0004092704424510632,0.2,-0.02711593359708786,-6.8015265464782715,0.011543390559381805,0.9482139945030212,0.01775887,7056,-41.87093389034271,0.2327880859375,-0.01893307888531126,-2.2005152800000003,1257.0
0,2479,2,226816,0.0004092704424510632,0.2,0.014089923352003098,0.11981457471847534,0.3122684240806848,0.9474968910217285,0.018272363,7072,-41.83482766151428,0.1641845703125,-0.01906016914290376,-2.2005152800000003,1257.0
0,2260,3,227328,0.0004092704424510632,0.2,-0.03310001268982887,-3.2854433059692383,0.002387584729149239,0.9464721083641052,0.024187062,7088,-41.810648918151855,0.2696533203125,-0.024544772633817047,-2.2005152800000003,1257.0
0,2162,4,227840,0.0004092704424510632,0.2,-0.03811177238821983,-0.13530540466308594,0.003416356565139722,0.9454209208488464,0.0217641,7104,-41.768343448638916,0.2646484375,-0.030797448009252548,-2.19753787,1257.0
1,2110,5,228352,0.0004092704424510632,0.2,0.032848186790943146,0.3262345790863037,0.2638624063692987,0.9452661871910095,0.01441359,7120,-41.752877712249756,0.1351318359375,-0.015820604588952847,-2.19753787,1257.0
1,2077,6,228864,0.0004092704424510632,0.2,-0.022288257256150246,-8.994912147521973,0.02642360221943818,0.945297122001648,0.022180736,7136,-41.747103333473206,0.2811279296875,-0.025815688859438524,-2.19465769,1257.0
1,2051,7,229376,0.0004092704424510632,0.2,0.05615052580833435,0.16568946838378906,0.2721210243180394,0.9450017809867859,0.018963112,7152,-41.74255919456482,0.18994140625,-0.02274712876533158,-2.19465769,1257.0
2,2032,8,229888,0.0004092704424510632,0.2,-0.04765203222632408,-2.3059241771698,0.002953873303340515,0.943368136882782,0.02098589,7168,-41.71244275569916,0.2750244140625,-0.02912412057048641,-2.19465769,1257.0
2,2016,9,230400,0.0004092704424510632,0.2,-0.02722984366118908,-0.13286614418029785,0.003029182873433456,0.9437391757965088,0.015064007,7184,-41.684335112571716,0.230224609375,-0.025160710589261726,-2.1897989200000003,1257.0
2,2002,10,230912,0.0004092704424510632,0.2,0.05975675955414772,0.31233811378479004,0.26510967081412673,0.9443281292915344,0.014575573,7200,-41.70941936969757,0.0960693359375,-0.014151358431263361,-2.1897989200000003,1257.0
2,1993,11,231424,0.0004092704424510632,0.2,-0.03577711805701256,-10.159646987915039,0.0088948992852238,0.9429011940956116,0.024082359,7216,-41.69679129123688,0.287841796875,-0.028176113875815645,-2.18776673,1257.0
3,1983,12,231936,0.0004092704424510632,0.2,0.02409084513783455,0.15562236309051514,0.31776159373112023,0.9422749280929565,0.023727175,7232,-41.65458405017853,0.208984375,-0.02797953804838471,-2.18776673,1257.0
3,1975,13,232448,0.0004092704424510632,0.2,-0.016337048262357712,-0.5135694742202759,0.00804032634187024,0.9414440989494324,0.042110182,7248,-41.63278603553772,0.3443603515625,-0.024893808382330462,-2.18776673,1257.0
3,1967,14,232960,0.0004092704424510632,0.2,-0.02588498406112194,-0.01999378204345703,0.0019031898300454486,0.9423053860664368,0.016918745,7264,-41.62960755825043,0.24951171875,-0.027113011456094682,-2.18583914,1257.0
3,1961,15,233472,0.0004092704424510632,0.2,0.03889758884906769,0.15112674236297607,0.2698973915539682,0.9418770670890808,0.013856082,7280,-41.64671778678894,0.0860595703125,-0.011130935527035035,-2.18583914,1257.0
4,1956,16,233984,0.0004092704424510632,0.2,-0.034884966909885406,-10.8416166305542,0.008374013043066952,0.9404979944229126,0.022602793,7296,-41.610387086868286,0.255126953125,-0.020011920714750886,-2.1842047399999998,1257.0
4,1951,17,234496,0.0004092704424510632,0.2,0.02904791384935379,0.08539855480194092,0.35936406441032887,0.9399119019508362,0.015283249,7312,-41.5855815410614,0.146484375,-0.02038616176287178,-2.1842047399999998,1257.0
4,1946,18,235008,0.0004092704424510632,0.2,-0.0418492928147316,-5.54217529296875,0.0046201137665775605,0.9385315179824829,0.03332606,7328,-41.55676507949829,0.30810546875,-0.025751655892236158,-2.1842047399999998,1257.0
5,1943,19,235520,0.0004092704424510632,0.2,-0.04406711459159851,0.013074874877929688,0.001514526475148159,0.9369160532951355,0.018559122,7344,-41.512253403663635,0.2803955078125,-0.03278243841486983,-2.1803940099999997,1257.0
5,1939,20,236032,0.0004092704424510632,0.2,0.002676263451576233,0.16388237476348877,0.21079604246187955,0.9358344674110413,0.01577512,7360,-41.46411442756653,0.1341552734375,-0.016764955362305045,-2.1803940099999997,1257.0
5,1936,21,236544,0.0004092704424510632,0.2,-0.03489408269524574,-6.042236328125,0.005277335818391293,0.9349523186683655,0.022402711,7376,-41.438010811805725,0.2978515625,-0.024990046193124726,-2.1771106799999997,1257.0
5,1933,22,237056,0.0004092704424510632,0.2,0.05742989853024483,0.14999353885650635,0.35123303649015725,0.9349985718727112,0.01733704,7392,-41.41904664039612,0.156494140625,-0.019112477486487478,-2.1771106799999997,1257.0
6,1929,23,237568,0.0004092704424510632,0.2,-0.03198988363146782,-5.265275478363037,0.004045771464006975,0.9345694780349731,0.027513001,7408,-41.41468954086304,0.2901611328125,-0.02403005176165607,-2.1771106799999997,1257.0
6,1927,24,238080,0.0004092704424510632,0.2,0.012168791145086288,0.2990451455116272,0.06604102998971939,0.9336201548576355,0.014298478,7424,-41.387173533439636,0.2113037109375,-0.020403837246703915,-2.1736363499999998,1257.0
6,1926,25,238592,0.0004092704424510632,0.2,-0.012020623311400414,0.44962507486343384,0.03958920259901788,0.9333180785179138,0.03193487,7440,-41.35406196117401,0.2525634765625,-0.015963230558554642,-2.1736363499999998,1257.0
6,1924,26,239104,0.0004092704424510632,0.2,-0.04589254409074783,-7.403722763061523,0.004806839038792532,0.9335839152336121,0.027982347,7456,-41.36006534099579,0.337890625,-0.03247739261132665,-2.17235684,1257.0
7,1922,27,239616,0.0004092704424510632,0.2,0.0811954066157341,0.19535762071609497,0.34679409861564636,0.9335743188858032,0.013563898,7472,-41.36841952800751,0.15869140625,-0.017564929417858366,-2.17235684,1257.0
7,1922,28,240128,0.0004092704424510632,0.2,-0.03914225101470947,-4.974413871765137,0.004853693360928446,0.9331896305084229,0.026489746,7488,-41.3627632856369,0.3033447265625,-0.025908032926963642,-2.1713651,1257.0
7,1921,29,240640,0.0004092704424510632,0.2,0.028578124940395355,0.2366963028907776,0.34590887022204697,0.9329571723937988,0.021201296,7504,-41.36240315437317,0.1138916015625,-0.01766104597481899,-2.1713651,1257.0
7,1920,30,241152,0.0004092704424510632,0.2,-0.035374533385038376,-8.76538372039795,0.004819908706849674,0.9313679933547974,0.029210532,7520,-41.341817140579224,0.3270263671875,-0.02754655640455894,-2.1713651,1257.0
8,1920,31,241664,0.0004092704424510632,0.2,-0.03368113934993744,-0.025876283645629883,0.003973123602918349,0.9311162829399109,0.014975578,7536,-41.29536509513855,0.2388916015625,-0.026409866535686888,-2.17012306,1257.0
8,1920,32,242176,0.0004092704424510632,0.2,0.03601013869047165,0.22978156805038452,0.30632154969498515,0.9313870668411255,0.023412865,7552,-41.293784737586975,0.14111328125,-0.018781355203827843,-2.17012306,1257.0
8,1920,33,242688,0.0004092704424510632,0.2,-0.03258407860994339,-8.9151029586792,0.02214336392353289,0.9334136247634888,0.020437248,7568,-41.32007598876953,0.2564697265625,-0.022185860711033456,-2.1723345,1257.0
9,1919,34,243200,0.0004092704424510632,0.2,0.023983195424079895,0.12353092432022095,0.3803803555201739,0.9341170787811279,0.015925478,7584,-41.39270055294037,0.142822265625,-0.0205389735638164,-2.1723345,1257.0
9,1919,35,243712,0.0004092704424510632,0.2,-0.0321841724216938,-4.219709396362305,0.0025547871191520244,0.9362432360649109,0.020215612,7600,-41.430684208869934,0.2691650390625,-0.023898808663943782,-2.1723345,1257.0
9,1920,36,244224,0.0004092704424510632,0.2,-0.0349833145737648,-0.1801851987838745,0.0023322068846027832,0.9355189204216003,0.0147068,7616,-41.48125112056732,0.2119140625,-0.024485132562404033,-2.17157086,1257.0
9,1919,37,244736,0.0004092704424510632,0.2,0.06486402451992035,0.3339197039604187,0.3300313490908593,0.9358091950416565,0.015331468,7632,-41.46054172515869,0.09521484375,-0.014573980392015073,-2.17157086,1257.0
10,1919,38,245248,0.0004092704424510632,0.2,-0.02347571961581707,-8.01954174041748,0.010578396409982815,0.936991810798645,0.028814998,7648,-41.48986303806305,0.2772216796875,-0.021272054334986024,-2.1695812500000002,1257.0
10,1918,39,245760,0.0004092704424510632,0.2,0.038340676575899124,0.11538529396057129,0.36428922321647406,0.9379958510398865,0.017172206,7664,-41.51764452457428,0.1273193359375,-0.018331929692067206,-2.1695812500000002,1257.0
10,1918,40,246272,0.0004092704424510632,0.2,-0.030495086684823036,-8.621026039123535,0.005348238468286581,0.9393686056137085,0.03396117,7680,-41.555726170539856,0.2916259765625,-0.021791703678900376,-2.1695812500000002,1257.0
10,1917,41,246784,0.0004092704424510632,0.2,-0.02922268956899643,-0.04488193988800049,0.002156381797249196,0.9401667714118958,0.014461214,7696,-41.58360481262207,0.2237548828125,-0.02301254714257084,-2.1698312,1257.0
11,1916,42,247296,0.0004092704424510632,0.2,0.016292624175548553,0.20881026983261108,0.3214410732034594,0.9406405091285706,0.022546524,7712,-41.60616481304169,0.1561279296875,-0.021928123489487916,-2.1698312,1257.0
11,1915,43,247808,0.0004092704424510632,0.2,-0.031263962388038635,-9.014225006103516,0.016548434243304655,0.9402986168861389,0.02317254,7728,-41.612690448760986,0.270751953125,-0.02497602568473667,-2.16570851,1257.0
11,1915,44,248320,0.0004092704424510632,0.2,0.04880724102258682,0.13362056016921997,0.37854474084451795,0.9407386779785156,0.020769937,7744,-41.61885213851929,0.166015625,-0.023386409287923016,-2.16570851,1257.0
12,1914,45,248832,0.0004092704424510632,0.2,-0.04553775489330292,-6.455718517303467,0.003650834485597443,0.9392431378364563,0.02087949,7760,-41.60689651966095,0.280517578125,-0.02682912196178222,-2.16570851,1257.0
12,1913,46,249344,0.0004092704424510632,0.2,-0.03606368228793144,0.04266190528869629,0.0016867039194039535,0.938869297504425,0.014038496,7776,-41.55258893966675,0.222900390625,-0.022619258874328807,-2.16292185,1257.0
12,1913,47,249856,0.0004092704424510632,0.2,-0.02116445265710354,0.27406400442123413,0.2054346047807485,0.9385483264923096,0.027926631,7792,-41.54661548137665,0.215576171875,-0.028059094940545037,-2.16292185,1257.0
12,1912,48,250368,0.0004092704424510632,0.2,-0.026962919160723686,-6.967901229858398,0.03238029422936961,0.9380776882171631,0.018444773,7808,-41.527734875679016,0.233154296875,-0.022276753414189443,-2.16009905,1257.0
13,1911,49,250880,0.0004092704424510632,0.2,0.0448128879070282,0.1655423641204834,0.3244467512704432,0.9379462003707886,0.017443784,7824,-41.51506233215332,0.15234375,-0.01869534290744923,-2.16009905,1257.0
13,1911,50,251392,0.0004092704424510632,0.2,-0.029489826411008835,-7.196788787841797,0.018776065844576806,0.9378356337547302,0.026310027,7840,-41.510799050331116,0.261962890625,-0.020895477646263316,-2.16009905,1257.0
13,1910,51,251904,0.0004092704424510632,0.2,-0.025818873196840286,-1.212141513824463,0.0035526439678505994,0.9382416605949402,0.014501144,7856,-41.51020658016205,0.2120361328125,-0.021715340422815643,-2.1557306900000004,1257.0
