time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
57,1731,16,29184,-0.032086923718452454,0.0004092704424510632,0.9865651726722717,0.2,-2.4193780422210693,0.02029523774399422,0.0176743,-0.02146342146443203,896,-43.51304388046265,0.2120361328125,-3.1745629130434785,1258.0
58,1727,17,29696,0.029573440551757812,0.0004092704424510632,0.9872046709060669,0.2,0.028027355670928955,0.19945446774363518,0.021724487,-0.025030718243215233,912,-43.534841656684875,0.2086181640625,-3.1745629130434785,1258.0
59,1722,17,30208,-0.03330424055457115,0.0004092704424510632,0.9877279996871948,0.2,-0.5933501720428467,0.017262098350329325,0.0146967005,-0.025747122446773574,928,-43.55314314365387,0.2327880859375,-3.1673397083333334,1258.0
60,1718,17,30720,0.050549689680337906,0.0004092704424510632,0.9877661466598511,0.2,0.3765648603439331,0.17335305735468864,0.018517504,-0.021612646567518823,944,-43.56633508205414,0.17431640625,-3.1673397083333334,1258.0
61,1718,18,31232,-0.03684508055448532,0.0004092704424510632,0.9878408908843994,0.2,-1.8379666805267334,0.0038659537603962235,0.0179971,-0.02535567493760027,960,-43.56076145172119,0.2264404296875,-3.1673397083333334,1258.0
62,1717,18,31744,-0.020894190296530724,0.0004092704424510632,0.987382173538208,0.2,-0.02308809757232666,0.007304243481485173,0.025306359,-0.02230776153737679,976,-43.55435812473297,0.26318359375,-3.17226448,1258.0
63,1716,18,32256,0.04564201459288597,0.0004092704424510632,0.9871289134025574,0.2,0.07413327693939209,0.21468078321777284,0.020423908,-0.019981845223810524,992,-43.54598522186279,0.1324462890625,-3.17226448,1258.0
64,1716,19,32768,-0.021572399884462357,0.0004092704424510632,0.9895201921463013,0.2,-1.6175901889801025,0.015217756939819083,0.014278995,-0.02183156556566246,1008,-43.56850326061249,0.202880859375,-3.1849232692307696,1258.0
65,1715,19,33280,0.03401898220181465,0.0004092704424510632,0.990310549736023,0.2,0.04001891613006592,0.2531648389995098,0.013986578,-0.019862893168465234,1024,-43.636927247047424,0.19482421875,-3.1849232692307696,1258.0
66,1715,19,33792,-0.023976217955350876,0.0004092704424510632,0.9891768097877502,0.2,-1.5302655696868896,0.007943250762764364,0.02198297,-0.022584249585634097,1040,-43.62609839439392,0.2774658203125,-3.1849232692307696,1258.0
67,1714,20,34304,-0.03344661369919777,0.0004092704424510632,0.9866658449172974,0.2,0.10415005683898926,0.0024243376719823573,0.017421514,-0.027239743547397666,1056,-43.57045292854309,0.216064453125,-3.187759888888889,1258.0
68,1714,20,34816,0.043603286147117615,0.0004092704424510632,0.98533695936203,0.2,0.10676789283752441,0.217824537307024,0.017660951,-0.019630287337349728,1072,-43.50493407249451,0.1634521484375,-3.187759888888889,1258.0
69,1713,20,35328,-0.023685425519943237,0.0004092704424510632,0.9869645237922668,0.2,-1.8387532234191895,0.02007421781308949,0.016193543,-0.020095633139135316,1088,-43.50434970855713,0.2205810546875,-3.187943892857143,1258.0
70,1713,20,35840,0.03100869059562683,0.0004092704424510632,0.9872658848762512,0.2,0.07952505350112915,0.24883462162688375,0.016017921,-0.019343825959367678,1104,-43.548527240753174,0.15478515625,-3.187943892857143,1258.0
71,1711,21,36352,-0.038222625851631165,0.0004092704424510632,0.9864307641983032,0.2,-2.9626684188842773,0.010720589954871684,0.031780582,-0.030000932616530918,1120,-43.5352166891098,0.2822265625,-3.187943892857143,1258.0
72,1714,21,36864,-0.03394298255443573,0.0004092704424510632,0.9865285158157349,0.2,-0.006153106689453125,0.0032829799711180385,0.016034253,-0.018365317315328866,1136,-43.51464867591858,0.1951904296875,-3.185848689655173,1258.0
73,1716,21,37376,0.012186955660581589,0.0004092704424510632,0.9867703318595886,0.2,0.048406004905700684,0.28411760879680514,0.014652041,-0.02415000955807045,1152,-43.51558268070221,0.14306640625,-3.185848689655173,1258.0
