time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
202752,1842,28,102,-0.02442432302632369,0.020830333,0.2734375,0.0004092704424510632,0.2,0.012286663055419922,-0.015064964070916176,0.04614390421193093,-43.144545912742615,6320,0.9801713228225708,1258.0,-3.0111169400000004
203264,1843,28,103,-0.0031620582449249923,0.0060651856,0.0230712890625,0.0004092704424510632,0.2,0.7812900543212891,0.09202929586172104,1.3472823076881468,-43.12925708293915,6336,0.9799098372459412,1258.0,-3.0111169400000004
203776,1843,28,104,-0.03028779520536773,0.01889864,0.27294921875,0.0004092704424510632,0.2,0.38082969188690186,-0.022774051874876022,0.034886094683315605,-43.13890290260315,6352,0.9807836413383484,1258.0,-3.0111169400000004
204288,1844,29,105,-0.007233025404275395,0.007736383,0.02783203125,0.0004092704424510632,0.2,0.9520331621170044,0.21207764744758606,0.7623914526775479,-43.15410876274109,6368,0.9809625148773193,1258.0,-3.0067749200000007
204800,1844,29,106,-0.029951507589430548,0.05271761,0.381103515625,0.0004092704424510632,0.2,0.9773819446563721,-0.0399288609623909,0.028788171490305103,-43.15572011470795,6384,0.9811208248138428,1258.0,-3.0067749200000007
205312,1844,29,107,-0.020012305583804846,0.013822913,0.21923828125,0.0004092704424510632,0.2,0.6756032109260559,0.01211518980562687,0.07960022520273924,-43.16999709606171,6400,0.9818198680877686,1258.0,-3.00783502
205824,1845,29,108,-0.005106178126879968,0.0062686494,0.0093994140625,0.0004092704424510632,0.2,0.8950028419494629,0.053665973246097565,0.7517528533935547,-43.1849844455719,6416,0.9819998741149902,1258.0,-3.00783502
206336,1845,30,109,-0.026756786206533434,0.020693861,0.2718505859375,0.0004092704424510632,0.2,-0.784622073173523,-0.02538684755563736,0.021964594663586468,-43.21232080459595,6432,0.9839134216308594,1258.0,-3.0071946200000004
206848,1845,30,110,-0.002344270433241036,0.0049561504,0.022705078125,0.0004092704424510632,0.2,0.7490861415863037,0.6448357105255127,1.5574206886813045,-43.25528347492218,6448,0.9845467209815979,1258.0,-3.0071946200000004
207360,1846,30,111,-0.026768324692966416,0.01665668,0.281005859375,0.0004092704424510632,0.2,-0.21283960342407227,-0.03327332064509392,0.002762019132205751,-43.26946413516998,6464,0.985243022441864,1258.0,-3.0071946200000004
