time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
28,194560,86,1547,-40.70234477519989,0.017637566,0.2,0.9074614644050598,6064,0.32774333842098713,-0.010315243154764175,0.0004092704424510632,0.076904296875,-0.015437159294378944,0.8431590795516968,-1.93107806,1258.0
28,195072,87,1547,-40.6729838848114,0.015993182,0.2,0.905551552772522,6080,0.009582419283105992,-0.018023639917373657,0.0004092704424510632,0.246826171875,-0.02577442114125006,-2.0083630084991455,-1.9296093899999998,1258.0
29,195584,88,1547,-40.61912429332733,0.017925672,0.2,0.9047814607620239,6096,0.4238721299916506,0.08307712525129318,0.0004092704424510632,0.1348876953125,-0.020894771922030486,0.8703892827033997,-1.9296093899999998,1258.0
29,196096,89,1546,-40.58128237724304,0.016740318,0.2,0.9026141166687012,6112,0.023929043964017183,-0.036866240203380585,0.0004092704424510632,0.253173828125,-0.027932839439017698,-2.349855422973633,-1.9296093899999998,1258.0
29,196608,90,1546,-40.49419689178467,0.01675446,0.2,0.9003228545188904,6128,0.006298251755652018,-0.024935921654105186,0.0004092704424510632,0.236328125,-0.02673761259939056,0.0688508152961731,-1.93148934,1258.0
30,197120,91,1546,-40.44572556018829,0.012535651,0.2,0.8993291258811951,6144,0.34729218715801835,0.03002028539776802,0.0004092704424510632,0.1181640625,-0.01498583290958777,0.7488650679588318,-1.93148934,1258.0
30,197632,92,1546,-40.385860204696655,0.022673262,0.2,0.8966513872146606,6160,0.004404419814818539,-0.02918420545756817,0.0004092704424510632,0.291748046875,-0.026722141235950403,-0.7793178558349609,-1.92765044,1258.0
30,198144,93,1546,-40.321157932281494,0.014945265,0.2,0.8959453701972961,6176,0.32379920477978885,0.020833637565374374,0.0004092704424510632,0.0760498046875,-0.015427807869855314,0.8316653966903687,-1.92765044,1258.0
31,198656,94,1546,-40.29578936100006,0.017727554,0.2,0.8948259949684143,6192,0.019485943019390106,-0.025983087718486786,0.0004092704424510632,0.296630859375,-0.03451115181087516,-0.035613417625427246,-1.92765044,1258.0
31,199168,95,1547,-40.26181137561798,0.017199948,0.2,0.8942615985870361,6208,0.15088791865855455,0.022848160937428474,0.0004092704424510632,0.1728515625,-0.017629261143156327,0.6609601974487305,-1.92695394,1258.0
31,199680,96,1547,-40.245707273483276,0.022071349,0.2,0.893683671951294,6224,0.16905084636528045,-3.704056143760681e-05,0.0004092704424510632,0.1485595703125,-0.020336022251285613,0.8989828824996948,-1.92695394,1258.0
32,200192,97,1547,-40.23945939540863,0.0185824,0.2,0.894377589225769,6240,0.005951772393018473,-0.03852139785885811,0.0004092704424510632,0.2816162109375,-0.02915282457252033,-1.9636268615722656,-1.9275508099999998,1258.0
32,200704,98,1548,-40.26776695251465,0.012702385,0.2,0.8944472074508667,6256,0.43743312964215875,0.057652104645967484,0.0004092704424510632,0.08740234375,-0.015353183218394406,0.8704992532730103,-1.9275508099999998,1258.0
32,201216,99,1548,-40.25170397758484,0.01622129,0.2,0.893701434135437,6272,0.006030815638951026,-0.03735736757516861,0.0004092704424510632,0.237548828125,-0.02361254795687273,-5.818077087402344,-1.9275508099999998,1258.0
33,201728,100,1549,-40.24644660949707,0.018739678,0.2,0.8942495584487915,6288,0.1480694238562137,0.0014140401035547256,0.0004092704424510632,0.138671875,-0.017379522090777755,0.7078264951705933,-1.9255011399999997,1258.0
33,202240,101,1549,-40.26193118095398,0.020197226,0.2,0.8941800594329834,6304,0.028863712475867942,-0.011747486889362335,0.0004092704424510632,0.2122802734375,-0.02145669932360761,0.9633347988128662,-1.9255011399999997,1258.0
33,202752,102,1549,-40.23575842380524,0.015026424,0.2,0.8930659890174866,6320,0.006497908310848288,-0.0302937850356102,0.0004092704424510632,0.2347412109375,-0.025550650010700338,-0.2977961301803589,-1.92352747,1258.0
34,203264,103,1549,-40.20745265483856,0.014570531,0.2,0.8929460048675537,6336,0.39342641294933856,0.0252174511551857,0.0004092704424510632,0.0562744140625,-0.011128063764772378,0.8666946887969971,-1.92352747,1258.0
34,203776,104,1549,-40.21530628204346,0.020113919,0.2,0.8932973742485046,6352,0.004292049248761032,-0.03958364203572273,0.0004092704424510632,0.2462158203125,-0.020502594430581667,-6.589447498321533,-1.92352747,1258.0
34,204288,105,1549,-40.22274303436279,0.0132928435,0.2,0.8929501175880432,6368,0.21042498503811657,0.01837269216775894,0.0004092704424510632,0.0828857421875,-0.013409790786681697,0.8314977884292603,-1.92308599,1258.0
35,204800,106,1549,-40.20498788356781,0.029803693,0.2,0.8926765322685242,6384,0.008313983445987105,-0.03679928556084633,0.0004092704424510632,0.3192138671875,-0.030650874745333567,0.9771276712417603,-1.92308599,1258.0
35,205312,107,1550,-40.19955253601074,0.016138932,0.2,0.8925154805183411,6400,0.005019761039875448,-0.028359422460198402,0.0004092704424510632,0.23046875,-0.021557992120506242,-0.331950306892395,-1.9207440900000001,1258.0
35,205824,108,1550,-40.198408126831055,0.010461095,0.2,0.8927127122879028,6416,0.3078145459294319,0.03333492577075958,0.0004092704424510632,0.0469970703125,-0.009722405637148768,0.8638092279434204,-1.9207440900000001,1258.0
35,206336,109,1550,-40.18335795402527,0.023073785,0.2,0.891296923160553,6432,0.0035843945406668354,-0.04261557012796402,0.0004092704424510632,0.279541015625,-0.03050838653871324,-3.9835238456726074,-1.92171794,1258.0
36,206848,110,1551,-40.14619696140289,0.013807496,0.2,0.8907367587089539,6448,0.27988269343040884,0.008912455290555954,0.0004092704424510632,0.07421875,-0.014683834131574258,0.8394715189933777,-1.92171794,1258.0
36,207360,111,1551,-40.14896237850189,0.019818813,0.2,0.8912570476531982,6464,0.0033067589029087685,-0.02500475011765957,0.0004092704424510632,0.257080078125,-0.02534187849232694,-2.3753225803375244,-1.92171794,1258.0
36,207872,112,1551,-40.15771460533142,0.022990763,0.2,0.891012966632843,6480,0.0043195798571105115,-0.037131551653146744,0.0004092704424510632,0.3006591796875,-0.02919078609556891,-0.04587078094482422,-1.92082675,1258.0
37,208384,113,1551,-40.140008330345154,0.012759259,0.2,0.8908104300498962,6496,0.3116585980169475,0.024347493425011635,0.0004092704424510632,0.0638427734375,-0.010837617388460785,0.8513000011444092,-1.92082675,1258.0
37,208896,114,1551,-40.12077462673187,0.016924473,0.2,0.8898268342018127,6512,0.006910574316862039,-0.036556676030159,0.0004092704424510632,0.2607421875,-0.026340633296058513,-0.8961590528488159,-1.9213771400000001,1258.0
37,209408,115,1552,-40.09467685222626,0.012804454,0.2,0.8897017240524292,6528,0.26187511265743524,0.015056353062391281,0.0004092704424510632,0.1177978515625,-0.017505501047708094,0.8621718883514404,-1.9213771400000001,1258.0
38,209920,116,1552,-40.12354123592377,0.018188413,0.2,0.8915969133377075,6544,0.002722996643569786,-0.04277932643890381,0.0004092704424510632,0.230224609375,-0.022936251276405528,-2.1741368770599365,-1.9213771400000001,1258.0
38,210432,117,1552,-40.17841982841492,0.019127022,0.2,0.89214688539505,6560,0.005100944123114459,-0.02295500598847866,0.0004092704424510632,0.2366943359375,-0.02551326234242879,0.09342139959335327,-1.92121388,1258.0
38,210944,118,1552,-40.17811322212219,0.013932767,0.2,0.8923945426940918,6576,0.2403012466384098,-0.011906921863555908,0.0004092704424510632,0.0977783203125,-0.015006684538093396,0.8694014549255371,-1.92121388,1258.0
39,211456,119,1551,-40.19799244403839,0.022120282,0.2,0.8931854367256165,6592,0.007840925536584109,-0.024354267865419388,0.0004092704424510632,0.2850341796875,-0.026635122019797564,-2.7855725288391113,-1.9193585600000003,1258.0
39,211968,120,1551,-40.219451546669006,0.015403196,0.2,0.8932175636291504,6608,0.3447354102972895,0.03630213439464569,0.0004092704424510632,0.1077880859375,-0.017390194407198578,0.8685203194618225,-1.9193585600000003,1258.0
39,212480,121,1551,-40.21998465061188,0.01502738,0.2,0.8938730955123901,6624,0.008827876517898403,-0.03163781389594078,0.0004092704424510632,0.2305908203125,-0.02325455582467839,-6.687209606170654,-1.9193585600000003,1258.0
