time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
100,1702,30,51200,0.03131451457738876,0.14113068580627441,0.123779296875,0.2,0.0004092704424510632,-0.017867695292807184,0.9849741458892822,0.3535990850068629,1584,-43.41441595554352,0.014768831,-2.70432,1258.0
101,1704,30,51712,-0.003940306603908539,-0.6332694292068481,0.2442626953125,0.2,0.0004092704424510632,-0.024907496714149602,0.9859294295310974,0.07708522386383265,1600,-43.41162633895874,0.018956855,-2.7029964878048784,1258.0
102,1706,30,52224,0.038782961666584015,0.33409708738327026,0.1876220703125,0.2,0.0004092704424510632,-0.02290414719027467,0.9860451221466064,0.32091766595840454,1616,-43.436819076538086,0.022568475,-2.7029964878048784,1258.0
103,1707,30,52736,-0.028927497565746307,-3.3838605880737305,0.22900390625,0.2,0.0004092704424510632,-0.021029061579611152,0.9866001009941101,0.018266864557517692,1632,-43.4367790222168,0.018265683,-2.7029964878048784,1258.0
104,1709,31,53248,-0.02858712710440159,0.04377734661102295,0.2794189453125,0.2,0.0004092704424510632,-0.02399135852465406,0.9887508153915405,0.012979352846741676,1648,-43.47238528728485,0.02117043,-2.7059344047619054,1258.0
105,1710,31,53760,0.04333138465881348,0.257161021232605,0.114990234375,0.2,0.0004092704424510632,-0.019163282006047666,0.989444375038147,0.37203319603577256,1664,-43.52711236476898,0.019611828,-2.7059344047619054,1258.0
106,1712,31,54272,-0.038338471204042435,-5.464779376983643,0.2269287109375,0.2,0.0004092704424510632,-0.025043580870260485,0.9911513328552246,0.023872234480222687,1680,-43.54684090614319,0.023682512,-2.7068009069767447,1258.0
107,1713,31,54784,0.06885147839784622,0.09704577922821045,0.1529541015625,0.2,0.0004092704424510632,-0.016895806707907468,0.9914435744285583,0.43285697791725397,1696,-43.58669853210449,0.014768867,-2.7068009069767447,1258.0
108,1713,32,55296,-0.037078000605106354,-7.471881866455078,0.24560546875,0.2,0.0004092704424510632,-0.02560388034908101,0.9919397830963135,0.012677699021878652,1712,-43.58689856529236,0.01810158,-2.7068009069767447,1258.0
109,1714,32,55808,-0.02704843319952488,0.12880218029022217,0.24560546875,0.2,0.0004092704424510632,-0.024085736949928105,0.9922645092010498,0.013879739388357848,1728,-43.61085915565491,0.018402638,-2.707117068181819,1258.0
110,1715,32,56320,0.02414855733513832,0.40307509899139404,0.134033203125,0.2,0.0004092704424510632,-0.017615705393836834,0.9920896887779236,0.22695566900074482,1744,-43.608169198036194,0.017918687,-2.707117068181819,1258.0
111,1716,33,56832,-0.007447987794876099,-0.9993761777877808,0.2763671875,0.2,0.0004092704424510632,-0.02273294355836697,0.9921874403953552,0.032505177427083254,1760,-43.60474956035614,0.022177842,-2.705175355555556,1258.0
112,1717,33,57344,0.0933881551027298,0.44930827617645264,0.1204833984375,0.2,0.0004092704424510632,-0.021189607425185386,0.9920547008514404,0.33712154533714056,1776,-43.60824501514435,0.02219975,-2.705175355555556,1258.0
113,1718,33,57856,-0.022672653198242188,-8.327470779418945,0.2618408203125,0.2,0.0004092704424510632,-0.024266902095405385,0.9920258522033691,0.007088496924552601,1792,-43.604676723480225,0.021223102,-2.705175355555556,1258.0
114,1719,33,58368,-0.026349186897277832,0.17746227979660034,0.2330322265625,0.2,0.0004092704424510632,-0.020998533174861223,0.9914740324020386,0.01893963571637869,1808,-43.59366321563721,0.025300404,-2.704962934782609,1258.0
115,1720,34,58880,0.0029082652181386948,0.22400546073913574,0.2900390625,0.2,0.0004092704424510632,-0.022109204553999007,0.9914324283599854,0.22068134089931846,1824,-43.58371841907501,0.036217153,-2.704962934782609,1258.0
116,1722,34,59392,-0.029671575874090195,-1.854140043258667,0.2764892578125,0.2,0.0004092704424510632,-0.029298676672624424,0.9909941554069519,0.020445862726774067,1840,-43.585474491119385,0.021697713,-2.706748787234043,1258.0
117,1723,34,59904,0.04451723396778107,0.14068710803985596,0.1510009765625,0.2,0.0004092704424510632,-0.02184978744480759,0.9902141094207764,0.47194935707375407,1856,-43.56173300743103,0.02600132,-2.706748787234043,1258.0
118,1724,35,60416,-0.03614603355526924,-16.454004287719727,0.2410888671875,0.2,0.0004092704424510632,-0.026011184774688445,0.9910162091255188,0.02406368899391964,1872,-43.554527163505554,0.016068451,-2.710259520833333,1258.0
119,1726,35,60928,0.05438415706157684,0.11057811975479126,0.102783203125,0.2,0.0004092704424510632,-0.0181279314274434,0.9916189312934875,0.5583731145597994,1888,-43.583656549453735,0.012370478,-2.710259520833333,1258.0
120,1727,35,61440,-0.02416972443461418,-6.001854419708252,0.2545166015625,0.2,0.0004092704424510632,-0.021699505392462015,0.9915424585342407,0.006190373867866583,1904,-43.589720368385315,0.016943162,-2.710259520833333,1258.0
121,1727,35,61952,-0.03001328557729721,0.05274045467376709,0.2745361328125,0.2,0.0004092704424510632,-0.026967856247210875,0.9918909668922424,0.013692554290173575,1920,-43.591668248176575,0.026036784,-2.7101978571428567,1258.0
122,1727,36,62464,0.02919246256351471,0.26110321283340454,0.103271484375,0.2,0.0004092704424510632,-0.019675515053677373,0.9910231232643127,0.45559097174555063,1936,-43.5824921131134,0.018823218,-2.7101978571428567,1258.0
123,1728,36,62976,-0.03599678725004196,-7.51065731048584,0.233154296875,0.2,0.0004092704424510632,-0.023849920427892357,0.9910885095596313,0.02239051679498516,1952,-43.55985939502716,0.018681219,-2.7100348199999997,1258.0
