time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
38,134144,1545,115,-43.37205171585083,0.523568868637085,0.2,-0.010007953591411933,4176,0.7352326726540923,0.0004092704424510632,0.010990623,0.9862595796585083,0.0792236328125,0.11432592570781708,1257.0,-2.9270210699999994
38,134656,1545,116,-43.3759605884552,-4.060771942138672,0.2,-0.024588129948824644,4192,0.04144265042850748,0.0004092704424510632,0.021306485,0.9871910214424133,0.229248046875,-0.01042686216533184,1257.0,-2.926175759999999
38,135168,1544,117,-43.4014652967453,0.1956876516342163,0.2,-0.005374651183956303,4208,1.7263496089726686,0.0004092704424510632,0.005873696,0.9874082207679749,0.013427734375,0.1647430956363678,1257.0,-2.926175759999999
39,135680,1544,118,-43.394057512283325,-0.3390408754348755,0.2,-0.02520018997893203,4224,0.01914115098770708,0.0004092704424510632,0.01845228,0.9864556193351746,0.2305908203125,-0.03474956750869751,1257.0,-2.926175759999999
39,136192,1544,119,-43.35378575325012,0.4831291437149048,0.2,-0.02808482773252763,4240,0.011906926607480273,0.0004092704424510632,0.019884411,0.9854004383087158,0.2669677734375,-0.033700473606586456,1257.0,-2.9223893199999997
39,136704,1542,120,-43.3371239900589,0.5924249887466431,0.2,-0.004661210186895914,4256,0.7143629896454513,0.0004092704424510632,0.0065969946,0.9853779077529907,0.014892578125,0.1007271334528923,1257.0,-2.9223893199999997
40,137216,1542,121,-43.33569121360779,-3.4087815284729004,0.2,-0.027772243120125495,4272,0.03462526685325429,0.0004092704424510632,0.02009319,0.9852100610733032,0.2392578125,-0.02344159223139286,1257.0,-2.91973952
40,137728,1542,122,-43.325586795806885,0.36398863792419434,0.2,-0.006044096662662923,4288,1.0727504785172641,0.0004092704424510632,0.008989115,0.9851304292678833,0.0489501953125,0.14686457812786102,1257.0,-2.91973952
40,138240,1542,123,-43.30785894393921,-0.4476109743118286,0.2,-0.02738570998189971,4304,0.047088519437238574,0.0004092704424510632,0.018742615,0.984052836894989,0.21533203125,-0.016015563160181046,1257.0,-2.91973952
41,138752,1542,124,-43.27631914615631,0.7258471846580505,0.2,-0.013882576393370982,4320,0.2129885321483016,0.0004092704424510632,0.012945913,0.9837807416915894,0.0880126953125,0.03173477202653885,1257.0,-2.9172979800000003
41,139264,1542,125,-43.272796988487244,0.6663013696670532,0.2,-0.018412713980069384,4336,0.4938946361653507,0.0004092704424510632,0.017474838,0.9836021065711975,0.111083984375,0.009497251361608505,1257.0,-2.9172979800000003
41,139776,1542,126,-43.27389574050903,-4.021748065948486,0.2,-0.022371647966792807,4352,0.02350331927300431,0.0004092704424510632,0.018087745,0.9847003817558289,0.2225341796875,-0.02792678214609623,1257.0,-2.91646175
42,140288,1541,127,-43.31401216983795,0.24230068922042847,0.2,-0.014898420529789291,4368,1.8385691307485104,0.0004092704424510632,0.0068975342,0.9852729439735413,0.024169921875,0.08377299457788467,1257.0,-2.91646175
42,140800,1541,128,-43.334285855293274,-0.27083146572113037,0.2,-0.021868519397685304,4384,0.014280236850026995,0.0004092704424510632,0.01788604,0.9863775968551636,0.2298583984375,-0.030615948140621185,1257.0,-2.9147810599999997
42,141312,1541,129,-43.37116348743439,0.13783103227615356,0.2,-0.0052004091267008334,4400,1.6775944423861802,0.0004092704424510632,0.004835537,0.9869784712791443,0.0054931640625,0.13965044915676117,1257.0,-2.9147810599999997
43,141824,1541,130,-43.36173129081726,-0.5826826095581055,0.2,-0.03010553479543887,4416,0.01974032958969474,0.0004092704424510632,0.018816536,0.9855538010597229,0.2869873046875,-0.03204554319381714,1257.0,-2.9147810599999997
43,142336,1540,131,-43.34383547306061,-0.2572263479232788,0.2,-0.025576623273082078,4432,0.005001037548936438,0.0004092704424510632,0.015079541,0.987063467502594,0.251953125,-0.031966257840394974,1257.0,-2.913209019999999
43,142848,1540,132,-43.397751212120056,0.32399874925613403,0.2,-0.003871486405842006,4448,1.027434312272817,0.0004092704424510632,0.004050067,0.9877647161483765,0.003662109375,0.14421765506267548,1257.0,-2.913209019999999
44,143360,1540,133,-43.38450074195862,-2.462294101715088,0.2,-0.028898100572405383,4464,0.015097110401256941,0.0004092704424510632,0.017551988,0.9863107800483704,0.2412109375,-0.02961141988635063,1257.0,-2.9141826699999998
44,143872,1540,134,-43.346017241477966,0.5014914274215698,0.2,-0.011419102127547376,4480,1.4722704915329814,0.0004092704424510632,0.0062500993,0.9859710335731506,0.015625,0.10567992925643921,1257.0,-2.9141826699999998
