time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
8,2228,18944,37,-1.7775561809539795,0.9991013407707214,-43.92439258098602,0.005747635688749142,0.2,-0.028017668199026957,-0.03407765552401543,576,0.0004092704424510632,0.2537841796875,0.020345341,-3.0440732,1257.0
8,2227,19456,38,0.011511087417602539,0.9994442462921143,-43.93056118488312,0.16715622739866376,0.2,-0.024670817278092727,0.026262585073709488,592,0.0004092704424510632,0.250732421875,0.021042228,-3.0440732,1257.0
8,2226,19968,39,-3.4308743476867676,0.9997926950454712,-43.9423406124115,0.002221170703705866,0.2,-0.02606185743934475,-0.04369411617517471,608,0.0004092704424510632,0.2552490234375,0.022365754,-3.0440732,1257.0
9,2225,20480,40,0.00016498565673828125,0.9982982277870178,-43.92654573917389,0.0036295411264291033,0.2,-0.024017459392780438,-0.03928985074162483,624,0.0004092704424510632,0.208740234375,0.019846532,-3.044046625,1257.0
9,2224,20992,41,0.0008539557456970215,0.9962596893310547,-43.87194299697876,0.24912407947704196,0.2,-0.029283996773301624,0.10925406217575073,640,0.0004092704424510632,0.279052734375,0.022601254,-3.044046625,1257.0
9,2223,21504,42,0.0010792016983032227,0.9966594576835632,-43.83739626407623,0.004566828669339884,0.2,-0.023736859089694917,-0.02579902671277523,656,0.0004092704424510632,0.218994140625,0.01622904,-3.043735588235294,1257.0
9,2223,22016,43,0.0022330284118652344,0.9958431720733643,-43.84376060962677,0.23348011169582605,0.2,-0.026710476289736107,0.05743325501680374,672,0.0004092704424510632,0.2493896484375,0.021319777,-3.043735588235294,1257.0
10,2222,22528,44,-0.36559462547302246,0.9937244057655334,-43.79273974895477,0.006905531452503055,0.2,-0.027487728650157806,-0.0290507972240448,688,0.0004092704424510632,0.2437744140625,0.019764565,-3.043735588235294,1257.0
10,2221,23040,45,0.002184748649597168,0.9930590987205505,-43.744483947753906,0.0031141322797338944,0.2,-0.023093883792171255,-0.034177739173173904,704,0.0004092704424510632,0.2205810546875,0.016372943,-3.0405902222222223,1257.0
10,2221,23552,46,0.006277799606323242,0.9915916919708252,-43.71483314037323,0.24469556333497167,0.2,-0.020010038511827588,0.06226310506463051,720,0.0004092704424510632,0.2529296875,0.023390586,-3.0405902222222223,1257.0
10,2221,24064,47,-1.2635338306427002,0.9900243282318115,-43.66601061820984,0.014973570738220587,0.2,-0.029497300725779496,-0.03150271624326706,736,0.0004092704424510632,0.2462158203125,0.019939024,-3.0501224210526314,1257.0
11,2221,24576,48,0.006540238857269287,0.9907987713813782,-43.64860153198242,0.23829558491706848,0.2,-0.02370642009191215,0.06773347407579422,752,0.0004092704424510632,0.220703125,0.02181261,-3.0501224210526314,1257.0
11,2221,25088,49,-2.6445019245147705,0.9931056499481201,-43.68746757507324,0.005463249872263987,0.2,-0.024045095866313204,-0.028999947011470795,768,0.0004092704424510632,0.2032470703125,0.0152692115,-3.0501224210526314,1257.0
11,2221,25600,50,0.03570812940597534,0.9917035102844238,-43.71854364871979,0.0024936534246080555,0.2,-0.02074898182763718,-0.03129051625728607,784,0.0004092704424510632,0.192626953125,0.014851376,-3.0522001,1257.0
11,2220,26112,51,0.01608043909072876,0.9914630651473999,-43.67834234237671,0.23547222930938005,0.2,-0.021141017103218473,0.045007769018411636,800,0.0004092704424510632,0.2371826171875,0.027952727,-3.0522001,1257.0
11,2220,26624,52,-5.431105613708496,0.9881998896598816,-43.64122176170349,0.004545771203993354,0.2,-0.01988975526910508,-0.03203342482447624,816,0.0004092704424510632,0.180419921875,0.016972411,-3.0429230952380952,1257.0
12,2220,27136,53,0.005987048149108887,0.9864239692687988,-43.53818190097809,0.3146997382864356,0.2,-0.03223051712848246,0.06852848082780838,832,0.0004092704424510632,0.2928466796875,0.034796614,-3.0429230952380952,1257.0
12,2219,27648,54,-6.394181728363037,0.9860132336616516,-43.510509729385376,0.01008135758456774,0.2,-0.025492075124930125,-0.02973540686070919,848,0.0004092704424510632,0.2445068359375,0.018478686,-3.0429230952380952,1257.0
12,2218,28160,55,0.11075097322463989,0.9865633249282837,-43.50834405422211,0.002341904262721073,0.2,-0.028024241066304967,-0.043059974908828735,864,0.0004092704424510632,0.228515625,0.01463813,-3.0433278636363634,1257.0
12,2218,28672,56,0.013685405254364014,0.9868769645690918,-43.52128994464874,0.09144269274838734,0.2,-0.021421568206278607,0.02315821871161461,880,0.0004092704424510632,0.303955078125,0.04977444,-3.0433278636363634,1257.0
13,2218,29184,57,-0.3417578935623169,0.9864044189453125,-43.519734025001526,0.007592505673528649,0.2,-0.025981405982747674,-0.046380627900362015,896,0.0004092704424510632,0.248046875,0.018814422,-3.045204608695652,1257.0
13,2217,29696,58,0.0033165812492370605,0.9853333234786987,-43.49271607398987,0.3758580689318478,0.2,-0.021706003171857446,0.08614297211170197,912,0.0004092704424510632,0.2412109375,0.027289584,-3.045204608695652,1257.0
13,2217,30208,59,-0.6414190530776978,0.983436644077301,-43.45157718658447,0.006749132015102077,0.2,-0.03082550040562637,-0.0456496886909008,928,0.0004092704424510632,0.264892578125,0.021125168,-3.036572916666666,1257.0
13,2217,30720,60,0.07471573352813721,0.9824793338775635,-43.39378333091736,0.302507767919451,0.2,-0.021444009529659525,0.05242471769452095,944,0.0004092704424510632,0.171875,0.019756656,-3.036572916666666,1257.0
14,2217,31232,61,-2.0709564685821533,0.981317937374115,-43.360668540000916,0.003920216120604891,0.2,-0.024830863520037383,-0.031822532415390015,960,0.0004092704424510632,0.2305908203125,0.01646751,-3.036572916666666,1257.0
14,2216,31744,62,0.009387731552124023,0.980653703212738,-43.32749533653259,0.004895761230727658,0.2,-0.024804478307487443,-0.046212539076805115,976,0.0004092704424510632,0.2205810546875,0.013654366,-3.0258410399999995,1257.0
14,2216,32256,63,0.05804723501205444,0.9803891181945801,-43.31127738952637,0.30935421120375395,0.2,-0.02349016680091154,0.07084223628044128,992,0.0004092704424510632,0.1717529296875,0.019904846,-3.0258410399999995,1257.0
14,2216,32768,64,-4.6945576667785645,0.9805923104286194,-43.31061625480652,0.010202173667494208,0.2,-0.022917305876035243,-0.04001283273100853,1008,0.0004092704424510632,0.2279052734375,0.019539353,-3.0210438461538462,1257.0
15,2216,33280,65,0.014405906200408936,0.9811686873435974,-43.32664668560028,0.32608956610783935,0.2,-0.0240920973556058,0.08817461133003235,1024,0.0004092704424510632,0.2769775390625,0.031952627,-3.0210438461538462,1257.0
15,2216,33792,66,-4.387383460998535,0.9815758466720581,-43.34110414981842,0.011805806629126891,0.2,-0.023990471207071096,-0.03102375939488411,1040,0.0004092704424510632,0.2371826171875,0.017241184,-3.0210438461538462,1257.0
15,2216,34304,67,-0.035309791564941406,0.9803596138954163,-43.33682978153229,0.0027161851248820312,0.2,-0.025329151045298204,-0.03008997067809105,1056,0.0004092704424510632,0.24853515625,0.02051428,-3.015885074074074,1257.0
15,2215,34816,68,0.040904223918914795,0.9793755412101746,-43.29826271533966,0.28536736709065735,0.2,-0.016944258342846297,0.0550982803106308,1072,0.0004092704424510632,0.1898193359375,0.013437036,-3.015885074074074,1257.0
15,2215,35328,69,-6.692445278167725,0.9790456891059875,-43.2800087928772,0.009476133738644421,0.2,-0.023701162383076735,-0.032483235001564026,1088,0.0004092704424510632,0.2452392578125,0.024143899,-3.009191,1257.0
16,2215,35840,70,0.02882099151611328,0.9780672192573547,-43.26391017436981,0.28563328832387924,0.2,-0.021356429293518886,0.052502334117889404,1104,0.0004092704424510632,0.2286376953125,0.01931212,-3.009191,1257.0
16,2215,36352,71,-2.6668829917907715,0.9759628772735596,-43.221011996269226,0.01017023810709361,0.2,-0.027022399561246857,-0.03143836185336113,1120,0.0004092704424510632,0.2493896484375,0.025201522,-3.009191,1257.0
16,2214,36864,72,-0.010041594505310059,0.9766783714294434,-43.18226444721222,0.0021954295079922304,0.2,-0.020010751512018032,-0.027324339374899864,1136,0.0004092704424510632,0.2213134765625,0.01564164,-2.9974942758620684,1257.0
16,2214,37376,73,0.026946663856506348,0.9767186641693115,-43.20760202407837,0.29978341376408935,0.2,-0.021583886438747868,0.029132118448615074,1152,0.0004092704424510632,0.1953125,0.018436741,-2.9974942758620684,1257.0
17,2214,37888,74,-8.936003684997559,0.9752367734909058,-43.18537414073944,0.017995147660258226,0.2,-0.025455140945268795,-0.032828591763973236,1168,0.0004092704424510632,0.2127685546875,0.014733595,-2.9912463999999996,1257.0
17,2214,38400,75,0.03590363264083862,0.9737136363983154,-43.13249671459198,0.2768563872668892,0.2,-0.020959668036084622,0.04285027086734772,1184,0.0004092704424510632,0.193115234375,0.017604992,-2.9912463999999996,1257.0
17,2214,38912,76,-4.903862953186035,0.9724645018577576,-43.09538292884827,0.004681058810092509,0.2,-0.027680132392561063,-0.028569050133228302,1200,0.0004092704424510632,0.24853515625,0.015898474,-2.9912463999999996,1257.0
17,2214,39424,77,0.00573807954788208,0.9727023839950562,-43.072877287864685,0.002201886734837899,0.2,-0.02332326289615594,-0.03675242140889168,1216,0.0004092704424510632,0.1995849609375,0.013893126,-2.989575225806451,1257.0
18,2214,39936,78,0.003412783145904541,0.9712145924568176,-43.059720277786255,0.4688519542105496,0.2,-0.027058819789090194,0.011483617126941681,1232,0.0004092704424510632,0.3009033203125,0.03275358,-2.989575225806451,1257.0
18,2214,40448,79,-2.5161280632019043,0.9706352353096008,-43.021406292915344,0.009963443560991436,0.2,-0.022555785239092074,-0.019942017272114754,1248,0.0004092704424510632,0.20654296875,0.015012138,-2.9774136875,1257.0
18,2214,40960,80,0.015261590480804443,0.9700304269790649,-43.00528407096863,0.3959117867052555,0.2,-0.02173412821139209,0.041912298649549484,1264,0.0004092704424510632,0.2559814453125,0.02699294,-2.9774136875,1257.0
18,2214,41472,81,-4.496797561645508,0.9696807861328125,-42.98939025402069,0.011957192487898283,0.2,-0.023433248585206456,-0.031608209013938904,1280,0.0004092704424510632,0.207275390625,0.015699346,-2.9774136875,1257.0
18,2214,41984,82,0.305641233921051,0.9676649570465088,-42.95414936542511,0.002003708403208293,0.2,-0.025655146513599902,-0.04658641666173935,1296,0.0004092704424510632,0.2349853515625,0.016842721,-2.9735978787878783,1257.0
19,2214,42496,83,0.051500022411346436,0.9669225215911865,-42.90376949310303,0.14072213368490338,0.2,-0.02168358417111449,0.025392385199666023,1312,0.0004092704424510632,0.310791015625,0.043223746,-2.9735978787878783,1257.0
19,2213,43008,84,-2.4881153106689453,0.9659908413887024,-42.88429808616638,0.018069699188345112,0.2,-0.02204624138539657,-0.03226318582892418,1328,0.0004092704424510632,0.22265625,0.018863127,-2.965214470588235,1257.0
19,2213,43520,85,0.0701751708984375,0.9654314517974854,-42.85836613178253,0.34477668534964323,0.2,-0.0263867239409592,0.058984432369470596,1344,0.0004092704424510632,0.1787109375,0.020981312,-2.965214470588235,1257.0
19,2213,44032,86,-1.8224995136260986,0.9649056196212769,-42.83993470668793,0.019383341947104782,0.2,-0.030141905197524466,-0.028729693964123726,1360,0.0004092704424510632,0.267333984375,0.01909941,-2.9646846571428567,1257.0
20,2213,44544,87,0.16468125581741333,0.9642941951751709,-42.82738983631134,0.2962465798482299,0.2,-0.020287069608457386,0.05848615616559982,1376,0.0004092704424510632,0.1240234375,0.018310884,-2.9646846571428567,1257.0
20,2213,45056,88,-4.774354457855225,0.9631161689758301,-42.79714584350586,0.007098224785295315,0.2,-0.02728729959926568,-0.04226143658161163,1392,0.0004092704424510632,0.25732421875,0.019499645,-2.9646846571428567,1257.0
20,2213,45568,89,-6.16312026977539e-05,0.9609562754631042,-42.74068224430084,0.005788765585748479,0.2,-0.025455120543483645,-0.04140620306134224,1408,0.0004092704424510632,0.2208251953125,0.015866008,-2.9595378055555552,1257.0
20,2213,46080,90,0.05103576183319092,0.9605481624603271,-42.696271777153015,0.3652886925265193,0.2,-0.01942836334637832,0.056116700172424316,1424,0.0004092704424510632,0.183349609375,0.013807153,-2.9595378055555552,1257.0
21,2213,46592,91,-2.2408697605133057,0.9593125581741333,-42.67623293399811,0.04770933592226356,0.2,-0.020774832475581206,-0.007892075926065445,1440,0.0004092704424510632,0.210205078125,0.019204492,-2.9541804864864862,1257.0
21,2213,47104,92,0.03601658344268799,0.9592258334159851,-42.64654731750488,0.3447592854499817,0.2,-0.02529061006498523,0.025669068098068237,1456,0.0004092704424510632,0.2034912109375,0.02373475,-2.9541804864864862,1257.0
21,2213,47616,93,-7.5528564453125,0.9588064551353455,-42.641589522361755,0.009436821615963709,0.2,-0.023630118928849697,-0.026180479675531387,1472,0.0004092704424510632,0.2421875,0.020173721,-2.9541804864864862,1257.0
21,2213,48128,94,-0.007861018180847168,0.9584412574768066,-42.6269816160202,0.0028582520862983074,0.2,-0.02278245729394257,-0.021896567195653915,1488,0.0004092704424510632,0.2235107421875,0.014770606,-2.9531142631578944,1257.0
