time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
67,34304,1503,22,0.2,0.0004092704424510632,0.2276611328125,0.017632436,0.23337554931640625,0.0037890037856413983,0.9954960942268372,1056,-0.022906101279659197,-0.03900203853845596,-43.80347466468811,-2.162238,1258.0
68,34816,1503,23,0.2,0.0004092704424510632,0.0958251953125,0.010633024,0.2749817371368408,0.21157659904565662,0.9954459071159363,1072,-0.013799091088003479,0.011867126449942589,-43.795536041259766,-2.162238,1258.0
69,35328,1504,23,0.2,0.0004092704424510632,0.23095703125,0.019237764,-0.35305213928222656,0.00328270509999129,0.9944597482681274,1088,-0.02102100024058018,-0.03447970002889633,-43.77877604961395,-2.15971275,1258.0
70,35840,1504,23,0.2,0.0004092704424510632,0.062744140625,0.013370684,0.567298412322998,0.16788084292784333,0.9942265152931213,1104,-0.011244445893680677,0.01279926672577858,-43.75579512119293,-2.15971275,1258.0
71,36352,1504,24,0.2,0.0004092704424510632,0.2210693359375,0.014557144,-1.3240878582000732,0.00251696125997114,0.9954062104225159,1120,-0.023011492245132104,-0.03164338320493698,-43.76860857009888,-2.15971275,1258.0
72,36864,1505,24,0.2,0.0004092704424510632,0.27490234375,0.02144679,0.2998087406158447,0.00429032448300859,0.9964547157287598,1136,-0.02811271551763639,-0.040941379964351654,-43.80963897705078,-2.1567584827586206,1258.0
73,37376,1505,24,0.2,0.0004092704424510632,0.0859375,0.015216729,0.41062742471694946,0.22440055292099714,0.996291995048523,1152,-0.013860125094652176,0.008865240961313248,-43.82491981983185,-2.1567584827586206,1258.0
74,37888,1506,25,0.2,0.0004092704424510632,0.219482421875,0.016783038,-0.9863753318786621,0.009968467085855082,0.9956940412521362,1168,-0.021675839481758885,-0.023907385766506195,-43.80932104587555,-2.154192233333333,1258.0
75,38400,1506,25,0.2,0.0004092704424510632,0.1041259765625,0.021254644,0.5836031436920166,0.17309374292381108,0.995523989200592,1184,-0.01625459901697468,0.002641446888446808,-43.798776507377625,-2.154192233333333,1258.0
76,38912,1506,25,0.2,0.0004092704424510632,0.2613525390625,0.019327866,0.10991507768630981,0.005219557860982604,0.9959174990653992,1200,-0.027194680937100202,-0.03715582937002182,-43.79368317127228,-2.154192233333333,1258.0
77,39424,1506,26,0.2,0.0004092704424510632,0.2305908203125,0.016743638,0.6491134166717529,0.023236000852193683,0.9949453473091125,1216,-0.02671632826968562,-0.025533640757203102,-43.79195857048035,-2.1533050322580642,1258.0
78,39936,1506,26,0.2,0.0004092704424510632,0.1351318359375,0.020877294,0.7346619963645935,0.1270465070847422,0.9944479465484619,1232,-0.01875034751719795,-0.010682735592126846,-43.76099133491516,-2.1533050322580642,1258.0
79,40448,1506,26,0.2,0.0004092704424510632,0.2227783203125,0.01971439,-0.3374776840209961,0.017853738565463573,0.9928716421127319,1248,-0.02800334570929408,-0.04410417377948761,-43.73649227619171,-2.15015975,1258.0
80,40960,1507,27,0.2,0.0004092704424510632,0.039306640625,0.010430949,0.6226009130477905,0.2199667093809694,0.992689847946167,1264,-0.008698315650690347,0.017235858365893364,-43.69720149040222,-2.15015975,1258.0
81,41472,1506,27,0.2,0.0004092704424510632,0.2384033203125,0.017076999,-0.9818713665008545,0.0028153668499726336,0.994478702545166,1280,-0.026423704577609897,-0.029641099274158478,-43.72364377975464,-2.15015975,1258.0
82,41984,1506,27,0.2,0.0004092704424510632,0.2216796875,0.01610675,0.6998695135116577,0.01936285081319511,0.9942142367362976,1296,-0.025955995748518035,-0.034325502812862396,-43.75501489639282,-2.155065606060606,1258.0
83,42496,1506,28,0.2,0.0004092704424510632,0.174560546875,0.019634373,0.6774446964263916,0.09867721679620445,0.9924814701080322,1312,-0.02007057201990392,-0.02262214943766594,-43.72037899494171,-2.155065606060606,1258.0
84,43008,1506,28,0.2,0.0004092704424510632,0.2659912109375,0.018924143,-1.0441012382507324,0.011841117666335776,0.9938291907310486,1328,-0.03233638666279148,-0.031461700797080994,-43.69576609134674,-2.151636588235294,1258.0
85,43520,1505,28,0.2,0.0004092704424510632,0.12060546875,0.011102891,0.6407727003097534,0.3108684797771275,0.9942390322685242,1344,-0.014985665126005188,0.10726825892925262,-43.740007758140564,-2.151636588235294,1258.0
86,44032,1505,29,0.2,0.0004092704424510632,0.1912841796875,0.014187986,0.08326858282089233,0.003922562777006533,0.995080292224884,1360,-0.021486846002517268,-0.034643933176994324,-43.75228989124298,-2.150019657142857,1258.0
87,44544,1505,29,0.2,0.0004092704424510632,0.0926513671875,0.016131377,0.6470433473587036,0.2642429561819881,0.9955624341964722,1376,-0.017330410119029693,0.021112903952598572,-43.7796893119812,-2.150019657142857,1258.0
88,45056,1505,29,0.2,0.0004092704424510632,0.1785888671875,0.01395095,-1.293900728225708,0.0051209907251177356,0.9940073490142822,1392,-0.01916608434112277,-0.02784065157175064,-43.76670157909393,-2.150019657142857,1258.0
89,45568,1506,30,0.2,0.0004092704424510632,0.2362060546875,0.018870374,0.2602797746658325,0.0026037333336716983,0.9931405782699585,1408,-0.028461333364248276,-0.05175652727484703,-43.722254037857056,-2.1492408333333333,1258.0
90,46080,1506,30,0.2,0.0004092704424510632,0.0750732421875,0.015328801,0.3977022171020508,0.2953132234979421,0.9931644797325134,1424,-0.014422900567296892,0.05592668801546097,-43.71195662021637,-2.1492408333333333,1258.0
91,46592,1506,30,0.2,0.0004092704424510632,0.2862548828125,0.024519892,-0.7610270977020264,0.006315956561593339,0.9916554093360901,1440,-0.02951771506923251,-0.03621614724397659,-43.69204819202423,-2.1513455135135136,1258.0
92,47104,1506,31,0.2,0.0004092704424510632,0.0487060546875,0.0100212945,0.7156660556793213,0.25964706507511437,0.9914684295654297,1456,-0.008697759974893415,0.05202217400074005,-43.65034508705139,-2.1513455135135136,1258.0
93,47616,1506,31,0.2,0.0004092704424510632,0.27294921875,0.016884157,-2.1917998790740967,0.005586366460192949,0.9917817115783691,1472,-0.03177158442122163,-0.03530832752585411,-43.65506637096405,-2.1513455135135136,1258.0
94,48128,1506,31,0.2,0.0004092704424510632,0.306884765625,0.02922109,-0.06581568717956543,0.003965861396864057,0.9904585480690002,1488,-0.03161212764098309,-0.04326177015900612,-43.64610397815704,-2.149334947368421,1258.0
95,48640,1506,32,0.2,0.0004092704424510632,0.0699462890625,0.012318611,0.2772350311279297,0.48190645314753056,0.9900013208389282,1504,-0.01101213600486517,0.020627809688448906,-43.60977637767792,-2.149334947368421,1258.0
96,49152,1505,32,0.2,0.0004092704424510632,0.2255859375,0.014927814,0.3046184182167053,0.003533973744197283,0.9899799823760986,1520,-0.025226720375940204,-0.03351419046521187,-43.605642199516296,-2.1454839743589744,1258.0
97,49664,1506,32,0.2,0.0004092704424510632,0.0618896484375,0.015495297,0.6443783044815063,0.3045634822919965,0.9897254705429077,1536,-0.011647042338154279,0.04869753122329712,-43.60424339771271,-2.1454839743589744,1258.0
98,50176,1506,33,0.2,0.0004092704424510632,0.144775390625,0.0120836925,-0.3800201416015625,0.005058951188402716,0.9887809157371521,1552,-0.015897045261226594,-0.02100287564098835,-43.58628821372986,-2.1454839743589744,1258.0
99,50688,1506,33,0.2,0.0004092704424510632,0.267578125,0.018187473,0.5848727226257324,0.00787925094482489,0.9891335964202881,1568,-0.028859580444986932,-0.030124077573418617,-43.567182302474976,-2.143132575,1258.0
100,51200,1507,33,0.2,0.0004092704424510632,0.0867919921875,0.015784865,0.522921621799469,0.39476711954921484,0.9891796708106995,1584,-0.015142434545850847,0.010847987607121468,-43.576274156570435,-2.143132575,1258.0
101,51712,1507,34,0.2,0.0004092704424510632,0.2298583984375,0.015572635,0.02559947967529297,0.012366819399176165,0.9900348782539368,1600,-0.021975236042635515,-0.020058995112776756,-43.58444035053253,-2.1451010731707316,1258.0
102,52224,1507,34,0.2,0.0004092704424510632,0.075439453125,0.013609974,0.38270246982574463,0.5840727179311216,0.9906338453292847,1616,-0.011695359309669584,0.04113202542066574,-43.60900950431824,-2.1451010731707316,1258.0
103,52736,1508,34,0.2,0.0004092704424510632,0.2772216796875,0.01796228,-0.23765873908996582,0.007545546657638624,0.9904658794403076,1632,-0.02852742897812277,-0.035666029900312424,-43.615785360336304,-2.1451010731707316,1258.0
104,53248,1508,35,0.2,0.0004092704424510632,0.242431640625,0.015614862,0.7851926684379578,0.01421150320675224,0.9907996654510498,1648,-0.02517785683448892,-0.02040977030992508,-43.61773085594177,-2.1462275714285712,1258.0
105,53760,1509,35,0.2,0.0004092704424510632,0.1064453125,0.015644304,0.6126203536987305,0.21825997508130968,0.9906849265098572,1664,-0.014309078731457703,0.004649575799703598,-43.62654435634613,-2.1462275714285712,1258.0
106,54272,1509,35,0.2,0.0004092704424510632,0.2196044921875,0.018399762,-0.2106548547744751,0.019987296691397205,0.990808367729187,1680,-0.02225056296447292,-0.04373889043927193,-43.618876814842224,-2.145851697674418,1258.0
107,54784,1509,36,0.2,0.0004092704424510632,0.111083984375,0.016328257,0.6828339099884033,0.28478368767537177,0.9907715320587158,1696,-0.013422964373603463,0.05319823697209358,-43.6233526468277,-2.145851697674418,1258.0
108,55296,1510,36,0.2,0.0004092704424510632,0.21923828125,0.018195499,-0.39006876945495605,0.00783453811891377,0.9905273914337158,1712,-0.02062594769813586,-0.02607116289436817,-43.61359083652496,-2.145851697674418,1258.0
109,55808,1510,36,0.2,0.0004092704424510632,0.22998046875,0.016322225,0.8276782035827637,0.039414412691257894,0.9908146858215332,1728,-0.023405006257235073,-0.013973740860819817,-43.615243554115295,-2.1479902727272724,1258.0
110,56320,1510,37,0.2,0.0004092704424510632,0.188720703125,0.030872587,0.8134213089942932,0.09814543486572802,0.9901186227798462,1744,-0.02248563274042681,-0.020287631079554558,-43.61465847492218,-2.1479902727272724,1258.0
111,56832,1511,37,0.2,0.0004092704424510632,0.25146484375,0.019647904,-1.5344412326812744,0.013595675060059875,0.9916825890541077,1760,-0.025036187420482747,-0.018947983160614967,-43.61423885822296,-2.1508499777777774,1258.0
